,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,582.0,16.0,8.0,1.0,207.0,367.0,6.0,146.0,2.0,15904.0,3987.0,Georgia,Asia,,,0.0,,,
1,2020-05-03,589.0,7.0,9.0,1.0,221.0,359.0,6.0,148.0,2.0,15904.0,3987.0,Georgia,Asia,,,0.0,,,
2,2020-05-04,593.0,4.0,9.0,-1.0,223.0,361.0,6.0,149.0,2.0,15904.0,3987.0,Georgia,Asia,,,0.0,,,
3,2020-05-05,604.0,-1.0,9.0,-1.0,240.0,355.0,6.0,151.0,2.0,20579.0,5159.0,Georgia,Asia,,,0.0,,,
4,2020-05-06,610.0,6.0,9.0,-1.0,269.0,332.0,6.0,153.0,2.0,20579.0,5159.0,Georgia,Asia,,,0.0,,,
5,2020-05-07,615.0,5.0,9.0,-1.0,275.0,331.0,6.0,154.0,2.0,24036.0,6025.0,Georgia,Asia,,,0.0,,,
6,2020-05-08,623.0,-1.0,10.0,-1.0,288.0,325.0,6.0,156.0,3.0,25861.0,6483.0,Georgia,Asia,,,0.0,,,
7,2020-05-09,626.0,-1.0,10.0,-1.0,297.0,319.0,6.0,157.0,3.0,27846.0,6980.0,Georgia,Asia,,,0.0,,,
8,2020-05-10,635.0,9.0,10.0,-1.0,309.0,316.0,6.0,159.0,3.0,29736.0,7454.0,Georgia,Asia,,,0.0,,,
9,2020-05-11,638.0,3.0,11.0,1.0,317.0,310.0,6.0,160.0,3.0,29736.0,7454.0,Georgia,Asia,,,0.0,,,
10,2020-05-12,642.0,4.0,11.0,-1.0,349.0,282.0,6.0,161.0,3.0,31952.0,8010.0,Georgia,Asia,,,0.0,,,
11,2020-05-13,647.0,5.0,11.0,-1.0,372.0,264.0,6.0,162.0,3.0,33505.0,8399.0,Georgia,Asia,,,0.0,,,
12,2020-05-14,667.0,20.0,12.0,1.0,383.0,272.0,6.0,167.0,3.0,34500.0,8648.0,Georgia,Asia,,,0.0,,,
