,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,164478.0,401.0,6736.0,-1.0,129000.0,28742.0,2105.0,1963.0,80.0,2547052.0,30400.0,Germany,Europe,,,0.0,,,
1,2020-05-03,165664.0,697.0,6866.0,54.0,130600.0,28198.0,1979.0,1977.0,82.0,2547052.0,30400.0,Germany,Europe,,,0.0,,,
2,2020-05-04,166152.0,488.0,6993.0,127.0,132700.0,26459.0,1949.0,1983.0,83.0,2547052.0,30400.0,Germany,Europe,,,0.0,,,
3,2020-05-05,167007.0,-1.0,6993.0,-1.0,135100.0,24914.0,1937.0,1993.0,83.0,2547052.0,30400.0,Germany,Europe,,,0.0,,,
4,2020-05-06,167372.0,365.0,6993.0,-1.0,137400.0,22979.0,1884.0,1998.0,83.0,2547052.0,30400.0,Germany,Europe,,,0.0,,,
5,2020-05-07,169430.0,1268.0,7392.0,117.0,139900.0,22138.0,1823.0,2022.0,88.0,2755770.0,32891.0,Germany,Europe,,,0.0,,,
6,2020-05-08,170588.0,-1.0,7510.0,-1.0,141700.0,21378.0,1712.0,2036.0,90.0,2755770.0,32891.0,Germany,Europe,,,0.0,,,
7,2020-05-09,171324.0,-1.0,7549.0,-1.0,143300.0,20475.0,1650.0,2045.0,90.0,2755770.0,32891.0,Germany,Europe,,,0.0,,,
8,2020-05-10,171767.0,443.0,7557.0,8.0,144400.0,19810.0,1581.0,2050.0,90.0,2755770.0,32891.0,Germany,Europe,,,0.0,,,
9,2020-05-11,172259.0,380.0,7597.0,28.0,145600.0,19062.0,1581.0,2056.0,91.0,2755770.0,32891.0,Germany,Europe,,,0.0,,,
10,2020-05-12,173031.0,455.0,7717.0,56.0,147200.0,18114.0,1539.0,2065.0,92.0,2755770.0,32891.0,Germany,Europe,,,0.0,,,
11,2020-05-13,173824.0,653.0,7792.0,54.0,148700.0,17332.0,1539.0,2075.0,93.0,2755770.0,32891.0,Germany,Europe,,,0.0,,,
12,2020-05-14,174578.0,480.0,7889.0,28.0,150300.0,16389.0,1329.0,2084.0,94.0,3147771.0,37570.0,Germany,Europe,,,0.0,,,
