,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2169.0,95.0,18.0,1.0,229.0,1922.0,4.0,70.0,0.6,113497.0,3653.0,Ghana,Africa,,,0.0,,,
1,2020-05-03,2169.0,-1.0,18.0,-1.0,229.0,1922.0,4.0,70.0,0.6,117049.0,3767.0,Ghana,Africa,,,0.0,,,
2,2020-05-04,2719.0,550.0,18.0,-1.0,294.0,2407.0,4.0,88.0,0.6,129461.0,4166.0,Ghana,Africa,,,0.0,,,
3,2020-05-05,2719.0,-1.0,18.0,-1.0,294.0,2407.0,4.0,88.0,0.6,129461.0,4166.0,Ghana,Africa,,,0.0,,,
4,2020-05-06,2719.0,-1.0,18.0,-1.0,294.0,2407.0,4.0,88.0,0.6,129461.0,4166.0,Ghana,Africa,,,0.0,,,
5,2020-05-07,3091.0,-1.0,18.0,-1.0,303.0,2770.0,4.0,99.0,0.6,135902.0,4374.0,Ghana,Africa,,,0.0,,,
6,2020-05-08,4012.0,-1.0,18.0,-1.0,323.0,3671.0,8.0,129.0,0.6,149948.0,4826.0,Ghana,Africa,,,0.0,,,
7,2020-05-09,4263.0,-1.0,22.0,-1.0,378.0,3863.0,5.0,137.0,0.7,155201.0,4995.0,Ghana,Africa,,,0.0,,,
8,2020-05-10,4263.0,-1.0,22.0,-1.0,378.0,3863.0,5.0,137.0,0.7,155201.0,4995.0,Ghana,Africa,,,0.0,,,
9,2020-05-11,4700.0,437.0,22.0,-1.0,494.0,4184.0,5.0,151.0,0.7,160501.0,5165.0,Ghana,Africa,,,0.0,,,
10,2020-05-12,5127.0,427.0,22.0,-1.0,494.0,4611.0,5.0,165.0,0.7,162184.0,5219.0,Ghana,Africa,,,0.0,,,
11,2020-05-13,5408.0,281.0,24.0,2.0,514.0,4870.0,5.0,174.0,0.8,162184.0,5219.0,Ghana,Africa,,,0.0,,,
12,2020-05-14,5408.0,-1.0,24.0,-1.0,514.0,4870.0,5.0,174.0,0.8,164452.0,5292.0,Ghana,Africa,,,0.0,,,
13,2020-05-15,5530.0,-1.0,24.0,-1.0,674.0,4832.0,5.0,178.0,0.8,167704.0,5413.0,Ghana,Africa,59.0,30984320.0,0.0,,,
14,2020-05-16,5638.0,-1.0,28.0,-1.0,1460.0,4150.0,5.0,182.0,0.9,171642.0,5539.0,Ghana,Africa,59.0,30986096.0,0.0,,,
15,2020-05-17,5735.0,-1.0,29.0,-1.0,1754.0,3952.0,5.0,185.0,0.9,173096.0,5586.0,Ghana,Africa,59.0,30987872.0,0.0,,,
