,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,144.0,-1.0,-1.0,-1.0,131.0,13.0,-1.0,4274.0,-1.0,2626.0,77944.0,Gibraltar,Europe,,,0.0,,,
1,2020-05-03,144.0,-1.0,-1.0,-1.0,132.0,12.0,-1.0,4274.0,-1.0,2711.0,80467.0,Gibraltar,Europe,,,0.0,,,
2,2020-05-04,144.0,-1.0,-1.0,-1.0,133.0,11.0,-1.0,4274.0,-1.0,2931.0,86997.0,Gibraltar,Europe,,,0.0,,,
3,2020-05-05,144.0,-1.0,-1.0,-1.0,133.0,11.0,-1.0,4274.0,-1.0,2931.0,86997.0,Gibraltar,Europe,,,0.0,,,
4,2020-05-06,144.0,-1.0,-1.0,-1.0,133.0,11.0,-1.0,4274.0,-1.0,2931.0,86997.0,Gibraltar,Europe,,,0.0,,,
5,2020-05-07,144.0,-1.0,-1.0,-1.0,141.0,3.0,-1.0,4274.0,-1.0,3366.0,99908.0,Gibraltar,Europe,,,0.0,,,
6,2020-05-08,146.0,-1.0,-1.0,-1.0,142.0,4.0,-1.0,4334.0,-1.0,3366.0,99908.0,Gibraltar,Europe,,,0.0,,,
7,2020-05-09,146.0,-1.0,-1.0,-1.0,142.0,4.0,-1.0,4334.0,-1.0,3366.0,99908.0,Gibraltar,Europe,,,0.0,,,
8,2020-05-10,146.0,-1.0,-1.0,-1.0,143.0,3.0,-1.0,4334.0,-1.0,4099.0,121665.0,Gibraltar,Europe,,,0.0,,,
9,2020-05-11,146.0,-1.0,-1.0,-1.0,143.0,3.0,-1.0,4334.0,-1.0,4099.0,121665.0,Gibraltar,Europe,,,0.0,,,
10,2020-05-12,147.0,-1.0,-1.0,-1.0,143.0,4.0,-1.0,4363.0,-1.0,4155.0,123327.0,Gibraltar,Europe,,,0.0,,,
11,2020-05-13,148.0,-1.0,-1.0,-1.0,144.0,4.0,-1.0,4393.0,-1.0,4352.0,129174.0,Gibraltar,Europe,,,0.0,,,
12,2020-05-14,147.0,-1.0,-1.0,-1.0,144.0,3.0,-1.0,4363.0,-1.0,4576.0,135823.0,Gibraltar,Europe,,,0.0,,,
13,2020-05-15,147.0,-1.0,-1.0,-1.0,144.0,3.0,-1.0,4363.0,-1.0,4750.0,140983.0,Gibraltar,Europe,153.0,33692.0,0.0,,,
14,2020-05-16,147.0,-1.0,-1.0,-1.0,144.0,3.0,-1.0,4363.0,-1.0,4941.0,146652.0,Gibraltar,Europe,154.0,33692.0,0.0,,,
15,2020-05-17,147.0,-1.0,-1.0,-1.0,145.0,2.0,-1.0,4363.0,-1.0,5060.0,150184.0,Gibraltar,Europe,154.0,33692.0,0.0,,,
16,2020-05-18,147.0,-1.0,-1.0,-1.0,145.0,2.0,-1.0,4363.0,-1.0,5060.0,150184.0,Gibraltar,Europe,154.0,33692.0,0.0,,,
17,2020-05-19,147.0,-1.0,-1.0,-1.0,145.0,2.0,-1.0,4363.0,-1.0,5187.0,153953.0,Gibraltar,Europe,154.0,33692.0,0.0,,,
18,2020-05-20,149.0,2.0,-1.0,-1.0,145.0,4.0,-1.0,4422.0,-1.0,5615.0,166657.0,Gibraltar,Europe,156.0,33692.0,0.0,,,
19,2020-05-21,151.0,2.0,-1.0,-1.0,146.0,5.0,-1.0,4482.0,-1.0,5833.0,173127.0,Gibraltar,Europe,157.0,33692.0,0.0,,,
20,2020-05-22,151.0,-1.0,-1.0,-1.0,147.0,4.0,-1.0,4482.0,-1.0,6101.0,181082.0,Gibraltar,Europe,157.0,33692.0,0.0,,,
21,2020-05-23,152.0,1.0,-1.0,-1.0,147.0,5.0,-1.0,4511.0,-1.0,6101.0,181082.0,Gibraltar,Europe,157.0,33692.0,0.0,,,
22,2020-05-24,154.0,2.0,-1.0,-1.0,147.0,7.0,-1.0,4571.0,-1.0,6524.0,193636.0,Gibraltar,Europe,158.0,33692.0,0.0,,,
23,2020-05-25,154.0,-1.0,-1.0,-1.0,147.0,7.0,-1.0,4571.0,-1.0,6524.0,193636.0,Gibraltar,Europe,158.0,33692.0,0.0,,,
24,2020-05-26,154.0,-1.0,-1.0,-1.0,147.0,7.0,-1.0,4571.0,-1.0,6621.0,196515.0,Gibraltar,Europe,158.0,33692.0,0.0,,,
25,2020-05-27,157.0,-1.0,-1.0,-1.0,147.0,10.0,-1.0,4660.0,-1.0,6859.0,203579.0,Gibraltar,Europe,158.0,33692.0,0.0,,,
26,2020-05-28,158.0,1.0,-1.0,-1.0,147.0,11.0,-1.0,4690.0,-1.0,7073.0,209931.0,Gibraltar,Europe,160.0,33692.0,0.0,,,
27,2020-05-29,161.0,3.0,-1.0,-1.0,148.0,13.0,-1.0,4779.0,-1.0,7315.0,217114.0,Gibraltar,Europe,160.0,33692.0,0.0,,,
28,2020-05-30,169.0,8.0,-1.0,-1.0,149.0,20.0,-1.0,5016.0,-1.0,7553.0,224178.0,Gibraltar,Europe,159.0,33692.0,0.0,,,
29,2020-05-31,170.0,1.0,-1.0,-1.0,149.0,21.0,-1.0,5046.0,-1.0,7632.0,226523.0,Gibraltar,Europe,160.0,33692.0,0.0,,,
30,2020-06-01,170.0,-1.0,-1.0,-1.0,151.0,19.0,-1.0,5046.0,-1.0,7644.0,226879.0,Gibraltar,Europe,160.0,33692.0,0.0,,,
31,2020-06-02,172.0,2.0,-1.0,-1.0,151.0,21.0,-1.0,5105.0,-1.0,7879.0,233854.0,Gibraltar,Europe,161.0,33692.0,-1.0,196.0,-1.0,4.0
32,2020-06-03,173.0,1.0,-1.0,-1.0,153.0,20.0,-1.0,5135.0,-1.0,8205.0,243530.0,Gibraltar,Europe,161.0,33692.0,2.0,195.0,-1.0,4.0
33,2020-06-04,173.0,-1.0,-1.0,-1.0,153.0,20.0,-1.0,5135.0,-1.0,8434.0,250326.0,Gibraltar,Europe,161.0,33692.0,-1.0,195.0,-1.0,4.0
34,2020-06-05,174.0,1.0,-1.0,-1.0,153.0,21.0,-1.0,5164.0,-1.0,8733.0,259201.0,Gibraltar,Europe,161.0,33692.0,-1.0,194.0,-1.0,4.0
35,2020-06-06,175.0,1.0,-1.0,-1.0,155.0,20.0,-1.0,5194.0,-1.0,8908.0,264395.0,Gibraltar,Europe,161.0,33692.0,2.0,193.0,-1.0,4.0
36,2020-06-07,176.0,1.0,-1.0,-1.0,164.0,12.0,-1.0,5224.0,-1.0,9020.0,267719.0,Gibraltar,Europe,161.0,33692.0,9.0,191.0,-1.0,4.0
37,2020-06-08,176.0,-1.0,-1.0,-1.0,165.0,11.0,-1.0,5224.0,-1.0,9033.0,268105.0,Gibraltar,Europe,161.0,33692.0,1.0,191.0,-1.0,4.0
38,2020-06-09,176.0,-1.0,-1.0,-1.0,165.0,11.0,-1.0,5224.0,-1.0,9283.0,275525.0,Gibraltar,Europe,162.0,33692.0,-1.0,191.0,-1.0,4.0
39,2020-06-10,176.0,-1.0,-1.0,-1.0,169.0,7.0,-1.0,5224.0,-1.0,9508.0,282203.0,Gibraltar,Europe,162.0,33692.0,4.0,191.0,-1.0,4.0
40,2020-06-11,176.0,-1.0,-1.0,-1.0,171.0,5.0,-1.0,5224.0,-1.0,9509.0,282233.0,Gibraltar,Europe,162.0,33692.0,2.0,191.0,-1.0,4.0
41,2020-06-12,176.0,-1.0,-1.0,-1.0,172.0,4.0,-1.0,5224.0,-1.0,9914.0,294263.0,Gibraltar,Europe,163.0,33691.0,1.0,191.0,-1.0,3.0
42,2020-06-13,176.0,-1.0,-1.0,-1.0,173.0,3.0,-1.0,5224.0,-1.0,10091.0,299516.0,Gibraltar,Europe,164.0,33691.0,1.0,191.0,-1.0,3.0
43,2020-06-14,176.0,-1.0,-1.0,-1.0,173.0,3.0,-1.0,5224.0,-1.0,10104.0,299902.0,Gibraltar,Europe,165.0,33691.0,-1.0,191.0,-1.0,3.0
44,2020-06-15,176.0,-1.0,-1.0,-1.0,174.0,2.0,-1.0,5224.0,-1.0,10117.0,300288.0,Gibraltar,Europe,165.0,33691.0,1.0,191.0,-1.0,3.0
45,2020-06-16,176.0,-1.0,-1.0,-1.0,174.0,2.0,-1.0,5224.0,-1.0,10272.0,304889.0,Gibraltar,Europe,165.0,33691.0,-1.0,191.0,-1.0,3.0
46,2020-06-17,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,10428.0,309519.0,Gibraltar,Europe,165.0,33691.0,2.0,191.0,-1.0,3.0
47,2020-06-18,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,10428.0,309519.0,Gibraltar,Europe,166.0,33691.0,-1.0,191.0,-1.0,3.0
48,2020-06-19,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,10734.0,318601.0,Gibraltar,Europe,166.0,33691.0,-1.0,191.0,-1.0,3.0
49,2020-06-20,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,10734.0,318601.0,Gibraltar,Europe,167.0,33691.0,-1.0,191.0,-1.0,3.0
50,2020-06-21,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,10956.0,325191.0,Gibraltar,Europe,167.0,33691.0,-1.0,191.0,-1.0,3.0
51,2020-06-22,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,11112.0,329821.0,Gibraltar,Europe,167.0,33691.0,-1.0,191.0,-1.0,3.0
52,2020-06-23,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,11129.0,330326.0,Gibraltar,Europe,167.0,33691.0,-1.0,191.0,-1.0,3.0
53,2020-06-24,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,11358.0,337123.0,Gibraltar,Europe,167.0,33691.0,-1.0,191.0,-1.0,3.0
54,2020-06-25,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,11864.0,352142.0,Gibraltar,Europe,167.0,33691.0,-1.0,191.0,-1.0,3.0
55,2020-06-26,176.0,-1.0,-1.0,-1.0,176.0,0.0,-1.0,5224.0,-1.0,11864.0,352142.0,Gibraltar,Europe,167.0,33691.0,-1.0,191.0,-1.0,3.0
56,2020-06-27,177.0,1.0,-1.0,-1.0,176.0,1.0,-1.0,5254.0,-1.0,12446.0,369416.0,Gibraltar,Europe,168.0,33691.0,-1.0,190.0,-1.0,3.0
57,2020-06-28,177.0,-1.0,-1.0,-1.0,176.0,1.0,-1.0,5254.0,-1.0,12725.0,377697.0,Gibraltar,Europe,170.0,33691.0,-1.0,190.0,-1.0,3.0
58,2020-06-29,177.0,-1.0,-1.0,-1.0,176.0,1.0,-1.0,5254.0,-1.0,12743.0,378232.0,Gibraltar,Europe,170.0,33691.0,-1.0,190.0,-1.0,3.0
59,2020-06-30,177.0,-1.0,-1.0,-1.0,176.0,1.0,-1.0,5254.0,-1.0,12743.0,378232.0,Gibraltar,Europe,171.0,33691.0,-1.0,190.0,-1.0,3.0
60,2020-07-01,178.0,1.0,-1.0,-1.0,176.0,2.0,-1.0,5283.0,-1.0,13427.0,398534.0,Gibraltar,Europe,171.0,33691.0,-1.0,189.0,-1.0,3.0
61,2020-07-02,178.0,-1.0,-1.0,-1.0,176.0,2.0,-1.0,5283.0,-1.0,13667.0,405657.0,Gibraltar,Europe,171.0,33691.0,-1.0,189.0,-1.0,2.0
62,2020-07-03,178.0,-1.0,-1.0,-1.0,176.0,2.0,-1.0,5283.0,-1.0,14119.0,419073.0,Gibraltar,Europe,171.0,33691.0,-1.0,189.0,-1.0,2.0
63,2020-07-04,178.0,-1.0,-1.0,-1.0,176.0,2.0,-1.0,5283.0,-1.0,14119.0,419073.0,Gibraltar,Europe,172.0,33691.0,-1.0,189.0,-1.0,2.0
64,2020-07-05,179.0,1.0,-1.0,-1.0,176.0,3.0,-1.0,5313.0,-1.0,14637.0,434448.0,Gibraltar,Europe,172.0,33691.0,-1.0,188.0,-1.0,2.0
65,2020-07-06,179.0,-1.0,-1.0,-1.0,176.0,3.0,-1.0,5313.0,-1.0,14646.0,434716.0,Gibraltar,Europe,172.0,33691.0,-1.0,188.0,-1.0,2.0
66,2020-07-07,179.0,-1.0,-1.0,-1.0,176.0,3.0,-1.0,5313.0,-1.0,14934.0,443264.0,Gibraltar,Europe,172.0,33691.0,-1.0,188.0,-1.0,2.0
67,2020-07-08,179.0,-1.0,-1.0,-1.0,176.0,3.0,-1.0,5313.0,-1.0,15252.0,452703.0,Gibraltar,Europe,172.0,33691.0,-1.0,188.0,-1.0,2.0
68,2020-07-09,180.0,1.0,-1.0,-1.0,176.0,4.0,-1.0,5343.0,-1.0,15495.0,459915.0,Gibraltar,Europe,172.0,33691.0,-1.0,187.0,-1.0,2.0
