,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2620.0,8.0,143.0,3.0,1374.0,1103.0,37.0,251.0,14.0,78207.0,7503.0,Greece,Europe,,,0.0,,,
1,2020-05-03,2626.0,6.0,144.0,1.0,1374.0,1108.0,37.0,252.0,14.0,79332.0,7611.0,Greece,Europe,,,0.0,,,
2,2020-05-04,2632.0,6.0,146.0,2.0,1374.0,1112.0,35.0,253.0,14.0,80951.0,7767.0,Greece,Europe,,,0.0,,,
3,2020-05-05,2642.0,-1.0,146.0,-1.0,1374.0,1122.0,35.0,253.0,14.0,83750.0,8035.0,Greece,Europe,,,0.0,,,
4,2020-05-06,2663.0,21.0,147.0,1.0,1374.0,1142.0,36.0,255.0,14.0,87052.0,8352.0,Greece,Europe,,,0.0,,,
5,2020-05-07,2678.0,15.0,148.0,1.0,1374.0,1156.0,33.0,257.0,14.0,90043.0,8639.0,Greece,Europe,,,0.0,,,
6,2020-05-08,2691.0,-1.0,150.0,-1.0,1374.0,1167.0,32.0,258.0,14.0,94991.0,9114.0,Greece,Europe,,,0.0,,,
7,2020-05-09,2710.0,-1.0,151.0,-1.0,1374.0,1185.0,28.0,260.0,14.0,97384.0,9343.0,Greece,Europe,,,0.0,,,
8,2020-05-10,2716.0,6.0,151.0,-1.0,1374.0,1191.0,30.0,261.0,14.0,98897.0,9488.0,Greece,Europe,,,0.0,,,
9,2020-05-11,2726.0,10.0,151.0,-1.0,1374.0,1201.0,32.0,262.0,14.0,99363.0,9533.0,Greece,Europe,,,0.0,,,
10,2020-05-12,2744.0,18.0,152.0,1.0,1374.0,1218.0,32.0,263.0,15.0,106054.0,10175.0,Greece,Europe,,,0.0,,,
11,2020-05-13,2760.0,16.0,155.0,3.0,1374.0,1231.0,28.0,265.0,15.0,112042.0,10749.0,Greece,Europe,,,0.0,,,
12,2020-05-14,2770.0,10.0,156.0,1.0,1374.0,1240.0,24.0,266.0,15.0,116233.0,11152.0,Greece,Europe,,,0.0,,,
13,2020-05-15,2810.0,40.0,160.0,4.0,1374.0,1276.0,23.0,269.0,15.0,120015.0,11507.0,Greece,Europe,70.0,10429300.0,0.0,,,
14,2020-05-16,2819.0,9.0,162.0,2.0,1374.0,1283.0,23.0,270.0,16.0,126283.0,12109.0,Greece,Europe,70.0,10429161.0,0.0,,,
15,2020-05-17,2834.0,15.0,163.0,1.0,1374.0,1297.0,22.0,272.0,16.0,128525.0,12324.0,Greece,Europe,70.0,10429023.0,0.0,,,
16,2020-05-18,2836.0,2.0,165.0,2.0,1374.0,1297.0,24.0,272.0,16.0,131684.0,12627.0,Greece,Europe,70.0,10428885.0,0.0,,,
17,2020-05-19,2840.0,4.0,165.0,-1.0,1374.0,1301.0,22.0,272.0,16.0,136001.0,13041.0,Greece,Europe,70.0,10428746.0,0.0,,,
18,2020-05-20,2850.0,10.0,166.0,1.0,1374.0,1310.0,22.0,273.0,16.0,139445.0,13371.0,Greece,Europe,73.0,10428608.0,0.0,,,
19,2020-05-21,2853.0,3.0,168.0,2.0,1374.0,1311.0,21.0,274.0,16.0,144078.0,13816.0,Greece,Europe,74.0,10428469.0,0.0,,,
20,2020-05-22,2874.0,21.0,169.0,1.0,1374.0,1331.0,19.0,276.0,16.0,147958.0,14188.0,Greece,Europe,75.0,10428331.0,0.0,,,
21,2020-05-23,2876.0,2.0,171.0,2.0,1374.0,1331.0,20.0,276.0,16.0,152998.0,14672.0,Greece,Europe,75.0,10428193.0,0.0,,,
22,2020-05-24,2878.0,2.0,171.0,-1.0,1374.0,1333.0,19.0,276.0,16.0,153963.0,14764.0,Greece,Europe,77.0,10428054.0,0.0,,,
