,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1271.0,22389.0,Greenland,North America,,,0.0,,,
1,2020-05-03,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1289.0,22706.0,Greenland,North America,,,0.0,,,
2,2020-05-04,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1294.0,22794.0,Greenland,North America,,,0.0,,,
3,2020-05-05,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1332.0,23463.0,Greenland,North America,,,0.0,,,
4,2020-05-06,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1362.0,23992.0,Greenland,North America,,,0.0,,,
5,2020-05-07,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1394.0,24555.0,Greenland,North America,,,0.0,,,
6,2020-05-08,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1394.0,24555.0,Greenland,North America,,,0.0,,,
7,2020-05-09,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1394.0,24555.0,Greenland,North America,,,0.0,,,
8,2020-05-10,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1394.0,24555.0,Greenland,North America,,,0.0,,,
9,2020-05-11,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1461.0,25735.0,Greenland,North America,,,0.0,,,
10,2020-05-12,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1461.0,25735.0,Greenland,North America,,,0.0,,,
11,2020-05-13,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1505.0,26510.0,Greenland,North America,,,0.0,,,
12,2020-05-14,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1579.0,27814.0,Greenland,North America,,,0.0,,,
13,2020-05-15,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1629.0,28701.0,Greenland,North America,203.0,56758.0,0.0,,,
14,2020-05-16,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1629.0,28701.0,Greenland,North America,203.0,56758.0,0.0,,,
15,2020-05-17,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1629.0,28701.0,Greenland,North America,203.0,56758.0,0.0,,,
16,2020-05-18,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1721.0,30322.0,Greenland,North America,204.0,56758.0,0.0,,,
17,2020-05-19,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1767.0,31132.0,Greenland,North America,204.0,56759.0,0.0,,,
18,2020-05-20,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1767.0,31132.0,Greenland,North America,204.0,56759.0,0.0,,,
19,2020-05-21,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1767.0,31132.0,Greenland,North America,204.0,56759.0,0.0,,,
20,2020-05-22,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1767.0,31132.0,Greenland,North America,204.0,56759.0,0.0,,,
21,2020-05-23,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1850.0,32593.0,Greenland,North America,204.0,56760.0,0.0,,,
22,2020-05-24,11.0,-1.0,-1.0,-1.0,11.0,0.0,-1.0,194.0,-1.0,1850.0,32593.0,Greenland,North America,204.0,56760.0,0.0,,,
