,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,20.0,-1.0,-1.0,-1.0,13.0,7.0,4.0,178.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
1,2020-05-03,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
2,2020-05-04,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
3,2020-05-05,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
4,2020-05-06,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
5,2020-05-07,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
6,2020-05-08,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
7,2020-05-09,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
8,2020-05-10,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
9,2020-05-11,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
10,2020-05-12,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
11,2020-05-13,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
12,2020-05-14,21.0,-1.0,-1.0,-1.0,13.0,8.0,4.0,187.0,-1.0,1406.0,12495.0,Grenada,North America,,,0.0,,,
13,2020-05-15,22.0,1.0,-1.0,-1.0,14.0,8.0,4.0,196.0,-1.0,2419.0,21511.0,Grenada,North America,185.0,112456.0,0.0,,,
14,2020-05-16,22.0,-1.0,-1.0,-1.0,14.0,8.0,4.0,196.0,-1.0,2419.0,21510.0,Grenada,North America,185.0,112458.0,0.0,,,
15,2020-05-17,22.0,-1.0,-1.0,-1.0,14.0,8.0,4.0,196.0,-1.0,2419.0,21510.0,Grenada,North America,186.0,112459.0,0.0,,,
16,2020-05-18,22.0,-1.0,-1.0,-1.0,14.0,8.0,4.0,196.0,-1.0,2419.0,21510.0,Grenada,North America,186.0,112461.0,0.0,,,
17,2020-05-19,22.0,-1.0,-1.0,-1.0,14.0,8.0,4.0,196.0,-1.0,2419.0,21509.0,Grenada,North America,186.0,112462.0,0.0,,,
18,2020-05-20,22.0,-1.0,-1.0,-1.0,14.0,8.0,4.0,196.0,-1.0,2419.0,21509.0,Grenada,North America,187.0,112464.0,0.0,,,
19,2020-05-21,22.0,-1.0,-1.0,-1.0,17.0,5.0,4.0,196.0,-1.0,3007.0,26737.0,Grenada,North America,187.0,112465.0,0.0,,,
20,2020-05-22,22.0,-1.0,-1.0,-1.0,17.0,5.0,4.0,196.0,-1.0,3007.0,26737.0,Grenada,North America,187.0,112466.0,0.0,,,
21,2020-05-23,22.0,-1.0,-1.0,-1.0,17.0,5.0,4.0,196.0,-1.0,3007.0,26736.0,Grenada,North America,188.0,112468.0,0.0,,,
22,2020-05-24,22.0,-1.0,-1.0,-1.0,17.0,5.0,4.0,196.0,-1.0,3007.0,26736.0,Grenada,North America,188.0,112469.0,0.0,,,
23,2020-05-25,22.0,-1.0,-1.0,-1.0,17.0,5.0,4.0,196.0,-1.0,3007.0,26736.0,Grenada,North America,188.0,112471.0,0.0,,,
24,2020-05-26,23.0,-1.0,-1.0,-1.0,18.0,5.0,4.0,204.0,-1.0,3007.0,26736.0,Grenada,North America,188.0,112472.0,0.0,,,
25,2020-05-27,23.0,-1.0,-1.0,-1.0,18.0,5.0,4.0,204.0,-1.0,3007.0,26735.0,Grenada,North America,188.0,112475.0,0.0,,,
26,2020-05-28,23.0,-1.0,-1.0,-1.0,18.0,5.0,4.0,204.0,-1.0,3007.0,26735.0,Grenada,North America,189.0,112475.0,0.0,,,
27,2020-05-29,23.0,-1.0,-1.0,-1.0,18.0,5.0,4.0,204.0,-1.0,3007.0,26735.0,Grenada,North America,189.0,112476.0,0.0,,,
28,2020-05-30,23.0,-1.0,-1.0,-1.0,18.0,5.0,4.0,204.0,-1.0,3007.0,26734.0,Grenada,North America,189.0,112478.0,0.0,,,
29,2020-05-31,23.0,-1.0,-1.0,-1.0,18.0,5.0,4.0,204.0,-1.0,3007.0,26734.0,Grenada,North America,190.0,112479.0,0.0,,,
30,2020-06-01,23.0,-1.0,-1.0,-1.0,18.0,5.0,2.0,204.0,-1.0,3516.0,31259.0,Grenada,North America,191.0,112481.0,0.0,,,
31,2020-06-02,23.0,-1.0,-1.0,-1.0,18.0,5.0,2.0,204.0,-1.0,3516.0,31258.0,Grenada,North America,191.0,112482.0,-1.0,4891.0,-1.0,32.0
32,2020-06-03,23.0,-1.0,-1.0,-1.0,18.0,5.0,2.0,204.0,-1.0,3516.0,31258.0,Grenada,North America,191.0,112483.0,-1.0,4891.0,-1.0,32.0
33,2020-06-04,23.0,-1.0,-1.0,-1.0,18.0,5.0,2.0,204.0,-1.0,3516.0,31258.0,Grenada,North America,191.0,112485.0,-1.0,4891.0,-1.0,32.0
34,2020-06-05,23.0,-1.0,-1.0,-1.0,22.0,1.0,2.0,204.0,-1.0,3516.0,31257.0,Grenada,North America,191.0,112486.0,4.0,4891.0,-1.0,32.0
35,2020-06-06,23.0,-1.0,-1.0,-1.0,22.0,1.0,2.0,204.0,-1.0,3516.0,31257.0,Grenada,North America,191.0,112488.0,-1.0,4891.0,-1.0,32.0
36,2020-06-07,23.0,-1.0,-1.0,-1.0,22.0,1.0,2.0,204.0,-1.0,3516.0,31256.0,Grenada,North America,191.0,112489.0,-1.0,4891.0,-1.0,32.0
37,2020-06-08,23.0,-1.0,-1.0,-1.0,22.0,1.0,2.0,204.0,-1.0,3516.0,31256.0,Grenada,North America,191.0,112491.0,-1.0,4891.0,-1.0,32.0
38,2020-06-09,23.0,-1.0,-1.0,-1.0,22.0,1.0,1.0,204.0,-1.0,4130.0,36714.0,Grenada,North America,191.0,112492.0,-1.0,4891.0,-1.0,27.0
39,2020-06-10,23.0,-1.0,-1.0,-1.0,22.0,1.0,1.0,204.0,-1.0,4130.0,36713.0,Grenada,North America,191.0,112493.0,-1.0,4891.0,-1.0,27.0
