,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,152.0,-1.0,12.0,-1.0,95.0,45.0,6.0,380.0,30.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
1,2020-05-03,152.0,-1.0,12.0,-1.0,95.0,45.0,6.0,380.0,30.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
2,2020-05-04,152.0,-1.0,12.0,-1.0,98.0,42.0,5.0,380.0,30.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
3,2020-05-05,152.0,-1.0,12.0,-1.0,98.0,42.0,5.0,380.0,30.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
4,2020-05-06,152.0,-1.0,13.0,1.0,104.0,35.0,4.0,380.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
5,2020-05-07,152.0,-1.0,13.0,-1.0,104.0,35.0,4.0,380.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
6,2020-05-08,154.0,-1.0,13.0,-1.0,104.0,37.0,4.0,385.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
7,2020-05-09,154.0,-1.0,13.0,-1.0,104.0,37.0,4.0,385.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
8,2020-05-10,154.0,-1.0,13.0,-1.0,104.0,37.0,4.0,385.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
9,2020-05-11,154.0,-1.0,13.0,-1.0,104.0,37.0,4.0,385.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
10,2020-05-12,154.0,-1.0,13.0,-1.0,104.0,37.0,4.0,385.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
11,2020-05-13,155.0,-1.0,13.0,-1.0,109.0,33.0,4.0,387.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
12,2020-05-14,155.0,-1.0,13.0,-1.0,109.0,33.0,4.0,387.0,32.0,-1.0,-1.0,Guadeloupe,North America,,,0.0,,,
13,2020-05-15,155.0,-1.0,13.0,-1.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,Guadeloupe,North America,152.0,400115.0,0.0,,,
14,2020-05-16,155.0,-1.0,13.0,-1.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,Guadeloupe,North America,153.0,400116.0,0.0,,,
15,2020-05-17,155.0,-1.0,13.0,-1.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,Guadeloupe,North America,153.0,400116.0,0.0,,,
16,2020-05-18,155.0,-1.0,13.0,-1.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,Guadeloupe,North America,153.0,400116.0,0.0,,,
17,2020-05-19,155.0,-1.0,13.0,-1.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,Guadeloupe,North America,153.0,400116.0,0.0,,,
18,2020-05-20,155.0,-1.0,13.0,-1.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,Guadeloupe,North America,155.0,400116.0,0.0,,,
19,2020-05-21,155.0,-1.0,13.0,-1.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,Guadeloupe,North America,156.0,400117.0,0.0,,,
20,2020-05-22,155.0,-1.0,13.0,-1.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,Guadeloupe,North America,156.0,400117.0,0.0,,,
21,2020-05-23,156.0,-1.0,13.0,-1.0,115.0,28.0,3.0,390.0,32.0,3573.0,8930.0,Guadeloupe,North America,156.0,400117.0,0.0,,,
22,2020-05-24,156.0,-1.0,13.0,-1.0,115.0,28.0,3.0,390.0,32.0,3573.0,8930.0,Guadeloupe,North America,157.0,400117.0,0.0,,,
23,2020-05-25,161.0,-1.0,14.0,-1.0,115.0,32.0,3.0,402.0,35.0,3573.0,8930.0,Guadeloupe,North America,157.0,400117.0,0.0,,,
24,2020-05-26,161.0,-1.0,14.0,-1.0,115.0,32.0,3.0,402.0,35.0,3573.0,8930.0,Guadeloupe,North America,157.0,400117.0,0.0,,,
25,2020-05-27,161.0,-1.0,14.0,-1.0,115.0,32.0,3.0,402.0,35.0,3573.0,8930.0,Guadeloupe,North America,157.0,400118.0,0.0,,,
26,2020-05-28,161.0,-1.0,14.0,-1.0,115.0,32.0,3.0,402.0,35.0,3573.0,8930.0,Guadeloupe,North America,158.0,400118.0,0.0,,,
27,2020-05-29,161.0,-1.0,14.0,-1.0,115.0,32.0,3.0,402.0,35.0,3573.0,8930.0,Guadeloupe,North America,159.0,400118.0,0.0,,,
28,2020-05-30,162.0,-1.0,14.0,-1.0,138.0,10.0,1.0,405.0,35.0,4137.0,10339.0,Guadeloupe,North America,160.0,400118.0,0.0,,,
29,2020-05-31,162.0,-1.0,14.0,-1.0,138.0,10.0,1.0,405.0,35.0,4137.0,10339.0,Guadeloupe,North America,161.0,400118.0,0.0,,,
30,2020-06-01,162.0,-1.0,14.0,-1.0,138.0,10.0,1.0,405.0,35.0,4137.0,10339.0,Guadeloupe,North America,161.0,400119.0,0.0,,,
31,2020-06-02,162.0,-1.0,14.0,-1.0,138.0,10.0,1.0,405.0,35.0,4137.0,10339.0,Guadeloupe,North America,162.0,400119.0,-1.0,2470.0,28580.0,97.0
32,2020-06-03,162.0,-1.0,14.0,-1.0,138.0,10.0,1.0,405.0,35.0,4137.0,10339.0,Guadeloupe,North America,162.0,400119.0,-1.0,2470.0,28580.0,97.0
33,2020-06-04,162.0,-1.0,14.0,-1.0,138.0,10.0,1.0,405.0,35.0,4137.0,10339.0,Guadeloupe,North America,162.0,400119.0,-1.0,2470.0,28580.0,97.0
34,2020-06-05,164.0,2.0,14.0,-1.0,144.0,6.0,1.0,410.0,35.0,4975.0,12434.0,Guadeloupe,North America,162.0,400119.0,6.0,2440.0,28580.0,80.0
35,2020-06-06,164.0,-1.0,14.0,-1.0,144.0,6.0,1.0,410.0,35.0,4975.0,12434.0,Guadeloupe,North America,162.0,400120.0,-1.0,2440.0,28580.0,80.0
36,2020-06-07,164.0,-1.0,14.0,-1.0,144.0,6.0,1.0,410.0,35.0,4975.0,12434.0,Guadeloupe,North America,162.0,400120.0,-1.0,2440.0,28580.0,80.0
37,2020-06-08,164.0,-1.0,14.0,-1.0,144.0,6.0,1.0,410.0,35.0,4975.0,12434.0,Guadeloupe,North America,163.0,400120.0,-1.0,2440.0,28580.0,80.0
38,2020-06-09,164.0,-1.0,14.0,-1.0,144.0,6.0,1.0,410.0,35.0,4975.0,12434.0,Guadeloupe,North America,163.0,400120.0,-1.0,2440.0,28580.0,80.0
39,2020-06-10,164.0,-1.0,14.0,-1.0,144.0,6.0,1.0,410.0,35.0,4975.0,12434.0,Guadeloupe,North America,163.0,400120.0,-1.0,2440.0,28580.0,80.0
40,2020-06-11,164.0,-1.0,14.0,-1.0,144.0,6.0,1.0,410.0,35.0,4975.0,12434.0,Guadeloupe,North America,163.0,400120.0,-1.0,2440.0,28580.0,80.0
41,2020-06-12,171.0,7.0,14.0,-1.0,157.0,0.0,1.0,427.0,35.0,5691.0,14223.0,Guadeloupe,North America,164.0,400121.0,13.0,2340.0,28580.0,70.0
42,2020-06-13,171.0,-1.0,14.0,-1.0,157.0,0.0,-1.0,427.0,35.0,5691.0,14223.0,Guadeloupe,North America,165.0,400121.0,-1.0,2340.0,28580.0,70.0
43,2020-06-14,171.0,-1.0,14.0,-1.0,157.0,0.0,-1.0,427.0,35.0,5691.0,14223.0,Guadeloupe,North America,166.0,400121.0,-1.0,2340.0,28580.0,70.0
44,2020-06-15,171.0,-1.0,14.0,-1.0,157.0,0.0,-1.0,427.0,35.0,5691.0,14223.0,Guadeloupe,North America,166.0,400121.0,-1.0,2340.0,28580.0,70.0
45,2020-06-16,171.0,-1.0,14.0,-1.0,157.0,0.0,-1.0,427.0,35.0,5691.0,14223.0,Guadeloupe,North America,166.0,400121.0,-1.0,2340.0,28580.0,70.0
46,2020-06-17,171.0,-1.0,14.0,-1.0,157.0,0.0,-1.0,427.0,35.0,5691.0,14223.0,Guadeloupe,North America,166.0,400122.0,-1.0,2340.0,28580.0,70.0
47,2020-06-18,171.0,-1.0,14.0,-1.0,157.0,0.0,-1.0,427.0,35.0,5691.0,14223.0,Guadeloupe,North America,167.0,400122.0,-1.0,2340.0,28580.0,70.0
48,2020-06-19,171.0,-1.0,14.0,-1.0,157.0,0.0,-1.0,427.0,35.0,5691.0,14223.0,Guadeloupe,North America,168.0,400122.0,-1.0,2340.0,28580.0,70.0
49,2020-06-20,174.0,-1.0,14.0,-1.0,157.0,3.0,-1.0,435.0,35.0,6900.0,17245.0,Guadeloupe,North America,168.0,400122.0,-1.0,2300.0,28580.0,58.0
50,2020-06-21,174.0,-1.0,14.0,-1.0,157.0,3.0,-1.0,435.0,35.0,6900.0,17245.0,Guadeloupe,North America,168.0,400122.0,-1.0,2300.0,28580.0,58.0
51,2020-06-22,174.0,-1.0,14.0,-1.0,157.0,3.0,-1.0,435.0,35.0,6900.0,17245.0,Guadeloupe,North America,168.0,400123.0,-1.0,2300.0,28580.0,58.0
52,2020-06-23,174.0,-1.0,14.0,-1.0,157.0,3.0,-1.0,435.0,35.0,6900.0,17245.0,Guadeloupe,North America,168.0,400123.0,-1.0,2300.0,28580.0,58.0
53,2020-06-24,174.0,-1.0,14.0,-1.0,157.0,3.0,-1.0,435.0,35.0,6900.0,17245.0,Guadeloupe,North America,168.0,400123.0,-1.0,2300.0,28580.0,58.0
54,2020-06-25,174.0,-1.0,14.0,-1.0,157.0,3.0,-1.0,435.0,35.0,6900.0,17245.0,Guadeloupe,North America,168.0,400123.0,-1.0,2300.0,28580.0,58.0
55,2020-06-26,174.0,-1.0,14.0,-1.0,157.0,3.0,-1.0,435.0,35.0,6900.0,17245.0,Guadeloupe,North America,168.0,400123.0,-1.0,2300.0,28580.0,58.0
56,2020-06-27,182.0,-1.0,14.0,-1.0,157.0,11.0,2.0,455.0,35.0,8239.0,20591.0,Guadeloupe,North America,167.0,400123.0,-1.0,2198.0,28580.0,49.0
57,2020-06-28,182.0,-1.0,14.0,-1.0,157.0,11.0,2.0,455.0,35.0,8239.0,20591.0,Guadeloupe,North America,169.0,400124.0,-1.0,2198.0,28580.0,49.0
58,2020-06-29,182.0,-1.0,14.0,-1.0,157.0,11.0,2.0,455.0,35.0,8239.0,20591.0,Guadeloupe,North America,169.0,400124.0,-1.0,2198.0,28580.0,49.0
59,2020-06-30,182.0,-1.0,14.0,-1.0,157.0,11.0,2.0,455.0,35.0,8239.0,20591.0,Guadeloupe,North America,170.0,400124.0,-1.0,2198.0,28580.0,49.0
60,2020-07-01,182.0,-1.0,14.0,-1.0,157.0,11.0,2.0,455.0,35.0,8239.0,20591.0,Guadeloupe,North America,170.0,400124.0,-1.0,2198.0,28580.0,49.0
61,2020-07-02,182.0,-1.0,14.0,-1.0,157.0,11.0,2.0,455.0,35.0,8239.0,20591.0,Guadeloupe,North America,170.0,400124.0,-1.0,2198.0,28580.0,49.0
62,2020-07-03,184.0,2.0,14.0,-1.0,157.0,13.0,4.0,460.0,35.0,9649.0,24115.0,Guadeloupe,North America,170.0,400125.0,-1.0,2175.0,28580.0,41.0
63,2020-07-04,184.0,-1.0,14.0,-1.0,157.0,13.0,4.0,460.0,35.0,9649.0,24115.0,Guadeloupe,North America,171.0,400125.0,-1.0,2175.0,28580.0,41.0
64,2020-07-05,184.0,-1.0,14.0,-1.0,157.0,13.0,4.0,460.0,35.0,9649.0,24115.0,Guadeloupe,North America,171.0,400125.0,-1.0,2175.0,28580.0,41.0
65,2020-07-06,184.0,-1.0,14.0,-1.0,157.0,13.0,4.0,460.0,35.0,9649.0,24115.0,Guadeloupe,North America,171.0,400125.0,-1.0,2175.0,28580.0,41.0
66,2020-07-07,184.0,-1.0,14.0,-1.0,157.0,13.0,4.0,460.0,35.0,9649.0,24115.0,Guadeloupe,North America,171.0,400125.0,-1.0,2175.0,28580.0,41.0
67,2020-07-08,184.0,-1.0,14.0,-1.0,157.0,13.0,4.0,460.0,35.0,9649.0,24115.0,Guadeloupe,North America,171.0,400125.0,-1.0,2175.0,28580.0,41.0
68,2020-07-09,184.0,-1.0,14.0,-1.0,157.0,13.0,4.0,460.0,35.0,9649.0,24115.0,Guadeloupe,North America,171.0,400126.0,-1.0,2175.0,28580.0,41.0
69,2020-07-10,190.0,6.0,14.0,-1.0,157.0,19.0,4.0,475.0,35.0,11538.0,28836.0,Guadeloupe,North America,170.0,400126.0,-1.0,2106.0,28580.0,35.0
70,2020-07-11,190.0,-1.0,14.0,-1.0,157.0,19.0,4.0,475.0,35.0,11538.0,28836.0,Guadeloupe,North America,170.0,400126.0,-1.0,2106.0,28580.0,35.0
71,2020-07-12,190.0,-1.0,14.0,-1.0,157.0,19.0,4.0,475.0,35.0,11538.0,28836.0,Guadeloupe,North America,171.0,400126.0,-1.0,2106.0,28580.0,35.0
72,2020-07-13,190.0,-1.0,14.0,-1.0,157.0,19.0,4.0,475.0,35.0,11538.0,28836.0,Guadeloupe,North America,171.0,400126.0,-1.0,2106.0,28580.0,35.0
73,2020-07-14,190.0,-1.0,14.0,-1.0,157.0,19.0,4.0,475.0,35.0,11538.0,28836.0,Guadeloupe,North America,171.0,400127.0,-1.0,2106.0,28581.0,35.0
