,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,644.0,45.0,16.0,-1.0,72.0,556.0,5.0,36.0,0.9,7200.0,402.0,Guatemala,North America,,,0.0,,,
1,2020-05-03,688.0,44.0,17.0,1.0,72.0,599.0,5.0,38.0,0.9,7200.0,402.0,Guatemala,North America,,,0.0,,,
2,2020-05-04,703.0,15.0,17.0,-1.0,72.0,614.0,5.0,39.0,0.9,7200.0,402.0,Guatemala,North America,,,0.0,,,
3,2020-05-05,730.0,-1.0,19.0,-1.0,79.0,632.0,5.0,41.0,1.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
4,2020-05-06,763.0,33.0,19.0,-1.0,79.0,665.0,5.0,43.0,1.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
5,2020-05-07,798.0,35.0,21.0,2.0,86.0,691.0,5.0,45.0,1.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
6,2020-05-08,900.0,68.0,24.0,1.0,101.0,775.0,5.0,50.0,1.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
7,2020-05-09,900.0,-1.0,24.0,-1.0,101.0,775.0,5.0,50.0,1.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
8,2020-05-10,967.0,67.0,24.0,-1.0,104.0,839.0,5.0,54.0,1.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
9,2020-05-11,1052.0,85.0,26.0,2.0,110.0,916.0,5.0,59.0,1.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
10,2020-05-12,1114.0,62.0,26.0,-1.0,111.0,977.0,5.0,62.0,1.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
11,2020-05-13,1199.0,85.0,27.0,1.0,120.0,1052.0,5.0,67.0,2.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
12,2020-05-14,1342.0,143.0,29.0,2.0,121.0,1192.0,5.0,75.0,2.0,7200.0,402.0,Guatemala,North America,,,0.0,,,
13,2020-05-15,1518.0,176.0,29.0,-1.0,129.0,1360.0,5.0,85.0,2.0,7200.0,403.0,Guatemala,North America,85.0,17870731.0,0.0,,,
14,2020-05-16,1643.0,125.0,30.0,1.0,135.0,1478.0,5.0,92.0,2.0,7200.0,403.0,Guatemala,North America,84.0,17871637.0,0.0,,,
15,2020-05-17,1763.0,120.0,33.0,3.0,138.0,1592.0,5.0,99.0,2.0,7200.0,403.0,Guatemala,North America,84.0,17872544.0,0.0,,,
16,2020-05-18,1912.0,149.0,35.0,2.0,138.0,1739.0,5.0,107.0,2.0,20820.0,1165.0,Guatemala,North America,80.0,17873451.0,0.0,,,
