,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,257.0,-1.0,1.0,-1.0,19.0,237.0,-1.0,131.0,0.5,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
1,2020-05-03,257.0,-1.0,1.0,-1.0,19.0,237.0,-1.0,131.0,0.5,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
2,2020-05-04,413.0,156.0,1.0,-1.0,19.0,393.0,-1.0,210.0,0.5,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
3,2020-05-05,413.0,-1.0,1.0,-1.0,19.0,393.0,-1.0,210.0,0.5,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
4,2020-05-06,475.0,62.0,2.0,1.0,24.0,449.0,-1.0,241.0,1.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
5,2020-05-07,564.0,89.0,2.0,-1.0,25.0,537.0,-1.0,287.0,1.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
6,2020-05-08,594.0,-1.0,2.0,-1.0,25.0,567.0,-1.0,302.0,1.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
7,2020-05-09,641.0,-1.0,3.0,-1.0,25.0,613.0,-1.0,326.0,2.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
8,2020-05-10,726.0,85.0,3.0,-1.0,26.0,697.0,-1.0,369.0,2.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
9,2020-05-11,726.0,-1.0,3.0,-1.0,26.0,697.0,-1.0,369.0,2.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
10,2020-05-12,761.0,-1.0,3.0,-1.0,26.0,732.0,-1.0,387.0,2.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
11,2020-05-13,820.0,-1.0,3.0,-1.0,26.0,791.0,-1.0,417.0,2.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
12,2020-05-14,836.0,-1.0,3.0,-1.0,26.0,807.0,-1.0,425.0,2.0,1500.0,762.0,Guinea-Bissau,Africa,,,0.0,,,
13,2020-05-15,913.0,-1.0,3.0,-1.0,26.0,884.0,-1.0,465.0,2.0,1500.0,765.0,Guinea-Bissau,Africa,103.0,1961573.0,0.0,,,
14,2020-05-16,913.0,-1.0,3.0,-1.0,26.0,884.0,-1.0,465.0,2.0,1500.0,765.0,Guinea-Bissau,Africa,104.0,1961700.0,0.0,,,
15,2020-05-17,969.0,-1.0,4.0,-1.0,26.0,939.0,-1.0,494.0,2.0,1500.0,765.0,Guinea-Bissau,Africa,102.0,1961828.0,0.0,,,
16,2020-05-18,990.0,-1.0,4.0,-1.0,26.0,960.0,-1.0,505.0,2.0,1500.0,765.0,Guinea-Bissau,Africa,102.0,1961955.0,0.0,,,
