,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1537.0,-1.0,7.0,-1.0,342.0,1188.0,-1.0,117.0,0.5,-1.0,-1.0,Guinea,Africa,,,0.0,,,
1,2020-05-03,1586.0,-1.0,7.0,-1.0,405.0,1174.0,-1.0,121.0,0.5,-1.0,-1.0,Guinea,Africa,,,0.0,,,
2,2020-05-04,1710.0,124.0,9.0,2.0,450.0,1251.0,-1.0,130.0,0.7,-1.0,-1.0,Guinea,Africa,,,0.0,,,
3,2020-05-05,1811.0,-1.0,10.0,-1.0,498.0,1303.0,-1.0,138.0,0.8,-1.0,-1.0,Guinea,Africa,,,0.0,,,
4,2020-05-06,1811.0,-1.0,10.0,-1.0,498.0,1303.0,-1.0,138.0,0.8,-1.0,-1.0,Guinea,Africa,,,0.0,,,
5,2020-05-07,1927.0,71.0,11.0,-1.0,629.0,1287.0,-1.0,147.0,0.8,-1.0,-1.0,Guinea,Africa,,,0.0,,,
6,2020-05-08,2009.0,-1.0,11.0,-1.0,663.0,1335.0,-1.0,153.0,0.8,-1.0,-1.0,Guinea,Africa,,,0.0,,,
7,2020-05-09,2042.0,-1.0,11.0,-1.0,698.0,1333.0,-1.0,155.0,0.8,-1.0,-1.0,Guinea,Africa,,,0.0,,,
8,2020-05-10,2042.0,-1.0,11.0,-1.0,698.0,1333.0,-1.0,155.0,0.8,-1.0,-1.0,Guinea,Africa,,,0.0,,,
9,2020-05-11,2146.0,-1.0,11.0,-1.0,714.0,1421.0,-1.0,163.0,0.8,-1.0,-1.0,Guinea,Africa,,,0.0,,,
10,2020-05-12,2298.0,152.0,11.0,-1.0,816.0,1471.0,-1.0,175.0,0.8,-1.0,-1.0,Guinea,Africa,,,0.0,,,
11,2020-05-13,2374.0,76.0,14.0,3.0,856.0,1504.0,-1.0,181.0,1.0,-1.0,-1.0,Guinea,Africa,,,0.0,,,
12,2020-05-14,2374.0,-1.0,14.0,-1.0,856.0,1504.0,-1.0,181.0,1.0,-1.0,-1.0,Guinea,Africa,,,0.0,,,
13,2020-05-15,2473.0,-1.0,15.0,-1.0,895.0,1563.0,18.0,189.0,1.0,10304.0,788.0,Guinea,Africa,72.0,13082852.0,0.0,,,
14,2020-05-16,2658.0,185.0,16.0,1.0,1133.0,1509.0,18.0,203.0,1.0,10304.0,788.0,Guinea,Africa,72.0,13083829.0,0.0,,,
15,2020-05-17,2658.0,-1.0,16.0,-1.0,1133.0,1509.0,18.0,203.0,1.0,10304.0,787.0,Guinea,Africa,72.0,13084805.0,0.0,,,
16,2020-05-18,2658.0,-1.0,16.0,-1.0,1133.0,1509.0,18.0,203.0,1.0,10304.0,787.0,Guinea,Africa,72.0,13085782.0,0.0,,,
17,2020-05-19,2796.0,-1.0,16.0,-1.0,1263.0,1517.0,18.0,214.0,1.0,10304.0,787.0,Guinea,Africa,73.0,13086759.0,0.0,,,
18,2020-05-20,2863.0,-1.0,18.0,-1.0,1525.0,1320.0,18.0,219.0,1.0,10304.0,787.0,Guinea,Africa,72.0,13087736.0,0.0,,,
19,2020-05-21,3067.0,204.0,18.0,-1.0,1575.0,1474.0,18.0,234.0,1.0,10304.0,787.0,Guinea,Africa,71.0,13088713.0,0.0,,,
20,2020-05-22,3067.0,-1.0,18.0,-1.0,1575.0,1474.0,18.0,234.0,1.0,10304.0,787.0,Guinea,Africa,71.0,13089690.0,0.0,,,
21,2020-05-23,3067.0,-1.0,19.0,-1.0,1575.0,1473.0,24.0,234.0,1.0,13726.0,1049.0,Guinea,Africa,72.0,13090666.0,0.0,,,
