,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,82.0,-1.0,9.0,-1.0,22.0,51.0,2.0,104.0,11.0,579.0,736.0,Guyana,South America,,,0.0,,,
1,2020-05-03,82.0,-1.0,9.0,-1.0,22.0,51.0,2.0,104.0,11.0,579.0,736.0,Guyana,South America,,,0.0,,,
2,2020-05-04,92.0,10.0,9.0,-1.0,27.0,56.0,3.0,117.0,11.0,579.0,736.0,Guyana,South America,,,0.0,,,
3,2020-05-05,92.0,-1.0,9.0,-1.0,27.0,56.0,3.0,117.0,11.0,579.0,736.0,Guyana,South America,,,0.0,,,
4,2020-05-06,93.0,1.0,10.0,1.0,27.0,56.0,3.0,118.0,13.0,680.0,865.0,Guyana,South America,,,0.0,,,
5,2020-05-07,93.0,-1.0,10.0,-1.0,27.0,56.0,3.0,118.0,13.0,714.0,908.0,Guyana,South America,,,0.0,,,
6,2020-05-08,94.0,-1.0,10.0,-1.0,35.0,49.0,3.0,120.0,13.0,785.0,998.0,Guyana,South America,,,0.0,,,
7,2020-05-09,94.0,-1.0,10.0,-1.0,35.0,49.0,3.0,120.0,13.0,785.0,998.0,Guyana,South America,,,0.0,,,
8,2020-05-10,97.0,3.0,10.0,-1.0,35.0,52.0,5.0,123.0,13.0,852.0,1083.0,Guyana,South America,,,0.0,,,
9,2020-05-11,104.0,-1.0,10.0,-1.0,35.0,59.0,6.0,132.0,13.0,914.0,1162.0,Guyana,South America,,,0.0,,,
10,2020-05-12,109.0,-1.0,10.0,-1.0,36.0,63.0,6.0,139.0,13.0,930.0,1182.0,Guyana,South America,,,0.0,,,
11,2020-05-13,113.0,-1.0,10.0,-1.0,39.0,64.0,6.0,144.0,13.0,986.0,1254.0,Guyana,South America,,,0.0,,,
12,2020-05-14,113.0,-1.0,10.0,-1.0,41.0,62.0,3.0,144.0,13.0,1020.0,1297.0,Guyana,South America,,,0.0,,,
13,2020-05-15,113.0,-1.0,10.0,-1.0,42.0,61.0,3.0,144.0,13.0,1052.0,1338.0,Guyana,South America,160.0,786067.0,0.0,,,
14,2020-05-16,116.0,-1.0,10.0,-1.0,43.0,63.0,3.0,148.0,13.0,1065.0,1355.0,Guyana,South America,161.0,786077.0,0.0,,,
15,2020-05-17,117.0,-1.0,10.0,-1.0,43.0,64.0,2.0,149.0,13.0,1089.0,1385.0,Guyana,South America,161.0,786088.0,0.0,,,
16,2020-05-18,117.0,-1.0,10.0,-1.0,43.0,64.0,2.0,149.0,13.0,1089.0,1385.0,Guyana,South America,161.0,786098.0,0.0,,,
17,2020-05-19,124.0,-1.0,10.0,-1.0,45.0,69.0,3.0,158.0,13.0,1218.0,1549.0,Guyana,South America,160.0,786108.0,0.0,,,
18,2020-05-20,125.0,-1.0,10.0,-1.0,46.0,69.0,3.0,159.0,13.0,1269.0,1614.0,Guyana,South America,161.0,786119.0,0.0,,,
19,2020-05-21,127.0,2.0,10.0,-1.0,57.0,60.0,3.0,162.0,13.0,1329.0,1691.0,Guyana,South America,161.0,786129.0,0.0,,,
20,2020-05-22,127.0,-1.0,10.0,-1.0,57.0,60.0,3.0,162.0,13.0,1329.0,1691.0,Guyana,South America,162.0,786139.0,0.0,,,
21,2020-05-23,127.0,-1.0,10.0,-1.0,57.0,60.0,3.0,162.0,13.0,1366.0,1738.0,Guyana,South America,163.0,786150.0,0.0,,,
22,2020-05-24,127.0,-1.0,10.0,-1.0,58.0,59.0,4.0,162.0,13.0,1401.0,1782.0,Guyana,South America,163.0,786160.0,0.0,,,
23,2020-05-25,135.0,-1.0,10.0,-1.0,62.0,63.0,2.0,172.0,13.0,1457.0,1853.0,Guyana,South America,161.0,786170.0,0.0,,,
24,2020-05-26,137.0,-1.0,11.0,-1.0,62.0,64.0,2.0,174.0,14.0,1489.0,1894.0,Guyana,South America,161.0,786181.0,0.0,,,
25,2020-05-27,139.0,-1.0,11.0,-1.0,67.0,61.0,2.0,177.0,14.0,1500.0,1908.0,Guyana,South America,162.0,786201.0,0.0,,,
26,2020-05-28,139.0,-1.0,11.0,-1.0,67.0,61.0,2.0,177.0,14.0,1500.0,1908.0,Guyana,South America,163.0,786201.0,0.0,,,
27,2020-05-29,150.0,-1.0,11.0,-1.0,67.0,72.0,2.0,191.0,14.0,1559.0,1983.0,Guyana,South America,161.0,786212.0,0.0,,,
28,2020-05-30,150.0,-1.0,12.0,1.0,67.0,71.0,2.0,191.0,15.0,1586.0,2017.0,Guyana,South America,162.0,786222.0,0.0,,,
29,2020-05-31,152.0,-1.0,12.0,-1.0,67.0,73.0,2.0,193.0,15.0,1604.0,2040.0,Guyana,South America,162.0,786232.0,0.0,,,
30,2020-06-01,153.0,-1.0,12.0,-1.0,70.0,71.0,2.0,195.0,15.0,1618.0,2058.0,Guyana,South America,163.0,786243.0,0.0,,,
31,2020-06-02,153.0,-1.0,12.0,-1.0,70.0,71.0,2.0,195.0,15.0,1658.0,2109.0,Guyana,South America,163.0,786253.0,-1.0,5139.0,65521.0,474.0
32,2020-06-03,153.0,-1.0,12.0,-1.0,70.0,71.0,2.0,195.0,15.0,1658.0,2109.0,Guyana,South America,163.0,786264.0,-1.0,5139.0,65522.0,474.0
33,2020-06-04,153.0,-1.0,12.0,-1.0,70.0,71.0,2.0,195.0,15.0,1699.0,2161.0,Guyana,South America,164.0,786274.0,-1.0,5139.0,65523.0,463.0
34,2020-06-05,153.0,-1.0,12.0,-1.0,77.0,64.0,3.0,195.0,15.0,1719.0,2186.0,Guyana,South America,164.0,786284.0,-1.0,5139.0,65524.0,457.0
35,2020-06-06,153.0,-1.0,12.0,-1.0,77.0,64.0,3.0,195.0,15.0,1719.0,2186.0,Guyana,South America,164.0,786295.0,-1.0,5139.0,65525.0,457.0
36,2020-06-07,154.0,-1.0,12.0,-1.0,80.0,62.0,3.0,196.0,15.0,1797.0,2285.0,Guyana,South America,164.0,786305.0,-1.0,5106.0,65525.0,438.0
37,2020-06-08,154.0,-1.0,12.0,-1.0,80.0,62.0,3.0,196.0,15.0,1808.0,2299.0,Guyana,South America,164.0,786315.0,-1.0,5106.0,65526.0,435.0
38,2020-06-09,156.0,2.0,23.0,11.0,86.0,47.0,2.0,198.0,29.0,1854.0,2358.0,Guyana,South America,164.0,786326.0,2.0,5041.0,34188.0,424.0
39,2020-06-10,156.0,-1.0,12.0,-1.0,92.0,52.0,1.0,198.0,15.0,1876.0,2386.0,Guyana,South America,165.0,786336.0,6.0,5041.0,65528.0,419.0
40,2020-06-11,158.0,2.0,12.0,-1.0,92.0,54.0,1.0,201.0,15.0,1920.0,2442.0,Guyana,South America,166.0,786346.0,-1.0,4977.0,65529.0,410.0
41,2020-06-12,158.0,-1.0,12.0,-1.0,92.0,54.0,1.0,201.0,15.0,1920.0,2442.0,Guyana,South America,167.0,786357.0,-1.0,4977.0,65530.0,410.0
