,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,85.0,-1.0,8.0,-1.0,10.0,67.0,-1.0,7.0,0.7,848.0,74.0,Haiti,North America,,,0.0,,,
1,2020-05-03,85.0,-1.0,8.0,-1.0,10.0,67.0,-1.0,7.0,0.7,935.0,82.0,Haiti,North America,,,0.0,,,
2,2020-05-04,100.0,15.0,11.0,3.0,10.0,79.0,-1.0,9.0,1.0,1026.0,90.0,Haiti,North America,,,0.0,,,
3,2020-05-05,101.0,-1.0,12.0,-1.0,10.0,79.0,-1.0,9.0,1.0,1037.0,91.0,Haiti,North America,,,0.0,,,
4,2020-05-06,101.0,-1.0,12.0,-1.0,10.0,79.0,-1.0,9.0,1.0,1037.0,91.0,Haiti,North America,,,0.0,,,
5,2020-05-07,129.0,28.0,12.0,-1.0,16.0,101.0,-1.0,11.0,1.0,1142.0,100.0,Haiti,North America,,,0.0,,,
6,2020-05-08,146.0,-1.0,12.0,-1.0,17.0,117.0,-1.0,13.0,1.0,1145.0,100.0,Haiti,North America,,,0.0,,,
7,2020-05-09,151.0,-1.0,12.0,-1.0,17.0,122.0,-1.0,13.0,1.0,1160.0,102.0,Haiti,North America,,,0.0,,,
8,2020-05-10,151.0,-1.0,12.0,-1.0,17.0,122.0,-1.0,13.0,1.0,1160.0,102.0,Haiti,North America,,,0.0,,,
9,2020-05-11,182.0,-1.0,15.0,-1.0,17.0,150.0,-1.0,16.0,1.0,1296.0,114.0,Haiti,North America,,,0.0,,,
10,2020-05-12,209.0,27.0,16.0,1.0,17.0,176.0,-1.0,18.0,1.0,1296.0,114.0,Haiti,North America,,,0.0,,,
11,2020-05-13,219.0,10.0,18.0,2.0,17.0,184.0,-1.0,19.0,2.0,1296.0,114.0,Haiti,North America,,,0.0,,,
12,2020-05-14,234.0,15.0,18.0,-1.0,17.0,199.0,-1.0,21.0,2.0,1408.0,123.0,Haiti,North America,,,0.0,,,
13,2020-05-15,273.0,39.0,20.0,2.0,18.0,235.0,-1.0,24.0,2.0,1502.0,132.0,Haiti,North America,139.0,11384207.0,0.0,,,
14,2020-05-16,310.0,37.0,20.0,-1.0,29.0,261.0,-1.0,27.0,2.0,1669.0,147.0,Haiti,North America,137.0,11384587.0,0.0,,,
15,2020-05-17,358.0,-1.0,20.0,-1.0,29.0,309.0,-1.0,31.0,2.0,1669.0,147.0,Haiti,North America,131.0,11384967.0,0.0,,,
16,2020-05-18,456.0,-1.0,20.0,-1.0,21.0,415.0,-1.0,40.0,2.0,1669.0,147.0,Haiti,North America,127.0,11385346.0,0.0,,,
17,2020-05-19,533.0,-1.0,21.0,-1.0,21.0,491.0,-1.0,47.0,2.0,2120.0,186.0,Haiti,North America,124.0,11385726.0,0.0,,,
18,2020-05-20,596.0,63.0,22.0,1.0,21.0,553.0,-1.0,52.0,2.0,2270.0,199.0,Haiti,North America,121.0,11386106.0,0.0,,,
19,2020-05-21,663.0,67.0,22.0,-1.0,21.0,620.0,-1.0,58.0,2.0,2270.0,199.0,Haiti,North America,120.0,11386485.0,0.0,,,
20,2020-05-22,734.0,71.0,25.0,3.0,21.0,688.0,-1.0,64.0,2.0,2519.0,221.0,Haiti,North America,117.0,11386865.0,0.0,,,
21,2020-05-23,812.0,78.0,25.0,-1.0,22.0,765.0,-1.0,71.0,2.0,2582.0,227.0,Haiti,North America,115.0,11387245.0,0.0,,,
22,2020-05-24,865.0,53.0,26.0,1.0,22.0,817.0,-1.0,76.0,2.0,2718.0,239.0,Haiti,North America,113.0,11387625.0,0.0,,,
23,2020-05-25,958.0,93.0,27.0,1.0,22.0,909.0,-1.0,84.0,2.0,2718.0,239.0,Haiti,North America,109.0,11388004.0,0.0,,,
24,2020-05-26,1063.0,105.0,31.0,4.0,22.0,1010.0,-1.0,93.0,3.0,3328.0,292.0,Haiti,North America,105.0,11388384.0,0.0,,,
25,2020-05-27,1174.0,-1.0,33.0,-1.0,22.0,1119.0,-1.0,103.0,3.0,3475.0,305.0,Haiti,North America,102.0,11389143.0,0.0,,,
26,2020-05-28,1320.0,146.0,34.0,1.0,22.0,1264.0,-1.0,116.0,3.0,3475.0,305.0,Haiti,North America,100.0,11389143.0,0.0,,,
27,2020-05-29,1443.0,123.0,35.0,1.0,22.0,1386.0,-1.0,127.0,3.0,3475.0,305.0,Haiti,North America,100.0,11389523.0,0.0,,,
28,2020-05-30,1584.0,141.0,35.0,-1.0,22.0,1527.0,-1.0,139.0,3.0,4106.0,360.0,Haiti,North America,97.0,11389903.0,0.0,,,
29,2020-05-31,1865.0,281.0,41.0,6.0,24.0,1800.0,-1.0,164.0,4.0,4577.0,402.0,Haiti,North America,91.0,11390283.0,0.0,,,
30,2020-06-01,2124.0,259.0,44.0,3.0,24.0,2056.0,-1.0,186.0,4.0,5244.0,460.0,Haiti,North America,87.0,11390662.0,0.0,,,
31,2020-06-02,2226.0,102.0,45.0,1.0,24.0,2157.0,-1.0,195.0,4.0,5270.0,463.0,Haiti,North America,87.0,11391042.0,-1.0,5117.0,253134.0,2.0
32,2020-06-03,2507.0,281.0,48.0,3.0,24.0,2435.0,-1.0,220.0,4.0,5562.0,488.0,Haiti,North America,85.0,11391422.0,-1.0,4544.0,237321.0,2.0
33,2020-06-04,2640.0,133.0,50.0,2.0,24.0,2566.0,-1.0,232.0,4.0,5717.0,502.0,Haiti,North America,83.0,11391801.0,-1.0,4315.0,227836.0,1.0
34,2020-06-05,2640.0,-1.0,50.0,-1.0,24.0,2566.0,-1.0,232.0,4.0,5717.0,502.0,Haiti,North America,85.0,11392181.0,-1.0,4315.0,227844.0,1.0
35,2020-06-06,2924.0,184.0,50.0,-1.0,24.0,2850.0,-1.0,257.0,4.0,6626.0,582.0,Haiti,North America,84.0,11392561.0,-1.0,3896.0,227851.0,1.0
36,2020-06-07,3072.0,-1.0,50.0,-1.0,24.0,2998.0,-1.0,270.0,4.0,6626.0,582.0,Haiti,North America,82.0,11392941.0,-1.0,3709.0,227859.0,1.0
37,2020-06-08,3334.0,262.0,51.0,1.0,24.0,3259.0,-1.0,293.0,4.0,7357.0,646.0,Haiti,North America,80.0,11393320.0,-1.0,3417.0,223398.0,1.0
38,2020-06-09,3538.0,204.0,54.0,3.0,24.0,3460.0,-1.0,311.0,5.0,7451.0,654.0,Haiti,North America,80.0,11393700.0,-1.0,3220.0,210994.0,1.0
39,2020-06-10,3662.0,124.0,56.0,2.0,24.0,3582.0,-1.0,321.0,5.0,7619.0,669.0,Haiti,North America,80.0,11394080.0,-1.0,3111.0,203466.0,1.0
40,2020-06-11,3796.0,134.0,58.0,2.0,24.0,3714.0,-1.0,333.0,5.0,7906.0,694.0,Haiti,North America,80.0,11394459.0,-1.0,3002.0,196456.0,1.0
41,2020-06-12,3941.0,145.0,64.0,6.0,24.0,3853.0,-1.0,346.0,6.0,8081.0,709.0,Haiti,North America,80.0,11394839.0,-1.0,2891.0,178044.0,1.0
42,2020-06-13,3941.0,-1.0,64.0,-1.0,24.0,3853.0,-1.0,346.0,6.0,8081.0,709.0,Haiti,North America,80.0,11395219.0,-1.0,2891.0,178050.0,1.0
43,2020-06-14,4165.0,224.0,70.0,6.0,24.0,4071.0,-1.0,365.0,6.0,8488.0,745.0,Haiti,North America,78.0,11395599.0,-1.0,2736.0,162794.0,1.0
44,2020-06-15,4309.0,144.0,73.0,3.0,24.0,4212.0,-1.0,378.0,6.0,8488.0,745.0,Haiti,North America,78.0,11395978.0,-1.0,2645.0,156109.0,1.0
45,2020-06-16,4441.0,132.0,76.0,3.0,24.0,4341.0,-1.0,390.0,7.0,9047.0,794.0,Haiti,North America,78.0,11396358.0,-1.0,2566.0,149952.0,1.0
46,2020-06-17,4547.0,106.0,80.0,4.0,24.0,4443.0,-1.0,399.0,7.0,9353.0,821.0,Haiti,North America,77.0,11396738.0,-1.0,2506.0,142459.0,1.0
47,2020-06-18,4688.0,141.0,82.0,2.0,24.0,4582.0,-1.0,411.0,7.0,9651.0,847.0,Haiti,North America,76.0,11397117.0,-1.0,2431.0,138989.0,1.0
48,2020-06-19,4916.0,228.0,84.0,2.0,24.0,4808.0,-1.0,431.0,7.0,9651.0,847.0,Haiti,North America,76.0,11397497.0,-1.0,2318.0,135684.0,1.0
49,2020-06-20,4980.0,64.0,87.0,3.0,24.0,4869.0,-1.0,437.0,8.0,9651.0,847.0,Haiti,North America,77.0,11398257.0,-1.0,2289.0,131014.0,1.0
50,2020-06-21,5077.0,97.0,88.0,1.0,24.0,4965.0,-1.0,445.0,8.0,10378.0,910.0,Haiti,North America,77.0,11398257.0,-1.0,2245.0,129526.0,1.0
51,2020-06-22,5211.0,134.0,88.0,-1.0,24.0,5099.0,-1.0,457.0,8.0,10378.0,910.0,Haiti,North America,76.0,11398636.0,-1.0,2187.0,129530.0,1.0
52,2020-06-23,5211.0,-1.0,88.0,-1.0,338.0,4785.0,-1.0,457.0,8.0,10810.0,948.0,Haiti,North America,77.0,11399016.0,314.0,2187.0,129534.0,1.0
53,2020-06-24,5324.0,113.0,89.0,1.0,436.0,4799.0,-1.0,467.0,8.0,10825.0,950.0,Haiti,North America,77.0,11399396.0,98.0,2141.0,128083.0,1.0
54,2020-06-25,5429.0,105.0,92.0,3.0,512.0,4825.0,-1.0,476.0,8.0,10825.0,950.0,Haiti,North America,77.0,11399776.0,76.0,2100.0,123911.0,1.0
55,2020-06-26,5543.0,114.0,96.0,4.0,512.0,4935.0,-1.0,486.0,8.0,10825.0,950.0,Haiti,North America,77.0,11400155.0,-1.0,2057.0,118752.0,1.0
56,2020-06-27,5722.0,179.0,98.0,2.0,641.0,4983.0,-1.0,502.0,9.0,11332.0,994.0,Haiti,North America,79.0,11400535.0,129.0,1992.0,116332.0,1.0
57,2020-06-28,5777.0,55.0,100.0,2.0,706.0,4971.0,-1.0,507.0,9.0,11332.0,994.0,Haiti,North America,79.0,11400915.0,65.0,1974.0,114009.0,1.0
58,2020-06-29,5847.0,70.0,104.0,4.0,787.0,4956.0,-1.0,513.0,9.0,11332.0,994.0,Haiti,North America,79.0,11401294.0,81.0,1950.0,109628.0,1.0
59,2020-06-30,5933.0,86.0,105.0,1.0,839.0,4989.0,-1.0,520.0,9.0,11886.0,1042.0,Haiti,North America,78.0,11401674.0,52.0,1922.0,108587.0,959.0
60,2020-07-01,5975.0,42.0,105.0,-1.0,931.0,4939.0,-1.0,524.0,9.0,11983.0,1051.0,Haiti,North America,79.0,11402054.0,92.0,1908.0,108591.0,952.0
61,2020-07-02,6040.0,65.0,107.0,2.0,1032.0,4901.0,-1.0,530.0,9.0,12241.0,1074.0,Haiti,North America,81.0,11402434.0,101.0,1888.0,106565.0,931.0
62,2020-07-03,6101.0,61.0,110.0,3.0,1141.0,4850.0,-1.0,535.0,10.0,12435.0,1091.0,Haiti,North America,80.0,11402813.0,109.0,1869.0,103662.0,917.0
