,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,899.0,95.0,75.0,-1.0,112.0,712.0,10.0,91.0,8.0,3643.0,368.0,Honduras,North America,,,0.0,,,
1,2020-05-03,1010.0,111.0,76.0,1.0,116.0,818.0,10.0,102.0,8.0,4669.0,471.0,Honduras,North America,,,0.0,,,
2,2020-05-04,1055.0,45.0,82.0,6.0,118.0,855.0,10.0,107.0,8.0,4810.0,486.0,Honduras,North America,,,0.0,,,
3,2020-05-05,1178.0,-1.0,83.0,-1.0,122.0,973.0,10.0,119.0,8.0,5243.0,529.0,Honduras,North America,,,0.0,,,
4,2020-05-06,1270.0,92.0,93.0,10.0,122.0,1055.0,10.0,128.0,9.0,5653.0,571.0,Honduras,North America,,,0.0,,,
5,2020-05-07,1461.0,191.0,99.0,6.0,132.0,1230.0,10.0,148.0,10.0,5653.0,571.0,Honduras,North America,,,0.0,,,
6,2020-05-08,1771.0,86.0,107.0,2.0,192.0,1472.0,10.0,179.0,11.0,5653.0,571.0,Honduras,North America,,,0.0,,,
7,2020-05-09,1771.0,-1.0,107.0,-1.0,192.0,1472.0,10.0,179.0,11.0,5653.0,571.0,Honduras,North America,,,0.0,,,
8,2020-05-10,1830.0,59.0,108.0,1.0,195.0,1527.0,10.0,185.0,11.0,5653.0,571.0,Honduras,North America,,,0.0,,,
9,2020-05-11,1972.0,142.0,108.0,-1.0,203.0,1661.0,10.0,199.0,11.0,5653.0,571.0,Honduras,North America,,,0.0,,,
10,2020-05-12,2100.0,128.0,116.0,8.0,206.0,1778.0,10.0,212.0,12.0,5653.0,571.0,Honduras,North America,,,0.0,,,
11,2020-05-13,2080.0,-1.0,121.0,5.0,211.0,1748.0,10.0,210.0,12.0,5653.0,571.0,Honduras,North America,,,0.0,,,
12,2020-05-14,2255.0,175.0,123.0,2.0,237.0,1895.0,10.0,228.0,12.0,5653.0,571.0,Honduras,North America,,,0.0,,,
13,2020-05-15,2318.0,63.0,133.0,10.0,253.0,1932.0,10.0,235.0,13.0,5653.0,572.0,Honduras,North America,73.0,9883522.0,0.0,,,
14,2020-05-16,2460.0,142.0,134.0,1.0,264.0,2062.0,10.0,249.0,14.0,5653.0,572.0,Honduras,North America,73.0,9883952.0,0.0,,,
15,2020-05-17,2565.0,105.0,138.0,4.0,278.0,2149.0,10.0,260.0,14.0,5653.0,572.0,Honduras,North America,73.0,9884383.0,0.0,,,
16,2020-05-18,2646.0,81.0,142.0,4.0,319.0,2185.0,14.0,268.0,14.0,5653.0,572.0,Honduras,North America,73.0,9884814.0,0.0,,,
17,2020-05-19,2798.0,152.0,146.0,4.0,340.0,2312.0,14.0,283.0,15.0,10775.0,1090.0,Honduras,North America,72.0,9885245.0,0.0,,,
18,2020-05-20,2955.0,157.0,147.0,1.0,349.0,2459.0,13.0,299.0,15.0,10775.0,1090.0,Honduras,North America,70.0,9885675.0,0.0,,,
19,2020-05-21,3100.0,145.0,151.0,4.0,355.0,2594.0,13.0,314.0,15.0,11315.0,1145.0,Honduras,North America,70.0,9886106.0,0.0,,,
20,2020-05-22,3204.0,104.0,156.0,5.0,397.0,2651.0,13.0,324.0,16.0,11820.0,1196.0,Honduras,North America,70.0,9886537.0,0.0,,,
21,2020-05-23,3477.0,273.0,167.0,11.0,439.0,2871.0,13.0,352.0,17.0,11820.0,1196.0,Honduras,North America,69.0,9886968.0,0.0,,,
22,2020-05-24,3743.0,266.0,174.0,7.0,455.0,3114.0,13.0,379.0,18.0,11820.0,1195.0,Honduras,North America,68.0,9887398.0,0.0,,,
23,2020-05-25,3950.0,207.0,180.0,6.0,468.0,3302.0,13.0,399.0,18.0,14790.0,1496.0,Honduras,North America,68.0,9887829.0,0.0,,,
24,2020-05-26,4189.0,239.0,182.0,2.0,473.0,3534.0,13.0,424.0,18.0,14790.0,1496.0,Honduras,North America,67.0,9888260.0,0.0,,,
25,2020-05-27,4401.0,-1.0,188.0,-1.0,493.0,3720.0,13.0,445.0,19.0,14790.0,1496.0,Honduras,North America,67.0,9889121.0,0.0,,,
26,2020-05-28,4640.0,239.0,194.0,6.0,506.0,3940.0,13.0,469.0,20.0,14790.0,1496.0,Honduras,North America,67.0,9889121.0,0.0,,,
27,2020-05-29,4752.0,112.0,196.0,2.0,519.0,4037.0,13.0,481.0,20.0,14790.0,1496.0,Honduras,North America,67.0,9889552.0,0.0,,,
28,2020-05-30,4886.0,134.0,199.0,3.0,528.0,4159.0,13.0,494.0,20.0,14790.0,1495.0,Honduras,North America,67.0,9889983.0,0.0,,,
29,2020-05-31,5094.0,208.0,201.0,2.0,536.0,4357.0,13.0,515.0,20.0,14790.0,1495.0,Honduras,North America,67.0,9890414.0,0.0,,,
30,2020-06-01,5202.0,108.0,212.0,11.0,537.0,4453.0,13.0,526.0,21.0,14790.0,1495.0,Honduras,North America,67.0,9890844.0,0.0,,,
