,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1040.0,-1.0,4.0,-1.0,864.0,172.0,4.0,139.0,0.5,154989.0,20674.0,Hong Kong,Asia,,,0.0,,,
1,2020-05-03,1040.0,-1.0,4.0,-1.0,879.0,157.0,3.0,139.0,0.5,154989.0,20674.0,Hong Kong,Asia,,,0.0,,,
2,2020-05-04,1041.0,1.0,4.0,-1.0,900.0,137.0,1.0,139.0,0.5,154989.0,20674.0,Hong Kong,Asia,,,0.0,,,
3,2020-05-05,1041.0,-1.0,4.0,-1.0,920.0,117.0,1.0,139.0,0.5,154989.0,20674.0,Hong Kong,Asia,,,0.0,,,
4,2020-05-06,1041.0,-1.0,4.0,-1.0,932.0,105.0,2.0,139.0,0.5,154989.0,20674.0,Hong Kong,Asia,,,0.0,,,
5,2020-05-07,1045.0,4.0,4.0,-1.0,944.0,97.0,1.0,139.0,0.5,154989.0,20674.0,Hong Kong,Asia,,,0.0,,,
6,2020-05-08,1045.0,-1.0,4.0,-1.0,960.0,81.0,1.0,139.0,0.5,154989.0,20674.0,Hong Kong,Asia,,,0.0,,,
7,2020-05-09,1045.0,-1.0,4.0,-1.0,967.0,74.0,1.0,139.0,0.5,168291.0,22448.0,Hong Kong,Asia,,,0.0,,,
8,2020-05-10,1048.0,3.0,4.0,-1.0,982.0,62.0,1.0,140.0,0.5,168291.0,22448.0,Hong Kong,Asia,,,0.0,,,
9,2020-05-11,1048.0,-1.0,4.0,-1.0,985.0,59.0,1.0,140.0,0.5,168291.0,22448.0,Hong Kong,Asia,,,0.0,,,
10,2020-05-12,1048.0,-1.0,4.0,-1.0,991.0,53.0,1.0,140.0,0.5,168291.0,22448.0,Hong Kong,Asia,,,0.0,,,
11,2020-05-13,1051.0,3.0,4.0,-1.0,1008.0,39.0,1.0,140.0,0.5,168291.0,22448.0,Hong Kong,Asia,,,0.0,,,
12,2020-05-14,1052.0,1.0,4.0,-1.0,1009.0,39.0,1.0,140.0,0.5,168291.0,22448.0,Hong Kong,Asia,,,0.0,,,
13,2020-05-15,1053.0,1.0,4.0,-1.0,1019.0,30.0,1.0,141.0,0.5,168291.0,22471.0,Hong Kong,Asia,97.0,7489099.0,0.0,,,
14,2020-05-16,1053.0,-1.0,4.0,-1.0,1022.0,27.0,1.0,141.0,0.5,168291.0,22471.0,Hong Kong,Asia,98.0,7489265.0,0.0,,,
15,2020-05-17,1056.0,3.0,4.0,-1.0,1024.0,28.0,1.0,141.0,0.5,168291.0,22470.0,Hong Kong,Asia,98.0,7489431.0,0.0,,,
16,2020-05-18,1056.0,-1.0,4.0,-1.0,1025.0,27.0,1.0,141.0,0.5,168291.0,22470.0,Hong Kong,Asia,98.0,7489597.0,0.0,,,
17,2020-05-19,1056.0,-1.0,4.0,-1.0,1025.0,27.0,1.0,141.0,0.5,168291.0,22469.0,Hong Kong,Asia,98.0,7489763.0,0.0,,,
18,2020-05-20,1056.0,-1.0,4.0,-1.0,1026.0,26.0,1.0,141.0,0.5,168291.0,22469.0,Hong Kong,Asia,99.0,7489929.0,0.0,,,
19,2020-05-21,1064.0,8.0,4.0,-1.0,1029.0,31.0,1.0,142.0,0.5,168291.0,22468.0,Hong Kong,Asia,100.0,7490095.0,0.0,,,
20,2020-05-22,1066.0,2.0,4.0,-1.0,1029.0,33.0,1.0,142.0,0.5,168291.0,22468.0,Hong Kong,Asia,102.0,7490261.0,0.0,,,
21,2020-05-23,1066.0,-1.0,4.0,-1.0,1029.0,33.0,1.0,142.0,0.5,202930.0,27092.0,Hong Kong,Asia,102.0,7490427.0,0.0,,,
22,2020-05-24,1066.0,-1.0,4.0,-1.0,1030.0,32.0,1.0,142.0,0.5,202930.0,27091.0,Hong Kong,Asia,102.0,7490593.0,0.0,,,
23,2020-05-25,1066.0,-1.0,4.0,-1.0,1030.0,32.0,1.0,142.0,0.5,202930.0,27091.0,Hong Kong,Asia,103.0,7490759.0,0.0,,,
24,2020-05-26,1066.0,-1.0,4.0,-1.0,1033.0,29.0,1.0,142.0,0.5,202930.0,27090.0,Hong Kong,Asia,104.0,7490925.0,0.0,,,
25,2020-05-27,1067.0,-1.0,4.0,-1.0,1034.0,29.0,1.0,142.0,0.5,202930.0,27089.0,Hong Kong,Asia,105.0,7491257.0,0.0,,,
26,2020-05-28,1067.0,-1.0,4.0,-1.0,1035.0,28.0,1.0,142.0,0.5,202930.0,27089.0,Hong Kong,Asia,107.0,7491257.0,0.0,,,
27,2020-05-29,1080.0,13.0,4.0,-1.0,1035.0,41.0,1.0,144.0,0.5,202930.0,27088.0,Hong Kong,Asia,108.0,7491423.0,0.0,,,
28,2020-05-30,1083.0,3.0,4.0,-1.0,1036.0,43.0,1.0,145.0,0.5,202930.0,27088.0,Hong Kong,Asia,108.0,7491589.0,0.0,,,
29,2020-05-31,1085.0,2.0,4.0,-1.0,1037.0,44.0,2.0,145.0,0.5,202930.0,27087.0,Hong Kong,Asia,109.0,7491755.0,0.0,,,
30,2020-06-01,1088.0,3.0,4.0,-1.0,1037.0,47.0,2.0,145.0,0.5,202930.0,27087.0,Hong Kong,Asia,110.0,7491921.0,0.0,,,
31,2020-06-02,1094.0,6.0,4.0,-1.0,1038.0,52.0,2.0,146.0,0.5,202930.0,27086.0,Hong Kong,Asia,111.0,7492087.0,1.0,6848.0,1873022.0,37.0
32,2020-06-03,1094.0,-1.0,4.0,-1.0,1039.0,51.0,2.0,146.0,0.5,202930.0,27085.0,Hong Kong,Asia,112.0,7492253.0,1.0,6848.0,1873063.0,37.0
33,2020-06-04,1099.0,5.0,4.0,-1.0,1041.0,54.0,2.0,147.0,0.5,202930.0,27085.0,Hong Kong,Asia,112.0,7492419.0,2.0,6817.0,1873105.0,37.0
34,2020-06-05,1103.0,4.0,4.0,-1.0,1045.0,54.0,2.0,147.0,0.5,202930.0,27084.0,Hong Kong,Asia,112.0,7492585.0,4.0,6793.0,1873146.0,37.0
35,2020-06-06,1106.0,3.0,4.0,-1.0,1048.0,54.0,2.0,148.0,0.5,202930.0,27084.0,Hong Kong,Asia,112.0,7492751.0,3.0,6775.0,1873188.0,37.0
36,2020-06-07,1107.0,1.0,4.0,-1.0,1049.0,54.0,2.0,148.0,0.5,202930.0,27083.0,Hong Kong,Asia,114.0,7492917.0,1.0,6769.0,1873229.0,37.0
37,2020-06-08,1108.0,1.0,4.0,-1.0,1049.0,55.0,3.0,148.0,0.5,202930.0,27082.0,Hong Kong,Asia,115.0,7493083.0,-1.0,6763.0,1873271.0,37.0
38,2020-06-09,1108.0,-1.0,4.0,-1.0,1049.0,55.0,3.0,148.0,0.5,202930.0,27082.0,Hong Kong,Asia,117.0,7493249.0,-1.0,6763.0,1873312.0,37.0
39,2020-06-10,1108.0,-1.0,4.0,-1.0,1051.0,53.0,3.0,148.0,0.5,241992.0,32294.0,Hong Kong,Asia,117.0,7493415.0,2.0,6763.0,1873354.0,31.0
40,2020-06-11,1108.0,-1.0,4.0,-1.0,1055.0,49.0,4.0,148.0,0.5,241992.0,32293.0,Hong Kong,Asia,117.0,7493581.0,4.0,6763.0,1873395.0,31.0
41,2020-06-12,1109.0,1.0,4.0,-1.0,1060.0,45.0,3.0,148.0,0.5,241992.0,32293.0,Hong Kong,Asia,117.0,7493747.0,5.0,6757.0,1873437.0,31.0
42,2020-06-13,1110.0,1.0,4.0,-1.0,1061.0,45.0,3.0,148.0,0.5,241992.0,32292.0,Hong Kong,Asia,119.0,7493913.0,1.0,6751.0,1873478.0,31.0
