,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2942.0,79.0,335.0,12.0,625.0,1982.0,52.0,305.0,35.0,79551.0,8235.0,Hungary,Europe,,,0.0,,,
1,2020-05-03,2998.0,56.0,340.0,5.0,629.0,2029.0,51.0,310.0,35.0,82010.0,8489.0,Hungary,Europe,,,0.0,,,
2,2020-05-04,3035.0,37.0,351.0,11.0,630.0,2054.0,55.0,314.0,36.0,83958.0,8691.0,Hungary,Europe,,,0.0,,,
3,2020-05-05,3065.0,-1.0,363.0,-1.0,709.0,1993.0,55.0,317.0,38.0,85557.0,8857.0,Hungary,Europe,,,0.0,,,
4,2020-05-06,3111.0,46.0,373.0,10.0,759.0,1979.0,50.0,322.0,39.0,86743.0,8979.0,Hungary,Europe,,,0.0,,,
5,2020-05-07,3150.0,39.0,383.0,10.0,801.0,1966.0,50.0,326.0,40.0,94036.0,9734.0,Hungary,Europe,,,0.0,,,
6,2020-05-08,3178.0,-1.0,392.0,-1.0,865.0,1921.0,74.0,329.0,41.0,99058.0,10254.0,Hungary,Europe,,,0.0,,,
7,2020-05-09,3213.0,-1.0,405.0,-1.0,904.0,1904.0,74.0,333.0,42.0,103258.0,10689.0,Hungary,Europe,,,0.0,,,
8,2020-05-10,3263.0,50.0,413.0,8.0,933.0,1917.0,50.0,338.0,43.0,108257.0,11206.0,Hungary,Europe,,,0.0,,,
9,2020-05-11,3284.0,21.0,421.0,8.0,958.0,1905.0,42.0,340.0,44.0,112165.0,11611.0,Hungary,Europe,,,0.0,,,
10,2020-05-12,3313.0,29.0,425.0,4.0,1007.0,1881.0,45.0,343.0,44.0,114719.0,11875.0,Hungary,Europe,,,0.0,,,
11,2020-05-13,3341.0,28.0,430.0,5.0,1102.0,1809.0,45.0,346.0,45.0,118500.0,12267.0,Hungary,Europe,,,0.0,,,
12,2020-05-14,3380.0,39.0,436.0,6.0,1169.0,1775.0,49.0,350.0,45.0,123258.0,12759.0,Hungary,Europe,,,0.0,,,
13,2020-05-15,3417.0,37.0,442.0,6.0,1287.0,1688.0,46.0,354.0,46.0,127237.0,13167.0,Hungary,Europe,64.0,9663390.0,0.0,,,
14,2020-05-16,3473.0,56.0,448.0,6.0,1371.0,1654.0,45.0,359.0,46.0,131429.0,13601.0,Hungary,Europe,65.0,9663324.0,0.0,,,
15,2020-05-17,3509.0,36.0,451.0,3.0,1396.0,1662.0,47.0,363.0,47.0,135137.0,13985.0,Hungary,Europe,65.0,9663257.0,0.0,,,
16,2020-05-18,3535.0,26.0,462.0,11.0,1400.0,1673.0,46.0,366.0,48.0,137243.0,14203.0,Hungary,Europe,66.0,9663190.0,0.0,,,
17,2020-05-19,3556.0,21.0,467.0,5.0,1412.0,1677.0,46.0,368.0,48.0,138697.0,14353.0,Hungary,Europe,66.0,9663123.0,0.0,,,
18,2020-05-20,3598.0,42.0,470.0,3.0,1454.0,1674.0,29.0,372.0,49.0,142729.0,14771.0,Hungary,Europe,67.0,9663057.0,0.0,,,
19,2020-05-21,3641.0,43.0,473.0,3.0,1509.0,1659.0,27.0,377.0,49.0,147511.0,15266.0,Hungary,Europe,68.0,9662990.0,0.0,,,
20,2020-05-22,3678.0,37.0,476.0,3.0,1587.0,1615.0,23.0,381.0,49.0,155801.0,16124.0,Hungary,Europe,68.0,9662923.0,0.0,,,
21,2020-05-23,3713.0,35.0,482.0,6.0,1655.0,1576.0,21.0,384.0,50.0,159260.0,16482.0,Hungary,Europe,68.0,9662856.0,0.0,,,
22,2020-05-24,3741.0,28.0,486.0,4.0,1690.0,1565.0,28.0,387.0,50.0,162925.0,16861.0,Hungary,Europe,69.0,9662790.0,0.0,,,
23,2020-05-25,3756.0,15.0,491.0,5.0,1711.0,1554.0,28.0,389.0,51.0,164619.0,17037.0,Hungary,Europe,70.0,9662723.0,0.0,,,
24,2020-05-26,3771.0,15.0,499.0,8.0,1836.0,1436.0,27.0,390.0,52.0,166263.0,17207.0,Hungary,Europe,70.0,9662656.0,0.0,,,
25,2020-05-27,3793.0,-1.0,505.0,-1.0,1856.0,1432.0,25.0,393.0,52.0,169960.0,17590.0,Hungary,Europe,71.0,9662523.0,0.0,,,
26,2020-05-28,3816.0,23.0,509.0,4.0,1996.0,1311.0,24.0,395.0,53.0,174011.0,18009.0,Hungary,Europe,71.0,9662523.0,0.0,,,
27,2020-05-29,3841.0,25.0,517.0,8.0,2024.0,1300.0,24.0,398.0,54.0,180152.0,18645.0,Hungary,Europe,71.0,9662456.0,0.0,,,
28,2020-05-30,3867.0,26.0,524.0,7.0,2142.0,1201.0,22.0,400.0,54.0,183562.0,18998.0,Hungary,Europe,71.0,9662389.0,0.0,,,
29,2020-05-31,3876.0,9.0,526.0,2.0,2147.0,1203.0,25.0,401.0,54.0,185980.0,19248.0,Hungary,Europe,72.0,9662323.0,0.0,,,
30,2020-06-01,3892.0,16.0,527.0,1.0,2156.0,1209.0,25.0,403.0,55.0,187965.0,19454.0,Hungary,Europe,72.0,9662256.0,0.0,,,
31,2020-06-02,3921.0,29.0,532.0,5.0,2160.0,1229.0,24.0,406.0,55.0,189969.0,19661.0,Hungary,Europe,72.0,9662189.0,4.0,2464.0,18162.0,51.0
32,2020-06-03,3931.0,10.0,534.0,2.0,2190.0,1207.0,24.0,407.0,55.0,191572.0,19827.0,Hungary,Europe,75.0,9662122.0,30.0,2458.0,18094.0,50.0
33,2020-06-04,3954.0,23.0,539.0,5.0,2205.0,1210.0,24.0,409.0,56.0,195894.0,20275.0,Hungary,Europe,74.0,9662056.0,15.0,2444.0,17926.0,49.0
34,2020-06-05,3970.0,16.0,542.0,3.0,2245.0,1183.0,21.0,411.0,56.0,202606.0,20969.0,Hungary,Europe,76.0,9661989.0,40.0,2434.0,17827.0,48.0
35,2020-06-06,3990.0,20.0,545.0,3.0,2279.0,1166.0,21.0,413.0,56.0,206853.0,21409.0,Hungary,Europe,76.0,9661922.0,34.0,2422.0,17728.0,47.0
36,2020-06-07,4008.0,18.0,546.0,1.0,2279.0,1183.0,21.0,415.0,57.0,210202.0,21756.0,Hungary,Europe,77.0,9661855.0,-1.0,2411.0,17696.0,46.0
37,2020-06-08,4014.0,6.0,548.0,2.0,2284.0,1182.0,21.0,415.0,57.0,210749.0,21813.0,Hungary,Europe,77.0,9661789.0,5.0,2407.0,17631.0,46.0
38,2020-06-09,4017.0,3.0,550.0,2.0,2324.0,1143.0,20.0,416.0,57.0,214468.0,22198.0,Hungary,Europe,78.0,9661722.0,40.0,2405.0,17567.0,45.0
39,2020-06-10,4027.0,10.0,551.0,1.0,2355.0,1121.0,20.0,417.0,57.0,217689.0,22531.0,Hungary,Europe,79.0,9661655.0,31.0,2399.0,17535.0,44.0
40,2020-06-11,4039.0,12.0,553.0,2.0,2391.0,1095.0,19.0,418.0,57.0,222247.0,23003.0,Hungary,Europe,79.0,9661588.0,36.0,2392.0,17471.0,43.0
41,2020-06-12,4053.0,14.0,555.0,2.0,2447.0,1051.0,20.0,419.0,57.0,226669.0,23461.0,Hungary,Europe,79.0,9661522.0,56.0,2384.0,17408.0,43.0
42,2020-06-13,4064.0,11.0,559.0,4.0,2476.0,1029.0,20.0,421.0,58.0,230139.0,23820.0,Hungary,Europe,78.0,9661455.0,29.0,2377.0,17283.0,42.0
43,2020-06-14,4069.0,5.0,562.0,3.0,2482.0,1025.0,20.0,421.0,58.0,233742.0,24193.0,Hungary,Europe,80.0,9661388.0,6.0,2374.0,17191.0,41.0
44,2020-06-15,4076.0,7.0,563.0,1.0,2485.0,1028.0,19.0,422.0,58.0,235377.0,24363.0,Hungary,Europe,80.0,9661322.0,3.0,2370.0,17160.0,41.0
45,2020-06-16,4077.0,1.0,565.0,2.0,2516.0,996.0,17.0,422.0,58.0,236828.0,24513.0,Hungary,Europe,81.0,9661255.0,31.0,2370.0,17100.0,41.0
46,2020-06-17,4078.0,1.0,567.0,2.0,2547.0,964.0,16.0,422.0,59.0,242139.0,25063.0,Hungary,Europe,82.0,9661188.0,31.0,2369.0,17039.0,40.0
47,2020-06-18,4079.0,1.0,568.0,1.0,2564.0,947.0,15.0,422.0,59.0,242139.0,25063.0,Hungary,Europe,84.0,9661121.0,17.0,2369.0,17009.0,40.0
48,2020-06-19,4081.0,2.0,568.0,-1.0,2581.0,932.0,15.0,422.0,59.0,249391.0,25814.0,Hungary,Europe,84.0,9661055.0,17.0,2367.0,17009.0,39.0
49,2020-06-20,4086.0,5.0,570.0,2.0,2585.0,931.0,15.0,423.0,59.0,253100.0,26198.0,Hungary,Europe,85.0,9660921.0,4.0,2364.0,16949.0,38.0
50,2020-06-21,4094.0,8.0,570.0,-1.0,2589.0,935.0,15.0,424.0,59.0,256326.0,26532.0,Hungary,Europe,85.0,9660921.0,4.0,2360.0,16949.0,38.0
51,2020-06-22,4102.0,8.0,572.0,2.0,2590.0,940.0,14.0,425.0,59.0,258115.0,26718.0,Hungary,Europe,85.0,9660854.0,1.0,2355.0,16890.0,37.0
52,2020-06-23,4107.0,5.0,573.0,1.0,2600.0,934.0,14.0,425.0,59.0,258861.0,26795.0,Hungary,Europe,87.0,9660788.0,10.0,2352.0,16860.0,37.0
53,2020-06-24,4114.0,7.0,576.0,3.0,2618.0,920.0,13.0,426.0,60.0,261420.0,27060.0,Hungary,Europe,86.0,9660721.0,18.0,2348.0,16772.0,37.0
54,2020-06-25,4123.0,9.0,577.0,1.0,2640.0,906.0,13.0,427.0,60.0,265129.0,27444.0,Hungary,Europe,87.0,9660654.0,22.0,2343.0,16743.0,36.0
55,2020-06-26,4127.0,4.0,578.0,1.0,2663.0,886.0,13.0,427.0,60.0,267056.0,27644.0,Hungary,Europe,88.0,9660587.0,23.0,2341.0,16714.0,36.0
56,2020-06-27,4138.0,11.0,578.0,-1.0,2681.0,879.0,11.0,428.0,60.0,270263.0,27976.0,Hungary,Europe,88.0,9660521.0,18.0,2335.0,16714.0,36.0
