,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1798.0,-1.0,10.0,-1.0,1706.0,82.0,-1.0,5269.0,29.0,50002.0,146529.0,Iceland,Europe,,,0.0,,,
1,2020-05-03,1799.0,1.0,10.0,-1.0,1717.0,72.0,-1.0,5272.0,29.0,50406.0,147713.0,Iceland,Europe,,,0.0,,,
2,2020-05-04,1799.0,-1.0,10.0,-1.0,1723.0,66.0,-1.0,5272.0,29.0,50477.0,147921.0,Iceland,Europe,,,0.0,,,
3,2020-05-05,1799.0,-1.0,10.0,-1.0,1733.0,56.0,-1.0,5272.0,29.0,51345.0,150465.0,Iceland,Europe,,,0.0,,,
4,2020-05-06,1799.0,-1.0,10.0,-1.0,1750.0,39.0,-1.0,5272.0,29.0,51663.0,151397.0,Iceland,Europe,,,0.0,,,
5,2020-05-07,1801.0,2.0,10.0,-1.0,1755.0,36.0,-1.0,5278.0,29.0,51663.0,151397.0,Iceland,Europe,,,0.0,,,
6,2020-05-08,1801.0,-1.0,10.0,-1.0,1765.0,26.0,-1.0,5278.0,29.0,52745.0,154567.0,Iceland,Europe,,,0.0,,,
7,2020-05-09,1801.0,-1.0,10.0,-1.0,1773.0,18.0,-1.0,5278.0,29.0,53260.0,156076.0,Iceland,Europe,,,0.0,,,
8,2020-05-10,1801.0,-1.0,10.0,-1.0,1773.0,18.0,-1.0,5278.0,29.0,54195.0,158816.0,Iceland,Europe,,,0.0,,,
9,2020-05-11,1801.0,-1.0,10.0,-1.0,1773.0,18.0,-1.0,5278.0,29.0,54195.0,158816.0,Iceland,Europe,,,0.0,,,
10,2020-05-12,1801.0,-1.0,10.0,-1.0,1776.0,15.0,-1.0,5278.0,29.0,54791.0,160563.0,Iceland,Europe,,,0.0,,,
11,2020-05-13,1802.0,1.0,10.0,-1.0,1780.0,12.0,-1.0,5281.0,29.0,55075.0,161395.0,Iceland,Europe,,,0.0,,,
12,2020-05-14,1802.0,-1.0,10.0,-1.0,1780.0,12.0,-1.0,5281.0,29.0,55626.0,163010.0,Iceland,Europe,,,0.0,,,
13,2020-05-15,1802.0,-1.0,10.0,-1.0,1782.0,10.0,-1.0,5285.0,29.0,56219.0,164885.0,Iceland,Europe,81.0,340958.0,0.0,,,
14,2020-05-16,1802.0,-1.0,10.0,-1.0,1786.0,6.0,-1.0,5285.0,29.0,56742.0,166416.0,Iceland,Europe,81.0,340964.0,0.0,,,
15,2020-05-17,1802.0,-1.0,10.0,-1.0,1786.0,6.0,-1.0,5285.0,29.0,56875.0,166804.0,Iceland,Europe,81.0,340970.0,0.0,,,
16,2020-05-18,1802.0,-1.0,10.0,-1.0,1786.0,6.0,-1.0,5285.0,29.0,56875.0,166801.0,Iceland,Europe,83.0,340976.0,0.0,,,
17,2020-05-19,1802.0,-1.0,10.0,-1.0,1789.0,3.0,-1.0,5285.0,29.0,57187.0,167713.0,Iceland,Europe,84.0,340982.0,0.0,,,
18,2020-05-20,1803.0,1.0,10.0,-1.0,1789.0,4.0,-1.0,5288.0,29.0,57628.0,169003.0,Iceland,Europe,85.0,340988.0,0.0,,,
19,2020-05-21,1803.0,-1.0,10.0,-1.0,1790.0,3.0,-1.0,5287.0,29.0,58225.0,170751.0,Iceland,Europe,86.0,340994.0,0.0,,,
20,2020-05-22,1803.0,-1.0,10.0,-1.0,1791.0,2.0,-1.0,5287.0,29.0,58225.0,170748.0,Iceland,Europe,87.0,341000.0,0.0,,,
21,2020-05-23,1804.0,1.0,10.0,-1.0,1791.0,3.0,-1.0,5290.0,29.0,58225.0,170745.0,Iceland,Europe,88.0,341006.0,0.0,,,
22,2020-05-24,1804.0,-1.0,10.0,-1.0,1791.0,3.0,-1.0,5290.0,29.0,58225.0,170742.0,Iceland,Europe,89.0,341012.0,0.0,,,
