,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,37776.0,519.0,1223.0,-1.0,10007.0,26546.0,-1.0,27.0,0.9,976363.0,708.0,India,Asia,,,0.0,,,
1,2020-05-03,42505.0,2806.0,1391.0,68.0,11775.0,29339.0,-1.0,31.0,1.0,1046450.0,758.0,India,Asia,,,0.0,,,
2,2020-05-04,46437.0,3932.0,1566.0,175.0,12847.0,32024.0,-1.0,34.0,1.0,1107233.0,802.0,India,Asia,,,0.0,,,
3,2020-05-05,49400.0,-1.0,1693.0,-1.0,14142.0,33565.0,-1.0,36.0,1.0,1191946.0,864.0,India,Asia,,,0.0,,,
4,2020-05-06,52340.0,2940.0,1768.0,75.0,14911.0,35661.0,-1.0,38.0,1.0,1276781.0,925.0,India,Asia,,,0.0,,,
5,2020-05-07,56351.0,3364.0,1889.0,104.0,16776.0,37686.0,-1.0,41.0,1.0,1357413.0,984.0,India,Asia,,,0.0,,,
6,2020-05-08,59695.0,-1.0,1985.0,-1.0,17887.0,39823.0,-1.0,43.0,1.0,1437788.0,1042.0,India,Asia,,,0.0,,,
7,2020-05-09,62808.0,-1.0,2101.0,-1.0,19301.0,41406.0,-1.0,46.0,2.0,1523213.0,1104.0,India,Asia,,,0.0,,,
8,2020-05-10,67161.0,4353.0,2212.0,111.0,20969.0,43980.0,-1.0,49.0,2.0,1609037.0,1166.0,India,Asia,,,0.0,,,
9,2020-05-11,70765.0,3604.0,2294.0,82.0,22549.0,45922.0,-1.0,51.0,2.0,1673688.0,1213.0,India,Asia,,,0.0,,,
10,2020-05-12,74243.0,3475.0,2415.0,121.0,24420.0,47408.0,-1.0,54.0,2.0,1759579.0,1275.0,India,Asia,,,0.0,,,
11,2020-05-13,78055.0,3763.0,2551.0,136.0,26392.0,49112.0,-1.0,57.0,2.0,1854250.0,1344.0,India,Asia,,,0.0,,,
12,2020-05-14,81990.0,3935.0,2649.0,98.0,27969.0,51372.0,-1.0,59.0,2.0,1947041.0,1411.0,India,Asia,,,0.0,,,
13,2020-05-15,85784.0,3787.0,2753.0,104.0,30234.0,52797.0,-1.0,62.0,2.0,2039952.0,1480.0,India,Asia,11.0,1378233611.0,0.0,,,
14,2020-05-16,90648.0,4864.0,2871.0,118.0,34224.0,53553.0,-1.0,66.0,2.0,2134277.0,1549.0,India,Asia,11.0,1378270651.0,0.0,,,
15,2020-05-17,95664.0,5016.0,3025.0,154.0,36795.0,55844.0,-1.0,69.0,2.0,2227642.0,1616.0,India,Asia,11.0,1378307692.0,0.0,,,
16,2020-05-18,100340.0,4642.0,3155.0,130.0,39231.0,57954.0,-1.0,73.0,2.0,2302792.0,1671.0,India,Asia,11.0,1378344732.0,0.0,,,
17,2020-05-19,106468.0,6140.0,3301.0,145.0,42307.0,60860.0,-1.0,77.0,2.0,2404267.0,1744.0,India,Asia,11.0,1378381772.0,0.0,,,
18,2020-05-20,112028.0,5553.0,3434.0,132.0,45422.0,63172.0,-1.0,81.0,2.0,2512388.0,1823.0,India,Asia,11.0,1378418813.0,0.0,,,
19,2020-05-21,118226.0,6198.0,3584.0,150.0,48553.0,66089.0,-1.0,86.0,3.0,2615920.0,1898.0,India,Asia,11.0,1378455853.0,0.0,,,
20,2020-05-22,124792.0,6566.0,3726.0,142.0,51820.0,69246.0,-1.0,91.0,3.0,2719434.0,1973.0,India,Asia,11.0,1378492893.0,0.0,,,
21,2020-05-23,131423.0,6629.0,3868.0,142.0,54385.0,73170.0,8944.0,95.0,3.0,2834798.0,2056.0,India,Asia,11.0,1378529934.0,0.0,,,
22,2020-05-24,138536.0,7113.0,4024.0,156.0,57692.0,76820.0,8944.0,100.0,3.0,2943421.0,2135.0,India,Asia,10.0,1378566974.0,0.0,,,
23,2020-05-25,144941.0,6405.0,4172.0,148.0,60706.0,80063.0,8944.0,105.0,3.0,3033591.0,2200.0,India,Asia,10.0,1378604014.0,0.0,,,
24,2020-05-26,150739.0,5789.0,4349.0,177.0,64272.0,82118.0,8944.0,109.0,3.0,3126119.0,2268.0,India,Asia,10.0,1378641054.0,0.0,,,
25,2020-05-27,158086.0,-1.0,4534.0,-1.0,67749.0,85803.0,8944.0,115.0,3.0,3242160.0,2352.0,India,Asia,10.0,1378715135.0,0.0,,,
26,2020-05-28,165386.0,7300.0,4711.0,177.0,70920.0,89755.0,8944.0,120.0,3.0,3362136.0,2439.0,India,Asia,9.0,1378715135.0,0.0,,,
27,2020-05-29,173491.0,8105.0,4980.0,269.0,82627.0,85884.0,8944.0,126.0,4.0,3483838.0,2527.0,India,Asia,9.0,1378752175.0,0.0,,,
28,2020-05-30,181827.0,8336.0,5185.0,205.0,86936.0,89706.0,8944.0,132.0,4.0,3611599.0,2619.0,India,Asia,9.0,1378789216.0,0.0,,,
29,2020-05-31,190603.0,8776.0,5406.0,221.0,91830.0,93367.0,8944.0,138.0,4.0,3737027.0,2710.0,India,Asia,7.0,1378826256.0,0.0,,,
30,2020-06-01,198317.0,7708.0,5608.0,200.0,95714.0,96995.0,8944.0,144.0,4.0,3837207.0,2783.0,India,Asia,7.0,1378863296.0,0.0,,,
31,2020-06-02,207183.0,8813.0,5829.0,221.0,100285.0,101069.0,8944.0,150.0,4.0,3966075.0,2876.0,India,Asia,7.0,1378900337.0,4531.0,6655.0,236559.0,348.0
32,2020-06-03,216805.0,9614.0,6088.0,259.0,104071.0,106646.0,8944.0,157.0,4.0,4103233.0,2976.0,India,Asia,7.0,1378937377.0,3786.0,6360.0,226501.0,336.0
33,2020-06-04,226693.0,9869.0,6363.0,275.0,108450.0,111880.0,8944.0,164.0,5.0,4242718.0,3077.0,India,Asia,7.0,1378974417.0,4379.0,6083.0,216718.0,325.0
34,2020-06-05,236184.0,9471.0,6649.0,286.0,113231.0,116304.0,8944.0,171.0,5.0,4386379.0,3181.0,India,Asia,6.0,1379011457.0,4781.0,5839.0,207401.0,314.0
35,2020-06-06,246530.0,10346.0,6946.0,297.0,118592.0,120992.0,8944.0,179.0,5.0,4524317.0,3281.0,India,Asia,6.0,1379048498.0,5359.0,5594.0,198539.0,305.0
36,2020-06-07,257506.0,10884.0,7207.0,261.0,123848.0,126451.0,8944.0,187.0,5.0,4666386.0,3384.0,India,Asia,6.0,1379085538.0,5153.0,5356.0,191354.0,296.0
37,2020-06-08,265928.0,8442.0,7473.0,266.0,129095.0,129360.0,8944.0,193.0,5.0,4774434.0,3462.0,India,Asia,6.0,1379122578.0,5247.0,5186.0,184547.0,289.0
38,2020-06-09,276146.0,10218.0,7750.0,277.0,134667.0,133729.0,8944.0,200.0,6.0,4916116.0,3565.0,India,Asia,6.0,1379159619.0,5572.0,4994.0,177956.0,281.0
39,2020-06-10,287155.0,12375.0,8107.0,388.0,140979.0,138069.0,8944.0,208.0,6.0,5061332.0,3670.0,India,Asia,6.0,1379196659.0,6814.0,4803.0,170124.0,272.0
40,2020-06-11,298283.0,11128.0,8501.0,394.0,146972.0,142810.0,8944.0,216.0,6.0,5213140.0,3780.0,India,Asia,4.0,1379233699.0,5993.0,4624.0,162244.0,265.0
41,2020-06-12,309603.0,11320.0,8890.0,389.0,154231.0,146482.0,8944.0,224.0,6.0,5363445.0,3889.0,India,Asia,4.0,1379270740.0,7259.0,4455.0,155149.0,257.0
42,2020-06-13,321626.0,12023.0,9205.0,315.0,162326.0,150095.0,8944.0,233.0,7.0,5507182.0,3993.0,India,Asia,4.0,1379307780.0,8095.0,4289.0,149843.0,250.0
43,2020-06-14,333008.0,11382.0,9520.0,321.0,169689.0,153799.0,8944.0,241.0,7.0,5658614.0,4102.0,India,Asia,4.0,1379344820.0,7363.0,4142.0,144889.0,244.0
44,2020-06-15,343026.0,10243.0,9915.0,395.0,180320.0,152791.0,8944.0,249.0,7.0,5774133.0,4186.0,India,Asia,4.0,1379381861.0,10631.0,4021.0,139121.0,239.0
45,2020-06-16,354161.0,11135.0,11921.0,2006.0,187552.0,154688.0,8944.0,257.0,9.0,5921069.0,4292.0,India,Asia,4.0,1379418901.0,7232.0,3895.0,115713.0,233.0
46,2020-06-17,367264.0,13103.0,12262.0,341.0,194438.0,160564.0,8944.0,266.0,9.0,6084256.0,4411.0,India,Asia,4.0,1379455941.0,6886.0,3756.0,112498.0,227.0
47,2020-06-18,381091.0,13827.0,12604.0,342.0,205182.0,163305.0,8944.0,276.0,9.0,6249668.0,4530.0,India,Asia,4.0,1379492981.0,10744.0,3620.0,109449.0,221.0
48,2020-06-19,395812.0,14721.0,12970.0,366.0,214206.0,168636.0,8944.0,287.0,9.0,6426627.0,4659.0,India,Asia,4.0,1379530022.0,9024.0,3485.0,106363.0,215.0
49,2020-06-20,411727.0,15915.0,13277.0,307.0,228181.0,170269.0,8944.0,298.0,10.0,6616496.0,4796.0,India,Asia,4.0,1379604102.0,13975.0,3351.0,103909.0,209.0
50,2020-06-21,426910.0,15183.0,13703.0,426.0,237252.0,175955.0,8944.0,309.0,10.0,6807226.0,4934.0,India,Asia,4.0,1379604102.0,9071.0,3232.0,100679.0,203.0
51,2020-06-22,440450.0,13540.0,14015.0,312.0,248137.0,178298.0,8944.0,319.0,10.0,6950493.0,5038.0,India,Asia,4.0,1379641143.0,10885.0,3132.0,98440.0,198.0
52,2020-06-23,456062.0,15612.0,14483.0,468.0,258523.0,183056.0,8944.0,331.0,10.0,7137716.0,5173.0,India,Asia,4.0,1379678183.0,10386.0,3025.0,95262.0,193.0
53,2020-06-24,472972.0,16857.0,14907.0,424.0,271688.0,186377.0,8944.0,343.0,11.0,7352911.0,5329.0,India,Asia,4.0,1379715223.0,13114.0,2917.0,92555.0,188.0
54,2020-06-25,491170.0,18185.0,15308.0,401.0,285671.0,190191.0,8944.0,356.0,11.0,7560782.0,5480.0,India,Asia,4.0,1379752264.0,13983.0,2809.0,90133.0,182.0
55,2020-06-26,509446.0,18276.0,15689.0,381.0,295917.0,197840.0,8944.0,369.0,11.0,7776228.0,5636.0,India,Asia,4.0,1379789304.0,10246.0,2708.0,87946.0,177.0
56,2020-06-27,529577.0,20131.0,16103.0,414.0,310146.0,203328.0,8944.0,384.0,12.0,7996707.0,5795.0,India,Asia,4.0,1379826344.0,14229.0,2606.0,85688.0,173.0
57,2020-06-28,549197.0,19620.0,16487.0,384.0,321774.0,210936.0,8944.0,398.0,12.0,8227802.0,5963.0,India,Asia,4.0,1379863384.0,11628.0,2513.0,83694.0,168.0
58,2020-06-29,567536.0,18339.0,16904.0,417.0,335272.0,215360.0,8944.0,411.0,12.0,8398362.0,6086.0,India,Asia,4.0,1379900425.0,13498.0,2431.0,81632.0,164.0
59,2020-06-30,585792.0,18256.0,17410.0,506.0,347836.0,220546.0,8944.0,425.0,13.0,8608654.0,6238.0,India,Asia,4.0,1379937465.0,12565.0,2356.0,79261.0,160.0
60,2020-07-01,605216.0,19424.0,17848.0,438.0,359891.0,227477.0,8944.0,439.0,13.0,8826585.0,6396.0,India,Asia,4.0,1379974505.0,12055.0,2280.0,77318.0,156.0
61,2020-07-02,627168.0,21948.0,18225.0,377.0,379902.0,229041.0,8944.0,454.0,13.0,9056173.0,6562.0,India,Asia,4.0,1380011546.0,20006.0,2200.0,75721.0,152.0
62,2020-07-03,649889.0,22721.0,18669.0,444.0,394319.0,236901.0,8944.0,471.0,14.0,9297749.0,6737.0,India,Asia,4.0,1380048586.0,14417.0,2124.0,73922.0,148.0
63,2020-07-04,673904.0,24015.0,19279.0,610.0,408646.0,245979.0,8944.0,488.0,14.0,9540132.0,6913.0,India,Asia,4.0,1380085626.0,14327.0,2048.0,71585.0,145.0
