,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,10843.0,292.0,831.0,31.0,1665.0,8347.0,-1.0,40.0,3.0,107943.0,395.0,Indonesia,Asia,,,0.0,,,
1,2020-05-03,11192.0,349.0,845.0,14.0,1876.0,8471.0,-1.0,41.0,3.0,112965.0,413.0,Indonesia,Asia,,,0.0,,,
2,2020-05-04,11587.0,395.0,864.0,19.0,1954.0,8769.0,-1.0,42.0,3.0,116861.0,427.0,Indonesia,Asia,,,0.0,,,
3,2020-05-05,12071.0,-1.0,872.0,-1.0,2197.0,9002.0,-1.0,44.0,3.0,121547.0,444.0,Indonesia,Asia,,,0.0,,,
4,2020-05-06,12438.0,367.0,895.0,23.0,2317.0,9226.0,-1.0,45.0,3.0,121547.0,444.0,Indonesia,Asia,,,0.0,,,
5,2020-05-07,12776.0,338.0,930.0,35.0,2381.0,9465.0,-1.0,47.0,3.0,134151.0,490.0,Indonesia,Asia,,,0.0,,,
6,2020-05-08,13112.0,-1.0,943.0,-1.0,2494.0,9675.0,-1.0,48.0,3.0,143781.0,526.0,Indonesia,Asia,,,0.0,,,
7,2020-05-09,13645.0,-1.0,959.0,-1.0,2607.0,10079.0,-1.0,50.0,4.0,150887.0,552.0,Indonesia,Asia,,,0.0,,,
8,2020-05-10,14032.0,387.0,973.0,14.0,2698.0,10361.0,-1.0,51.0,4.0,158273.0,579.0,Indonesia,Asia,,,0.0,,,
9,2020-05-11,14265.0,233.0,991.0,18.0,2881.0,10393.0,-1.0,52.0,4.0,161351.0,590.0,Indonesia,Asia,,,0.0,,,
10,2020-05-12,14749.0,484.0,1007.0,16.0,3063.0,10679.0,-1.0,54.0,4.0,165128.0,604.0,Indonesia,Asia,,,0.0,,,
11,2020-05-13,15438.0,689.0,1028.0,21.0,3287.0,11123.0,-1.0,56.0,4.0,169195.0,619.0,Indonesia,Asia,,,0.0,,,
12,2020-05-14,16006.0,568.0,1043.0,15.0,3518.0,11445.0,-1.0,59.0,4.0,173690.0,635.0,Indonesia,Asia,,,0.0,,,
13,2020-05-15,16496.0,490.0,1076.0,33.0,3803.0,11617.0,-1.0,60.0,4.0,178602.0,654.0,Indonesia,Asia,33.0,273144953.0,0.0,,,
14,2020-05-16,17025.0,529.0,1089.0,13.0,3911.0,12025.0,-1.0,62.0,4.0,182818.0,669.0,Indonesia,Asia,32.0,273152851.0,0.0,,,
15,2020-05-17,17514.0,489.0,1148.0,59.0,4129.0,12237.0,-1.0,64.0,4.0,187965.0,688.0,Indonesia,Asia,32.0,273160748.0,0.0,,,
16,2020-05-18,18010.0,496.0,1191.0,43.0,4324.0,12495.0,-1.0,66.0,4.0,190660.0,698.0,Indonesia,Asia,32.0,273168646.0,0.0,,,
17,2020-05-19,18496.0,486.0,1221.0,30.0,4467.0,12808.0,-1.0,68.0,4.0,202936.0,743.0,Indonesia,Asia,32.0,273176544.0,0.0,,,
