,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,96448.0,802.0,6156.0,65.0,77350.0,12942.0,2787.0,1148.0,73.0,484541.0,5769.0,Iran,Asia,,,0.0,,,
1,2020-05-03,97424.0,976.0,6203.0,47.0,78422.0,12799.0,2690.0,1160.0,74.0,496273.0,5909.0,Iran,Asia,,,0.0,,,
2,2020-05-04,98647.0,1223.0,6277.0,74.0,79379.0,12991.0,2676.0,1174.0,75.0,508288.0,6052.0,Iran,Asia,,,0.0,,,
3,2020-05-05,99970.0,-1.0,6340.0,-1.0,80475.0,13155.0,2685.0,1190.0,75.0,519543.0,6186.0,Iran,Asia,,,0.0,,,
4,2020-05-06,101650.0,1680.0,6418.0,78.0,81587.0,13645.0,2735.0,1210.0,76.0,531275.0,6325.0,Iran,Asia,,,0.0,,,
5,2020-05-07,103135.0,1485.0,6486.0,68.0,82744.0,13905.0,2728.0,1228.0,77.0,544702.0,6485.0,Iran,Asia,,,0.0,,,
6,2020-05-08,104691.0,-1.0,6541.0,-1.0,83837.0,14313.0,2711.0,1246.0,78.0,558899.0,6654.0,Iran,Asia,,,0.0,,,
7,2020-05-09,106220.0,-1.0,6589.0,-1.0,85064.0,14567.0,2696.0,1265.0,78.0,573220.0,6825.0,Iran,Asia,,,0.0,,,
8,2020-05-10,107603.0,1383.0,6640.0,51.0,86143.0,14820.0,2675.0,1281.0,79.0,586699.0,6985.0,Iran,Asia,,,0.0,,,
9,2020-05-11,109286.0,1683.0,6685.0,45.0,87422.0,15179.0,2703.0,1301.0,80.0,601324.0,7159.0,Iran,Asia,,,0.0,,,
10,2020-05-12,110767.0,1481.0,6733.0,48.0,88357.0,15677.0,2713.0,1319.0,80.0,615477.0,7328.0,Iran,Asia,,,0.0,,,
11,2020-05-13,112725.0,1958.0,6783.0,50.0,89428.0,16514.0,2735.0,1342.0,81.0,629534.0,7495.0,Iran,Asia,,,0.0,,,
12,2020-05-14,114533.0,1808.0,6854.0,71.0,90539.0,17140.0,2758.0,1364.0,82.0,643772.0,7665.0,Iran,Asia,,,0.0,,,
13,2020-05-15,116635.0,2102.0,6902.0,48.0,91836.0,17897.0,2727.0,1391.0,82.0,658604.0,7854.0,Iran,Asia,10.0,83850893.0,0.0,,,
14,2020-05-16,118392.0,1757.0,6937.0,35.0,93147.0,18308.0,2716.0,1412.0,83.0,672679.0,8022.0,Iran,Asia,10.0,83853830.0,0.0,,,
15,2020-05-17,120198.0,1806.0,6988.0,51.0,94464.0,18746.0,2705.0,1433.0,83.0,686935.0,8192.0,Iran,Asia,10.0,83856767.0,0.0,,,
16,2020-05-18,122492.0,2294.0,7057.0,69.0,95661.0,19774.0,2294.0,1461.0,84.0,701640.0,8367.0,Iran,Asia,10.0,83859705.0,0.0,,,
17,2020-05-19,124603.0,2111.0,7119.0,62.0,97173.0,20311.0,2698.0,1486.0,85.0,716176.0,8540.0,Iran,Asia,10.0,83862642.0,0.0,,,
18,2020-05-20,126949.0,2346.0,7183.0,64.0,98808.0,20958.0,2735.0,1514.0,86.0,731213.0,8719.0,Iran,Asia,10.0,83865579.0,0.0,,,
19,2020-05-21,129341.0,2392.0,7249.0,66.0,100564.0,21528.0,2655.0,1542.0,86.0,746045.0,8895.0,Iran,Asia,10.0,83868516.0,0.0,,,
20,2020-05-22,131652.0,2311.0,7300.0,51.0,102276.0,22076.0,2659.0,1570.0,87.0,763913.0,9108.0,Iran,Asia,10.0,83871454.0,0.0,,,
21,2020-05-23,133521.0,1869.0,7359.0,59.0,104072.0,22090.0,2633.0,1592.0,88.0,781286.0,9315.0,Iran,Asia,10.0,83874391.0,0.0,,,
22,2020-05-24,135701.0,2180.0,7417.0,58.0,105801.0,22483.0,2615.0,1618.0,88.0,800519.0,9544.0,Iran,Asia,11.0,83877328.0,0.0,,,
23,2020-05-25,137724.0,2023.0,7451.0,34.0,107713.0,22560.0,2585.0,1642.0,89.0,818917.0,9763.0,Iran,Asia,11.0,83880266.0,0.0,,,
24,2020-05-26,139511.0,1787.0,7508.0,57.0,109437.0,22566.0,2567.0,1663.0,90.0,837090.0,9979.0,Iran,Asia,11.0,83883203.0,0.0,,,
25,2020-05-27,141591.0,-1.0,7564.0,-1.0,111176.0,22851.0,2551.0,1688.0,90.0,856546.0,10210.0,Iran,Asia,11.0,83889077.0,0.0,,,
26,2020-05-28,143849.0,2258.0,7627.0,63.0,112988.0,23234.0,2543.0,1715.0,91.0,876492.0,10448.0,Iran,Asia,11.0,83889077.0,0.0,,,
27,2020-05-29,146668.0,2819.0,7677.0,50.0,114931.0,24060.0,2547.0,1748.0,92.0,896571.0,10687.0,Iran,Asia,11.0,83892015.0,0.0,,,
28,2020-05-30,148950.0,2282.0,7734.0,57.0,116827.0,24389.0,2533.0,1775.0,92.0,896571.0,10687.0,Iran,Asia,11.0,83894952.0,0.0,,,
29,2020-05-31,151466.0,2516.0,7797.0,63.0,118848.0,24821.0,2527.0,1805.0,93.0,935894.0,11155.0,Iran,Asia,12.0,83897889.0,0.0,,,
30,2020-06-01,154445.0,2979.0,7878.0,81.0,121004.0,25563.0,2578.0,1841.0,94.0,955865.0,11393.0,Iran,Asia,12.0,83900826.0,0.0,,,
31,2020-06-02,157562.0,3117.0,7942.0,64.0,123077.0,26543.0,2565.0,1878.0,95.0,975936.0,11632.0,Iran,Asia,12.0,83903764.0,2073.0,533.0,10565.0,86.0
32,2020-06-03,160696.0,3134.0,8012.0,70.0,125206.0,27478.0,2557.0,1915.0,95.0,997009.0,11882.0,Iran,Asia,11.0,83906701.0,2129.0,522.0,10473.0,84.0
33,2020-06-04,164270.0,3574.0,8071.0,59.0,127485.0,28714.0,2569.0,1958.0,96.0,1019362.0,12148.0,Iran,Asia,11.0,83909638.0,2279.0,511.0,10396.0,82.0
34,2020-06-05,167156.0,2886.0,8134.0,63.0,129741.0,29281.0,2573.0,1992.0,97.0,1040289.0,12397.0,Iran,Asia,11.0,83912575.0,2256.0,502.0,10316.0,81.0
35,2020-06-06,169425.0,2269.0,8209.0,75.0,132038.0,29178.0,2578.0,2019.0,98.0,1040289.0,12397.0,Iran,Asia,10.0,83915513.0,2297.0,495.0,10222.0,81.0
36,2020-06-07,171789.0,2364.0,8281.0,72.0,134349.0,29159.0,2596.0,2047.0,99.0,1084857.0,12928.0,Iran,Asia,10.0,83918450.0,2311.0,488.0,10134.0,77.0
37,2020-06-08,173832.0,2043.0,8351.0,70.0,136360.0,29121.0,2619.0,2071.0,100.0,1107254.0,13194.0,Iran,Asia,10.0,83921387.0,2011.0,483.0,10049.0,76.0
38,2020-06-09,175927.0,2095.0,8425.0,74.0,138457.0,29045.0,2639.0,2096.0,100.0,1128601.0,13448.0,Iran,Asia,10.0,83924324.0,2097.0,477.0,9961.0,74.0
39,2020-06-10,177938.0,2011.0,8506.0,81.0,140590.0,28842.0,2639.0,2120.0,101.0,1128601.0,13447.0,Iran,Asia,10.0,83927262.0,2133.0,472.0,9867.0,74.0
40,2020-06-11,180156.0,2218.0,8584.0,78.0,142663.0,28909.0,2728.0,2146.0,102.0,1173208.0,13978.0,Iran,Asia,10.0,83930199.0,2073.0,466.0,9778.0,72.0
41,2020-06-12,182525.0,2369.0,8659.0,75.0,144649.0,29217.0,2739.0,2175.0,103.0,1196947.0,14261.0,Iran,Asia,10.0,83933136.0,1986.0,460.0,9693.0,70.0
42,2020-06-13,184955.0,2410.0,8730.0,71.0,146748.0,29477.0,2755.0,2204.0,104.0,1219400.0,14528.0,Iran,Asia,10.0,83936074.0,2099.0,454.0,9615.0,69.0
43,2020-06-14,187427.0,2472.0,8837.0,107.0,148674.0,29916.0,2781.0,2233.0,105.0,1244074.0,14821.0,Iran,Asia,10.0,83939011.0,1926.0,448.0,9499.0,67.0
44,2020-06-15,189876.0,2449.0,8950.0,113.0,150590.0,30336.0,2765.0,2262.0,107.0,1269194.0,15120.0,Iran,Asia,9.0,83941948.0,1916.0,442.0,9379.0,66.0
45,2020-06-16,192439.0,2563.0,9065.0,115.0,152675.0,30699.0,2815.0,2292.0,108.0,1293609.0,15410.0,Iran,Asia,9.0,83944885.0,2085.0,436.0,9260.0,65.0
46,2020-06-17,195051.0,2612.0,9185.0,120.0,154812.0,31054.0,2789.0,2323.0,109.0,1319920.0,15723.0,Iran,Asia,9.0,83947823.0,2137.0,430.0,9140.0,64.0
47,2020-06-18,197647.0,2596.0,9272.0,87.0,156991.0,31384.0,2795.0,2354.0,110.0,1344599.0,16017.0,Iran,Asia,10.0,83950760.0,2179.0,425.0,9054.0,62.0
48,2020-06-19,200262.0,2615.0,9392.0,120.0,159192.0,31678.0,2833.0,2385.0,112.0,1370718.0,16327.0,Iran,Asia,10.0,83953697.0,2201.0,419.0,8939.0,61.0
