,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2219.0,66.0,95.0,1.0,1473.0,651.0,-1.0,55.0,2.0,98253.0,2443.0,Iraq,Asia,,,0.0,,,
1,2020-05-03,2296.0,77.0,97.0,2.0,1490.0,709.0,-1.0,57.0,2.0,103262.0,2567.0,Iraq,Asia,,,0.0,,,
2,2020-05-04,2346.0,50.0,98.0,1.0,1544.0,704.0,-1.0,58.0,2.0,107586.0,2675.0,Iraq,Asia,,,0.0,,,
3,2020-05-05,2431.0,-1.0,102.0,-1.0,1571.0,758.0,-1.0,60.0,3.0,113484.0,2821.0,Iraq,Asia,,,0.0,,,
4,2020-05-06,2480.0,49.0,102.0,-1.0,1602.0,776.0,-1.0,62.0,3.0,117726.0,2927.0,Iraq,Asia,,,0.0,,,
5,2020-05-07,2543.0,63.0,102.0,-1.0,1626.0,815.0,-1.0,63.0,3.0,120604.0,2998.0,Iraq,Asia,,,0.0,,,
6,2020-05-08,2603.0,-1.0,104.0,-1.0,1661.0,838.0,-1.0,65.0,3.0,122941.0,3057.0,Iraq,Asia,,,0.0,,,
7,2020-05-09,2679.0,-1.0,107.0,-1.0,1702.0,870.0,-1.0,67.0,3.0,124920.0,3106.0,Iraq,Asia,,,0.0,,,
8,2020-05-10,2767.0,88.0,109.0,2.0,1734.0,924.0,-1.0,69.0,3.0,127153.0,3161.0,Iraq,Asia,,,0.0,,,
9,2020-05-11,2818.0,51.0,110.0,1.0,1790.0,918.0,-1.0,70.0,3.0,129701.0,3225.0,Iraq,Asia,,,0.0,,,
10,2020-05-12,2913.0,95.0,112.0,2.0,1903.0,898.0,-1.0,72.0,3.0,132457.0,3293.0,Iraq,Asia,,,0.0,,,
11,2020-05-13,3032.0,119.0,115.0,3.0,1966.0,951.0,-1.0,75.0,3.0,136640.0,3397.0,Iraq,Asia,,,0.0,,,
12,2020-05-14,3143.0,111.0,115.0,-1.0,2028.0,1000.0,-1.0,78.0,3.0,140573.0,3495.0,Iraq,Asia,,,0.0,,,
13,2020-05-15,3193.0,50.0,117.0,2.0,2089.0,987.0,-1.0,80.0,3.0,140573.0,3506.0,Iraq,Asia,66.0,40098372.0,0.0,,,
14,2020-05-16,3260.0,67.0,121.0,4.0,2126.0,1013.0,-1.0,81.0,3.0,140573.0,3505.0,Iraq,Asia,66.0,40100844.0,0.0,,,
15,2020-05-17,3404.0,144.0,123.0,2.0,2218.0,1063.0,-1.0,85.0,3.0,149701.0,3733.0,Iraq,Asia,66.0,40103316.0,0.0,,,
16,2020-05-18,3554.0,150.0,127.0,4.0,2310.0,1117.0,-1.0,89.0,3.0,149701.0,3733.0,Iraq,Asia,65.0,40105788.0,0.0,,,
17,2020-05-19,3611.0,57.0,131.0,4.0,2366.0,1114.0,-1.0,90.0,3.0,149701.0,3732.0,Iraq,Asia,65.0,40108260.0,0.0,,,
18,2020-05-20,3724.0,113.0,134.0,3.0,2438.0,1152.0,-1.0,93.0,3.0,149701.0,3732.0,Iraq,Asia,65.0,40110732.0,0.0,,,
19,2020-05-21,3877.0,153.0,140.0,6.0,2483.0,1254.0,-1.0,97.0,3.0,149701.0,3732.0,Iraq,Asia,66.0,40113204.0,0.0,,,
20,2020-05-22,3964.0,87.0,147.0,7.0,2532.0,1285.0,-1.0,99.0,4.0,175830.0,4383.0,Iraq,Asia,66.0,40115676.0,0.0,,,
21,2020-05-23,4272.0,308.0,152.0,5.0,2585.0,1535.0,-1.0,106.0,4.0,181882.0,4534.0,Iraq,Asia,65.0,40118148.0,0.0,,,
22,2020-05-24,4469.0,197.0,160.0,8.0,2738.0,1571.0,-1.0,111.0,4.0,186885.0,4658.0,Iraq,Asia,64.0,40120620.0,0.0,,,
23,2020-05-25,4632.0,163.0,163.0,3.0,2811.0,1658.0,-1.0,115.0,4.0,194444.0,4846.0,Iraq,Asia,65.0,40123092.0,0.0,,,
24,2020-05-26,4848.0,216.0,169.0,6.0,2852.0,1827.0,34.0,121.0,4.0,199367.0,4969.0,Iraq,Asia,65.0,40125564.0,0.0,,,
25,2020-05-27,5135.0,-1.0,175.0,-1.0,2904.0,2056.0,41.0,128.0,4.0,206381.0,5143.0,Iraq,Asia,65.0,40130509.0,0.0,,,
26,2020-05-28,5457.0,322.0,179.0,4.0,2971.0,2307.0,41.0,136.0,4.0,211485.0,5270.0,Iraq,Asia,64.0,40130509.0,0.0,,,
27,2020-05-29,5873.0,416.0,185.0,6.0,3044.0,2644.0,45.0,146.0,5.0,211485.0,5270.0,Iraq,Asia,64.0,40132981.0,0.0,,,
28,2020-05-30,6179.0,306.0,195.0,10.0,3110.0,2874.0,36.0,154.0,5.0,211485.0,5269.0,Iraq,Asia,64.0,40135453.0,0.0,,,
29,2020-05-31,6439.0,260.0,205.0,10.0,3156.0,3078.0,36.0,160.0,5.0,211485.0,5269.0,Iraq,Asia,64.0,40137925.0,0.0,,,
30,2020-06-01,6868.0,429.0,215.0,10.0,3275.0,3378.0,43.0,171.0,5.0,238251.0,5935.0,Iraq,Asia,64.0,40140397.0,0.0,,,
31,2020-06-02,7387.0,519.0,235.0,20.0,3508.0,3644.0,46.0,184.0,6.0,238251.0,5935.0,Iraq,Asia,62.0,40142869.0,233.0,5434.0,170821.0,168.0
32,2020-06-03,8168.0,781.0,256.0,21.0,4095.0,3817.0,46.0,203.0,6.0,238251.0,5935.0,Iraq,Asia,60.0,40145341.0,587.0,4915.0,156818.0,169.0
33,2020-06-04,8840.0,672.0,271.0,15.0,4338.0,4231.0,50.0,220.0,7.0,272259.0,6781.0,Iraq,Asia,59.0,40147813.0,243.0,4542.0,148147.0,147.0
34,2020-06-05,9846.0,1006.0,285.0,14.0,4573.0,4988.0,63.0,245.0,7.0,281901.0,7021.0,Iraq,Asia,56.0,40150285.0,235.0,4078.0,140878.0,142.0
35,2020-06-06,11098.0,1252.0,318.0,33.0,4904.0,5876.0,60.0,276.0,8.0,294444.0,7333.0,Iraq,Asia,55.0,40152757.0,331.0,3618.0,126267.0,136.0
36,2020-06-07,12366.0,1268.0,346.0,28.0,5186.0,6834.0,69.0,308.0,9.0,303053.0,7547.0,Iraq,Asia,51.0,40155229.0,282.0,3247.0,116056.0,133.0
37,2020-06-08,13481.0,1115.0,370.0,24.0,5572.0,7539.0,69.0,336.0,9.0,311980.0,7769.0,Iraq,Asia,49.0,40157701.0,386.0,2979.0,108534.0,129.0
38,2020-06-09,14268.0,787.0,392.0,22.0,5831.0,8045.0,70.0,355.0,10.0,322691.0,8035.0,Iraq,Asia,48.0,40160173.0,259.0,2815.0,102449.0,124.0
39,2020-06-10,15414.0,1146.0,426.0,34.0,6214.0,8774.0,88.0,384.0,11.0,330526.0,8230.0,Iraq,Asia,48.0,40162645.0,383.0,2606.0,94279.0,122.0
40,2020-06-11,16675.0,1261.0,457.0,31.0,6568.0,9650.0,98.0,415.0,11.0,339868.0,8462.0,Iraq,Asia,47.0,40165118.0,354.0,2409.0,87889.0,118.0
41,2020-06-12,17770.0,1095.0,496.0,39.0,6868.0,10406.0,111.0,442.0,12.0,349625.0,8704.0,Iraq,Asia,45.0,40167590.0,300.0,2260.0,80983.0,115.0
42,2020-06-13,18950.0,1180.0,549.0,53.0,7515.0,10886.0,111.0,472.0,14.0,359950.0,8961.0,Iraq,Asia,45.0,40170062.0,647.0,2120.0,73170.0,112.0
43,2020-06-14,20209.0,1259.0,607.0,58.0,8121.0,11481.0,128.0,503.0,15.0,369870.0,9207.0,Iraq,Asia,43.0,40172534.0,606.0,1988.0,66182.0,109.0
44,2020-06-15,21315.0,1106.0,652.0,45.0,9271.0,11392.0,150.0,531.0,16.0,380005.0,9459.0,Iraq,Asia,43.0,40175006.0,1150.0,1885.0,61618.0,106.0
45,2020-06-16,22700.0,1385.0,712.0,60.0,9862.0,12126.0,148.0,565.0,18.0,380005.0,9458.0,Iraq,Asia,42.0,40177478.0,591.0,1770.0,56429.0,106.0
46,2020-06-17,24254.0,1554.0,773.0,61.0,10770.0,12711.0,159.0,604.0,19.0,380005.0,9458.0,Iraq,Asia,41.0,40179950.0,908.0,1657.0,51979.0,106.0
47,2020-06-18,25717.0,1463.0,856.0,83.0,11333.0,13528.0,212.0,640.0,21.0,380005.0,9457.0,Iraq,Asia,40.0,40182422.0,563.0,1562.0,46942.0,106.0
48,2020-06-19,27352.0,1635.0,925.0,69.0,12205.0,14222.0,212.0,681.0,23.0,425192.0,10581.0,Iraq,Asia,40.0,40184894.0,872.0,1469.0,43443.0,95.0
49,2020-06-20,29222.0,1870.0,1013.0,88.0,13211.0,14998.0,212.0,727.0,25.0,425192.0,10580.0,Iraq,Asia,38.0,40189838.0,1006.0,1375.0,39674.0,95.0
50,2020-06-21,30868.0,1646.0,1100.0,87.0,13935.0,15833.0,224.0,768.0,27.0,425192.0,10580.0,Iraq,Asia,37.0,40189838.0,724.0,1302.0,36536.0,95.0
51,2020-06-22,32676.0,1808.0,1167.0,67.0,14785.0,16724.0,222.0,813.0,29.0,455316.0,11328.0,Iraq,Asia,35.0,40192310.0,850.0,1230.0,34441.0,88.0
52,2020-06-23,34502.0,1826.0,1251.0,84.0,15753.0,17498.0,222.0,858.0,31.0,455316.0,11328.0,Iraq,Asia,35.0,40194782.0,968.0,1165.0,32130.0,88.0
53,2020-06-24,36702.0,2200.0,1330.0,79.0,16814.0,18558.0,222.0,913.0,33.0,455316.0,11327.0,Iraq,Asia,35.0,40197254.0,1061.0,1095.0,30223.0,88.0
54,2020-06-25,39139.0,2437.0,1437.0,107.0,18051.0,19651.0,234.0,974.0,36.0,488803.0,12159.0,Iraq,Asia,35.0,40199726.0,1237.0,1027.0,27975.0,82.0
55,2020-06-26,41193.0,2054.0,1559.0,122.0,18859.0,20775.0,247.0,1025.0,39.0,500723.0,12455.0,Iraq,Asia,33.0,40202198.0,808.0,976.0,25787.0,80.0
56,2020-06-27,43262.0,2069.0,1660.0,101.0,19938.0,21664.0,254.0,1076.0,41.0,510353.0,12694.0,Iraq,Asia,32.0,40204671.0,1079.0,929.0,24220.0,79.0
57,2020-06-28,45402.0,2140.0,1756.0,96.0,21122.0,22524.0,324.0,1129.0,44.0,520948.0,12957.0,Iraq,Asia,31.0,40207143.0,1184.0,886.0,22897.0,77.0
58,2020-06-29,47151.0,1749.0,1839.0,83.0,22974.0,22338.0,336.0,1173.0,46.0,532120.0,13234.0,Iraq,Asia,31.0,40209615.0,1852.0,853.0,21865.0,76.0
59,2020-06-30,49109.0,1958.0,1943.0,104.0,24760.0,22406.0,293.0,1221.0,48.0,544545.0,13542.0,Iraq,Asia,30.0,40212087.0,1786.0,819.0,20696.0,74.0
60,2020-07-01,51524.0,2415.0,2050.0,107.0,26267.0,23207.0,328.0,1281.0,51.0,555923.0,13824.0,Iraq,Asia,29.0,40214559.0,1507.0,781.0,19617.0,72.0
61,2020-07-02,53708.0,2184.0,2160.0,110.0,27912.0,23636.0,326.0,1335.0,54.0,567685.0,14116.0,Iraq,Asia,29.0,40217031.0,1645.0,749.0,18619.0,71.0
62,2020-07-03,56020.0,2312.0,2262.0,102.0,29600.0,24158.0,338.0,1393.0,56.0,579861.0,14417.0,Iraq,Asia,29.0,40219503.0,1688.0,718.0,17781.0,69.0
63,2020-07-04,58354.0,2334.0,2368.0,106.0,31077.0,24909.0,333.0,1451.0,59.0,589377.0,14653.0,Iraq,Asia,29.0,40221975.0,1477.0,689.0,16986.0,68.0
64,2020-07-05,60479.0,2125.0,2473.0,105.0,33017.0,24989.0,306.0,1504.0,61.0,601088.0,14943.0,Iraq,Asia,29.0,40224447.0,1940.0,665.0,16265.0,67.0
65,2020-07-06,62275.0,1796.0,2567.0,94.0,34741.0,24967.0,337.0,1548.0,64.0,612607.0,15229.0,Iraq,Asia,28.0,40226919.0,1724.0,646.0,15671.0,66.0
66,2020-07-07,64701.0,2426.0,2685.0,118.0,36252.0,25764.0,396.0,1608.0,67.0,624420.0,15521.0,Iraq,Asia,26.0,40229391.0,1511.0,622.0,14983.0,64.0
67,2020-07-08,67442.0,2741.0,2779.0,94.0,37879.0,26784.0,403.0,1676.0,69.0,637227.0,15839.0,Iraq,Asia,26.0,40231863.0,1627.0,597.0,14477.0,63.0
68,2020-07-09,69612.0,2170.0,2882.0,103.0,39502.0,27228.0,415.0,1730.0,72.0,649036.0,16131.0,Iraq,Asia,26.0,40234335.0,1623.0,578.0,13961.0,62.0
69,2020-07-10,72460.0,2848.0,2960.0,78.0,41380.0,28120.0,404.0,1801.0,74.0,661090.0,16430.0,Iraq,Asia,25.0,40236807.0,1878.0,555.0,13594.0,61.0
70,2020-07-11,75194.0,2734.0,3055.0,95.0,43079.0,29060.0,400.0,1869.0,76.0,671478.0,16687.0,Iraq,Asia,24.0,40239279.0,1699.0,535.0,13172.0,60.0
71,2020-07-12,77506.0,2312.0,3150.0,95.0,44724.0,29632.0,400.0,1926.0,78.0,671478.0,16685.0,Iraq,Asia,24.0,40244224.0,1645.0,519.0,12776.0,60.0
72,2020-07-13,79735.0,2229.0,3250.0,100.0,46998.0,29487.0,412.0,1981.0,81.0,698012.0,17344.0,Iraq,Asia,24.0,40244224.0,2274.0,505.0,12383.0,58.0
73,2020-07-14,81757.0,2022.0,3345.0,95.0,50782.0,27630.0,412.0,2031.0,83.0,698012.0,17343.0,Iraq,Asia,24.0,40246696.0,3784.0,492.0,12032.0,58.0
74,2020-07-15,83867.0,2110.0,3432.0,87.0,52621.0,27814.0,374.0,2084.0,85.0,728737.0,18106.0,Iraq,Asia,24.0,40249168.0,1839.0,480.0,11728.0,55.0
75,2020-07-16,86148.0,2281.0,3522.0,90.0,54316.0,28310.0,382.0,2140.0,87.0,744847.0,18505.0,Iraq,Asia,23.0,40251640.0,1695.0,467.0,11429.0,54.0
76,2020-07-17,88171.0,2023.0,3616.0,94.0,56495.0,28060.0,382.0,2190.0,90.0,744847.0,18504.0,Iraq,Asia,23.0,40254112.0,2179.0,457.0,11132.0,54.0
77,2020-07-18,90220.0,2049.0,3691.0,75.0,58492.0,28037.0,397.0,2241.0,92.0,777287.0,19308.0,Iraq,Asia,23.0,40256584.0,1997.0,446.0,10907.0,52.0
78,2020-07-19,92530.0,2310.0,3781.0,90.0,60528.0,28221.0,397.0,2298.0,94.0,793024.0,19698.0,Iraq,Asia,23.0,40259056.0,2036.0,435.0,10648.0,51.0
