,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,21176.0,343.0,1286.0,21.0,13386.0,6504.0,99.0,4289.0,260.0,153954.0,31179.0,Ireland,Europe,,,0.0,,,
1,2020-05-03,21506.0,330.0,1303.0,17.0,13386.0,6817.0,98.0,4355.0,264.0,169377.0,34302.0,Ireland,Europe,,,0.0,,,
2,2020-05-04,21772.0,266.0,1319.0,16.0,13386.0,7067.0,93.0,4409.0,267.0,169377.0,34302.0,Ireland,Europe,,,0.0,,,
3,2020-05-05,21983.0,-1.0,1339.0,-1.0,13386.0,7258.0,93.0,4452.0,271.0,214761.0,43493.0,Ireland,Europe,,,0.0,,,
4,2020-05-06,22248.0,265.0,1375.0,36.0,13386.0,7487.0,93.0,4506.0,278.0,214761.0,43493.0,Ireland,Europe,,,0.0,,,
5,2020-05-07,22385.0,137.0,1403.0,28.0,17110.0,3872.0,93.0,4533.0,284.0,214761.0,43493.0,Ireland,Europe,,,0.0,,,
6,2020-05-08,22541.0,-1.0,1429.0,-1.0,17110.0,4002.0,76.0,4565.0,289.0,214761.0,43493.0,Ireland,Europe,,,0.0,,,
7,2020-05-09,22760.0,-1.0,1446.0,-1.0,17110.0,4204.0,72.0,4609.0,293.0,214761.0,43493.0,Ireland,Europe,,,0.0,,,
8,2020-05-10,22996.0,236.0,1458.0,12.0,17110.0,4428.0,72.0,4657.0,295.0,214761.0,43493.0,Ireland,Europe,,,0.0,,,
9,2020-05-11,23135.0,139.0,1467.0,9.0,17110.0,4558.0,72.0,4685.0,297.0,214761.0,43493.0,Ireland,Europe,,,0.0,,,
10,2020-05-12,23242.0,107.0,1488.0,21.0,17110.0,4644.0,72.0,4707.0,301.0,258808.0,52414.0,Ireland,Europe,,,0.0,,,
11,2020-05-13,23401.0,159.0,1497.0,9.0,19470.0,2434.0,72.0,4739.0,303.0,258808.0,52414.0,Ireland,Europe,,,0.0,,,
12,2020-05-14,23827.0,426.0,1506.0,9.0,19470.0,2851.0,69.0,4825.0,305.0,258808.0,52414.0,Ireland,Europe,,,0.0,,,
13,2020-05-15,23956.0,129.0,1518.0,12.0,19470.0,2968.0,69.0,4859.0,308.0,258808.0,52491.0,Ireland,Europe,27.0,4930547.0,0.0,,,
14,2020-05-16,24048.0,92.0,1533.0,15.0,19470.0,3045.0,69.0,4877.0,311.0,258808.0,52489.0,Ireland,Europe,27.0,4930698.0,0.0,,,
15,2020-05-17,24112.0,64.0,1543.0,10.0,19470.0,3099.0,54.0,4890.0,313.0,258808.0,52488.0,Ireland,Europe,27.0,4930848.0,0.0,,,
16,2020-05-18,24200.0,88.0,1547.0,4.0,19470.0,3183.0,54.0,4908.0,314.0,258808.0,52486.0,Ireland,Europe,27.0,4930999.0,0.0,,,
17,2020-05-19,24251.0,51.0,1561.0,14.0,19470.0,3220.0,54.0,4918.0,317.0,295626.0,59951.0,Ireland,Europe,29.0,4931150.0,0.0,,,
18,2020-05-20,24315.0,64.0,1571.0,10.0,21060.0,1684.0,54.0,4931.0,319.0,295626.0,59949.0,Ireland,Europe,29.0,4931300.0,0.0,,,
19,2020-05-21,24391.0,76.0,1583.0,12.0,21060.0,1748.0,54.0,4946.0,321.0,295626.0,59947.0,Ireland,Europe,29.0,4931451.0,0.0,,,
20,2020-05-22,24506.0,115.0,1592.0,9.0,21060.0,1854.0,54.0,4969.0,323.0,295626.0,59945.0,Ireland,Europe,29.0,4931601.0,0.0,,,
21,2020-05-23,24582.0,76.0,1604.0,12.0,21060.0,1918.0,54.0,4984.0,325.0,295626.0,59943.0,Ireland,Europe,29.0,4931752.0,0.0,,,
22,2020-05-24,24639.0,57.0,1608.0,4.0,21060.0,1971.0,54.0,4996.0,326.0,295626.0,59942.0,Ireland,Europe,29.0,4931903.0,0.0,,,
23,2020-05-25,24698.0,59.0,1606.0,-1.0,21060.0,2032.0,54.0,5008.0,326.0,295626.0,59940.0,Ireland,Europe,29.0,4932053.0,0.0,,,
24,2020-05-26,24735.0,37.0,1615.0,9.0,21060.0,2060.0,54.0,5015.0,327.0,325795.0,66055.0,Ireland,Europe,29.0,4932204.0,0.0,,,
25,2020-05-27,24803.0,-1.0,1631.0,-1.0,22089.0,1083.0,54.0,5028.0,331.0,325795.0,66051.0,Ireland,Europe,30.0,4932505.0,0.0,,,
26,2020-05-28,24841.0,38.0,1639.0,8.0,22089.0,1113.0,47.0,5036.0,332.0,325795.0,66051.0,Ireland,Europe,30.0,4932505.0,0.0,,,
27,2020-05-29,24876.0,35.0,1645.0,6.0,22089.0,1142.0,47.0,5043.0,333.0,325795.0,66049.0,Ireland,Europe,33.0,4932656.0,0.0,,,
28,2020-05-30,24929.0,53.0,1651.0,6.0,22089.0,1189.0,42.0,5054.0,335.0,325795.0,66047.0,Ireland,Europe,33.0,4932806.0,0.0,,,
29,2020-05-31,24990.0,61.0,1652.0,1.0,22089.0,1249.0,36.0,5066.0,335.0,325795.0,66045.0,Ireland,Europe,33.0,4932957.0,0.0,,,
30,2020-06-01,25062.0,72.0,1652.0,-1.0,22089.0,1321.0,36.0,5080.0,335.0,325795.0,66043.0,Ireland,Europe,34.0,4933108.0,0.0,,,
31,2020-06-02,25066.0,4.0,1658.0,8.0,22089.0,1319.0,36.0,5081.0,336.0,348416.0,70626.0,Ireland,Europe,34.0,4933258.0,-1.0,197.0,2975.0,14.0
32,2020-06-03,25111.0,45.0,1659.0,1.0,22698.0,754.0,36.0,5090.0,336.0,348416.0,70624.0,Ireland,Europe,34.0,4933409.0,609.0,196.0,2974.0,14.0
33,2020-06-04,25142.0,31.0,1664.0,5.0,22698.0,780.0,36.0,5096.0,337.0,348416.0,70622.0,Ireland,Europe,35.0,4933560.0,-1.0,196.0,2965.0,14.0
34,2020-06-05,25163.0,21.0,1670.0,6.0,22698.0,795.0,36.0,5100.0,338.0,348416.0,70619.0,Ireland,Europe,36.0,4933710.0,-1.0,196.0,2954.0,14.0
35,2020-06-06,25183.0,20.0,1678.0,8.0,22698.0,807.0,36.0,5104.0,340.0,348416.0,70617.0,Ireland,Europe,36.0,4933861.0,-1.0,196.0,2940.0,14.0
36,2020-06-07,25201.0,18.0,1679.0,1.0,22698.0,824.0,36.0,5108.0,340.0,348416.0,70615.0,Ireland,Europe,36.0,4934012.0,-1.0,196.0,2939.0,14.0
37,2020-06-08,25207.0,6.0,1683.0,4.0,22698.0,826.0,36.0,5109.0,341.0,348416.0,70613.0,Ireland,Europe,36.0,4934162.0,-1.0,196.0,2932.0,14.0
38,2020-06-09,25215.0,8.0,1691.0,8.0,22698.0,826.0,34.0,5110.0,343.0,367780.0,74535.0,Ireland,Europe,36.0,4934313.0,-1.0,196.0,2918.0,13.0
39,2020-06-10,25231.0,16.0,1695.0,4.0,22698.0,838.0,34.0,5113.0,344.0,367780.0,74533.0,Ireland,Europe,36.0,4934463.0,-1.0,196.0,2911.0,13.0
40,2020-06-11,25238.0,7.0,1703.0,8.0,22698.0,837.0,28.0,5114.0,345.0,367780.0,74531.0,Ireland,Europe,37.0,4934614.0,-1.0,196.0,2898.0,13.0
41,2020-06-12,25250.0,12.0,1705.0,2.0,22698.0,847.0,28.0,5117.0,346.0,367780.0,74528.0,Ireland,Europe,37.0,4934765.0,-1.0,195.0,2894.0,13.0
42,2020-06-13,25295.0,45.0,1705.0,-1.0,22698.0,892.0,28.0,5126.0,345.0,367780.0,74526.0,Ireland,Europe,38.0,4934915.0,-1.0,195.0,2894.0,13.0
43,2020-06-14,25303.0,8.0,1706.0,1.0,22698.0,899.0,28.0,5127.0,346.0,367780.0,74524.0,Ireland,Europe,38.0,4935066.0,-1.0,195.0,2893.0,13.0
