,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,320.0,4.0,22.0,-1.0,271.0,27.0,21.0,3763.0,259.0,3242.0,38126.0,Isle of Man,Europe,,,0.0,,,
1,2020-05-03,321.0,1.0,22.0,-1.0,271.0,28.0,21.0,3775.0,259.0,3339.0,39267.0,Isle of Man,Europe,,,0.0,,,
2,2020-05-04,325.0,4.0,23.0,1.0,271.0,31.0,21.0,3822.0,270.0,3339.0,39267.0,Isle of Man,Europe,,,0.0,,,
3,2020-05-05,326.0,-1.0,23.0,-1.0,271.0,32.0,19.0,3834.0,270.0,3459.0,40678.0,Isle of Man,Europe,,,0.0,,,
4,2020-05-06,326.0,-1.0,23.0,-1.0,271.0,32.0,19.0,3834.0,270.0,3459.0,40678.0,Isle of Man,Europe,,,0.0,,,
5,2020-05-07,329.0,2.0,23.0,-1.0,271.0,35.0,19.0,3869.0,270.0,3625.0,42631.0,Isle of Man,Europe,,,0.0,,,
6,2020-05-08,329.0,-1.0,23.0,-1.0,271.0,35.0,19.0,3869.0,270.0,3625.0,42631.0,Isle of Man,Europe,,,0.0,,,
7,2020-05-09,329.0,-1.0,23.0,-1.0,271.0,35.0,19.0,3869.0,270.0,3625.0,42631.0,Isle of Man,Europe,,,0.0,,,
8,2020-05-10,330.0,1.0,23.0,-1.0,271.0,36.0,19.0,3881.0,270.0,3758.0,44195.0,Isle of Man,Europe,,,0.0,,,
9,2020-05-11,330.0,-1.0,23.0,-1.0,271.0,36.0,21.0,3881.0,270.0,3773.0,44371.0,Isle of Man,Europe,,,0.0,,,
10,2020-05-12,331.0,1.0,23.0,-1.0,271.0,37.0,21.0,3893.0,270.0,3853.0,45312.0,Isle of Man,Europe,,,0.0,,,
11,2020-05-13,332.0,1.0,23.0,-1.0,272.0,37.0,20.0,3904.0,270.0,3912.0,46006.0,Isle of Man,Europe,,,0.0,,,
12,2020-05-14,332.0,-1.0,23.0,-1.0,274.0,35.0,20.0,3904.0,270.0,3973.0,46723.0,Isle of Man,Europe,,,0.0,,,
13,2020-05-15,334.0,2.0,24.0,1.0,285.0,25.0,10.0,3931.0,282.0,3998.0,47049.0,Isle of Man,Europe,132.0,84975.0,0.0,,,
14,2020-05-16,335.0,1.0,24.0,-1.0,285.0,26.0,9.0,3942.0,282.0,4066.0,47848.0,Isle of Man,Europe,132.0,84977.0,0.0,,,
15,2020-05-17,335.0,-1.0,24.0,-1.0,285.0,26.0,9.0,3942.0,282.0,4102.0,48271.0,Isle of Man,Europe,133.0,84978.0,0.0,,,
16,2020-05-18,335.0,-1.0,24.0,-1.0,296.0,15.0,9.0,3942.0,282.0,4167.0,49036.0,Isle of Man,Europe,135.0,84979.0,0.0,,,
17,2020-05-19,335.0,-1.0,24.0,-1.0,300.0,11.0,9.0,3942.0,282.0,4234.0,49823.0,Isle of Man,Europe,136.0,84980.0,0.0,,,
18,2020-05-20,336.0,1.0,24.0,-1.0,302.0,10.0,4.0,3954.0,282.0,4262.0,50152.0,Isle of Man,Europe,138.0,84982.0,0.0,,,
19,2020-05-21,336.0,-1.0,24.0,-1.0,303.0,9.0,2.0,3954.0,282.0,4353.0,51222.0,Isle of Man,Europe,139.0,84983.0,0.0,,,
20,2020-05-22,336.0,-1.0,24.0,-1.0,303.0,9.0,2.0,3954.0,282.0,4393.0,51692.0,Isle of Man,Europe,139.0,84984.0,0.0,,,
21,2020-05-23,336.0,-1.0,24.0,-1.0,303.0,9.0,2.0,3954.0,282.0,4454.0,52409.0,Isle of Man,Europe,139.0,84985.0,0.0,,,
22,2020-05-24,336.0,-1.0,24.0,-1.0,303.0,9.0,2.0,3954.0,282.0,4454.0,52409.0,Isle of Man,Europe,139.0,84986.0,0.0,,,
23,2020-05-25,336.0,-1.0,24.0,-1.0,303.0,9.0,2.0,3953.0,282.0,4569.0,53761.0,Isle of Man,Europe,139.0,84988.0,0.0,,,
24,2020-05-26,336.0,-1.0,24.0,-1.0,306.0,6.0,2.0,3953.0,282.0,4624.0,54407.0,Isle of Man,Europe,140.0,84989.0,0.0,,,
25,2020-05-27,336.0,-1.0,24.0,-1.0,306.0,6.0,2.0,3953.0,282.0,4669.0,54935.0,Isle of Man,Europe,143.0,84991.0,0.0,,,
26,2020-05-28,336.0,-1.0,24.0,-1.0,306.0,6.0,2.0,3953.0,282.0,4732.0,55676.0,Isle of Man,Europe,144.0,84991.0,0.0,,,
27,2020-05-29,336.0,-1.0,24.0,-1.0,309.0,3.0,-1.0,3953.0,282.0,4756.0,55958.0,Isle of Man,Europe,144.0,84993.0,0.0,,,
28,2020-05-30,336.0,-1.0,24.0,-1.0,309.0,3.0,-1.0,3953.0,282.0,4756.0,55957.0,Isle of Man,Europe,144.0,84994.0,0.0,,,
29,2020-05-31,336.0,-1.0,24.0,-1.0,309.0,3.0,-1.0,3953.0,282.0,4892.0,57556.0,Isle of Man,Europe,145.0,84995.0,0.0,,,
30,2020-06-01,336.0,-1.0,24.0,-1.0,311.0,1.0,-1.0,3953.0,282.0,4892.0,57556.0,Isle of Man,Europe,146.0,84996.0,0.0,,,
31,2020-06-02,336.0,-1.0,24.0,-1.0,311.0,1.0,-1.0,3953.0,282.0,5003.0,58861.0,Isle of Man,Europe,147.0,84997.0,-1.0,253.0,3542.0,17.0
32,2020-06-03,336.0,-1.0,24.0,-1.0,312.0,0.0,-1.0,3953.0,282.0,5046.0,59365.0,Isle of Man,Europe,147.0,84999.0,1.0,253.0,3542.0,17.0
33,2020-06-04,336.0,-1.0,24.0,-1.0,312.0,0.0,-1.0,3953.0,282.0,5094.0,59929.0,Isle of Man,Europe,148.0,85000.0,-1.0,253.0,3542.0,17.0
34,2020-06-05,336.0,-1.0,24.0,-1.0,312.0,0.0,-1.0,3953.0,282.0,5123.0,60270.0,Isle of Man,Europe,149.0,85001.0,-1.0,253.0,3542.0,17.0
