,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,16152.0,51.0,227.0,2.0,9400.0,6525.0,107.0,1866.0,26.0,390022.0,45060.0,Israel,Asia,,,0.0,,,
1,2020-05-03,16208.0,23.0,232.0,3.0,9749.0,6227.0,103.0,1873.0,27.0,397046.0,45872.0,Israel,Asia,,,0.0,,,
2,2020-05-04,16246.0,38.0,235.0,3.0,10064.0,5947.0,70.0,1877.0,27.0,404285.0,46708.0,Israel,Asia,,,0.0,,,
3,2020-05-05,16289.0,-1.0,238.0,-1.0,10465.0,5586.0,89.0,1882.0,27.0,417100.0,48189.0,Israel,Asia,,,0.0,,,
4,2020-05-06,16314.0,25.0,238.0,-1.0,10527.0,5549.0,90.0,1885.0,27.0,423125.0,48885.0,Israel,Asia,,,0.0,,,
5,2020-05-07,16381.0,71.0,240.0,1.0,10873.0,5268.0,83.0,1893.0,28.0,432453.0,49963.0,Israel,Asia,,,0.0,,,
6,2020-05-08,16436.0,-1.0,245.0,-1.0,11229.0,4962.0,78.0,1899.0,28.0,442925.0,51172.0,Israel,Asia,,,0.0,,,
7,2020-05-09,16454.0,-1.0,247.0,-1.0,11376.0,4831.0,78.0,1901.0,29.0,451028.0,52109.0,Israel,Asia,,,0.0,,,
8,2020-05-10,16477.0,23.0,252.0,5.0,11430.0,4795.0,74.0,1904.0,29.0,455267.0,52598.0,Israel,Asia,,,0.0,,,
9,2020-05-11,16492.0,15.0,254.0,2.0,11548.0,4690.0,73.0,1905.0,29.0,461704.0,53342.0,Israel,Asia,,,0.0,,,
10,2020-05-12,16529.0,23.0,260.0,2.0,12083.0,4186.0,67.0,1910.0,30.0,469800.0,54277.0,Israel,Asia,,,0.0,,,
11,2020-05-13,16548.0,19.0,264.0,4.0,12232.0,4052.0,61.0,1912.0,31.0,477151.0,55127.0,Israel,Asia,,,0.0,,,
12,2020-05-14,16579.0,31.0,265.0,1.0,12521.0,3793.0,62.0,1915.0,31.0,485922.0,56140.0,Israel,Asia,,,0.0,,,
13,2020-05-15,16589.0,10.0,266.0,1.0,12587.0,3736.0,60.0,1921.0,31.0,485922.0,56258.0,Israel,Asia,32.0,8637437.0,0.0,,,
14,2020-05-16,16608.0,19.0,268.0,2.0,12855.0,3485.0,59.0,1923.0,31.0,498711.0,57736.0,Israel,Asia,34.0,8637807.0,0.0,,,
15,2020-05-17,16617.0,10.0,272.0,4.0,12942.0,3403.0,50.0,1924.0,31.0,498711.0,57733.0,Israel,Asia,34.0,8638177.0,0.0,,,
16,2020-05-18,16643.0,26.0,276.0,4.0,13253.0,3114.0,52.0,1927.0,32.0,505702.0,58540.0,Israel,Asia,34.0,8638547.0,0.0,,,
17,2020-05-19,16659.0,16.0,278.0,2.0,13435.0,2946.0,50.0,1928.0,32.0,512452.0,59319.0,Israel,Asia,35.0,8638917.0,0.0,,,
18,2020-05-20,16667.0,8.0,279.0,1.0,13504.0,2884.0,48.0,1929.0,32.0,522632.0,60495.0,Israel,Asia,37.0,8639287.0,0.0,,,
19,2020-05-21,16683.0,16.0,279.0,-1.0,13724.0,2680.0,47.0,1931.0,32.0,524584.0,60718.0,Israel,Asia,37.0,8639658.0,0.0,,,
20,2020-05-22,16690.0,7.0,279.0,-1.0,13915.0,2496.0,47.0,1932.0,32.0,531124.0,61472.0,Israel,Asia,37.0,8640028.0,0.0,,,
21,2020-05-23,16712.0,22.0,279.0,-1.0,14085.0,2348.0,47.0,1817.0,30.0,536306.0,58309.0,Israel,Asia,37.0,9197590.0,0.0,,,
22,2020-05-24,16717.0,5.0,279.0,-1.0,14153.0,2285.0,45.0,1818.0,30.0,537489.0,58438.0,Israel,Asia,38.0,9197590.0,0.0,,,
23,2020-05-25,16734.0,17.0,281.0,2.0,14307.0,2146.0,43.0,1819.0,31.0,541322.0,58855.0,Israel,Asia,38.0,9197590.0,0.0,,,
24,2020-05-26,16757.0,23.0,281.0,-1.0,14457.0,2019.0,43.0,1822.0,31.0,545761.0,59337.0,Israel,Asia,38.0,9197590.0,0.0,,,
25,2020-05-27,16793.0,-1.0,281.0,-1.0,14570.0,1942.0,39.0,1826.0,31.0,552471.0,60067.0,Israel,Asia,38.0,9197590.0,0.0,,,
26,2020-05-28,16872.0,79.0,284.0,3.0,14679.0,1909.0,41.0,1834.0,31.0,558516.0,60724.0,Israel,Asia,38.0,9197590.0,0.0,,,
27,2020-05-29,16987.0,115.0,284.0,-1.0,14776.0,1927.0,37.0,1847.0,31.0,565311.0,61463.0,Israel,Asia,38.0,9197590.0,0.0,,,
28,2020-05-30,17012.0,25.0,284.0,-1.0,14811.0,1917.0,39.0,1850.0,31.0,567429.0,61693.0,Israel,Asia,39.0,9197590.0,0.0,,,
29,2020-05-31,17071.0,59.0,285.0,1.0,14812.0,1974.0,39.0,1856.0,31.0,568452.0,61804.0,Israel,Asia,40.0,9197590.0,0.0,,,
30,2020-06-01,17169.0,98.0,285.0,-1.0,14878.0,2006.0,33.0,1867.0,31.0,568452.0,61804.0,Israel,Asia,40.0,9197590.0,0.0,,,
31,2020-06-02,17285.0,116.0,290.0,5.0,14940.0,2055.0,31.0,1879.0,32.0,582445.0,63326.0,Israel,Asia,41.0,9197590.0,62.0,532.0,31716.0,16.0
32,2020-06-03,17377.0,92.0,291.0,1.0,14983.0,2103.0,28.0,1889.0,32.0,593499.0,64528.0,Israel,Asia,41.0,9197590.0,43.0,529.0,31607.0,15.0
33,2020-06-04,17495.0,118.0,291.0,-1.0,15013.0,2191.0,27.0,1902.0,32.0,606596.0,65952.0,Israel,Asia,42.0,9197590.0,30.0,526.0,31607.0,15.0
34,2020-06-05,17562.0,67.0,291.0,-1.0,15026.0,2245.0,30.0,1909.0,32.0,622323.0,67662.0,Israel,Asia,42.0,9197590.0,13.0,524.0,31607.0,15.0
35,2020-06-06,17752.0,190.0,295.0,4.0,15042.0,2415.0,29.0,1930.0,32.0,637863.0,69351.0,Israel,Asia,42.0,9197590.0,16.0,518.0,31178.0,14.0
36,2020-06-07,17863.0,111.0,298.0,3.0,15091.0,2474.0,27.0,1942.0,32.0,649463.0,70612.0,Israel,Asia,42.0,9197590.0,49.0,515.0,30864.0,14.0
37,2020-06-08,18032.0,169.0,298.0,-1.0,15102.0,2632.0,27.0,1961.0,32.0,662916.0,72075.0,Israel,Asia,42.0,9197590.0,11.0,510.0,30864.0,14.0
38,2020-06-09,18180.0,148.0,299.0,1.0,15159.0,2722.0,29.0,1977.0,33.0,678009.0,73716.0,Israel,Asia,43.0,9197590.0,57.0,506.0,30761.0,14.0
39,2020-06-10,18355.0,175.0,299.0,-1.0,15168.0,2888.0,31.0,1996.0,33.0,692745.0,75318.0,Israel,Asia,43.0,9197590.0,9.0,501.0,30761.0,13.0
40,2020-06-11,18569.0,214.0,300.0,1.0,15250.0,3019.0,24.0,2019.0,33.0,706906.0,76858.0,Israel,Asia,43.0,9197590.0,82.0,495.0,30659.0,13.0
41,2020-06-12,18795.0,226.0,300.0,-1.0,15288.0,3207.0,34.0,2043.0,33.0,727853.0,79135.0,Israel,Asia,43.0,9197590.0,38.0,489.0,30659.0,13.0
42,2020-06-13,18972.0,177.0,300.0,-1.0,15357.0,3315.0,33.0,2063.0,33.0,739627.0,80415.0,Israel,Asia,44.0,9197590.0,69.0,485.0,30659.0,12.0
43,2020-06-14,19055.0,83.0,300.0,-1.0,15375.0,3380.0,34.0,2072.0,33.0,747956.0,81321.0,Israel,Asia,45.0,9197590.0,18.0,483.0,30659.0,12.0
44,2020-06-15,19237.0,182.0,302.0,2.0,15415.0,3520.0,32.0,2092.0,33.0,756701.0,82272.0,Israel,Asia,45.0,9197590.0,40.0,478.0,30456.0,12.0
45,2020-06-16,19495.0,258.0,302.0,-1.0,15449.0,3744.0,36.0,2120.0,33.0,772074.0,83943.0,Israel,Asia,46.0,9197590.0,34.0,472.0,30456.0,12.0
46,2020-06-17,19783.0,288.0,303.0,1.0,15459.0,4021.0,36.0,2151.0,33.0,788870.0,85769.0,Israel,Asia,47.0,9197590.0,10.0,465.0,30355.0,12.0
47,2020-06-18,20036.0,253.0,303.0,-1.0,15518.0,4215.0,38.0,2178.0,33.0,804743.0,87495.0,Israel,Asia,46.0,9197590.0,59.0,459.0,30355.0,11.0
48,2020-06-19,20339.0,303.0,304.0,1.0,15586.0,4449.0,39.0,2211.0,33.0,804743.0,87495.0,Israel,Asia,47.0,9197590.0,68.0,452.0,30255.0,11.0
49,2020-06-20,20633.0,294.0,305.0,1.0,15586.0,4742.0,40.0,2243.0,33.0,804743.0,87495.0,Israel,Asia,47.0,9197590.0,-1.0,446.0,30156.0,11.0
50,2020-06-21,20778.0,145.0,306.0,1.0,15694.0,4778.0,43.0,2259.0,33.0,804743.0,87495.0,Israel,Asia,47.0,9197590.0,108.0,443.0,30057.0,11.0
51,2020-06-22,21082.0,304.0,307.0,1.0,15761.0,5014.0,44.0,2292.0,33.0,850869.0,92510.0,Israel,Asia,47.0,9197590.0,67.0,436.0,29960.0,11.0
52,2020-06-23,21512.0,430.0,308.0,1.0,15869.0,5335.0,40.0,2339.0,33.0,863880.0,93925.0,Israel,Asia,47.0,9197590.0,108.0,428.0,29862.0,11.0
53,2020-06-24,21732.0,220.0,308.0,-1.0,15904.0,5520.0,46.0,2363.0,33.0,886058.0,96336.0,Israel,Asia,47.0,9197590.0,35.0,423.0,29862.0,10.0
54,2020-06-25,22400.0,356.0,309.0,1.0,16007.0,6084.0,47.0,2435.0,34.0,886058.0,96336.0,Israel,Asia,49.0,9197590.0,67.0,411.0,29766.0,10.0
55,2020-06-26,22800.0,400.0,314.0,5.0,16872.0,5614.0,46.0,2479.0,34.0,920460.0,100076.0,Israel,Asia,48.0,9197590.0,865.0,403.0,29292.0,10.0
56,2020-06-27,23421.0,621.0,317.0,3.0,17002.0,6102.0,41.0,2546.0,34.0,920460.0,100076.0,Israel,Asia,48.0,9197590.0,130.0,393.0,29014.0,10.0
57,2020-06-28,23755.0,334.0,318.0,1.0,17074.0,6363.0,39.0,2583.0,35.0,949012.0,103181.0,Israel,Asia,49.0,9197590.0,72.0,387.0,28923.0,10.0
58,2020-06-29,24441.0,686.0,319.0,1.0,17218.0,6904.0,43.0,2657.0,35.0,962533.0,104651.0,Israel,Asia,49.0,9197590.0,144.0,376.0,28833.0,10.0
59,2020-06-30,25244.0,803.0,320.0,1.0,17341.0,7583.0,52.0,2745.0,35.0,978281.0,106363.0,Israel,Asia,48.0,9197590.0,123.0,364.0,28742.0,9.0
60,2020-07-01,26257.0,1013.0,322.0,2.0,17452.0,8483.0,57.0,2855.0,35.0,1000949.0,108827.0,Israel,Asia,46.0,9197590.0,111.0,350.0,28564.0,9.0
61,2020-07-02,27047.0,790.0,324.0,2.0,17547.0,9176.0,65.0,2941.0,35.0,1024298.0,111366.0,Israel,Asia,47.0,9197590.0,95.0,340.0,28388.0,9.0
62,2020-07-03,28055.0,1008.0,326.0,2.0,17669.0,10060.0,77.0,3050.0,35.0,1024298.0,111366.0,Israel,Asia,47.0,9197590.0,122.0,328.0,28213.0,9.0
63,2020-07-04,29170.0,1115.0,330.0,4.0,17816.0,11024.0,84.0,3171.0,36.0,1069963.0,116331.0,Israel,Asia,45.0,9197590.0,147.0,315.0,27871.0,9.0
64,2020-07-05,29958.0,788.0,331.0,1.0,17950.0,11677.0,86.0,3257.0,36.0,1069963.0,116331.0,Israel,Asia,45.0,9197590.0,134.0,307.0,27787.0,9.0
65,2020-07-06,30749.0,791.0,334.0,3.0,18056.0,12359.0,88.0,3343.0,36.0,1107070.0,120365.0,Israel,Asia,45.0,9197590.0,106.0,299.0,27538.0,8.0
66,2020-07-07,32222.0,1473.0,342.0,8.0,18227.0,13653.0,86.0,3503.0,37.0,1130991.0,122966.0,Israel,Asia,45.0,9197590.0,171.0,285.0,26894.0,8.0
67,2020-07-08,33557.0,1335.0,344.0,2.0,18338.0,14875.0,113.0,3648.0,37.0,1162749.0,126419.0,Israel,Asia,44.0,9197590.0,111.0,274.0,26737.0,8.0
68,2020-07-09,34825.0,1268.0,348.0,4.0,18452.0,16025.0,122.0,3786.0,38.0,1192111.0,129611.0,Israel,Asia,43.0,9197590.0,114.0,264.0,26430.0,8.0
69,2020-07-10,36266.0,1441.0,351.0,3.0,18613.0,17302.0,130.0,3943.0,38.0,1192111.0,129611.0,Israel,Asia,43.0,9197590.0,161.0,254.0,26204.0,8.0
70,2020-07-11,37464.0,1198.0,354.0,3.0,18814.0,18296.0,134.0,4073.0,38.0,1221430.0,132799.0,Israel,Asia,43.0,9197590.0,201.0,246.0,25982.0,8.0
71,2020-07-12,38670.0,1206.0,362.0,8.0,19008.0,19300.0,151.0,4204.0,39.0,1221430.0,132799.0,Israel,Asia,42.0,9197590.0,194.0,238.0,25408.0,8.0
72,2020-07-13,40632.0,1962.0,365.0,3.0,19395.0,20872.0,183.0,4418.0,40.0,1266385.0,137687.0,Israel,Asia,42.0,9197590.0,387.0,226.0,25199.0,7.0
73,2020-07-14,42360.0,1728.0,371.0,6.0,19665.0,22324.0,177.0,4606.0,40.0,1317362.0,143229.0,Israel,Asia,42.0,9197590.0,270.0,217.0,24791.0,7.0
74,2020-07-15,44188.0,1828.0,376.0,5.0,19989.0,23823.0,204.0,4804.0,41.0,1317362.0,143229.0,Israel,Asia,42.0,9197590.0,324.0,208.0,24462.0,7.0
75,2020-07-16,46059.0,1871.0,384.0,8.0,20370.0,25305.0,202.0,5008.0,42.0,1379491.0,149984.0,Israel,Asia,42.0,9197590.0,381.0,200.0,23952.0,7.0
76,2020-07-17,47459.0,1400.0,392.0,8.0,20744.0,26323.0,208.0,5160.0,43.0,1411893.0,153507.0,Israel,Asia,41.0,9197590.0,374.0,194.0,23463.0,7.0
77,2020-07-18,49365.0,1906.0,401.0,9.0,21348.0,27616.0,217.0,5367.0,44.0,1411893.0,153507.0,Israel,Asia,40.0,9197590.0,604.0,186.0,22937.0,7.0
78,2020-07-19,50289.0,924.0,409.0,8.0,21675.0,28205.0,252.0,5468.0,44.0,1457203.0,158433.0,Israel,Asia,40.0,9197590.0,327.0,183.0,22488.0,6.0
79,2020-07-20,52003.0,1714.0,415.0,6.0,22154.0,29434.0,264.0,5654.0,45.0,1477455.0,160635.0,Israel,Asia,39.0,9197590.0,479.0,177.0,22163.0,6.0
80,2020-07-21,54042.0,2039.0,425.0,10.0,22743.0,30874.0,256.0,5876.0,46.0,1503999.0,163521.0,Israel,Asia,39.0,9197590.0,589.0,170.0,21641.0,6.0
81,2020-07-22,56085.0,2043.0,430.0,5.0,23310.0,32345.0,273.0,6098.0,47.0,1503999.0,163521.0,Israel,Asia,37.0,9197590.0,567.0,164.0,21390.0,6.0
82,2020-07-23,57982.0,1897.0,442.0,12.0,24044.0,33496.0,301.0,6304.0,48.0,1535242.0,166918.0,Israel,Asia,37.0,9197590.0,734.0,159.0,20809.0,6.0
83,2020-07-24,59475.0,1493.0,448.0,6.0,26797.0,32230.0,308.0,6466.0,49.0,1597269.0,173662.0,Israel,Asia,36.0,9197590.0,2753.0,155.0,20530.0,6.0
84,2020-07-25,60678.0,1203.0,457.0,9.0,26917.0,33304.0,310.0,6597.0,50.0,1597269.0,173662.0,Israel,Asia,37.0,9197590.0,120.0,152.0,20126.0,6.0
85,2020-07-26,61956.0,1278.0,470.0,13.0,27025.0,34461.0,303.0,6736.0,51.0,1597269.0,173662.0,Israel,Asia,37.0,9197590.0,108.0,148.0,19569.0,6.0
86,2020-07-27,63985.0,2029.0,474.0,4.0,27133.0,36378.0,311.0,6957.0,52.0,1651766.0,179587.0,Israel,Asia,37.0,9197590.0,108.0,144.0,19404.0,6.0
87,2020-07-28,66293.0,2308.0,486.0,12.0,32182.0,33625.0,316.0,7208.0,53.0,1651766.0,179587.0,Israel,Asia,35.0,9197590.0,5049.0,139.0,18925.0,6.0
88,2020-07-29,68299.0,2006.0,491.0,5.0,32746.0,35062.0,328.0,7426.0,53.0,1651766.0,179587.0,Israel,Asia,32.0,9197590.0,564.0,135.0,18732.0,6.0
89,2020-07-30,70036.0,1737.0,500.0,9.0,43489.0,26047.0,328.0,7615.0,54.0,1651766.0,179587.0,Israel,Asia,32.0,9197590.0,10743.0,131.0,18395.0,6.0
90,2020-07-31,70970.0,934.0,512.0,12.0,43850.0,26608.0,320.0,7716.0,56.0,1651766.0,179587.0,Israel,Asia,32.0,9197590.0,361.0,130.0,17964.0,6.0
91,2020-08-01,72218.0,1248.0,526.0,14.0,45102.0,26590.0,328.0,7852.0,57.0,1651766.0,179587.0,Israel,Asia,32.0,9197590.0,1252.0,127.0,17486.0,6.0
92,2020-08-02,72815.0,597.0,536.0,10.0,45677.0,26602.0,342.0,7917.0,58.0,1781967.0,193743.0,Israel,Asia,32.0,9197590.0,575.0,126.0,17160.0,5.0
