,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,209328.0,1900.0,28710.0,474.0,79914.0,100704.0,1539.0,3462.0,475.0,2108837.0,34879.0,Italy,Europe,,,0.0,,,
1,2020-05-03,210717.0,1389.0,28884.0,174.0,81654.0,100179.0,1501.0,3485.0,478.0,2153772.0,35622.0,Italy,Europe,,,0.0,,,
2,2020-05-04,211938.0,1221.0,29079.0,195.0,82879.0,99980.0,1479.0,3505.0,481.0,2191403.0,36244.0,Italy,Europe,,,0.0,,,
3,2020-05-05,213013.0,-1.0,29315.0,-1.0,85231.0,98467.0,1427.0,3523.0,485.0,2246666.0,37158.0,Italy,Europe,,,0.0,,,
4,2020-05-06,214457.0,1444.0,29684.0,369.0,93245.0,91528.0,1333.0,3547.0,491.0,2310929.0,38221.0,Italy,Europe,,,0.0,,,
5,2020-05-07,215858.0,1401.0,29958.0,274.0,96276.0,89624.0,1311.0,3570.0,495.0,2381288.0,39385.0,Italy,Europe,,,0.0,,,
6,2020-05-08,217185.0,-1.0,30201.0,-1.0,99023.0,87961.0,1168.0,3592.0,500.0,2445063.0,40440.0,Italy,Europe,,,0.0,,,
7,2020-05-09,218268.0,-1.0,30395.0,-1.0,103031.0,84842.0,1034.0,3610.0,503.0,2514234.0,41584.0,Italy,Europe,,,0.0,,,
8,2020-05-10,219070.0,802.0,30560.0,165.0,105186.0,83324.0,1027.0,3623.0,505.0,2565912.0,42439.0,Italy,Europe,,,0.0,,,
9,2020-05-11,219814.0,744.0,30739.0,179.0,106587.0,82488.0,999.0,3636.0,508.0,2606652.0,43112.0,Italy,Europe,,,0.0,,,
10,2020-05-12,221216.0,1402.0,30911.0,172.0,109039.0,81266.0,952.0,3659.0,511.0,2673655.0,44221.0,Italy,Europe,,,0.0,,,
11,2020-05-13,222104.0,888.0,31106.0,195.0,112541.0,78457.0,893.0,3673.0,514.0,2735628.0,45246.0,Italy,Europe,,,0.0,,,
12,2020-05-14,223096.0,992.0,31368.0,262.0,115288.0,76440.0,855.0,3690.0,519.0,2807504.0,46434.0,Italy,Europe,,,0.0,,,
13,2020-05-15,223885.0,789.0,31610.0,242.0,120205.0,72070.0,808.0,3702.0,523.0,2875680.0,47553.0,Italy,Europe,5.0,60472892.0,0.0,,,
14,2020-05-16,224760.0,875.0,31763.0,153.0,122810.0,70187.0,775.0,3717.0,525.0,2944859.0,48697.0,Italy,Europe,5.0,60472650.0,0.0,,,
15,2020-05-17,225435.0,675.0,31908.0,145.0,125176.0,68351.0,762.0,3728.0,528.0,3004960.0,49691.0,Italy,Europe,6.0,60472408.0,0.0,,,
16,2020-05-18,225886.0,451.0,32007.0,99.0,127326.0,66553.0,749.0,3735.0,529.0,3041366.0,50294.0,Italy,Europe,6.0,60472166.0,0.0,,,
17,2020-05-19,226699.0,813.0,32169.0,162.0,129401.0,65129.0,716.0,3749.0,532.0,3104524.0,51338.0,Italy,Europe,6.0,60471924.0,0.0,,,
18,2020-05-20,227364.0,665.0,32330.0,161.0,132282.0,62752.0,676.0,3760.0,535.0,3171719.0,52450.0,Italy,Europe,6.0,60471682.0,0.0,,,
19,2020-05-21,228006.0,642.0,32486.0,156.0,134560.0,60960.0,640.0,3770.0,537.0,3243398.0,53635.0,Italy,Europe,6.0,60471440.0,0.0,,,
20,2020-05-22,228658.0,652.0,32616.0,130.0,136720.0,59322.0,595.0,3781.0,539.0,3318778.0,54882.0,Italy,Europe,6.0,60471198.0,0.0,,,
21,2020-05-23,229327.0,669.0,32735.0,119.0,138840.0,57752.0,572.0,3792.0,541.0,3391188.0,56080.0,Italy,Europe,6.0,60470956.0,0.0,,,
22,2020-05-24,229858.0,531.0,32785.0,50.0,140479.0,56594.0,553.0,3801.0,542.0,3447012.0,57003.0,Italy,Europe,6.0,60470714.0,0.0,,,
23,2020-05-25,230158.0,300.0,32877.0,92.0,141981.0,55300.0,541.0,3806.0,544.0,3482253.0,57586.0,Italy,Europe,6.0,60470472.0,0.0,,,
24,2020-05-26,230555.0,397.0,32955.0,78.0,144658.0,52942.0,521.0,3813.0,545.0,3539927.0,58540.0,Italy,Europe,6.0,60470230.0,0.0,,,
25,2020-05-27,231139.0,-1.0,33072.0,-1.0,147101.0,50966.0,505.0,3822.0,547.0,3607251.0,59654.0,Italy,Europe,6.0,60469746.0,0.0,,,
26,2020-05-28,231732.0,593.0,33142.0,70.0,150604.0,47986.0,489.0,3832.0,548.0,3683144.0,60909.0,Italy,Europe,6.0,60469746.0,0.0,,,
27,2020-05-29,232248.0,516.0,33229.0,87.0,152844.0,46175.0,475.0,3841.0,550.0,3755279.0,62102.0,Italy,Europe,6.0,60469504.0,0.0,,,
28,2020-05-30,232664.0,416.0,33340.0,111.0,155633.0,43691.0,450.0,3848.0,551.0,3824621.0,63249.0,Italy,Europe,6.0,60469262.0,0.0,,,
29,2020-05-31,232997.0,333.0,33415.0,75.0,157507.0,42075.0,435.0,3853.0,553.0,3878739.0,64144.0,Italy,Europe,6.0,60469020.0,0.0,,,
30,2020-06-01,233197.0,200.0,33475.0,60.0,158355.0,41367.0,424.0,3856.0,554.0,3910133.0,64664.0,Italy,Europe,6.0,60468778.0,0.0,,,
31,2020-06-02,233515.0,318.0,33530.0,55.0,160092.0,39893.0,408.0,3862.0,555.0,3962292.0,65527.0,Italy,Europe,6.0,60468537.0,1737.0,259.0,1803.0,15.0
32,2020-06-03,233836.0,321.0,33601.0,71.0,160938.0,39297.0,353.0,3867.0,556.0,3999591.0,66144.0,Italy,Europe,6.0,60468295.0,846.0,259.0,1800.0,15.0
33,2020-06-04,234013.0,177.0,33689.0,88.0,161895.0,38429.0,338.0,3870.0,557.0,4049544.0,66970.0,Italy,Europe,6.0,60468053.0,957.0,258.0,1795.0,15.0
34,2020-06-05,234531.0,518.0,33774.0,85.0,163781.0,36976.0,316.0,3879.0,559.0,4114572.0,68046.0,Italy,Europe,7.0,60467811.0,1886.0,258.0,1790.0,15.0
35,2020-06-06,234801.0,270.0,33846.0,72.0,165078.0,35877.0,293.0,3883.0,560.0,4187057.0,69245.0,Italy,Europe,7.0,60467569.0,1297.0,258.0,1787.0,14.0
