,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1333.0,-1.0,15.0,-1.0,597.0,721.0,-1.0,51.0,0.6,10073.0,382.0,Ivory Coast,Africa,,,0.0,,,
1,2020-05-03,1398.0,36.0,17.0,2.0,653.0,728.0,-1.0,53.0,0.6,10778.0,409.0,Ivory Coast,Africa,,,0.0,,,
2,2020-05-04,1432.0,34.0,17.0,-1.0,693.0,722.0,-1.0,54.0,0.6,10778.0,409.0,Ivory Coast,Africa,,,0.0,,,
3,2020-05-05,1464.0,-1.0,18.0,-1.0,701.0,745.0,-1.0,56.0,0.7,11448.0,434.0,Ivory Coast,Africa,,,0.0,,,
4,2020-05-06,1464.0,-1.0,18.0,-1.0,701.0,745.0,-1.0,56.0,0.7,11448.0,434.0,Ivory Coast,Africa,,,0.0,,,
5,2020-05-07,1516.0,-1.0,18.0,-1.0,721.0,777.0,-1.0,57.0,0.7,11448.0,434.0,Ivory Coast,Africa,,,0.0,,,
6,2020-05-08,1602.0,-1.0,20.0,-1.0,754.0,828.0,-1.0,61.0,0.8,12312.0,467.0,Ivory Coast,Africa,,,0.0,,,
7,2020-05-09,1667.0,-1.0,21.0,-1.0,769.0,877.0,-1.0,63.0,0.8,12312.0,467.0,Ivory Coast,Africa,,,0.0,,,
8,2020-05-10,1667.0,-1.0,21.0,-1.0,769.0,877.0,-1.0,63.0,0.8,12312.0,467.0,Ivory Coast,Africa,,,0.0,,,
9,2020-05-11,1700.0,-1.0,21.0,-1.0,794.0,885.0,-1.0,64.0,0.8,13663.0,518.0,Ivory Coast,Africa,,,0.0,,,
10,2020-05-12,1730.0,-1.0,21.0,-1.0,818.0,891.0,-1.0,66.0,0.8,13663.0,518.0,Ivory Coast,Africa,,,0.0,,,
11,2020-05-13,1857.0,-1.0,21.0,-1.0,820.0,1016.0,-1.0,70.0,0.8,14618.0,554.0,Ivory Coast,Africa,,,0.0,,,
12,2020-05-14,1912.0,-1.0,24.0,-1.0,902.0,986.0,-1.0,72.0,0.9,15260.0,579.0,Ivory Coast,Africa,,,0.0,,,
13,2020-05-15,1971.0,-1.0,24.0,-1.0,930.0,1017.0,-1.0,75.0,0.9,15260.0,581.0,Ivory Coast,Africa,78.0,26287582.0,0.0,,,
14,2020-05-16,2017.0,-1.0,24.0,-1.0,942.0,1051.0,-1.0,77.0,0.9,15260.0,580.0,Ivory Coast,Africa,79.0,26289372.0,0.0,,,
15,2020-05-17,2061.0,-1.0,25.0,-1.0,987.0,1049.0,-1.0,78.0,1.0,15260.0,580.0,Ivory Coast,Africa,79.0,26291162.0,0.0,,,
16,2020-05-18,2109.0,-1.0,27.0,-1.0,1004.0,1078.0,-1.0,80.0,1.0,18303.0,696.0,Ivory Coast,Africa,79.0,26292953.0,0.0,,,
17,2020-05-19,2119.0,-1.0,28.0,-1.0,1040.0,1051.0,-1.0,81.0,1.0,18608.0,708.0,Ivory Coast,Africa,79.0,26294743.0,0.0,,,
18,2020-05-20,2153.0,-1.0,28.0,-1.0,1050.0,1075.0,-1.0,82.0,1.0,19174.0,729.0,Ivory Coast,Africa,79.0,26296533.0,0.0,,,
19,2020-05-21,2301.0,70.0,29.0,-1.0,1100.0,1172.0,-1.0,87.0,1.0,21069.0,801.0,Ivory Coast,Africa,79.0,26298323.0,0.0,,,
20,2020-05-22,2301.0,-1.0,29.0,-1.0,1100.0,1172.0,-1.0,87.0,1.0,21069.0,801.0,Ivory Coast,Africa,80.0,26300113.0,0.0,,,
