,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,432.0,10.0,8.0,-1.0,31.0,393.0,1.0,146.0,3.0,4779.0,1614.0,Jamaica,North America,,,0.0,,,
1,2020-05-03,463.0,31.0,8.0,-1.0,33.0,422.0,2.0,156.0,3.0,5215.0,1761.0,Jamaica,North America,,,0.0,,,
2,2020-05-04,469.0,6.0,9.0,1.0,38.0,422.0,2.0,158.0,3.0,5633.0,1902.0,Jamaica,North America,,,0.0,,,
3,2020-05-05,473.0,2.0,9.0,-1.0,56.0,408.0,-1.0,160.0,3.0,5993.0,2024.0,Jamaica,North America,,,0.0,,,
4,2020-05-06,473.0,2.0,9.0,-1.0,56.0,408.0,-1.0,160.0,3.0,5993.0,2024.0,Jamaica,North America,,,0.0,,,
5,2020-05-07,478.0,5.0,9.0,-1.0,57.0,412.0,-1.0,161.0,3.0,6095.0,2058.0,Jamaica,North America,,,0.0,,,
6,2020-05-08,490.0,2.0,9.0,-1.0,62.0,419.0,-1.0,165.0,3.0,6633.0,2240.0,Jamaica,North America,,,0.0,,,
7,2020-05-09,490.0,-1.0,9.0,-1.0,62.0,419.0,-1.0,165.0,3.0,6633.0,2240.0,Jamaica,North America,,,0.0,,,
8,2020-05-10,498.0,8.0,9.0,-1.0,78.0,411.0,-1.0,168.0,3.0,6889.0,2326.0,Jamaica,North America,,,0.0,,,
9,2020-05-11,502.0,4.0,9.0,-1.0,90.0,403.0,-1.0,170.0,3.0,7101.0,2398.0,Jamaica,North America,,,0.0,,,
10,2020-05-12,505.0,3.0,9.0,-1.0,90.0,406.0,-1.0,171.0,3.0,7271.0,2455.0,Jamaica,North America,,,0.0,,,
11,2020-05-13,507.0,2.0,9.0,-1.0,100.0,398.0,-1.0,171.0,3.0,7465.0,2521.0,Jamaica,North America,,,0.0,,,
12,2020-05-14,509.0,2.0,9.0,-1.0,113.0,387.0,-1.0,172.0,3.0,7552.0,2550.0,Jamaica,North America,,,0.0,,,
13,2020-05-15,509.0,-1.0,9.0,-1.0,118.0,382.0,-1.0,172.0,3.0,7780.0,2629.0,Jamaica,North America,123.0,2959518.0,0.0,,,
14,2020-05-16,511.0,2.0,9.0,-1.0,121.0,381.0,-1.0,173.0,3.0,7946.0,2685.0,Jamaica,North America,122.0,2959554.0,0.0,,,
15,2020-05-17,517.0,6.0,9.0,-1.0,121.0,387.0,-1.0,175.0,3.0,8193.0,2768.0,Jamaica,North America,122.0,2959589.0,0.0,,,
16,2020-05-18,520.0,3.0,9.0,-1.0,127.0,384.0,-1.0,176.0,3.0,8515.0,2877.0,Jamaica,North America,123.0,2959624.0,0.0,,,
17,2020-05-19,520.0,-1.0,9.0,-1.0,131.0,380.0,-1.0,176.0,3.0,8674.0,2931.0,Jamaica,North America,125.0,2959659.0,0.0,,,
18,2020-05-20,520.0,-1.0,9.0,-1.0,145.0,366.0,-1.0,176.0,3.0,8828.0,2983.0,Jamaica,North America,126.0,2959694.0,0.0,,,
19,2020-05-21,529.0,9.0,9.0,-1.0,171.0,349.0,-1.0,179.0,3.0,9021.0,3048.0,Jamaica,North America,126.0,2959730.0,0.0,,,
20,2020-05-22,534.0,5.0,9.0,-1.0,181.0,344.0,-1.0,180.0,3.0,9178.0,3101.0,Jamaica,North America,126.0,2959765.0,0.0,,,
21,2020-05-23,544.0,10.0,9.0,-1.0,191.0,344.0,-1.0,184.0,3.0,9554.0,3228.0,Jamaica,North America,129.0,2959800.0,0.0,,,
22,2020-05-24,550.0,6.0,9.0,-1.0,200.0,341.0,1.0,186.0,3.0,9923.0,3353.0,Jamaica,North America,130.0,2959835.0,0.0,,,
23,2020-05-25,552.0,2.0,9.0,-1.0,211.0,332.0,1.0,186.0,3.0,10230.0,3456.0,Jamaica,North America,130.0,2959871.0,0.0,,,
24,2020-05-26,556.0,4.0,9.0,-1.0,238.0,309.0,1.0,188.0,3.0,10570.0,3571.0,Jamaica,North America,131.0,2959906.0,0.0,,,
25,2020-05-27,569.0,5.0,9.0,-1.0,279.0,281.0,2.0,192.0,3.0,11259.0,3804.0,Jamaica,North America,132.0,2959976.0,0.0,,,
26,2020-05-28,569.0,5.0,9.0,-1.0,279.0,281.0,2.0,192.0,3.0,11259.0,3804.0,Jamaica,North America,132.0,2959976.0,0.0,,,
27,2020-05-29,569.0,-1.0,9.0,-1.0,284.0,276.0,2.0,192.0,3.0,11460.0,3872.0,Jamaica,North America,132.0,2960012.0,0.0,,,
28,2020-05-30,575.0,6.0,9.0,-1.0,289.0,277.0,2.0,194.0,3.0,12078.0,4080.0,Jamaica,North America,131.0,2960047.0,0.0,,,
29,2020-05-31,581.0,6.0,9.0,-1.0,290.0,282.0,2.0,196.0,3.0,12389.0,4185.0,Jamaica,North America,132.0,2960082.0,0.0,,,
30,2020-06-01,586.0,5.0,9.0,-1.0,311.0,266.0,2.0,198.0,3.0,12702.0,4291.0,Jamaica,North America,133.0,2960117.0,0.0,,,
31,2020-06-02,588.0,2.0,9.0,-1.0,322.0,257.0,2.0,199.0,3.0,13191.0,4456.0,Jamaica,North America,133.0,2960152.0,11.0,5034.0,328906.0,224.0
32,2020-06-03,590.0,2.0,9.0,-1.0,356.0,225.0,2.0,199.0,3.0,13407.0,4529.0,Jamaica,North America,133.0,2960188.0,34.0,5017.0,328910.0,221.0
33,2020-06-04,591.0,1.0,10.0,1.0,361.0,220.0,1.0,200.0,3.0,13616.0,4600.0,Jamaica,North America,133.0,2960223.0,5.0,5009.0,296022.0,217.0
34,2020-06-05,591.0,-1.0,10.0,-1.0,368.0,213.0,1.0,200.0,3.0,13813.0,4666.0,Jamaica,North America,133.0,2960258.0,-1.0,5009.0,296026.0,214.0
35,2020-06-06,595.0,4.0,10.0,-1.0,385.0,200.0,2.0,201.0,3.0,13993.0,4727.0,Jamaica,North America,134.0,2960293.0,17.0,4975.0,296029.0,212.0
36,2020-06-07,596.0,1.0,10.0,-1.0,404.0,182.0,2.0,201.0,3.0,14223.0,4805.0,Jamaica,North America,135.0,2960329.0,19.0,4967.0,296033.0,208.0
37,2020-06-08,598.0,2.0,10.0,-1.0,405.0,183.0,2.0,202.0,3.0,14586.0,4927.0,Jamaica,North America,135.0,2960364.0,1.0,4950.0,296036.0,203.0
38,2020-06-09,599.0,1.0,10.0,-1.0,405.0,184.0,2.0,202.0,3.0,14802.0,5000.0,Jamaica,North America,135.0,2960399.0,-1.0,4942.0,296040.0,200.0
39,2020-06-10,605.0,6.0,10.0,-1.0,405.0,190.0,2.0,204.0,3.0,15013.0,5071.0,Jamaica,North America,137.0,2960434.0,-1.0,4893.0,296043.0,197.0
40,2020-06-11,605.0,-1.0,10.0,-1.0,407.0,188.0,2.0,204.0,3.0,15153.0,5118.0,Jamaica,North America,137.0,2960470.0,-1.0,4893.0,296047.0,195.0
41,2020-06-12,611.0,6.0,10.0,-1.0,408.0,193.0,2.0,206.0,3.0,15153.0,5118.0,Jamaica,North America,138.0,2960505.0,1.0,4845.0,296051.0,195.0
42,2020-06-13,614.0,3.0,10.0,-1.0,417.0,187.0,2.0,207.0,3.0,15850.0,5354.0,Jamaica,North America,138.0,2960540.0,9.0,4822.0,296054.0,187.0
43,2020-06-14,615.0,1.0,10.0,-1.0,420.0,185.0,2.0,208.0,3.0,16347.0,5522.0,Jamaica,North America,138.0,2960575.0,3.0,4814.0,296058.0,181.0
44,2020-06-15,617.0,2.0,10.0,-1.0,420.0,187.0,2.0,208.0,3.0,16492.0,5570.0,Jamaica,North America,138.0,2960610.0,-1.0,4798.0,296061.0,180.0
45,2020-06-16,621.0,4.0,10.0,-1.0,430.0,181.0,2.0,210.0,3.0,16892.0,5706.0,Jamaica,North America,140.0,2960646.0,10.0,4768.0,296065.0,175.0
46,2020-06-17,621.0,-1.0,10.0,-1.0,449.0,162.0,2.0,210.0,3.0,16947.0,5724.0,Jamaica,North America,140.0,2960681.0,-1.0,4768.0,296068.0,175.0
47,2020-06-18,626.0,5.0,10.0,-1.0,451.0,165.0,1.0,211.0,3.0,17463.0,5898.0,Jamaica,North America,140.0,2960716.0,2.0,4730.0,296072.0,170.0
48,2020-06-19,638.0,12.0,10.0,-1.0,458.0,170.0,1.0,215.0,3.0,18621.0,6289.0,Jamaica,North America,142.0,2960751.0,7.0,4641.0,296075.0,159.0
49,2020-06-20,652.0,14.0,10.0,-1.0,458.0,184.0,1.0,220.0,3.0,19617.0,6626.0,Jamaica,North America,141.0,2960822.0,-1.0,4541.0,296082.0,151.0
50,2020-06-21,657.0,5.0,10.0,-1.0,462.0,185.0,1.0,222.0,3.0,20160.0,6809.0,Jamaica,North America,143.0,2960822.0,4.0,4507.0,296082.0,147.0
51,2020-06-22,659.0,2.0,10.0,-1.0,516.0,133.0,1.0,223.0,3.0,20434.0,6901.0,Jamaica,North America,143.0,2960857.0,54.0,4493.0,296086.0,145.0
52,2020-06-23,665.0,6.0,10.0,-1.0,516.0,139.0,1.0,225.0,3.0,21278.0,7186.0,Jamaica,North America,143.0,2960892.0,-1.0,4452.0,296089.0,139.0
53,2020-06-24,670.0,5.0,10.0,-1.0,518.0,142.0,-1.0,226.0,3.0,21658.0,7315.0,Jamaica,North America,143.0,2960928.0,2.0,4419.0,296093.0,137.0
54,2020-06-25,678.0,8.0,10.0,-1.0,521.0,147.0,-1.0,229.0,3.0,22261.0,7518.0,Jamaica,North America,144.0,2960963.0,3.0,4367.0,296096.0,133.0
55,2020-06-26,684.0,6.0,10.0,-1.0,526.0,148.0,-1.0,231.0,3.0,22712.0,7670.0,Jamaica,North America,145.0,2960998.0,5.0,4329.0,296100.0,130.0
56,2020-06-27,686.0,2.0,10.0,-1.0,539.0,137.0,-1.0,232.0,3.0,23331.0,7879.0,Jamaica,North America,145.0,2961033.0,13.0,4316.0,296103.0,127.0
57,2020-06-28,690.0,4.0,10.0,-1.0,552.0,128.0,-1.0,233.0,3.0,23583.0,7964.0,Jamaica,North America,145.0,2961069.0,13.0,4291.0,296107.0,126.0
58,2020-06-29,696.0,6.0,10.0,-1.0,552.0,134.0,-1.0,235.0,3.0,23881.0,8065.0,Jamaica,North America,145.0,2961104.0,-1.0,4254.0,296110.0,124.0
59,2020-06-30,698.0,2.0,10.0,-1.0,553.0,135.0,-1.0,236.0,3.0,24174.0,8164.0,Jamaica,North America,145.0,2961139.0,1.0,4242.0,296114.0,122.0
60,2020-07-01,702.0,4.0,10.0,-1.0,553.0,139.0,-1.0,237.0,3.0,24501.0,8274.0,Jamaica,North America,144.0,2961174.0,-1.0,4218.0,296117.0,121.0
61,2020-07-02,707.0,5.0,10.0,-1.0,555.0,142.0,-1.0,239.0,3.0,24951.0,8426.0,Jamaica,North America,144.0,2961209.0,2.0,4188.0,296121.0,119.0
62,2020-07-03,715.0,8.0,10.0,-1.0,560.0,145.0,-1.0,241.0,3.0,25229.0,8520.0,Jamaica,North America,143.0,2961245.0,5.0,4142.0,296125.0,117.0
63,2020-07-04,721.0,6.0,10.0,-1.0,565.0,146.0,-1.0,243.0,3.0,25750.0,8696.0,Jamaica,North America,142.0,2961280.0,5.0,4107.0,296128.0,115.0
64,2020-07-05,728.0,7.0,10.0,-1.0,569.0,149.0,-1.0,246.0,3.0,26002.0,8781.0,Jamaica,North America,143.0,2961315.0,4.0,4068.0,296132.0,114.0
