,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,14305.0,-1.0,455.0,-1.0,2975.0,10875.0,328.0,113.0,4.0,174150.0,1377.0,Japan,Asia,,,0.0,,,
1,2020-05-03,14571.0,-1.0,474.0,-1.0,3205.0,10892.0,324.0,115.0,4.0,181527.0,1435.0,Japan,Asia,,,0.0,,,
2,2020-05-04,14877.0,-1.0,487.0,-1.0,3981.0,10409.0,321.0,118.0,4.0,183251.0,1449.0,Japan,Asia,,,0.0,,,
3,2020-05-05,15253.0,-1.0,556.0,-1.0,4496.0,10201.0,308.0,121.0,4.0,186343.0,1473.0,Japan,Asia,,,0.0,,,
4,2020-05-06,15253.0,-1.0,556.0,-1.0,4496.0,10201.0,308.0,121.0,4.0,186343.0,1473.0,Japan,Asia,,,0.0,,,
5,2020-05-07,15477.0,224.0,577.0,21.0,4918.0,9982.0,308.0,122.0,5.0,190030.0,1502.0,Japan,Asia,,,0.0,,,
6,2020-05-08,15575.0,-1.0,590.0,-1.0,5146.0,9839.0,300.0,123.0,5.0,202013.0,1597.0,Japan,Asia,,,0.0,,,
7,2020-05-09,15663.0,-1.0,607.0,-1.0,5906.0,9150.0,287.0,124.0,5.0,211997.0,1676.0,Japan,Asia,,,0.0,,,
8,2020-05-10,15663.0,-1.0,607.0,-1.0,5906.0,9150.0,287.0,124.0,5.0,211997.0,1676.0,Japan,Asia,,,0.0,,,
9,2020-05-11,15777.0,-1.0,624.0,-1.0,8127.0,7026.0,287.0,125.0,5.0,214256.0,1694.0,Japan,Asia,,,0.0,,,
10,2020-05-12,15847.0,-1.0,633.0,-1.0,8293.0,6921.0,267.0,125.0,5.0,218204.0,1725.0,Japan,Asia,,,0.0,,,
11,2020-05-13,15968.0,-1.0,657.0,-1.0,8531.0,6780.0,249.0,126.0,5.0,223649.0,1768.0,Japan,Asia,,,0.0,,,
12,2020-05-14,16049.0,-1.0,678.0,-1.0,8920.0,6451.0,243.0,127.0,5.0,223667.0,1768.0,Japan,Asia,,,0.0,,,
13,2020-05-15,16120.0,-1.0,697.0,-1.0,9868.0,5555.0,259.0,127.0,6.0,233144.0,1843.0,Japan,Asia,35.0,126524328.0,0.0,,,
14,2020-05-16,16203.0,-1.0,713.0,-1.0,10338.0,5152.0,245.0,128.0,6.0,233144.0,1843.0,Japan,Asia,35.0,126523275.0,0.0,,,
15,2020-05-17,16237.0,-1.0,725.0,-1.0,10338.0,5174.0,232.0,128.0,6.0,240368.0,1900.0,Japan,Asia,36.0,126522222.0,0.0,,,
16,2020-05-18,16285.0,-1.0,744.0,-1.0,11153.0,4388.0,230.0,129.0,6.0,244452.0,1932.0,Japan,Asia,35.0,126521169.0,0.0,,,
