,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,3857.0,260.0,25.0,-1.0,985.0,2847.0,41.0,205.0,1.0,282862.0,15065.0,Kazakhstan,Asia,,,0.0,,,
1,2020-05-03,3913.0,56.0,27.0,2.0,1084.0,2802.0,40.0,208.0,1.0,282862.0,15065.0,Kazakhstan,Asia,,,0.0,,,
2,2020-05-04,4049.0,129.0,29.0,2.0,1173.0,2847.0,40.0,216.0,2.0,306861.0,16343.0,Kazakhstan,Asia,,,0.0,,,
3,2020-05-05,4205.0,-1.0,29.0,-1.0,1279.0,2897.0,40.0,224.0,2.0,320411.0,17064.0,Kazakhstan,Asia,,,0.0,,,
4,2020-05-06,4344.0,139.0,30.0,1.0,1408.0,2906.0,31.0,231.0,2.0,336480.0,17920.0,Kazakhstan,Asia,,,0.0,,,
5,2020-05-07,4578.0,156.0,30.0,-1.0,1518.0,3030.0,31.0,244.0,2.0,353843.0,18845.0,Kazakhstan,Asia,,,0.0,,,
6,2020-05-08,4834.0,-1.0,31.0,-1.0,1631.0,3172.0,31.0,257.0,2.0,371126.0,19765.0,Kazakhstan,Asia,,,0.0,,,
7,2020-05-09,4975.0,-1.0,31.0,-1.0,1776.0,3168.0,31.0,265.0,2.0,385104.0,20510.0,Kazakhstan,Asia,,,0.0,,,
8,2020-05-10,5076.0,101.0,31.0,-1.0,1901.0,3144.0,31.0,270.0,2.0,398411.0,21218.0,Kazakhstan,Asia,,,0.0,,,
9,2020-05-11,5207.0,117.0,32.0,1.0,2074.0,3101.0,33.0,277.0,2.0,408713.0,21767.0,Kazakhstan,Asia,,,0.0,,,
10,2020-05-12,5279.0,72.0,32.0,-1.0,2108.0,3139.0,31.0,281.0,2.0,422011.0,22475.0,Kazakhstan,Asia,,,0.0,,,
11,2020-05-13,5417.0,138.0,32.0,-1.0,2408.0,2977.0,31.0,288.0,2.0,439495.0,23406.0,Kazakhstan,Asia,,,0.0,,,
12,2020-05-14,5571.0,154.0,32.0,-1.0,2408.0,3131.0,31.0,297.0,2.0,459736.0,24484.0,Kazakhstan,Asia,,,0.0,,,
13,2020-05-15,5689.0,118.0,34.0,2.0,2531.0,3124.0,31.0,303.0,2.0,483236.0,25777.0,Kazakhstan,Asia,58.0,18747133.0,0.0,,,
14,2020-05-16,5850.0,161.0,34.0,-1.0,2980.0,2836.0,31.0,312.0,2.0,505216.0,26948.0,Kazakhstan,Asia,58.0,18747746.0,0.0,,,
