,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,435.0,24.0,22.0,1.0,152.0,261.0,2.0,8.0,0.4,21702.0,404.0,Kenya,Africa,,,0.0,,,
1,2020-05-03,465.0,30.0,24.0,2.0,167.0,274.0,2.0,9.0,0.4,23780.0,442.0,Kenya,Africa,,,0.0,,,
2,2020-05-04,490.0,25.0,24.0,-1.0,173.0,293.0,2.0,9.0,0.4,24784.0,461.0,Kenya,Africa,,,0.0,,,
3,2020-05-05,535.0,-1.0,24.0,-1.0,182.0,329.0,2.0,10.0,0.4,24784.0,461.0,Kenya,Africa,,,0.0,,,
4,2020-05-06,582.0,47.0,26.0,2.0,190.0,366.0,1.0,11.0,0.5,25861.0,481.0,Kenya,Africa,,,0.0,,,
5,2020-05-07,607.0,25.0,29.0,3.0,197.0,381.0,1.0,11.0,0.5,25861.0,481.0,Kenya,Africa,,,0.0,,,
6,2020-05-08,621.0,-1.0,29.0,-1.0,202.0,390.0,1.0,12.0,0.5,29430.0,547.0,Kenya,Africa,,,0.0,,,
7,2020-05-09,649.0,-1.0,30.0,-1.0,207.0,412.0,1.0,12.0,0.6,31041.0,577.0,Kenya,Africa,,,0.0,,,
8,2020-05-10,672.0,23.0,32.0,2.0,239.0,401.0,1.0,12.0,0.6,31041.0,577.0,Kenya,Africa,,,0.0,,,
9,2020-05-11,700.0,28.0,33.0,1.0,251.0,416.0,1.0,13.0,0.6,31041.0,577.0,Kenya,Africa,,,0.0,,,
10,2020-05-12,715.0,15.0,36.0,3.0,259.0,420.0,1.0,13.0,0.7,32938.0,613.0,Kenya,Africa,,,0.0,,,
11,2020-05-13,737.0,22.0,40.0,4.0,281.0,416.0,1.0,14.0,0.7,32938.0,613.0,Kenya,Africa,,,0.0,,,
12,2020-05-14,758.0,21.0,42.0,2.0,284.0,432.0,1.0,14.0,0.8,36918.0,687.0,Kenya,Africa,,,0.0,,,
13,2020-05-15,781.0,23.0,45.0,3.0,284.0,452.0,1.0,15.0,0.8,36918.0,689.0,Kenya,Africa,109.0,53608695.0,0.0,,,
14,2020-05-16,830.0,49.0,50.0,5.0,301.0,479.0,1.0,15.0,0.9,36918.0,689.0,Kenya,Africa,109.0,53611938.0,0.0,,,
15,2020-05-17,887.0,57.0,50.0,-1.0,313.0,524.0,1.0,17.0,0.9,43712.0,815.0,Kenya,Africa,107.0,53615182.0,0.0,,,
16,2020-05-18,912.0,25.0,50.0,-1.0,336.0,526.0,1.0,17.0,0.9,44851.0,836.0,Kenya,Africa,106.0,53618426.0,0.0,,,
17,2020-05-19,963.0,51.0,50.0,-1.0,358.0,555.0,1.0,18.0,0.9,46784.0,872.0,Kenya,Africa,103.0,53621669.0,0.0,,,
18,2020-05-20,1029.0,66.0,50.0,-1.0,366.0,613.0,1.0,19.0,0.9,49405.0,921.0,Kenya,Africa,101.0,53624913.0,0.0,,,
