,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,4619.0,242.0,33.0,3.0,1703.0,2883.0,69.0,1082.0,8.0,179000.0,41915.0,Kuwait,Asia,,,0.0,,,
1,2020-05-03,4983.0,364.0,38.0,5.0,1776.0,3169.0,72.0,1167.0,9.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
2,2020-05-04,5278.0,295.0,40.0,2.0,1947.0,3291.0,79.0,1236.0,9.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
3,2020-05-05,5804.0,-1.0,40.0,-1.0,2032.0,3732.0,90.0,1359.0,9.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
4,2020-05-06,6289.0,485.0,42.0,2.0,2219.0,4028.0,88.0,1473.0,10.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
5,2020-05-07,6567.0,278.0,44.0,2.0,2381.0,4142.0,91.0,1538.0,10.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
6,2020-05-08,7208.0,-1.0,47.0,-1.0,2466.0,4695.0,91.0,1688.0,11.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
7,2020-05-09,7623.0,-1.0,49.0,-1.0,2622.0,4952.0,95.0,1785.0,11.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
8,2020-05-10,8688.0,1065.0,58.0,9.0,2729.0,5901.0,114.0,2034.0,14.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
9,2020-05-11,9286.0,598.0,65.0,7.0,2907.0,6314.0,131.0,2174.0,15.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
10,2020-05-12,10277.0,991.0,75.0,10.0,3101.0,7101.0,158.0,2406.0,18.0,196397.0,45988.0,Kuwait,Asia,,,0.0,,,
11,2020-05-13,11028.0,751.0,82.0,7.0,3263.0,7683.0,169.0,2582.0,19.0,227000.0,53154.0,Kuwait,Asia,,,0.0,,,
12,2020-05-14,11975.0,947.0,88.0,6.0,3451.0,8436.0,175.0,2804.0,21.0,231930.0,54309.0,Kuwait,Asia,,,0.0,,,
13,2020-05-15,12860.0,885.0,96.0,8.0,3640.0,9124.0,190.0,3017.0,23.0,236004.0,55372.0,Kuwait,Asia,39.0,4262156.0,0.0,,,
14,2020-05-16,13802.0,942.0,107.0,11.0,3843.0,9852.0,169.0,3238.0,25.0,240716.0,56475.0,Kuwait,Asia,39.0,4262329.0,0.0,,,
15,2020-05-17,14850.0,1048.0,112.0,5.0,4093.0,10645.0,168.0,3484.0,26.0,244476.0,57355.0,Kuwait,Asia,38.0,4262502.0,0.0,,,
16,2020-05-18,15691.0,841.0,118.0,6.0,4339.0,11234.0,161.0,3681.0,28.0,248314.0,58253.0,Kuwait,Asia,37.0,4262674.0,0.0,,,
