,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,769.0,13.0,8.0,-1.0,527.0,234.0,12.0,118.0,1.0,51472.0,7889.0,Kyrgyzstan,Asia,,,0.0,,,
1,2020-05-03,795.0,26.0,10.0,2.0,564.0,221.0,12.0,122.0,2.0,51472.0,7889.0,Kyrgyzstan,Asia,,,0.0,,,
2,2020-05-04,830.0,35.0,10.0,-1.0,575.0,245.0,13.0,127.0,2.0,56488.0,8658.0,Kyrgyzstan,Asia,,,0.0,,,
3,2020-05-05,843.0,-1.0,11.0,-1.0,600.0,232.0,13.0,129.0,2.0,56488.0,8658.0,Kyrgyzstan,Asia,,,0.0,,,
4,2020-05-06,871.0,28.0,12.0,1.0,614.0,245.0,13.0,134.0,2.0,59490.0,9118.0,Kyrgyzstan,Asia,,,0.0,,,
5,2020-05-07,895.0,24.0,12.0,-1.0,637.0,246.0,13.0,137.0,2.0,59490.0,9118.0,Kyrgyzstan,Asia,,,0.0,,,
6,2020-05-08,906.0,-1.0,12.0,-1.0,650.0,244.0,13.0,139.0,2.0,59490.0,9118.0,Kyrgyzstan,Asia,,,0.0,,,
7,2020-05-09,931.0,-1.0,12.0,-1.0,658.0,261.0,13.0,143.0,2.0,59490.0,9118.0,Kyrgyzstan,Asia,,,0.0,,,
8,2020-05-10,1002.0,71.0,12.0,-1.0,675.0,315.0,13.0,154.0,2.0,59490.0,9118.0,Kyrgyzstan,Asia,,,0.0,,,
9,2020-05-11,1016.0,14.0,12.0,-1.0,688.0,316.0,13.0,156.0,2.0,59490.0,9118.0,Kyrgyzstan,Asia,,,0.0,,,
10,2020-05-12,1037.0,21.0,12.0,-1.0,709.0,316.0,13.0,159.0,2.0,59490.0,9118.0,Kyrgyzstan,Asia,,,0.0,,,
11,2020-05-13,1044.0,7.0,12.0,-1.0,726.0,306.0,13.0,160.0,2.0,59490.0,9118.0,Kyrgyzstan,Asia,,,0.0,,,
