,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,19.0,-1.0,-1.0,-1.0,9.0,10.0,-1.0,3.0,-1.0,2165.0,298.0,Laos,Asia,,,0.0,,,
1,2020-05-03,19.0,-1.0,-1.0,-1.0,9.0,10.0,-1.0,3.0,-1.0,2184.0,300.0,Laos,Asia,,,0.0,,,
2,2020-05-04,19.0,-1.0,-1.0,-1.0,9.0,10.0,-1.0,3.0,-1.0,2223.0,306.0,Laos,Asia,,,0.0,,,
3,2020-05-05,19.0,-1.0,-1.0,-1.0,9.0,10.0,-1.0,3.0,-1.0,2418.0,332.0,Laos,Asia,,,0.0,,,
4,2020-05-06,19.0,-1.0,-1.0,-1.0,10.0,9.0,-1.0,3.0,-1.0,2505.0,344.0,Laos,Asia,,,0.0,,,
5,2020-05-07,19.0,-1.0,-1.0,-1.0,9.0,10.0,-1.0,3.0,-1.0,2604.0,358.0,Laos,Asia,,,0.0,,,
6,2020-05-08,19.0,-1.0,-1.0,-1.0,9.0,10.0,-1.0,3.0,-1.0,2733.0,376.0,Laos,Asia,,,0.0,,,
7,2020-05-09,19.0,-1.0,-1.0,-1.0,13.0,6.0,-1.0,3.0,-1.0,2908.0,400.0,Laos,Asia,,,0.0,,,
8,2020-05-10,19.0,-1.0,-1.0,-1.0,13.0,6.0,-1.0,3.0,-1.0,3187.0,438.0,Laos,Asia,,,0.0,,,
9,2020-05-11,19.0,-1.0,-1.0,-1.0,13.0,6.0,-1.0,3.0,-1.0,3547.0,488.0,Laos,Asia,,,0.0,,,
10,2020-05-12,19.0,-1.0,-1.0,-1.0,13.0,6.0,-1.0,3.0,-1.0,3874.0,532.0,Laos,Asia,,,0.0,,,
11,2020-05-13,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,3975.0,546.0,Laos,Asia,,,0.0,,,
12,2020-05-14,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,4092.0,562.0,Laos,Asia,,,0.0,,,
13,2020-05-15,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,4204.0,579.0,Laos,Asia,187.0,7261510.0,0.0,,,
14,2020-05-16,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,4424.0,609.0,Laos,Asia,187.0,7261799.0,0.0,,,
15,2020-05-17,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,4451.0,613.0,Laos,Asia,188.0,7262087.0,0.0,,,
16,2020-05-18,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,4565.0,629.0,Laos,Asia,188.0,7262376.0,0.0,,,
17,2020-05-19,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,4653.0,641.0,Laos,Asia,188.0,7262665.0,0.0,,,
18,2020-05-20,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,4743.0,653.0,Laos,Asia,189.0,7262953.0,0.0,,,
19,2020-05-21,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,4812.0,663.0,Laos,Asia,189.0,7263242.0,0.0,,,
20,2020-05-22,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,5044.0,694.0,Laos,Asia,189.0,7263530.0,0.0,,,
21,2020-05-23,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,5194.0,715.0,Laos,Asia,190.0,7263819.0,0.0,,,
22,2020-05-24,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,5487.0,755.0,Laos,Asia,190.0,7264107.0,0.0,,,
23,2020-05-25,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,5795.0,798.0,Laos,Asia,190.0,7264396.0,0.0,,,
24,2020-05-26,19.0,-1.0,-1.0,-1.0,14.0,5.0,-1.0,3.0,-1.0,5855.0,806.0,Laos,Asia,190.0,7264685.0,0.0,,,
25,2020-05-27,19.0,-1.0,-1.0,-1.0,16.0,3.0,-1.0,3.0,-1.0,5938.0,817.0,Laos,Asia,190.0,7265262.0,0.0,,,
26,2020-05-28,19.0,-1.0,-1.0,-1.0,16.0,3.0,-1.0,3.0,-1.0,6066.0,835.0,Laos,Asia,191.0,7265262.0,0.0,,,
27,2020-05-29,19.0,-1.0,-1.0,-1.0,16.0,3.0,-1.0,3.0,-1.0,6141.0,845.0,Laos,Asia,191.0,7265550.0,0.0,,,
28,2020-05-30,19.0,-1.0,-1.0,-1.0,16.0,3.0,-1.0,3.0,-1.0,6432.0,885.0,Laos,Asia,192.0,7265839.0,0.0,,,
29,2020-05-31,19.0,-1.0,-1.0,-1.0,16.0,3.0,-1.0,3.0,-1.0,6928.0,953.0,Laos,Asia,192.0,7266127.0,0.0,,,
30,2020-06-01,19.0,-1.0,-1.0,-1.0,16.0,3.0,-1.0,3.0,-1.0,7180.0,988.0,Laos,Asia,194.0,7266416.0,0.0,,,
31,2020-06-02,19.0,-1.0,-1.0,-1.0,16.0,3.0,-1.0,3.0,-1.0,7249.0,998.0,Laos,Asia,194.0,7266705.0,-1.0,382458.0,-1.0,1.0
32,2020-06-03,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,3.0,-1.0,7491.0,1031.0,Laos,Asia,194.0,7266993.0,2.0,382473.0,-1.0,970.0
33,2020-06-04,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,3.0,-1.0,7563.0,1041.0,Laos,Asia,194.0,7267282.0,-1.0,382489.0,-1.0,961.0
34,2020-06-05,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,3.0,-1.0,7824.0,1077.0,Laos,Asia,194.0,7267570.0,-1.0,382504.0,-1.0,929.0
35,2020-06-06,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,3.0,-1.0,7824.0,1077.0,Laos,Asia,195.0,7267859.0,-1.0,382519.0,-1.0,929.0
36,2020-06-07,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,3.0,-1.0,8307.0,1143.0,Laos,Asia,195.0,7268147.0,-1.0,382534.0,-1.0,875.0
37,2020-06-08,19.0,-1.0,-1.0,-1.0,18.0,1.0,-1.0,3.0,-1.0,8607.0,1184.0,Laos,Asia,195.0,7268436.0,-1.0,382549.0,-1.0,844.0
38,2020-06-09,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,8926.0,1228.0,Laos,Asia,195.0,7268725.0,1.0,382564.0,-1.0,814.0
39,2020-06-10,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,9220.0,1268.0,Laos,Asia,195.0,7269013.0,-1.0,382580.0,-1.0,788.0
40,2020-06-11,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,9427.0,1297.0,Laos,Asia,195.0,7269302.0,-1.0,382595.0,-1.0,771.0
41,2020-06-12,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,9676.0,1331.0,Laos,Asia,195.0,7269590.0,-1.0,382610.0,-1.0,751.0
42,2020-06-13,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,9703.0,1335.0,Laos,Asia,195.0,7269879.0,-1.0,382625.0,-1.0,749.0
43,2020-06-14,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,10146.0,1396.0,Laos,Asia,195.0,7270167.0,-1.0,382640.0,-1.0,717.0
44,2020-06-15,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,11000.0,1513.0,Laos,Asia,195.0,7270456.0,-1.0,382656.0,-1.0,661.0
45,2020-06-16,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,11093.0,1526.0,Laos,Asia,195.0,7270745.0,-1.0,382671.0,-1.0,655.0
46,2020-06-17,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,11249.0,1547.0,Laos,Asia,195.0,7271033.0,-1.0,382686.0,-1.0,646.0
47,2020-06-18,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,11478.0,1579.0,Laos,Asia,195.0,7271322.0,-1.0,382701.0,-1.0,634.0
48,2020-06-19,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,11478.0,1578.0,Laos,Asia,195.0,7271610.0,-1.0,382716.0,-1.0,634.0
49,2020-06-20,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,12222.0,1681.0,Laos,Asia,195.0,7272187.0,-1.0,382747.0,-1.0,595.0
50,2020-06-21,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,12486.0,1717.0,Laos,Asia,195.0,7272187.0,-1.0,382747.0,-1.0,582.0
51,2020-06-22,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,12829.0,1764.0,Laos,Asia,195.0,7272476.0,-1.0,382762.0,-1.0,567.0
52,2020-06-23,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,13203.0,1815.0,Laos,Asia,195.0,7272765.0,-1.0,382777.0,-1.0,551.0
53,2020-06-24,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,13507.0,1857.0,Laos,Asia,195.0,7273053.0,-1.0,382792.0,-1.0,538.0
54,2020-06-25,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,13883.0,1909.0,Laos,Asia,195.0,7273342.0,-1.0,382807.0,-1.0,524.0
55,2020-06-26,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,14161.0,1947.0,Laos,Asia,195.0,7273630.0,-1.0,382823.0,-1.0,514.0
56,2020-06-27,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,14304.0,1966.0,Laos,Asia,196.0,7273919.0,-1.0,382838.0,-1.0,509.0
57,2020-06-28,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,14645.0,2013.0,Laos,Asia,198.0,7274207.0,-1.0,382853.0,-1.0,497.0
58,2020-06-29,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,14907.0,2049.0,Laos,Asia,198.0,7274496.0,-1.0,382868.0,-1.0,488.0
59,2020-06-30,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,15364.0,2112.0,Laos,Asia,198.0,7274785.0,-1.0,382883.0,-1.0,473.0
60,2020-07-01,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,15669.0,2154.0,Laos,Asia,198.0,7275073.0,-1.0,382899.0,-1.0,464.0
61,2020-07-02,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,16147.0,2219.0,Laos,Asia,198.0,7275362.0,-1.0,382914.0,-1.0,451.0
62,2020-07-03,19.0,-1.0,-1.0,-1.0,19.0,0.0,-1.0,3.0,-1.0,16536.0,2273.0,Laos,Asia,199.0,7275650.0,-1.0,382929.0,-1.0,440.0
