,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,871.0,1.0,16.0,-1.0,348.0,507.0,2.0,462.0,8.0,63102.0,33455.0,Latvia,Europe,,,0.0,,,
1,2020-05-03,879.0,8.0,16.0,-1.0,348.0,515.0,4.0,466.0,8.0,64245.0,34061.0,Latvia,Europe,,,0.0,,,
2,2020-05-04,896.0,17.0,16.0,-1.0,348.0,532.0,4.0,475.0,8.0,65464.0,34707.0,Latvia,Europe,,,0.0,,,
3,2020-05-05,896.0,-1.0,17.0,-1.0,348.0,531.0,4.0,475.0,9.0,66150.0,35071.0,Latvia,Europe,,,0.0,,,
4,2020-05-06,900.0,4.0,17.0,-1.0,464.0,419.0,3.0,477.0,9.0,68627.0,36384.0,Latvia,Europe,,,0.0,,,
5,2020-05-07,909.0,9.0,18.0,1.0,464.0,427.0,3.0,482.0,10.0,71069.0,37678.0,Latvia,Europe,,,0.0,,,
6,2020-05-08,928.0,-1.0,18.0,-1.0,464.0,446.0,2.0,492.0,10.0,73016.0,38711.0,Latvia,Europe,,,0.0,,,
7,2020-05-09,930.0,-1.0,18.0,-1.0,464.0,448.0,2.0,493.0,10.0,75571.0,40065.0,Latvia,Europe,,,0.0,,,
8,2020-05-10,939.0,9.0,18.0,-1.0,464.0,457.0,2.0,498.0,10.0,76592.0,40607.0,Latvia,Europe,,,0.0,,,
9,2020-05-11,946.0,7.0,18.0,-1.0,464.0,464.0,2.0,502.0,10.0,77147.0,40901.0,Latvia,Europe,,,0.0,,,
10,2020-05-12,950.0,4.0,18.0,-1.0,627.0,305.0,2.0,504.0,10.0,79047.0,41908.0,Latvia,Europe,,,0.0,,,
11,2020-05-13,951.0,1.0,19.0,1.0,627.0,305.0,2.0,504.0,10.0,81246.0,43074.0,Latvia,Europe,,,0.0,,,
12,2020-05-14,962.0,11.0,19.0,-1.0,627.0,316.0,2.0,510.0,10.0,83275.0,44150.0,Latvia,Europe,,,0.0,,,
13,2020-05-15,970.0,8.0,19.0,-1.0,662.0,289.0,3.0,514.0,10.0,85431.0,45233.0,Latvia,Europe,100.0,1888690.0,0.0,,,
14,2020-05-16,997.0,27.0,19.0,-1.0,662.0,316.0,3.0,528.0,10.0,87377.0,46265.0,Latvia,Europe,100.0,1888633.0,0.0,,,
15,2020-05-17,1008.0,11.0,19.0,-1.0,662.0,327.0,2.0,534.0,10.0,88405.0,46810.0,Latvia,Europe,100.0,1888577.0,0.0,,,
16,2020-05-18,1009.0,1.0,19.0,-1.0,662.0,328.0,3.0,534.0,10.0,89123.0,47192.0,Latvia,Europe,100.0,1888520.0,0.0,,,
