,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,733.0,4.0,25.0,1.0,197.0,511.0,43.0,107.0,4.0,37880.0,5550.0,Lebanon,Asia,,,0.0,,,
1,2020-05-03,737.0,4.0,25.0,-1.0,200.0,512.0,43.0,108.0,4.0,39238.0,5749.0,Lebanon,Asia,,,0.0,,,
2,2020-05-04,740.0,3.0,25.0,-1.0,200.0,515.0,43.0,108.0,4.0,41014.0,6009.0,Lebanon,Asia,,,0.0,,,
3,2020-05-05,741.0,-1.0,25.0,-1.0,206.0,510.0,43.0,109.0,4.0,42488.0,6225.0,Lebanon,Asia,,,0.0,,,
4,2020-05-06,750.0,9.0,25.0,-1.0,206.0,519.0,43.0,110.0,4.0,44701.0,6549.0,Lebanon,Asia,,,0.0,,,
5,2020-05-07,784.0,34.0,25.0,-1.0,220.0,539.0,43.0,115.0,4.0,46677.0,6839.0,Lebanon,Asia,,,0.0,,,
6,2020-05-08,796.0,-1.0,26.0,-1.0,223.0,547.0,42.0,117.0,4.0,48673.0,7131.0,Lebanon,Asia,,,0.0,,,
7,2020-05-09,809.0,-1.0,26.0,-1.0,234.0,549.0,4.0,119.0,4.0,49990.0,7324.0,Lebanon,Asia,,,0.0,,,
8,2020-05-10,845.0,36.0,26.0,-1.0,234.0,585.0,4.0,124.0,4.0,51182.0,7499.0,Lebanon,Asia,,,0.0,,,
9,2020-05-11,859.0,14.0,26.0,-1.0,234.0,599.0,3.0,126.0,4.0,51731.0,7579.0,Lebanon,Asia,,,0.0,,,
10,2020-05-12,870.0,11.0,26.0,-1.0,234.0,610.0,3.0,127.0,4.0,53269.0,7804.0,Lebanon,Asia,,,0.0,,,
11,2020-05-13,878.0,8.0,26.0,-1.0,236.0,616.0,3.0,129.0,4.0,54694.0,8013.0,Lebanon,Asia,,,0.0,,,
12,2020-05-14,886.0,8.0,26.0,-1.0,236.0,624.0,4.0,130.0,4.0,56385.0,8261.0,Lebanon,Asia,,,0.0,,,
13,2020-05-15,891.0,5.0,26.0,-1.0,246.0,619.0,4.0,130.0,4.0,57715.0,8451.0,Lebanon,Asia,105.0,6829201.0,0.0,,,
14,2020-05-16,902.0,11.0,26.0,-1.0,247.0,629.0,4.0,132.0,4.0,59588.0,8726.0,Lebanon,Asia,105.0,6829118.0,0.0,,,
15,2020-05-17,911.0,9.0,26.0,-1.0,247.0,638.0,3.0,133.0,4.0,61479.0,9003.0,Lebanon,Asia,105.0,6829035.0,0.0,,,
16,2020-05-18,931.0,20.0,26.0,-1.0,251.0,654.0,4.0,136.0,4.0,62424.0,9141.0,Lebanon,Asia,104.0,6828952.0,0.0,,,
17,2020-05-19,954.0,23.0,26.0,-1.0,251.0,677.0,4.0,140.0,4.0,63720.0,9331.0,Lebanon,Asia,104.0,6828869.0,0.0,,,
18,2020-05-20,961.0,7.0,26.0,-1.0,251.0,684.0,4.0,141.0,4.0,65363.0,9572.0,Lebanon,Asia,105.0,6828786.0,0.0,,,
19,2020-05-21,1024.0,63.0,26.0,-1.0,663.0,335.0,3.0,150.0,4.0,67510.0,9886.0,Lebanon,Asia,104.0,6828703.0,0.0,,,
20,2020-05-22,1086.0,62.0,26.0,-1.0,663.0,397.0,3.0,159.0,4.0,69610.0,10194.0,Lebanon,Asia,100.0,6828619.0,0.0,,,
21,2020-05-23,1097.0,11.0,26.0,-1.0,667.0,404.0,4.0,161.0,4.0,71814.0,10517.0,Lebanon,Asia,100.0,6828536.0,0.0,,,
22,2020-05-24,1114.0,17.0,26.0,-1.0,688.0,400.0,4.0,163.0,4.0,74224.0,10870.0,Lebanon,Asia,100.0,6828453.0,0.0,,,
23,2020-05-25,1119.0,5.0,26.0,-1.0,688.0,405.0,4.0,164.0,4.0,74994.0,10983.0,Lebanon,Asia,102.0,6828370.0,0.0,,,
24,2020-05-26,1140.0,21.0,26.0,-1.0,689.0,425.0,3.0,167.0,4.0,75813.0,11103.0,Lebanon,Asia,102.0,6828287.0,0.0,,,
25,2020-05-27,1161.0,-1.0,26.0,-1.0,692.0,443.0,3.0,170.0,4.0,77488.0,11348.0,Lebanon,Asia,103.0,6828121.0,0.0,,,
26,2020-05-28,1168.0,7.0,26.0,-1.0,699.0,443.0,7.0,171.0,4.0,78947.0,11562.0,Lebanon,Asia,104.0,6828121.0,0.0,,,
