,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,63.0,-1.0,3.0,-1.0,32.0,28.0,-1.0,9.0,0.4,2155.0,314.0,Libya,Africa,,,0.0,,,
1,2020-05-03,63.0,-1.0,3.0,-1.0,22.0,38.0,-1.0,9.0,0.4,2155.0,314.0,Libya,Africa,,,0.0,,,
2,2020-05-04,63.0,-1.0,3.0,-1.0,23.0,37.0,-1.0,9.0,0.4,2338.0,340.0,Libya,Africa,,,0.0,,,
3,2020-05-05,63.0,-1.0,3.0,-1.0,23.0,37.0,-1.0,9.0,0.4,2338.0,340.0,Libya,Africa,,,0.0,,,
4,2020-05-06,64.0,1.0,3.0,-1.0,24.0,37.0,-1.0,9.0,0.4,2338.0,340.0,Libya,Africa,,,0.0,,,
5,2020-05-07,64.0,-1.0,3.0,-1.0,24.0,37.0,-1.0,9.0,0.4,2338.0,340.0,Libya,Africa,,,0.0,,,
6,2020-05-08,64.0,-1.0,3.0,-1.0,24.0,37.0,-1.0,9.0,0.4,2338.0,340.0,Libya,Africa,,,0.0,,,
7,2020-05-09,64.0,-1.0,3.0,-1.0,24.0,37.0,-1.0,9.0,0.4,2338.0,340.0,Libya,Africa,,,0.0,,,
8,2020-05-10,64.0,-1.0,3.0,-1.0,24.0,37.0,-1.0,9.0,0.4,3093.0,450.0,Libya,Africa,,,0.0,,,
9,2020-05-11,64.0,-1.0,3.0,-1.0,28.0,33.0,-1.0,9.0,0.4,3253.0,473.0,Libya,Africa,,,0.0,,,
10,2020-05-12,64.0,-1.0,3.0,-1.0,28.0,33.0,-1.0,9.0,0.4,3253.0,473.0,Libya,Africa,,,0.0,,,
11,2020-05-13,64.0,-1.0,3.0,-1.0,28.0,33.0,-1.0,9.0,0.4,3253.0,473.0,Libya,Africa,,,0.0,,,
12,2020-05-14,64.0,-1.0,3.0,-1.0,28.0,33.0,-1.0,9.0,0.4,3253.0,473.0,Libya,Africa,,,0.0,,,
13,2020-05-15,64.0,-1.0,3.0,-1.0,28.0,33.0,-1.0,9.0,0.4,3253.0,474.0,Libya,Africa,170.0,6858905.0,0.0,,,
14,2020-05-16,64.0,-1.0,3.0,-1.0,28.0,33.0,-1.0,9.0,0.4,3633.0,530.0,Libya,Africa,170.0,6859160.0,0.0,,,
15,2020-05-17,65.0,-1.0,3.0,-1.0,35.0,27.0,-1.0,9.0,0.4,3633.0,530.0,Libya,Africa,170.0,6859415.0,0.0,,,
16,2020-05-18,65.0,-1.0,3.0,-1.0,35.0,27.0,-1.0,9.0,0.4,3633.0,530.0,Libya,Africa,171.0,6859671.0,0.0,,,
17,2020-05-19,68.0,3.0,3.0,-1.0,35.0,30.0,-1.0,10.0,0.4,3633.0,530.0,Libya,Africa,172.0,6859926.0,0.0,,,
18,2020-05-20,69.0,1.0,3.0,-1.0,35.0,31.0,-1.0,10.0,0.4,3633.0,530.0,Libya,Africa,173.0,6860181.0,0.0,,,
19,2020-05-21,71.0,2.0,3.0,-1.0,35.0,33.0,-1.0,10.0,0.4,4351.0,634.0,Libya,Africa,173.0,6860437.0,0.0,,,
20,2020-05-22,72.0,1.0,3.0,-1.0,38.0,31.0,-1.0,10.0,0.4,4351.0,634.0,Libya,Africa,174.0,6860692.0,0.0,,,
21,2020-05-23,75.0,3.0,3.0,-1.0,39.0,33.0,-1.0,11.0,0.4,4351.0,634.0,Libya,Africa,174.0,6860947.0,0.0,,,
22,2020-05-24,75.0,-1.0,3.0,-1.0,39.0,33.0,-1.0,11.0,0.4,4351.0,634.0,Libya,Africa,175.0,6861203.0,0.0,,,
23,2020-05-25,75.0,-1.0,3.0,-1.0,40.0,32.0,-1.0,11.0,0.4,4351.0,634.0,Libya,Africa,175.0,6861458.0,0.0,,,
24,2020-05-26,75.0,-1.0,3.0,-1.0,40.0,32.0,-1.0,11.0,0.4,5154.0,751.0,Libya,Africa,175.0,6861713.0,0.0,,,
25,2020-05-27,99.0,-1.0,4.0,-1.0,40.0,55.0,-1.0,14.0,0.6,5154.0,751.0,Libya,Africa,171.0,6862224.0,0.0,,,
26,2020-05-28,99.0,-1.0,4.0,-1.0,40.0,55.0,-1.0,14.0,0.6,5154.0,751.0,Libya,Africa,171.0,6862224.0,0.0,,,
27,2020-05-29,118.0,13.0,5.0,-1.0,41.0,72.0,-1.0,17.0,0.7,5154.0,751.0,Libya,Africa,168.0,6862479.0,0.0,,,
28,2020-05-30,130.0,12.0,5.0,-1.0,50.0,75.0,-1.0,19.0,0.7,5591.0,815.0,Libya,Africa,166.0,6862735.0,0.0,,,
29,2020-05-31,130.0,-1.0,5.0,-1.0,50.0,75.0,-1.0,19.0,0.7,5591.0,815.0,Libya,Africa,166.0,6862990.0,0.0,,,
30,2020-06-01,156.0,-1.0,5.0,-1.0,52.0,99.0,-1.0,23.0,0.7,5591.0,815.0,Libya,Africa,162.0,6863245.0,0.0,,,
31,2020-06-02,182.0,14.0,5.0,-1.0,52.0,125.0,-1.0,27.0,0.7,6206.0,904.0,Libya,Africa,160.0,6863501.0,-1.0,37712.0,1372700.0,1.0
32,2020-06-03,182.0,-1.0,5.0,-1.0,52.0,125.0,-1.0,27.0,0.7,6714.0,978.0,Libya,Africa,160.0,6863756.0,-1.0,37713.0,1372751.0,1.0
33,2020-06-04,196.0,-1.0,5.0,-1.0,52.0,139.0,-1.0,29.0,0.7,7501.0,1093.0,Libya,Africa,158.0,6864011.0,-1.0,35020.0,1372802.0,915.0
34,2020-06-05,209.0,-1.0,5.0,-1.0,52.0,152.0,-1.0,30.0,0.7,8193.0,1194.0,Libya,Africa,157.0,6864267.0,-1.0,32843.0,1372853.0,838.0
35,2020-06-06,239.0,-1.0,5.0,-1.0,52.0,182.0,-1.0,35.0,0.7,8840.0,1288.0,Libya,Africa,157.0,6864522.0,-1.0,28722.0,1372904.0,777.0
36,2020-06-07,256.0,-1.0,5.0,-1.0,52.0,199.0,-1.0,37.0,0.7,8840.0,1288.0,Libya,Africa,156.0,6864777.0,-1.0,26816.0,1372955.0,777.0
37,2020-06-08,270.0,14.0,5.0,-1.0,53.0,212.0,-1.0,39.0,0.7,9259.0,1349.0,Libya,Africa,156.0,6865033.0,1.0,25426.0,1373007.0,741.0
38,2020-06-09,332.0,-1.0,5.0,-1.0,57.0,270.0,-1.0,48.0,0.7,10525.0,1533.0,Libya,Africa,152.0,6865288.0,-1.0,20679.0,1373058.0,652.0
