,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
1,2020-05-03,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
2,2020-05-04,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
3,2020-05-05,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
4,2020-05-06,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
5,2020-05-07,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
6,2020-05-08,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
7,2020-05-09,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
8,2020-05-10,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
9,2020-05-11,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
10,2020-05-12,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
11,2020-05-13,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
12,2020-05-14,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23605.0,Liechtenstein,Europe,,,0.0,,,
13,2020-05-15,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23613.0,Liechtenstein,Europe,168.0,38114.0,0.0,,,
14,2020-05-16,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23613.0,Liechtenstein,Europe,168.0,38114.0,0.0,,,
15,2020-05-17,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23613.0,Liechtenstein,Europe,168.0,38115.0,0.0,,,
16,2020-05-18,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23613.0,Liechtenstein,Europe,168.0,38115.0,0.0,,,
17,2020-05-19,82.0,-1.0,1.0,-1.0,55.0,26.0,-1.0,2151.0,26.0,900.0,23613.0,Liechtenstein,Europe,168.0,38115.0,0.0,,,
