,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1406.0,7.0,46.0,1.0,632.0,728.0,17.0,516.0,17.0,138270.0,50792.0,Lithuania,Europe,,,0.0,,,
1,2020-05-03,1410.0,4.0,46.0,-1.0,635.0,729.0,17.0,518.0,17.0,141678.0,52044.0,Lithuania,Europe,,,0.0,,,
2,2020-05-04,1419.0,9.0,46.0,-1.0,638.0,735.0,17.0,521.0,17.0,144029.0,52907.0,Lithuania,Europe,,,0.0,,,
3,2020-05-05,1423.0,-1.0,46.0,-1.0,678.0,699.0,17.0,523.0,17.0,149106.0,54772.0,Lithuania,Europe,,,0.0,,,
4,2020-05-06,1428.0,5.0,48.0,2.0,718.0,662.0,17.0,525.0,18.0,156493.0,57486.0,Lithuania,Europe,,,0.0,,,
5,2020-05-07,1433.0,5.0,49.0,1.0,739.0,645.0,17.0,526.0,18.0,164088.0,60276.0,Lithuania,Europe,,,0.0,,,
6,2020-05-08,1436.0,-1.0,49.0,-1.0,765.0,622.0,17.0,527.0,18.0,172191.0,63252.0,Lithuania,Europe,,,0.0,,,
7,2020-05-09,1444.0,-1.0,49.0,-1.0,828.0,567.0,17.0,530.0,18.0,180332.0,66243.0,Lithuania,Europe,,,0.0,,,
8,2020-05-10,1479.0,35.0,50.0,1.0,828.0,601.0,17.0,543.0,18.0,183913.0,67558.0,Lithuania,Europe,,,0.0,,,
9,2020-05-11,1485.0,6.0,50.0,-1.0,833.0,602.0,17.0,545.0,18.0,186565.0,68532.0,Lithuania,Europe,,,0.0,,,
10,2020-05-12,1491.0,6.0,50.0,-1.0,850.0,591.0,17.0,548.0,18.0,192386.0,70671.0,Lithuania,Europe,,,0.0,,,
11,2020-05-13,1505.0,14.0,54.0,4.0,908.0,543.0,17.0,553.0,20.0,200264.0,73565.0,Lithuania,Europe,,,0.0,,,
12,2020-05-14,1511.0,6.0,54.0,-1.0,934.0,523.0,17.0,555.0,20.0,208253.0,76499.0,Lithuania,Europe,,,0.0,,,
13,2020-05-15,1523.0,12.0,54.0,-1.0,965.0,504.0,17.0,559.0,20.0,216247.0,79305.0,Lithuania,Europe,84.0,2726772.0,0.0,,,
14,2020-05-16,1534.0,11.0,55.0,1.0,988.0,491.0,17.0,563.0,20.0,224040.0,82166.0,Lithuania,Europe,85.0,2726669.0,0.0,,,
15,2020-05-17,1541.0,7.0,56.0,1.0,997.0,488.0,17.0,565.0,21.0,228726.0,83888.0,Lithuania,Europe,85.0,2726566.0,0.0,,,
16,2020-05-18,1547.0,6.0,59.0,3.0,997.0,491.0,17.0,567.0,22.0,231104.0,84763.0,Lithuania,Europe,86.0,2726463.0,0.0,,,
17,2020-05-19,1562.0,15.0,60.0,1.0,1025.0,477.0,17.0,573.0,22.0,237600.0,87149.0,Lithuania,Europe,87.0,2726360.0,0.0,,,
18,2020-05-20,1577.0,15.0,60.0,-1.0,1049.0,468.0,17.0,578.0,22.0,245580.0,90080.0,Lithuania,Europe,88.0,2726257.0,0.0,,,
19,2020-05-21,1593.0,16.0,61.0,1.0,1049.0,483.0,17.0,584.0,22.0,253004.0,92806.0,Lithuania,Europe,90.0,2726154.0,0.0,,,
20,2020-05-22,1604.0,11.0,61.0,-1.0,1111.0,432.0,17.0,588.0,22.0,259043.0,95025.0,Lithuania,Europe,89.0,2726052.0,0.0,,,
21,2020-05-23,1616.0,12.0,63.0,2.0,1135.0,418.0,17.0,593.0,23.0,264882.0,97171.0,Lithuania,Europe,90.0,2725949.0,0.0,,,
22,2020-05-24,1623.0,7.0,63.0,-1.0,1138.0,422.0,17.0,595.0,23.0,267719.0,98215.0,Lithuania,Europe,90.0,2725846.0,0.0,,,
23,2020-05-25,1635.0,12.0,63.0,-1.0,1138.0,434.0,17.0,600.0,23.0,269889.0,99015.0,Lithuania,Europe,91.0,2725743.0,0.0,,,
24,2020-05-26,1639.0,4.0,65.0,2.0,1165.0,409.0,17.0,601.0,24.0,275058.0,100915.0,Lithuania,Europe,91.0,2725640.0,0.0,,,
25,2020-05-27,1647.0,-1.0,66.0,-1.0,1184.0,397.0,17.0,604.0,24.0,281232.0,103188.0,Lithuania,Europe,91.0,2725434.0,0.0,,,
26,2020-05-28,1656.0,9.0,68.0,2.0,1193.0,395.0,17.0,608.0,25.0,287982.0,105665.0,Lithuania,Europe,92.0,2725434.0,0.0,,,
27,2020-05-29,1662.0,6.0,68.0,-1.0,1216.0,378.0,17.0,610.0,25.0,294091.0,107910.0,Lithuania,Europe,93.0,2725331.0,0.0,,,
28,2020-05-30,1670.0,8.0,70.0,2.0,1229.0,371.0,17.0,613.0,26.0,299428.0,109873.0,Lithuania,Europe,94.0,2725228.0,0.0,,,
29,2020-05-31,1675.0,5.0,70.0,-1.0,1236.0,369.0,17.0,615.0,26.0,302859.0,111136.0,Lithuania,Europe,96.0,2725125.0,0.0,,,
30,2020-06-01,1678.0,3.0,70.0,-1.0,1236.0,372.0,17.0,616.0,26.0,304854.0,111872.0,Lithuania,Europe,97.0,2725022.0,0.0,,,
31,2020-06-02,1682.0,4.0,71.0,1.0,1249.0,362.0,17.0,617.0,26.0,309725.0,113664.0,Lithuania,Europe,98.0,2724919.0,13.0,1620.0,38379.0,9.0
32,2020-06-03,1684.0,2.0,71.0,-1.0,1260.0,353.0,17.0,618.0,26.0,315112.0,115645.0,Lithuania,Europe,99.0,2724816.0,11.0,1618.0,38378.0,9.0
33,2020-06-04,1687.0,3.0,71.0,-1.0,1273.0,343.0,17.0,619.0,26.0,321040.0,117825.0,Lithuania,Europe,99.0,2724713.0,13.0,1615.0,38376.0,8.0
34,2020-06-05,1694.0,7.0,71.0,-1.0,1302.0,321.0,17.0,622.0,26.0,326294.0,119758.0,Lithuania,Europe,100.0,2724610.0,29.0,1608.0,38375.0,8.0
35,2020-06-06,1705.0,11.0,71.0,-1.0,1321.0,313.0,17.0,626.0,26.0,331229.0,121574.0,Lithuania,Europe,100.0,2724507.0,19.0,1598.0,38373.0,8.0
36,2020-06-07,1714.0,9.0,71.0,-1.0,1328.0,315.0,17.0,629.0,26.0,333433.0,122388.0,Lithuania,Europe,100.0,2724404.0,7.0,1590.0,38372.0,8.0
37,2020-06-08,1720.0,6.0,71.0,-1.0,1331.0,318.0,17.0,631.0,26.0,335686.0,123219.0,Lithuania,Europe,101.0,2724301.0,3.0,1584.0,38370.0,8.0
38,2020-06-09,1727.0,7.0,72.0,1.0,1338.0,317.0,17.0,634.0,26.0,340073.0,124834.0,Lithuania,Europe,101.0,2724198.0,7.0,1577.0,37836.0,8.0
39,2020-06-10,1733.0,6.0,74.0,2.0,1369.0,290.0,17.0,636.0,27.0,345392.0,126791.0,Lithuania,Europe,101.0,2724095.0,31.0,1572.0,36812.0,8.0
40,2020-06-11,1752.0,19.0,74.0,-1.0,1372.0,306.0,17.0,643.0,27.0,350788.0,128777.0,Lithuania,Europe,101.0,2723992.0,3.0,1555.0,36811.0,8.0
41,2020-06-12,1756.0,4.0,74.0,-1.0,1400.0,282.0,17.0,645.0,27.0,356062.0,130718.0,Lithuania,Europe,101.0,2723889.0,28.0,1551.0,36809.0,8.0
42,2020-06-13,1763.0,7.0,75.0,1.0,1416.0,272.0,17.0,647.0,28.0,360670.0,132415.0,Lithuania,Europe,102.0,2723786.0,16.0,1545.0,36317.0,8.0
43,2020-06-14,1768.0,5.0,75.0,-1.0,1427.0,266.0,17.0,649.0,28.0,363528.0,133469.0,Lithuania,Europe,102.0,2723683.0,11.0,1541.0,36316.0,7.0
44,2020-06-15,1773.0,5.0,76.0,1.0,1429.0,268.0,17.0,651.0,28.0,365136.0,134065.0,Lithuania,Europe,103.0,2723580.0,2.0,1536.0,35837.0,7.0
45,2020-06-16,1776.0,3.0,76.0,-1.0,1441.0,259.0,16.0,652.0,28.0,369546.0,135689.0,Lithuania,Europe,105.0,2723477.0,12.0,1533.0,35835.0,7.0
46,2020-06-17,1778.0,2.0,76.0,-1.0,1447.0,255.0,16.0,653.0,28.0,375572.0,137907.0,Lithuania,Europe,105.0,2723374.0,6.0,1532.0,35834.0,7.0
47,2020-06-18,1784.0,6.0,76.0,-1.0,1449.0,259.0,16.0,655.0,28.0,375572.0,137912.0,Lithuania,Europe,107.0,2723271.0,2.0,1526.0,35833.0,7.0
48,2020-06-19,1792.0,8.0,76.0,-1.0,1462.0,254.0,16.0,658.0,28.0,386194.0,141818.0,Lithuania,Europe,108.0,2723168.0,13.0,1520.0,35831.0,7.0
49,2020-06-20,1795.0,3.0,76.0,-1.0,1470.0,249.0,16.0,659.0,28.0,390457.0,143394.0,Lithuania,Europe,108.0,2722962.0,8.0,1517.0,35828.0,7.0
50,2020-06-21,1798.0,3.0,76.0,-1.0,1475.0,247.0,16.0,660.0,28.0,392553.0,144164.0,Lithuania,Europe,108.0,2722962.0,5.0,1514.0,35828.0,7.0
51,2020-06-22,1801.0,3.0,76.0,-1.0,1475.0,250.0,16.0,661.0,28.0,394465.0,144872.0,Lithuania,Europe,108.0,2722859.0,-1.0,1512.0,35827.0,7.0
52,2020-06-23,1803.0,2.0,77.0,1.0,1483.0,243.0,16.0,662.0,28.0,398417.0,146329.0,Lithuania,Europe,108.0,2722756.0,8.0,1510.0,35360.0,7.0
53,2020-06-24,1804.0,1.0,78.0,1.0,1484.0,242.0,16.0,663.0,29.0,403841.0,148326.0,Lithuania,Europe,108.0,2722653.0,1.0,1509.0,34906.0,7.0
54,2020-06-25,1806.0,2.0,78.0,-1.0,1494.0,234.0,16.0,663.0,29.0,406557.0,149329.0,Lithuania,Europe,109.0,2722550.0,10.0,1508.0,34904.0,7.0
55,2020-06-26,1808.0,2.0,78.0,-1.0,1501.0,229.0,16.0,664.0,29.0,410867.0,150918.0,Lithuania,Europe,110.0,2722447.0,7.0,1506.0,34903.0,7.0
56,2020-06-27,1813.0,5.0,78.0,-1.0,1503.0,232.0,16.0,666.0,29.0,414792.0,152366.0,Lithuania,Europe,111.0,2722344.0,2.0,1502.0,34902.0,7.0
57,2020-06-28,1815.0,2.0,78.0,-1.0,1503.0,234.0,16.0,667.0,29.0,416739.0,153087.0,Lithuania,Europe,112.0,2722241.0,-1.0,1500.0,34901.0,7.0
58,2020-06-29,1816.0,1.0,78.0,-1.0,1512.0,226.0,16.0,667.0,29.0,418368.0,153691.0,Lithuania,Europe,112.0,2722138.0,9.0,1499.0,34899.0,7.0
59,2020-06-30,1817.0,1.0,78.0,-1.0,1515.0,224.0,16.0,668.0,29.0,422840.0,155340.0,Lithuania,Europe,112.0,2722035.0,3.0,1498.0,34898.0,6.0
60,2020-07-01,1818.0,1.0,78.0,-1.0,1524.0,216.0,16.0,668.0,29.0,428238.0,157329.0,Lithuania,Europe,112.0,2721932.0,9.0,1497.0,34897.0,6.0
61,2020-07-02,1825.0,7.0,78.0,-1.0,1536.0,211.0,16.0,671.0,29.0,432457.0,158885.0,Lithuania,Europe,112.0,2721829.0,12.0,1491.0,34895.0,6.0
62,2020-07-03,1828.0,3.0,79.0,1.0,1539.0,210.0,15.0,672.0,29.0,436679.0,160442.0,Lithuania,Europe,113.0,2721726.0,3.0,1489.0,34452.0,6.0
63,2020-07-04,1831.0,3.0,79.0,-1.0,1545.0,207.0,15.0,673.0,29.0,440453.0,161835.0,Lithuania,Europe,113.0,2721623.0,6.0,1486.0,34451.0,6.0
64,2020-07-05,1836.0,5.0,79.0,-1.0,1545.0,212.0,15.0,675.0,29.0,440453.0,161841.0,Lithuania,Europe,113.0,2721520.0,-1.0,1482.0,34450.0,6.0
65,2020-07-06,1841.0,5.0,79.0,-1.0,1547.0,215.0,15.0,676.0,29.0,443391.0,162927.0,Lithuania,Europe,113.0,2721417.0,2.0,1478.0,34448.0,6.0
66,2020-07-07,1844.0,3.0,79.0,-1.0,1547.0,218.0,15.0,678.0,29.0,444407.0,163306.0,Lithuania,Europe,114.0,2721314.0,-1.0,1476.0,34447.0,6.0
67,2020-07-08,1854.0,10.0,79.0,-1.0,1552.0,223.0,15.0,681.0,29.0,447994.0,164630.0,Lithuania,Europe,115.0,2721211.0,5.0,1468.0,34446.0,6.0
68,2020-07-09,1857.0,3.0,79.0,-1.0,1564.0,214.0,15.0,682.0,29.0,451987.0,166104.0,Lithuania,Europe,115.0,2721108.0,12.0,1465.0,34444.0,6.0
69,2020-07-10,1861.0,4.0,79.0,-1.0,1569.0,213.0,15.0,684.0,29.0,455833.0,167524.0,Lithuania,Europe,117.0,2721005.0,5.0,1462.0,34443.0,6.0
70,2020-07-11,1865.0,4.0,79.0,-1.0,1579.0,207.0,15.0,685.0,29.0,459404.0,168843.0,Lithuania,Europe,117.0,2720902.0,10.0,1459.0,34442.0,6.0
71,2020-07-12,1869.0,4.0,79.0,-1.0,1571.0,219.0,15.0,687.0,29.0,461110.0,169482.0,Lithuania,Europe,117.0,2720696.0,-1.0,1456.0,34439.0,6.0
72,2020-07-13,1874.0,5.0,79.0,-1.0,1571.0,224.0,15.0,689.0,29.0,461666.0,169687.0,Lithuania,Europe,117.0,2720696.0,-1.0,1452.0,34439.0,6.0
73,2020-07-14,1875.0,1.0,79.0,-1.0,1571.0,225.0,15.0,689.0,29.0,465396.0,171064.0,Lithuania,Europe,117.0,2720593.0,-1.0,1451.0,34438.0,6.0
74,2020-07-15,1882.0,21.0,79.0,-1.0,1582.0,221.0,15.0,692.0,29.0,465396.0,171071.0,Lithuania,Europe,117.0,2720490.0,11.0,1446.0,34437.0,6.0
75,2020-07-16,1902.0,6.0,79.0,-1.0,1593.0,230.0,6.0,699.0,29.0,472804.0,173800.0,Lithuania,Europe,116.0,2720387.0,11.0,1430.0,34435.0,6.0
76,2020-07-17,1908.0,6.0,79.0,-1.0,1595.0,234.0,6.0,701.0,29.0,476121.0,175026.0,Lithuania,Europe,121.0,2720284.0,2.0,1426.0,34434.0,6.0
77,2020-07-18,1915.0,7.0,80.0,1.0,1600.0,235.0,6.0,704.0,29.0,479991.0,176456.0,Lithuania,Europe,121.0,2720181.0,5.0,1420.0,34002.0,6.0
78,2020-07-19,1932.0,17.0,80.0,-1.0,1600.0,252.0,6.0,710.0,29.0,481553.0,177036.0,Lithuania,Europe,120.0,2720078.0,-1.0,1408.0,34001.0,6.0
