,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,3812.0,10.0,92.0,-1.0,3318.0,402.0,23.0,6090.0,147.0,47460.0,75817.0,Luxembourg,Europe,,,0.0,,,
1,2020-05-03,3824.0,12.0,96.0,4.0,3379.0,349.0,22.0,6109.0,153.0,48118.0,76869.0,Luxembourg,Europe,,,0.0,,,
2,2020-05-04,3828.0,4.0,96.0,-1.0,3405.0,327.0,21.0,6115.0,153.0,48339.0,77222.0,Luxembourg,Europe,,,0.0,,,
3,2020-05-05,3840.0,-1.0,96.0,-1.0,3412.0,332.0,22.0,6134.0,153.0,49299.0,78755.0,Luxembourg,Europe,,,0.0,,,
4,2020-05-06,3851.0,11.0,98.0,2.0,3452.0,301.0,20.0,6152.0,157.0,50533.0,80726.0,Luxembourg,Europe,,,0.0,,,
5,2020-05-07,3859.0,8.0,100.0,2.0,3505.0,254.0,21.0,6165.0,160.0,51883.0,82883.0,Luxembourg,Europe,,,0.0,,,
6,2020-05-08,3871.0,-1.0,100.0,-1.0,3526.0,245.0,16.0,6184.0,160.0,53257.0,85078.0,Luxembourg,Europe,,,0.0,,,
7,2020-05-09,3877.0,-1.0,101.0,-1.0,3550.0,226.0,15.0,6194.0,161.0,54463.0,87005.0,Luxembourg,Europe,,,0.0,,,
8,2020-05-10,3886.0,9.0,101.0,-1.0,3586.0,199.0,14.0,6208.0,161.0,55250.0,88262.0,Luxembourg,Europe,,,0.0,,,
9,2020-05-11,3888.0,2.0,101.0,-1.0,3602.0,185.0,18.0,6211.0,161.0,55415.0,88525.0,Luxembourg,Europe,,,0.0,,,
10,2020-05-12,3894.0,6.0,102.0,1.0,3610.0,182.0,22.0,6221.0,163.0,56394.0,90089.0,Luxembourg,Europe,,,0.0,,,
11,2020-05-13,3904.0,10.0,103.0,1.0,3629.0,172.0,22.0,6237.0,165.0,57687.0,92155.0,Luxembourg,Europe,,,0.0,,,
12,2020-05-14,3915.0,11.0,103.0,-1.0,3665.0,147.0,11.0,6254.0,165.0,58727.0,93816.0,Luxembourg,Europe,,,0.0,,,
13,2020-05-15,3923.0,8.0,104.0,1.0,3682.0,137.0,11.0,6281.0,167.0,59987.0,96039.0,Luxembourg,Europe,63.0,624613.0,0.0,,,
14,2020-05-16,3930.0,7.0,104.0,-1.0,3699.0,127.0,15.0,6292.0,166.0,60246.0,96449.0,Luxembourg,Europe,63.0,624641.0,0.0,,,
15,2020-05-17,3945.0,15.0,107.0,3.0,3702.0,136.0,14.0,6315.0,171.0,62153.0,99497.0,Luxembourg,Europe,63.0,624669.0,0.0,,,
16,2020-05-18,3947.0,2.0,107.0,-1.0,3715.0,125.0,8.0,6318.0,171.0,62260.0,99664.0,Luxembourg,Europe,64.0,624696.0,0.0,,,
17,2020-05-19,3958.0,11.0,109.0,2.0,3718.0,131.0,10.0,6336.0,174.0,63011.0,100862.0,Luxembourg,Europe,64.0,624724.0,0.0,,,
18,2020-05-20,3971.0,13.0,109.0,-1.0,3728.0,134.0,6.0,6356.0,174.0,64018.0,102469.0,Luxembourg,Europe,64.0,624752.0,0.0,,,
19,2020-05-21,3980.0,9.0,109.0,-1.0,3741.0,130.0,6.0,6370.0,174.0,64981.0,104006.0,Luxembourg,Europe,65.0,624780.0,0.0,,,
20,2020-05-22,3981.0,1.0,109.0,-1.0,3748.0,124.0,5.0,6372.0,174.0,65724.0,105191.0,Luxembourg,Europe,65.0,624808.0,0.0,,,
21,2020-05-23,3990.0,9.0,109.0,-1.0,3758.0,123.0,8.0,6386.0,174.0,66653.0,106673.0,Luxembourg,Europe,66.0,624836.0,0.0,,,
22,2020-05-24,3992.0,2.0,110.0,1.0,3767.0,115.0,7.0,6389.0,176.0,67729.0,108390.0,Luxembourg,Europe,67.0,624863.0,0.0,,,
23,2020-05-25,3993.0,1.0,110.0,-1.0,3781.0,102.0,4.0,6390.0,176.0,68107.0,108990.0,Luxembourg,Europe,67.0,624891.0,0.0,,,
24,2020-05-26,3995.0,2.0,110.0,-1.0,3783.0,102.0,5.0,6393.0,176.0,68829.0,110141.0,Luxembourg,Europe,68.0,624919.0,0.0,,,
25,2020-05-27,4001.0,-1.0,110.0,-1.0,3791.0,100.0,4.0,6402.0,176.0,70148.0,112241.0,Luxembourg,Europe,69.0,624975.0,0.0,,,
26,2020-05-28,4008.0,7.0,110.0,-1.0,3803.0,95.0,4.0,6413.0,176.0,71098.0,113761.0,Luxembourg,Europe,70.0,624975.0,0.0,,,
27,2020-05-29,4012.0,4.0,110.0,-1.0,3815.0,87.0,4.0,6419.0,176.0,72996.0,116793.0,Luxembourg,Europe,70.0,625003.0,0.0,,,
28,2020-05-30,4016.0,4.0,110.0,-1.0,3815.0,91.0,4.0,6425.0,176.0,74366.0,118980.0,Luxembourg,Europe,70.0,625031.0,0.0,,,
29,2020-05-31,4018.0,2.0,110.0,-1.0,3833.0,75.0,3.0,6428.0,176.0,75432.0,120680.0,Luxembourg,Europe,70.0,625058.0,0.0,,,
30,2020-06-01,4019.0,1.0,110.0,-1.0,3845.0,64.0,4.0,6430.0,176.0,75594.0,120934.0,Luxembourg,Europe,70.0,625086.0,0.0,,,
