,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,135.0,3.0,-1.0,-1.0,97.0,38.0,1.0,5.0,-1.0,3393.0,123.0,Madagascar,Africa,,,0.0,,,
1,2020-05-03,149.0,14.0,-1.0,-1.0,98.0,51.0,1.0,5.0,-1.0,3611.0,130.0,Madagascar,Africa,,,0.0,,,
2,2020-05-04,149.0,-1.0,-1.0,-1.0,99.0,50.0,1.0,5.0,-1.0,3772.0,136.0,Madagascar,Africa,,,0.0,,,
3,2020-05-05,151.0,-1.0,-1.0,-1.0,101.0,50.0,1.0,5.0,-1.0,3861.0,139.0,Madagascar,Africa,,,0.0,,,
4,2020-05-06,158.0,7.0,-1.0,-1.0,101.0,57.0,1.0,6.0,-1.0,3907.0,141.0,Madagascar,Africa,,,0.0,,,
5,2020-05-07,193.0,35.0,-1.0,-1.0,101.0,92.0,1.0,7.0,-1.0,3968.0,143.0,Madagascar,Africa,,,0.0,,,
6,2020-05-08,193.0,-1.0,-1.0,-1.0,101.0,92.0,1.0,7.0,-1.0,3968.0,143.0,Madagascar,Africa,,,0.0,,,
7,2020-05-09,193.0,-1.0,-1.0,-1.0,101.0,92.0,1.0,7.0,-1.0,3968.0,143.0,Madagascar,Africa,,,0.0,,,
8,2020-05-10,193.0,-1.0,-1.0,-1.0,101.0,92.0,1.0,7.0,-1.0,3968.0,143.0,Madagascar,Africa,,,0.0,,,
9,2020-05-11,193.0,-1.0,-1.0,-1.0,101.0,92.0,1.0,7.0,-1.0,3968.0,143.0,Madagascar,Africa,,,0.0,,,
10,2020-05-12,186.0,-1.0,-1.0,-1.0,101.0,85.0,1.0,7.0,-1.0,3968.0,143.0,Madagascar,Africa,,,0.0,,,
11,2020-05-13,212.0,26.0,-1.0,-1.0,107.0,105.0,1.0,8.0,-1.0,5670.0,205.0,Madagascar,Africa,,,0.0,,,
12,2020-05-14,230.0,18.0,-1.0,-1.0,108.0,122.0,1.0,8.0,-1.0,5670.0,205.0,Madagascar,Africa,,,0.0,,,
13,2020-05-15,230.0,-1.0,-1.0,-1.0,108.0,122.0,1.0,8.0,-1.0,5670.0,205.0,Madagascar,Africa,144.0,27591793.0,0.0,,,
14,2020-05-16,283.0,45.0,-1.0,-1.0,114.0,169.0,3.0,10.0,-1.0,5670.0,205.0,Madagascar,Africa,141.0,27593744.0,0.0,,,
15,2020-05-17,304.0,21.0,1.0,1.0,114.0,189.0,2.0,11.0,0.04,5670.0,205.0,Madagascar,Africa,140.0,27595696.0,0.0,,,
16,2020-05-18,322.0,18.0,1.0,-1.0,119.0,202.0,1.0,12.0,0.04,5670.0,205.0,Madagascar,Africa,141.0,27597647.0,0.0,,,
17,2020-05-19,326.0,4.0,2.0,1.0,119.0,205.0,-1.0,12.0,0.07,5670.0,205.0,Madagascar,Africa,140.0,27599599.0,0.0,,,
18,2020-05-20,371.0,45.0,2.0,-1.0,131.0,238.0,-1.0,13.0,0.07,5670.0,205.0,Madagascar,Africa,134.0,27601550.0,0.0,,,
19,2020-05-21,405.0,34.0,2.0,-1.0,131.0,272.0,1.0,15.0,0.07,5670.0,205.0,Madagascar,Africa,135.0,27603501.0,0.0,,,
20,2020-05-22,448.0,43.0,2.0,-1.0,135.0,311.0,2.0,16.0,0.07,5670.0,205.0,Madagascar,Africa,133.0,27605453.0,0.0,,,
21,2020-05-23,488.0,40.0,2.0,-1.0,138.0,348.0,4.0,18.0,0.07,5670.0,205.0,Madagascar,Africa,132.0,27607404.0,0.0,,,
22,2020-05-24,527.0,39.0,2.0,-1.0,142.0,383.0,6.0,19.0,0.07,5670.0,205.0,Madagascar,Africa,131.0,27609355.0,0.0,,,
23,2020-05-25,542.0,15.0,2.0,-1.0,147.0,393.0,6.0,20.0,0.07,5670.0,205.0,Madagascar,Africa,131.0,27611307.0,0.0,,,
24,2020-05-26,586.0,44.0,2.0,-1.0,147.0,437.0,6.0,21.0,0.07,9340.0,338.0,Madagascar,Africa,129.0,27613258.0,0.0,,,
25,2020-05-27,612.0,-1.0,2.0,-1.0,151.0,459.0,10.0,22.0,0.07,9681.0,351.0,Madagascar,Africa,130.0,27617161.0,0.0,,,
26,2020-05-28,656.0,44.0,2.0,-1.0,154.0,500.0,10.0,24.0,0.07,9848.0,357.0,Madagascar,Africa,129.0,27617161.0,0.0,,,
27,2020-05-29,698.0,42.0,5.0,3.0,164.0,529.0,9.0,25.0,0.2,10249.0,371.0,Madagascar,Africa,128.0,27619112.0,0.0,,,
28,2020-05-30,758.0,60.0,6.0,1.0,165.0,587.0,8.0,27.0,0.2,10249.0,371.0,Madagascar,Africa,125.0,27621064.0,0.0,,,
29,2020-05-31,771.0,13.0,6.0,-1.0,168.0,597.0,8.0,28.0,0.2,10249.0,371.0,Madagascar,Africa,124.0,27623015.0,0.0,,,
30,2020-06-01,826.0,55.0,6.0,-1.0,174.0,646.0,8.0,30.0,0.2,10249.0,371.0,Madagascar,Africa,121.0,27624966.0,0.0,,,
31,2020-06-02,845.0,19.0,6.0,-1.0,185.0,654.0,9.0,31.0,0.2,11954.0,433.0,Madagascar,Africa,122.0,27626918.0,11.0,32695.0,4604486.0,2.0
32,2020-06-03,908.0,63.0,6.0,-1.0,195.0,707.0,9.0,33.0,0.2,11954.0,433.0,Madagascar,Africa,121.0,27628869.0,10.0,30428.0,4604812.0,2.0
33,2020-06-04,957.0,49.0,7.0,1.0,200.0,750.0,9.0,35.0,0.3,12608.0,456.0,Madagascar,Africa,120.0,27630820.0,5.0,28872.0,3947260.0,2.0
34,2020-06-05,975.0,18.0,7.0,-1.0,201.0,767.0,9.0,35.0,0.3,12907.0,467.0,Madagascar,Africa,118.0,27632772.0,1.0,28341.0,3947539.0,2.0
35,2020-06-06,1026.0,51.0,8.0,1.0,212.0,806.0,8.0,37.0,0.3,13230.0,479.0,Madagascar,Africa,117.0,27634723.0,11.0,26934.0,3454340.0,2.0
36,2020-06-07,1052.0,26.0,9.0,1.0,233.0,810.0,9.0,38.0,0.3,13608.0,492.0,Madagascar,Africa,118.0,27636675.0,21.0,26271.0,3070742.0,2.0
37,2020-06-08,1094.0,42.0,9.0,-1.0,254.0,831.0,10.0,40.0,0.3,13707.0,496.0,Madagascar,Africa,117.0,27638626.0,21.0,25264.0,3070958.0,2.0
38,2020-06-09,1138.0,44.0,9.0,-1.0,274.0,855.0,9.0,41.0,0.3,13707.0,496.0,Madagascar,Africa,116.0,27640577.0,20.0,24289.0,3071175.0,2.0
39,2020-06-10,1162.0,24.0,10.0,1.0,296.0,856.0,8.0,42.0,0.4,14525.0,525.0,Madagascar,Africa,116.0,27642529.0,22.0,23789.0,2764253.0,1.0
40,2020-06-11,1203.0,41.0,10.0,-1.0,312.0,881.0,8.0,44.0,0.4,14857.0,537.0,Madagascar,Africa,115.0,27644480.0,16.0,22980.0,2764448.0,1.0
41,2020-06-12,1240.0,37.0,10.0,-1.0,344.0,886.0,10.0,45.0,0.4,15148.0,548.0,Madagascar,Africa,116.0,27646431.0,32.0,22296.0,2764643.0,1.0
42,2020-06-13,1252.0,22.0,10.0,-1.0,362.0,880.0,9.0,45.0,0.4,15495.0,560.0,Madagascar,Africa,116.0,27648383.0,18.0,22083.0,2764838.0,1.0
43,2020-06-14,1272.0,20.0,10.0,-1.0,367.0,895.0,9.0,46.0,0.4,15756.0,570.0,Madagascar,Africa,116.0,27650334.0,5.0,21738.0,2765033.0,1.0
44,2020-06-15,1290.0,18.0,10.0,-1.0,384.0,896.0,9.0,47.0,0.4,15981.0,578.0,Madagascar,Africa,117.0,27652285.0,17.0,21436.0,2765229.0,1.0
45,2020-06-16,1317.0,27.0,12.0,2.0,417.0,888.0,6.0,48.0,0.4,16093.0,582.0,Madagascar,Africa,115.0,27654237.0,33.0,20998.0,2304520.0,1.0
46,2020-06-17,1378.0,61.0,12.0,-1.0,450.0,916.0,8.0,50.0,0.4,16402.0,593.0,Madagascar,Africa,116.0,27656188.0,33.0,20070.0,2304682.0,1.0
47,2020-06-18,1403.0,25.0,13.0,1.0,463.0,927.0,8.0,51.0,0.5,16402.0,593.0,Madagascar,Africa,116.0,27658140.0,13.0,19714.0,2127549.0,1.0
48,2020-06-19,1443.0,40.0,13.0,-1.0,498.0,932.0,6.0,52.0,0.5,17905.0,647.0,Madagascar,Africa,115.0,27660091.0,35.0,19168.0,2127699.0,1.0
