,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,38.0,1.0,3.0,-1.0,9.0,26.0,1.0,2.0,0.2,831.0,43.0,Malawi,Africa,,,0.0,,,
1,2020-05-03,39.0,1.0,3.0,-1.0,9.0,27.0,1.0,2.0,0.2,892.0,47.0,Malawi,Africa,,,0.0,,,
2,2020-05-04,41.0,2.0,3.0,-1.0,9.0,29.0,1.0,2.0,0.2,907.0,47.0,Malawi,Africa,,,0.0,,,
3,2020-05-05,41.0,-1.0,3.0,-1.0,9.0,29.0,1.0,2.0,0.2,907.0,47.0,Malawi,Africa,,,0.0,,,
4,2020-05-06,43.0,2.0,3.0,-1.0,9.0,31.0,1.0,2.0,0.2,961.0,50.0,Malawi,Africa,,,0.0,,,
5,2020-05-07,43.0,-1.0,3.0,-1.0,14.0,26.0,1.0,2.0,0.2,1112.0,58.0,Malawi,Africa,,,0.0,,,
6,2020-05-08,43.0,-1.0,3.0,-1.0,14.0,26.0,1.0,2.0,0.2,1188.0,62.0,Malawi,Africa,,,0.0,,,
7,2020-05-09,56.0,-1.0,3.0,-1.0,14.0,39.0,1.0,3.0,0.2,1188.0,62.0,Malawi,Africa,,,0.0,,,
8,2020-05-10,56.0,-1.0,3.0,-1.0,14.0,39.0,1.0,3.0,0.2,1188.0,62.0,Malawi,Africa,,,0.0,,,
9,2020-05-11,57.0,1.0,3.0,-1.0,14.0,40.0,1.0,3.0,0.2,1337.0,70.0,Malawi,Africa,,,0.0,,,
10,2020-05-12,57.0,-1.0,3.0,-1.0,24.0,30.0,1.0,3.0,0.2,1337.0,70.0,Malawi,Africa,,,0.0,,,
11,2020-05-13,63.0,6.0,3.0,-1.0,24.0,36.0,1.0,3.0,0.2,1363.0,71.0,Malawi,Africa,,,0.0,,,
12,2020-05-14,63.0,-1.0,3.0,-1.0,24.0,36.0,1.0,3.0,0.2,1363.0,71.0,Malawi,Africa,,,0.0,,,
13,2020-05-15,63.0,-1.0,3.0,-1.0,24.0,36.0,1.0,3.0,0.2,1363.0,72.0,Malawi,Africa,171.0,19061013.0,0.0,,,
14,2020-05-16,63.0,-1.0,3.0,-1.0,24.0,36.0,1.0,3.0,0.2,1363.0,72.0,Malawi,Africa,171.0,19062368.0,0.0,,,
15,2020-05-17,65.0,-1.0,3.0,-1.0,24.0,38.0,1.0,3.0,0.2,1762.0,92.0,Malawi,Africa,171.0,19063723.0,0.0,,,
16,2020-05-18,70.0,-1.0,3.0,-1.0,27.0,40.0,1.0,4.0,0.2,1803.0,95.0,Malawi,Africa,170.0,19065078.0,0.0,,,
17,2020-05-19,70.0,-1.0,3.0,-1.0,27.0,40.0,1.0,4.0,0.2,1803.0,95.0,Malawi,Africa,171.0,19066433.0,0.0,,,
18,2020-05-20,71.0,1.0,3.0,-1.0,27.0,41.0,1.0,4.0,0.2,1803.0,95.0,Malawi,Africa,172.0,19067788.0,0.0,,,
19,2020-05-21,72.0,1.0,3.0,-1.0,27.0,42.0,1.0,4.0,0.2,1803.0,95.0,Malawi,Africa,172.0,19069143.0,0.0,,,
20,2020-05-22,82.0,10.0,3.0,-1.0,28.0,51.0,1.0,4.0,0.2,2411.0,126.0,Malawi,Africa,170.0,19070499.0,0.0,,,
21,2020-05-23,82.0,-1.0,3.0,-1.0,28.0,51.0,1.0,4.0,0.2,2411.0,126.0,Malawi,Africa,170.0,19071854.0,0.0,,,
22,2020-05-24,83.0,1.0,4.0,1.0,33.0,46.0,1.0,4.0,0.2,2411.0,126.0,Malawi,Africa,172.0,19073209.0,0.0,,,
23,2020-05-25,101.0,18.0,4.0,-1.0,33.0,64.0,1.0,5.0,0.2,2411.0,126.0,Malawi,Africa,167.0,19074564.0,0.0,,,
24,2020-05-26,101.0,-1.0,4.0,-1.0,37.0,60.0,1.0,5.0,0.2,2411.0,126.0,Malawi,Africa,167.0,19075919.0,0.0,,,
25,2020-05-27,101.0,-1.0,4.0,-1.0,37.0,60.0,1.0,5.0,0.2,3372.0,177.0,Malawi,Africa,168.0,19078629.0,0.0,,,
26,2020-05-28,203.0,102.0,4.0,-1.0,37.0,162.0,1.0,11.0,0.2,3372.0,177.0,Malawi,Africa,155.0,19078629.0,0.0,,,
27,2020-05-29,203.0,-1.0,4.0,-1.0,42.0,157.0,1.0,11.0,0.2,3372.0,177.0,Malawi,Africa,155.0,19079984.0,0.0,,,
28,2020-05-30,279.0,6.0,4.0,-1.0,42.0,233.0,1.0,15.0,0.2,3372.0,177.0,Malawi,Africa,152.0,19081339.0,0.0,,,
29,2020-05-31,279.0,-1.0,4.0,-1.0,42.0,233.0,1.0,15.0,0.2,3372.0,177.0,Malawi,Africa,152.0,19082694.0,0.0,,,
30,2020-06-01,336.0,52.0,4.0,-1.0,42.0,290.0,1.0,18.0,0.2,5049.0,265.0,Malawi,Africa,147.0,19084049.0,0.0,,,
31,2020-06-02,358.0,22.0,4.0,-1.0,42.0,312.0,1.0,19.0,0.2,5049.0,265.0,Malawi,Africa,146.0,19085404.0,-1.0,53311.0,4771351.0,3.0
32,2020-06-03,369.0,11.0,4.0,-1.0,51.0,314.0,1.0,19.0,0.2,5049.0,265.0,Malawi,Africa,146.0,19086759.0,9.0,51726.0,4771690.0,3.0
33,2020-06-04,393.0,24.0,4.0,-1.0,51.0,338.0,1.0,21.0,0.2,5049.0,265.0,Malawi,Africa,146.0,19088114.0,-1.0,48570.0,4772029.0,3.0
34,2020-06-05,409.0,16.0,4.0,-1.0,55.0,350.0,3.0,21.0,0.2,6172.0,323.0,Malawi,Africa,146.0,19089469.0,4.0,46674.0,4772367.0,3.0
35,2020-06-06,409.0,-1.0,4.0,-1.0,55.0,350.0,3.0,21.0,0.2,6172.0,323.0,Malawi,Africa,146.0,19090825.0,-1.0,46677.0,4772706.0,3.0
36,2020-06-07,438.0,29.0,4.0,-1.0,55.0,379.0,3.0,23.0,0.2,6260.0,328.0,Malawi,Africa,146.0,19092180.0,-1.0,43589.0,4773045.0,3.0
37,2020-06-08,443.0,5.0,4.0,-1.0,55.0,384.0,4.0,23.0,0.2,6542.0,343.0,Malawi,Africa,146.0,19093535.0,-1.0,43101.0,4773384.0,2.0
38,2020-06-09,455.0,12.0,4.0,-1.0,55.0,396.0,4.0,24.0,0.2,6542.0,343.0,Malawi,Africa,145.0,19094890.0,-1.0,41967.0,4773723.0,2.0
39,2020-06-10,455.0,-1.0,4.0,-1.0,55.0,396.0,4.0,24.0,0.2,6542.0,343.0,Malawi,Africa,146.0,19096245.0,-1.0,41970.0,4774061.0,2.0
40,2020-06-11,481.0,26.0,4.0,-1.0,55.0,422.0,4.0,25.0,0.2,6690.0,350.0,Malawi,Africa,146.0,19097600.0,-1.0,39704.0,4774400.0,2.0
41,2020-06-12,481.0,-1.0,4.0,-1.0,55.0,422.0,4.0,25.0,0.2,6690.0,350.0,Malawi,Africa,146.0,19098955.0,-1.0,39707.0,4774739.0,2.0
42,2020-06-13,529.0,48.0,5.0,1.0,66.0,458.0,4.0,28.0,0.3,6690.0,350.0,Malawi,Africa,143.0,19100310.0,1.0,36106.0,3820062.0,2.0
43,2020-06-14,547.0,18.0,6.0,1.0,69.0,472.0,4.0,29.0,0.3,8351.0,437.0,Malawi,Africa,142.0,19101665.0,3.0,34921.0,3183611.0,2.0
44,2020-06-15,555.0,8.0,6.0,-1.0,69.0,480.0,4.0,29.0,0.3,8351.0,437.0,Malawi,Africa,142.0,19103020.0,-1.0,34420.0,3183837.0,2.0
45,2020-06-16,564.0,9.0,6.0,-1.0,73.0,485.0,4.0,30.0,0.3,8523.0,446.0,Malawi,Africa,142.0,19104375.0,4.0,33873.0,3184063.0,2.0
46,2020-06-17,564.0,-1.0,6.0,-1.0,73.0,485.0,4.0,30.0,0.3,8523.0,446.0,Malawi,Africa,143.0,19105730.0,-1.0,33875.0,3184288.0,2.0
47,2020-06-18,592.0,20.0,8.0,2.0,74.0,510.0,4.0,31.0,0.4,8904.0,466.0,Malawi,Africa,143.0,19107085.0,1.0,32275.0,2388386.0,2.0
48,2020-06-19,620.0,28.0,8.0,-1.0,91.0,521.0,4.0,32.0,0.4,8904.0,466.0,Malawi,Africa,144.0,19108440.0,17.0,30820.0,2388555.0,2.0
49,2020-06-20,620.0,-1.0,8.0,-1.0,91.0,521.0,4.0,32.0,0.4,8904.0,466.0,Malawi,Africa,144.0,19111151.0,-1.0,30824.0,2388894.0,2.0
50,2020-06-21,730.0,110.0,11.0,3.0,258.0,461.0,4.0,38.0,0.6,9763.0,511.0,Malawi,Africa,137.0,19111151.0,167.0,26180.0,1737377.0,1.0
51,2020-06-22,749.0,19.0,11.0,-1.0,258.0,480.0,4.0,39.0,0.6,11536.0,604.0,Malawi,Africa,137.0,19112506.0,-1.0,25517.0,1737501.0,1.0
52,2020-06-23,803.0,54.0,11.0,-1.0,258.0,534.0,4.0,42.0,0.6,11536.0,604.0,Malawi,Africa,135.0,19113861.0,-1.0,23803.0,1737624.0,1.0
53,2020-06-24,941.0,138.0,11.0,-1.0,259.0,671.0,4.0,49.0,0.6,11536.0,603.0,Malawi,Africa,129.0,19115216.0,1.0,20314.0,1737747.0,1.0
54,2020-06-25,960.0,19.0,12.0,1.0,260.0,688.0,4.0,50.0,0.6,11536.0,603.0,Malawi,Africa,130.0,19116571.0,1.0,19913.0,1593048.0,1.0
55,2020-06-26,960.0,-1.0,12.0,-1.0,260.0,688.0,4.0,50.0,0.6,11536.0,603.0,Malawi,Africa,130.0,19117926.0,-1.0,19915.0,1593161.0,1.0
56,2020-06-27,1005.0,-1.0,13.0,-1.0,260.0,732.0,4.0,53.0,0.7,12578.0,658.0,Malawi,Africa,129.0,19119281.0,-1.0,19024.0,1470714.0,1.0
57,2020-06-28,1146.0,108.0,13.0,-1.0,260.0,873.0,4.0,60.0,0.7,12578.0,658.0,Malawi,Africa,124.0,19120636.0,-1.0,16685.0,1470818.0,1.0
58,2020-06-29,1152.0,6.0,13.0,-1.0,260.0,879.0,4.0,60.0,0.7,13369.0,699.0,Malawi,Africa,124.0,19121991.0,-1.0,16599.0,1470922.0,1.0
59,2020-06-30,1224.0,72.0,14.0,1.0,260.0,950.0,4.0,64.0,0.7,13369.0,699.0,Malawi,Africa,121.0,19123346.0,-1.0,15624.0,1365953.0,1.0
