,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,6176.0,105.0,103.0,-1.0,4326.0,1747.0,31.0,191.0,3.0,184213.0,5692.0,Malaysia,Asia,,,0.0,,,
1,2020-05-03,6298.0,122.0,105.0,2.0,4413.0,1780.0,27.0,195.0,3.0,195833.0,6051.0,Malaysia,Asia,,,0.0,,,
2,2020-05-04,6353.0,55.0,105.0,-1.0,4484.0,1764.0,28.0,196.0,3.0,205598.0,6352.0,Malaysia,Asia,,,0.0,,,
3,2020-05-05,6383.0,-1.0,106.0,-1.0,4567.0,1710.0,24.0,197.0,3.0,213220.0,6588.0,Malaysia,Asia,,,0.0,,,
4,2020-05-06,6428.0,45.0,107.0,1.0,4702.0,1619.0,22.0,199.0,3.0,222150.0,6864.0,Malaysia,Asia,,,0.0,,,
5,2020-05-07,6467.0,39.0,107.0,-1.0,4776.0,1584.0,19.0,200.0,3.0,231019.0,7138.0,Malaysia,Asia,,,0.0,,,
6,2020-05-08,6535.0,-1.0,107.0,-1.0,4864.0,1564.0,18.0,202.0,3.0,245102.0,7573.0,Malaysia,Asia,,,0.0,,,
7,2020-05-09,6589.0,-1.0,108.0,-1.0,4929.0,1552.0,18.0,204.0,3.0,245102.0,7573.0,Malaysia,Asia,,,0.0,,,
8,2020-05-10,6656.0,67.0,108.0,-1.0,5025.0,1523.0,18.0,206.0,3.0,256937.0,7938.0,Malaysia,Asia,,,0.0,,,
9,2020-05-11,6726.0,70.0,109.0,1.0,5113.0,1504.0,20.0,208.0,3.0,271721.0,8395.0,Malaysia,Asia,,,0.0,,,
10,2020-05-12,6742.0,16.0,109.0,-1.0,5223.0,1410.0,16.0,208.0,3.0,271721.0,8395.0,Malaysia,Asia,,,0.0,,,
11,2020-05-13,6779.0,37.0,111.0,2.0,5281.0,1387.0,16.0,209.0,3.0,271721.0,8395.0,Malaysia,Asia,,,0.0,,,
12,2020-05-14,6819.0,40.0,112.0,1.0,5351.0,1356.0,16.0,211.0,3.0,271721.0,8395.0,Malaysia,Asia,,,0.0,,,
13,2020-05-15,6855.0,36.0,112.0,-1.0,5439.0,1304.0,14.0,212.0,3.0,424306.0,13132.0,Malaysia,Asia,51.0,32311201.0,0.0,,,
14,2020-05-16,6872.0,17.0,113.0,1.0,5512.0,1247.0,13.0,213.0,3.0,434136.0,13436.0,Malaysia,Asia,51.0,32312334.0,0.0,,,
15,2020-05-17,6894.0,22.0,113.0,-1.0,5571.0,1210.0,13.0,213.0,3.0,443263.0,13718.0,Malaysia,Asia,53.0,32313467.0,0.0,,,
16,2020-05-18,6941.0,47.0,113.0,-1.0,5615.0,1213.0,13.0,215.0,3.0,443263.0,13717.0,Malaysia,Asia,55.0,32314600.0,0.0,,,
17,2020-05-19,6978.0,37.0,114.0,1.0,5646.0,1218.0,11.0,216.0,4.0,462257.0,14304.0,Malaysia,Asia,55.0,32315733.0,0.0,,,
18,2020-05-20,7009.0,31.0,114.0,-1.0,5706.0,1189.0,11.0,217.0,4.0,471318.0,14584.0,Malaysia,Asia,55.0,32316866.0,0.0,,,
19,2020-05-21,7059.0,50.0,114.0,-1.0,5796.0,1149.0,10.0,218.0,4.0,481411.0,14896.0,Malaysia,Asia,56.0,32317999.0,0.0,,,
20,2020-05-22,7137.0,78.0,115.0,1.0,5859.0,1163.0,9.0,221.0,4.0,491729.0,15215.0,Malaysia,Asia,55.0,32319132.0,0.0,,,
21,2020-05-23,7185.0,48.0,115.0,-1.0,5912.0,1158.0,9.0,222.0,4.0,500469.0,15485.0,Malaysia,Asia,57.0,32320265.0,0.0,,,
22,2020-05-24,7245.0,60.0,115.0,-1.0,5945.0,1185.0,9.0,224.0,4.0,507682.0,15707.0,Malaysia,Asia,57.0,32321398.0,0.0,,,
23,2020-05-25,7417.0,172.0,115.0,-1.0,5979.0,1323.0,8.0,229.0,4.0,513370.0,15883.0,Malaysia,Asia,57.0,32322531.0,0.0,,,
24,2020-05-26,7604.0,187.0,115.0,-1.0,6041.0,1448.0,8.0,235.0,4.0,519944.0,16086.0,Malaysia,Asia,56.0,32323664.0,0.0,,,
