,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,514.0,23.0,1.0,-1.0,17.0,496.0,2.0,951.0,2.0,8008.0,14815.0,Maldives,Asia,,,0.0,,,
1,2020-05-03,527.0,8.0,1.0,-1.0,18.0,508.0,2.0,975.0,2.0,8327.0,15405.0,Maldives,Asia,,,0.0,,,
2,2020-05-04,541.0,14.0,1.0,-1.0,18.0,522.0,2.0,1001.0,2.0,8327.0,15405.0,Maldives,Asia,,,0.0,,,
3,2020-05-05,573.0,-1.0,2.0,-1.0,20.0,551.0,2.0,1060.0,4.0,9863.0,18246.0,Maldives,Asia,,,0.0,,,
4,2020-05-06,618.0,45.0,2.0,-1.0,20.0,596.0,2.0,1143.0,4.0,9863.0,18246.0,Maldives,Asia,,,0.0,,,
5,2020-05-07,648.0,31.0,3.0,1.0,20.0,625.0,2.0,1199.0,6.0,9863.0,18246.0,Maldives,Asia,,,0.0,,,
6,2020-05-08,744.0,-1.0,3.0,-1.0,20.0,721.0,2.0,1376.0,6.0,9863.0,18246.0,Maldives,Asia,,,0.0,,,
7,2020-05-09,790.0,-1.0,3.0,-1.0,29.0,758.0,2.0,1461.0,6.0,11775.0,21784.0,Maldives,Asia,,,0.0,,,
8,2020-05-10,835.0,45.0,3.0,-1.0,29.0,803.0,2.0,1545.0,6.0,11775.0,21784.0,Maldives,Asia,,,0.0,,,
9,2020-05-11,862.0,27.0,3.0,-1.0,29.0,830.0,2.0,1595.0,6.0,11775.0,21784.0,Maldives,Asia,,,0.0,,,
10,2020-05-12,904.0,7.0,3.0,-1.0,29.0,872.0,2.0,1672.0,6.0,11775.0,21784.0,Maldives,Asia,,,0.0,,,
11,2020-05-13,904.0,-1.0,3.0,-1.0,29.0,872.0,2.0,1672.0,6.0,11775.0,21784.0,Maldives,Asia,,,0.0,,,
12,2020-05-14,968.0,13.0,4.0,-1.0,40.0,924.0,2.0,1791.0,7.0,11775.0,21784.0,Maldives,Asia,,,0.0,,,
13,2020-05-15,1020.0,38.0,4.0,-1.0,45.0,971.0,2.0,1891.0,7.0,11775.0,21835.0,Maldives,Asia,99.0,539261.0,0.0,,,
14,2020-05-16,1078.0,47.0,4.0,-1.0,58.0,1016.0,9.0,1999.0,7.0,11775.0,21834.0,Maldives,Asia,97.0,539287.0,0.0,,,
15,2020-05-17,1090.0,12.0,4.0,-1.0,58.0,1028.0,9.0,2021.0,7.0,11775.0,21833.0,Maldives,Asia,97.0,539313.0,0.0,,,
