,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,544.0,36.0,26.0,-1.0,206.0,312.0,-1.0,27.0,1.0,2172.0,107.0,Mali,Africa,,,0.0,,,
1,2020-05-03,563.0,19.0,27.0,1.0,213.0,323.0,-1.0,28.0,1.0,2172.0,107.0,Mali,Africa,,,0.0,,,
2,2020-05-04,580.0,17.0,29.0,2.0,223.0,328.0,-1.0,29.0,1.0,2172.0,107.0,Mali,Africa,,,0.0,,,
3,2020-05-05,612.0,-1.0,32.0,-1.0,228.0,352.0,-1.0,30.0,2.0,2172.0,107.0,Mali,Africa,,,0.0,,,
4,2020-05-06,631.0,19.0,32.0,-1.0,261.0,338.0,-1.0,31.0,2.0,2172.0,107.0,Mali,Africa,,,0.0,,,
5,2020-05-07,650.0,19.0,32.0,-1.0,271.0,347.0,-1.0,32.0,2.0,2172.0,107.0,Mali,Africa,,,0.0,,,
6,2020-05-08,668.0,-1.0,35.0,-1.0,285.0,348.0,-1.0,33.0,2.0,2172.0,107.0,Mali,Africa,,,0.0,,,
7,2020-05-09,692.0,-1.0,37.0,-1.0,298.0,357.0,-1.0,34.0,2.0,2172.0,107.0,Mali,Africa,,,0.0,,,
8,2020-05-10,704.0,12.0,38.0,1.0,351.0,315.0,-1.0,35.0,2.0,2172.0,107.0,Mali,Africa,,,0.0,,,
9,2020-05-11,712.0,8.0,39.0,1.0,377.0,296.0,-1.0,35.0,2.0,2172.0,107.0,Mali,Africa,,,0.0,,,
10,2020-05-12,730.0,18.0,40.0,1.0,398.0,292.0,-1.0,36.0,2.0,2498.0,123.0,Mali,Africa,,,0.0,,,
11,2020-05-13,758.0,28.0,44.0,4.0,412.0,302.0,-1.0,37.0,2.0,2498.0,123.0,Mali,Africa,,,0.0,,,
12,2020-05-14,779.0,21.0,46.0,2.0,436.0,297.0,-1.0,38.0,2.0,2498.0,123.0,Mali,Africa,,,0.0,,,
13,2020-05-15,806.0,27.0,46.0,-1.0,455.0,305.0,-1.0,40.0,2.0,2498.0,124.0,Mali,Africa,108.0,20168486.0,0.0,,,
14,2020-05-16,835.0,29.0,48.0,2.0,479.0,308.0,-1.0,41.0,2.0,3264.0,162.0,Mali,Africa,108.0,20170087.0,0.0,,,
15,2020-05-17,860.0,25.0,52.0,4.0,494.0,314.0,-1.0,43.0,3.0,3383.0,168.0,Mali,Africa,108.0,20171687.0,0.0,,,
16,2020-05-18,874.0,14.0,52.0,-1.0,512.0,310.0,-1.0,43.0,3.0,3483.0,173.0,Mali,Africa,108.0,20173287.0,0.0,,,
17,2020-05-19,901.0,27.0,53.0,1.0,529.0,319.0,-1.0,45.0,3.0,3483.0,173.0,Mali,Africa,108.0,20174887.0,0.0,,,
18,2020-05-20,931.0,30.0,55.0,2.0,543.0,333.0,-1.0,46.0,3.0,3483.0,173.0,Mali,Africa,106.0,20176487.0,0.0,,,
19,2020-05-21,931.0,-1.0,55.0,-1.0,543.0,333.0,-1.0,46.0,3.0,3483.0,173.0,Mali,Africa,106.0,20178087.0,0.0,,,
20,2020-05-22,947.0,-1.0,60.0,-1.0,558.0,329.0,-1.0,47.0,3.0,3483.0,173.0,Mali,Africa,107.0,20179688.0,0.0,,,
21,2020-05-23,1015.0,46.0,63.0,1.0,574.0,378.0,-1.0,50.0,3.0,3483.0,173.0,Mali,Africa,105.0,20181288.0,0.0,,,
22,2020-05-24,1030.0,15.0,65.0,2.0,597.0,368.0,-1.0,51.0,3.0,3483.0,173.0,Mali,Africa,105.0,20182888.0,0.0,,,
23,2020-05-25,1059.0,29.0,67.0,2.0,604.0,388.0,-1.0,52.0,3.0,3483.0,173.0,Mali,Africa,104.0,20184488.0,0.0,,,
24,2020-05-26,1077.0,18.0,70.0,3.0,617.0,390.0,-1.0,53.0,3.0,3483.0,173.0,Mali,Africa,103.0,20186088.0,0.0,,,
25,2020-05-27,1116.0,-1.0,70.0,-1.0,632.0,414.0,-1.0,55.0,3.0,3483.0,173.0,Mali,Africa,104.0,20189289.0,0.0,,,
26,2020-05-28,1194.0,78.0,72.0,2.0,652.0,470.0,-1.0,59.0,4.0,3483.0,173.0,Mali,Africa,103.0,20189289.0,0.0,,,
27,2020-05-29,1226.0,32.0,73.0,1.0,669.0,484.0,-1.0,61.0,4.0,3483.0,173.0,Mali,Africa,104.0,20190889.0,0.0,,,
28,2020-05-30,1250.0,24.0,76.0,3.0,696.0,478.0,-1.0,62.0,4.0,3483.0,172.0,Mali,Africa,105.0,20192489.0,0.0,,,
29,2020-05-31,1265.0,15.0,77.0,1.0,716.0,472.0,-1.0,63.0,4.0,3483.0,172.0,Mali,Africa,104.0,20194089.0,0.0,,,
30,2020-06-01,1315.0,50.0,78.0,1.0,744.0,493.0,-1.0,65.0,4.0,3483.0,172.0,Mali,Africa,103.0,20195689.0,0.0,,,
31,2020-06-02,1351.0,36.0,78.0,-1.0,769.0,504.0,-1.0,67.0,4.0,3483.0,172.0,Mali,Africa,103.0,20197289.0,25.0,14950.0,258940.0,5.0
32,2020-06-03,1386.0,35.0,79.0,1.0,788.0,519.0,-1.0,69.0,4.0,3483.0,172.0,Mali,Africa,104.0,20198890.0,19.0,14574.0,255682.0,5.0
33,2020-06-04,1461.0,75.0,85.0,6.0,806.0,570.0,-1.0,72.0,4.0,3483.0,172.0,Mali,Africa,104.0,20200490.0,18.0,13826.0,237653.0,5.0
34,2020-06-05,1485.0,24.0,87.0,2.0,816.0,582.0,-1.0,74.0,4.0,3483.0,172.0,Mali,Africa,103.0,20202090.0,10.0,13604.0,232208.0,5.0
35,2020-06-06,1523.0,38.0,90.0,3.0,845.0,588.0,-1.0,75.0,4.0,3483.0,172.0,Mali,Africa,103.0,20203690.0,29.0,13266.0,224485.0,5.0
36,2020-06-07,1533.0,10.0,90.0,-1.0,873.0,570.0,-1.0,76.0,4.0,3483.0,172.0,Mali,Africa,102.0,20205290.0,28.0,13180.0,224503.0,5.0
37,2020-06-08,1547.0,14.0,92.0,-1.0,916.0,539.0,-1.0,77.0,5.0,3483.0,172.0,Mali,Africa,103.0,20206890.0,43.0,13062.0,219640.0,5.0
38,2020-06-09,1586.0,39.0,94.0,2.0,931.0,561.0,-1.0,78.0,5.0,3483.0,172.0,Mali,Africa,103.0,20208491.0,15.0,12742.0,214984.0,5.0
39,2020-06-10,1667.0,81.0,96.0,2.0,948.0,623.0,-1.0,82.0,5.0,3483.0,172.0,Mali,Africa,102.0,20210091.0,17.0,12124.0,210522.0,5.0
40,2020-06-11,1722.0,55.0,97.0,1.0,989.0,636.0,-1.0,85.0,5.0,3483.0,172.0,Mali,Africa,102.0,20211691.0,41.0,11737.0,208368.0,5.0
41,2020-06-12,1752.0,30.0,101.0,4.0,1023.0,628.0,-1.0,87.0,5.0,3483.0,172.0,Mali,Africa,102.0,20213291.0,34.0,11537.0,200132.0,5.0
42,2020-06-13,1776.0,24.0,104.0,3.0,1058.0,614.0,-1.0,88.0,5.0,3483.0,172.0,Mali,Africa,101.0,20214891.0,35.0,11382.0,194374.0,5.0
43,2020-06-14,1809.0,33.0,104.0,-1.0,1088.0,617.0,-1.0,89.0,5.0,3483.0,172.0,Mali,Africa,101.0,20216492.0,30.0,11176.0,194389.0,5.0
44,2020-06-15,1860.0,51.0,104.0,-1.0,1125.0,631.0,-1.0,92.0,5.0,3483.0,172.0,Mali,Africa,101.0,20218092.0,37.0,10870.0,194405.0,5.0
45,2020-06-16,1885.0,25.0,104.0,-1.0,1145.0,636.0,-1.0,93.0,5.0,3483.0,172.0,Mali,Africa,101.0,20219692.0,20.0,10727.0,194420.0,5.0
46,2020-06-17,1890.0,5.0,107.0,3.0,1168.0,615.0,-1.0,93.0,5.0,9873.0,488.0,Mali,Africa,101.0,20221292.0,23.0,10699.0,188984.0,2.0
47,2020-06-18,1906.0,16.0,107.0,-1.0,1192.0,607.0,-1.0,94.0,5.0,9873.0,488.0,Mali,Africa,102.0,20222892.0,24.0,10610.0,188999.0,2.0
48,2020-06-19,1923.0,17.0,108.0,1.0,1217.0,598.0,-1.0,95.0,5.0,10532.0,521.0,Mali,Africa,103.0,20224492.0,25.0,10517.0,187264.0,1.0
49,2020-06-20,1923.0,-1.0,108.0,-1.0,1217.0,598.0,-1.0,95.0,5.0,10532.0,521.0,Mali,Africa,103.0,20227693.0,-1.0,10519.0,187293.0,1.0
50,2020-06-21,1933.0,10.0,109.0,1.0,1255.0,569.0,-1.0,96.0,5.0,10743.0,531.0,Mali,Africa,104.0,20227693.0,38.0,10464.0,185575.0,1.0
51,2020-06-22,1961.0,28.0,111.0,2.0,1266.0,584.0,-1.0,97.0,5.0,10743.0,531.0,Mali,Africa,103.0,20229293.0,11.0,10316.0,182246.0,1.0
52,2020-06-23,1978.0,17.0,111.0,-1.0,1302.0,565.0,-1.0,98.0,5.0,10743.0,531.0,Mali,Africa,105.0,20230893.0,36.0,10228.0,182260.0,1.0
53,2020-06-24,2005.0,27.0,112.0,1.0,1354.0,539.0,-1.0,99.0,6.0,10932.0,540.0,Mali,Africa,103.0,20232493.0,52.0,10091.0,180647.0,1.0
54,2020-06-25,2039.0,34.0,113.0,1.0,1383.0,543.0,-1.0,101.0,6.0,10932.0,540.0,Mali,Africa,103.0,20234093.0,29.0,9924.0,179063.0,1.0
55,2020-06-26,2060.0,21.0,113.0,-1.0,1387.0,560.0,-1.0,102.0,6.0,12807.0,633.0,Mali,Africa,103.0,20235694.0,4.0,9823.0,179077.0,1.0
56,2020-06-27,2118.0,58.0,113.0,-1.0,1398.0,607.0,-1.0,105.0,6.0,12807.0,633.0,Mali,Africa,103.0,20237294.0,11.0,9555.0,179091.0,1.0
57,2020-06-28,2147.0,29.0,114.0,1.0,1432.0,601.0,-1.0,106.0,6.0,12807.0,633.0,Mali,Africa,103.0,20238894.0,34.0,9427.0,177534.0,1.0
58,2020-06-29,2173.0,26.0,115.0,1.0,1447.0,611.0,-1.0,107.0,6.0,12807.0,633.0,Mali,Africa,104.0,20240494.0,15.0,9315.0,176004.0,1.0
59,2020-06-30,2181.0,8.0,116.0,1.0,1474.0,591.0,-1.0,108.0,6.0,12807.0,633.0,Mali,Africa,105.0,20242094.0,27.0,9281.0,174501.0,1.0
60,2020-07-01,2202.0,21.0,116.0,-1.0,1483.0,603.0,-1.0,109.0,6.0,12807.0,633.0,Mali,Africa,106.0,20243694.0,9.0,9193.0,174515.0,1.0
