,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,468.0,1.0,4.0,-1.0,379.0,85.0,1.0,1060.0,9.0,35117.0,79532.0,Malta,Europe,,,0.0,,,
1,2020-05-03,477.0,9.0,4.0,-1.0,392.0,81.0,1.0,1080.0,9.0,36204.0,81994.0,Malta,Europe,,,0.0,,,
2,2020-05-04,480.0,3.0,4.0,-1.0,399.0,77.0,1.0,1087.0,9.0,36204.0,81994.0,Malta,Europe,,,0.0,,,
3,2020-05-05,482.0,-1.0,5.0,-1.0,403.0,74.0,1.0,1092.0,11.0,36945.0,83672.0,Malta,Europe,,,0.0,,,
4,2020-05-06,484.0,2.0,5.0,-1.0,407.0,72.0,-1.0,1096.0,11.0,38337.0,86825.0,Malta,Europe,,,0.0,,,
5,2020-05-07,486.0,2.0,5.0,-1.0,413.0,68.0,-1.0,1101.0,11.0,39366.0,89156.0,Malta,Europe,,,0.0,,,
6,2020-05-08,489.0,-1.0,5.0,-1.0,419.0,65.0,-1.0,1107.0,11.0,40493.0,91708.0,Malta,Europe,,,0.0,,,
7,2020-05-09,490.0,-1.0,5.0,-1.0,427.0,58.0,-1.0,1110.0,11.0,40493.0,91708.0,Malta,Europe,,,0.0,,,
8,2020-05-10,496.0,6.0,5.0,-1.0,433.0,58.0,-1.0,1123.0,11.0,40493.0,91708.0,Malta,Europe,,,0.0,,,
9,2020-05-11,503.0,7.0,5.0,-1.0,434.0,64.0,-1.0,1139.0,11.0,43397.0,98285.0,Malta,Europe,,,0.0,,,
10,2020-05-12,506.0,3.0,5.0,-1.0,434.0,67.0,1.0,1146.0,11.0,44656.0,101136.0,Malta,Europe,,,0.0,,,
11,2020-05-13,508.0,2.0,6.0,1.0,436.0,66.0,1.0,1151.0,14.0,45799.0,103725.0,Malta,Europe,,,0.0,,,
12,2020-05-14,522.0,14.0,6.0,-1.0,443.0,73.0,1.0,1182.0,14.0,45967.0,104105.0,Malta,Europe,,,0.0,,,
13,2020-05-15,532.0,10.0,6.0,-1.0,458.0,68.0,1.0,1205.0,14.0,47504.0,107623.0,Malta,Europe,121.0,441394.0,0.0,,,
14,2020-05-16,546.0,14.0,6.0,-1.0,450.0,90.0,1.0,1237.0,14.0,49231.0,111535.0,Malta,Europe,121.0,441397.0,0.0,,,
15,2020-05-17,553.0,7.0,6.0,-1.0,454.0,93.0,1.0,1253.0,14.0,50616.0,114671.0,Malta,Europe,121.0,441400.0,0.0,,,
16,2020-05-18,558.0,5.0,6.0,-1.0,456.0,96.0,1.0,1264.0,14.0,51677.0,117074.0,Malta,Europe,120.0,441404.0,0.0,,,
17,2020-05-19,569.0,11.0,6.0,-1.0,460.0,103.0,1.0,1289.0,14.0,53196.0,120515.0,Malta,Europe,121.0,441407.0,0.0,,,
18,2020-05-20,584.0,15.0,6.0,-1.0,465.0,113.0,1.0,1323.0,14.0,54866.0,124297.0,Malta,Europe,122.0,441410.0,0.0,,,
19,2020-05-21,599.0,15.0,6.0,-1.0,468.0,125.0,1.0,1357.0,14.0,56224.0,127373.0,Malta,Europe,122.0,441413.0,0.0,,,
20,2020-05-22,600.0,1.0,6.0,-1.0,469.0,125.0,1.0,1359.0,14.0,57784.0,130906.0,Malta,Europe,124.0,441416.0,0.0,,,
21,2020-05-23,609.0,9.0,6.0,-1.0,473.0,130.0,1.0,1380.0,14.0,59511.0,134817.0,Malta,Europe,124.0,441420.0,0.0,,,
22,2020-05-24,610.0,1.0,6.0,-1.0,476.0,128.0,1.0,1382.0,14.0,60812.0,137764.0,Malta,Europe,125.0,441423.0,0.0,,,
23,2020-05-25,611.0,1.0,6.0,-1.0,485.0,120.0,1.0,1384.0,14.0,61615.0,139582.0,Malta,Europe,128.0,441426.0,0.0,,,
24,2020-05-26,611.0,-1.0,6.0,-1.0,485.0,120.0,1.0,1384.0,14.0,63087.0,142915.0,Malta,Europe,128.0,441429.0,0.0,,,
25,2020-05-27,612.0,-1.0,7.0,-1.0,491.0,114.0,1.0,1386.0,16.0,64334.0,145738.0,Malta,Europe,129.0,441436.0,0.0,,,
26,2020-05-28,616.0,4.0,7.0,-1.0,501.0,108.0,1.0,1395.0,16.0,65471.0,148314.0,Malta,Europe,130.0,441436.0,0.0,,,
27,2020-05-29,616.0,-1.0,9.0,2.0,514.0,93.0,1.0,1395.0,20.0,66664.0,151015.0,Malta,Europe,130.0,441439.0,0.0,,,
28,2020-05-30,618.0,2.0,9.0,-1.0,525.0,84.0,1.0,1400.0,20.0,68038.0,154127.0,Malta,Europe,130.0,441442.0,0.0,,,
29,2020-05-31,618.0,-1.0,9.0,-1.0,534.0,75.0,1.0,1400.0,20.0,69025.0,156361.0,Malta,Europe,130.0,441445.0,0.0,,,
30,2020-06-01,619.0,1.0,9.0,-1.0,537.0,73.0,1.0,1402.0,20.0,69622.0,157712.0,Malta,Europe,130.0,441449.0,0.0,,,
31,2020-06-02,620.0,1.0,9.0,-1.0,554.0,57.0,1.0,1404.0,20.0,70693.0,160137.0,Malta,Europe,131.0,441452.0,17.0,712.0,49050.0,6.0
32,2020-06-03,622.0,2.0,9.0,-1.0,562.0,51.0,1.0,1409.0,20.0,71723.0,162470.0,Malta,Europe,131.0,441455.0,8.0,710.0,49051.0,6.0
33,2020-06-04,622.0,-1.0,9.0,-1.0,576.0,37.0,-1.0,1409.0,20.0,72615.0,164489.0,Malta,Europe,131.0,441458.0,14.0,710.0,49051.0,6.0
34,2020-06-05,625.0,3.0,9.0,-1.0,583.0,33.0,-1.0,1416.0,20.0,72992.0,165342.0,Malta,Europe,132.0,441461.0,7.0,706.0,49051.0,6.0
35,2020-06-06,627.0,2.0,9.0,-1.0,596.0,22.0,-1.0,1420.0,20.0,74469.0,168686.0,Malta,Europe,133.0,441465.0,13.0,704.0,49052.0,6.0
36,2020-06-07,629.0,2.0,9.0,-1.0,596.0,24.0,-1.0,1425.0,20.0,75374.0,170735.0,Malta,Europe,133.0,441468.0,-1.0,702.0,49052.0,6.0
37,2020-06-08,630.0,1.0,9.0,-1.0,596.0,25.0,-1.0,1427.0,20.0,75881.0,171882.0,Malta,Europe,134.0,441471.0,-1.0,701.0,49052.0,6.0
38,2020-06-09,632.0,2.0,9.0,-1.0,597.0,26.0,-1.0,1432.0,20.0,77033.0,174490.0,Malta,Europe,134.0,441474.0,1.0,699.0,49053.0,6.0
39,2020-06-10,635.0,3.0,9.0,-1.0,597.0,29.0,-1.0,1438.0,20.0,77884.0,176417.0,Malta,Europe,134.0,441477.0,-1.0,695.0,49053.0,6.0
40,2020-06-11,640.0,5.0,9.0,-1.0,600.0,31.0,-1.0,1450.0,20.0,78788.0,178463.0,Malta,Europe,135.0,441481.0,3.0,690.0,49053.0,6.0
41,2020-06-12,645.0,5.0,9.0,-1.0,600.0,36.0,-1.0,1461.0,20.0,78788.0,178462.0,Malta,Europe,135.0,441484.0,-1.0,684.0,49054.0,6.0
42,2020-06-13,646.0,1.0,9.0,-1.0,601.0,36.0,1.0,1463.0,20.0,80953.0,183364.0,Malta,Europe,137.0,441487.0,1.0,683.0,49054.0,5.0
43,2020-06-14,649.0,3.0,9.0,-1.0,603.0,37.0,1.0,1470.0,20.0,82263.0,186330.0,Malta,Europe,137.0,441490.0,2.0,680.0,49054.0,5.0
44,2020-06-15,650.0,1.0,9.0,-1.0,603.0,38.0,1.0,1472.0,20.0,82817.0,187584.0,Malta,Europe,137.0,441493.0,-1.0,679.0,49055.0,5.0
45,2020-06-16,656.0,6.0,9.0,-1.0,608.0,39.0,1.0,1486.0,20.0,84053.0,190382.0,Malta,Europe,137.0,441497.0,5.0,673.0,49055.0,5.0
46,2020-06-17,662.0,6.0,9.0,-1.0,610.0,43.0,1.0,1499.0,20.0,84964.0,192444.0,Malta,Europe,137.0,441500.0,2.0,667.0,49056.0,5.0
47,2020-06-18,663.0,1.0,9.0,-1.0,610.0,44.0,1.0,1502.0,20.0,85824.0,194391.0,Malta,Europe,137.0,441503.0,-1.0,666.0,49056.0,5.0
48,2020-06-19,663.0,-1.0,9.0,-1.0,613.0,41.0,1.0,1502.0,20.0,85824.0,194389.0,Malta,Europe,139.0,441506.0,3.0,666.0,49056.0,5.0
49,2020-06-20,664.0,1.0,9.0,-1.0,616.0,39.0,-1.0,1504.0,20.0,87462.0,198096.0,Malta,Europe,140.0,441513.0,3.0,665.0,49057.0,5.0
50,2020-06-21,665.0,1.0,9.0,-1.0,616.0,40.0,-1.0,1506.0,20.0,88230.0,199836.0,Malta,Europe,142.0,441513.0,-1.0,664.0,49057.0,5.0
51,2020-06-22,665.0,-1.0,9.0,-1.0,617.0,39.0,-1.0,1506.0,20.0,88694.0,200885.0,Malta,Europe,142.0,441516.0,1.0,664.0,49057.0,5.0
52,2020-06-23,665.0,-1.0,9.0,-1.0,618.0,38.0,-1.0,1506.0,20.0,89621.0,202983.0,Malta,Europe,144.0,441519.0,1.0,664.0,49058.0,5.0
53,2020-06-24,665.0,-1.0,9.0,-1.0,624.0,32.0,-1.0,1506.0,20.0,90544.0,205072.0,Malta,Europe,144.0,441522.0,6.0,664.0,49058.0,5.0
54,2020-06-25,668.0,3.0,9.0,-1.0,627.0,32.0,-1.0,1513.0,20.0,91571.0,207397.0,Malta,Europe,146.0,441525.0,3.0,661.0,49058.0,5.0
55,2020-06-26,670.0,2.0,9.0,-1.0,632.0,29.0,-1.0,1517.0,20.0,92517.0,209538.0,Malta,Europe,146.0,441529.0,5.0,659.0,49059.0,5.0
56,2020-06-27,670.0,-1.0,9.0,-1.0,635.0,26.0,-1.0,1517.0,20.0,92517.0,209536.0,Malta,Europe,146.0,441532.0,3.0,659.0,49059.0,5.0
