,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1032.0,222.0,Mauritania,Africa,,,0.0,,,
1,2020-05-03,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1032.0,222.0,Mauritania,Africa,,,0.0,,,
2,2020-05-04,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1032.0,222.0,Mauritania,Africa,,,0.0,,,
3,2020-05-05,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1032.0,222.0,Mauritania,Africa,,,0.0,,,
4,2020-05-06,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1842.0,396.0,Mauritania,Africa,,,0.0,,,
5,2020-05-07,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1842.0,396.0,Mauritania,Africa,,,0.0,,,
6,2020-05-08,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1842.0,396.0,Mauritania,Africa,,,0.0,,,
7,2020-05-09,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1842.0,396.0,Mauritania,Africa,,,0.0,,,
8,2020-05-10,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1842.0,396.0,Mauritania,Africa,,,0.0,,,
9,2020-05-11,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,1842.0,396.0,Mauritania,Africa,,,0.0,,,
10,2020-05-12,8.0,-1.0,1.0,-1.0,6.0,1.0,-1.0,2.0,0.2,2015.0,433.0,Mauritania,Africa,,,0.0,,,
11,2020-05-13,9.0,-1.0,2.0,1.0,6.0,1.0,-1.0,2.0,0.4,2015.0,433.0,Mauritania,Africa,,,0.0,,,
