,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,332.0,-1.0,10.0,-1.0,314.0,8.0,3.0,261.0,8.0,16028.0,12603.0,Mauritius,Africa,,,0.0,,,
1,2020-05-03,332.0,-1.0,10.0,-1.0,315.0,7.0,3.0,261.0,8.0,16028.0,12603.0,Mauritius,Africa,,,0.0,,,
2,2020-05-04,332.0,-1.0,10.0,-1.0,316.0,6.0,3.0,261.0,8.0,18398.0,14466.0,Mauritius,Africa,,,0.0,,,
3,2020-05-05,332.0,-1.0,10.0,-1.0,319.0,3.0,3.0,261.0,8.0,18959.0,14908.0,Mauritius,Africa,,,0.0,,,
4,2020-05-06,332.0,-1.0,10.0,-1.0,320.0,2.0,3.0,261.0,8.0,55494.0,43635.0,Mauritius,Africa,,,0.0,,,
5,2020-05-07,332.0,-1.0,10.0,-1.0,320.0,2.0,3.0,261.0,8.0,60466.0,47545.0,Mauritius,Africa,,,0.0,,,
6,2020-05-08,332.0,-1.0,10.0,-1.0,320.0,2.0,3.0,261.0,8.0,60466.0,47545.0,Mauritius,Africa,,,0.0,,,
7,2020-05-09,332.0,-1.0,10.0,-1.0,320.0,2.0,3.0,261.0,8.0,69773.0,54863.0,Mauritius,Africa,,,0.0,,,
8,2020-05-10,332.0,-1.0,10.0,-1.0,320.0,2.0,3.0,261.0,8.0,69773.0,54863.0,Mauritius,Africa,,,0.0,,,
9,2020-05-11,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,69773.0,54863.0,Mauritius,Africa,,,0.0,,,
10,2020-05-12,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,69773.0,54863.0,Mauritius,Africa,,,0.0,,,
11,2020-05-13,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,69773.0,54863.0,Mauritius,Africa,,,0.0,,,
12,2020-05-14,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,69773.0,54863.0,Mauritius,Africa,,,0.0,,,
13,2020-05-15,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,69773.0,54874.0,Mauritius,Africa,133.0,1271502.0,0.0,,,
14,2020-05-16,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,69773.0,54874.0,Mauritius,Africa,133.0,1271508.0,0.0,,,
15,2020-05-17,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,86887.0,68334.0,Mauritius,Africa,134.0,1271513.0,0.0,,,
16,2020-05-18,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,89814.0,70635.0,Mauritius,Africa,136.0,1271519.0,0.0,,,
17,2020-05-19,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,92764.0,72955.0,Mauritius,Africa,138.0,1271525.0,0.0,,,
18,2020-05-20,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,95666.0,75237.0,Mauritius,Africa,139.0,1271531.0,0.0,,,
19,2020-05-21,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,98075.0,77131.0,Mauritius,Africa,140.0,1271536.0,0.0,,,
20,2020-05-22,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,101052.0,79472.0,Mauritius,Africa,140.0,1271542.0,0.0,,,
21,2020-05-23,332.0,-1.0,10.0,-1.0,322.0,0.0,-1.0,261.0,8.0,101052.0,79472.0,Mauritius,Africa,140.0,1271548.0,0.0,,,
22,2020-05-24,334.0,2.0,10.0,-1.0,322.0,2.0,-1.0,263.0,8.0,102247.0,80411.0,Mauritius,Africa,140.0,1271554.0,0.0,,,
23,2020-05-25,334.0,-1.0,10.0,-1.0,322.0,2.0,-1.0,263.0,8.0,102247.0,80411.0,Mauritius,Africa,141.0,1271559.0,0.0,,,
24,2020-05-26,334.0,-1.0,10.0,-1.0,322.0,2.0,-1.0,263.0,8.0,104639.0,82292.0,Mauritius,Africa,142.0,1271565.0,0.0,,,
25,2020-05-27,334.0,-1.0,10.0,-1.0,322.0,2.0,-1.0,263.0,8.0,108501.0,85328.0,Mauritius,Africa,144.0,1271577.0,0.0,,,
26,2020-05-28,334.0,-1.0,10.0,-1.0,322.0,2.0,-1.0,263.0,8.0,111358.0,87575.0,Mauritius,Africa,145.0,1271577.0,0.0,,,
27,2020-05-29,335.0,1.0,10.0,-1.0,322.0,3.0,-1.0,263.0,8.0,114236.0,89838.0,Mauritius,Africa,145.0,1271582.0,0.0,,,
28,2020-05-30,335.0,-1.0,10.0,-1.0,322.0,3.0,-1.0,263.0,8.0,116937.0,91961.0,Mauritius,Africa,145.0,1271588.0,0.0,,,
29,2020-05-31,335.0,-1.0,10.0,-1.0,322.0,3.0,-1.0,263.0,8.0,116937.0,91961.0,Mauritius,Africa,146.0,1271594.0,0.0,,,
30,2020-06-01,335.0,-1.0,10.0,-1.0,322.0,3.0,-1.0,263.0,8.0,120358.0,94651.0,Mauritius,Africa,148.0,1271600.0,0.0,,,
31,2020-06-02,335.0,-1.0,10.0,-1.0,322.0,3.0,-1.0,263.0,8.0,122008.0,95948.0,Mauritius,Africa,148.0,1271605.0,-1.0,3796.0,127161.0,10.0
32,2020-06-03,335.0,-1.0,10.0,-1.0,322.0,3.0,-1.0,263.0,8.0,122008.0,95948.0,Mauritius,Africa,148.0,1271611.0,-1.0,3796.0,127161.0,10.0
33,2020-06-04,335.0,-1.0,10.0,-1.0,322.0,3.0,-1.0,263.0,8.0,124227.0,97692.0,Mauritius,Africa,149.0,1271617.0,-1.0,3796.0,127162.0,10.0
34,2020-06-05,337.0,2.0,10.0,-1.0,322.0,5.0,-1.0,265.0,8.0,129768.0,102049.0,Mauritius,Africa,148.0,1271623.0,-1.0,3773.0,127162.0,10.0
35,2020-06-06,337.0,-1.0,10.0,-1.0,324.0,3.0,-1.0,265.0,8.0,131516.0,103423.0,Mauritius,Africa,149.0,1271628.0,-1.0,3773.0,127163.0,10.0
36,2020-06-07,337.0,-1.0,10.0,-1.0,324.0,3.0,-1.0,265.0,8.0,131516.0,103423.0,Mauritius,Africa,149.0,1271634.0,-1.0,3773.0,127163.0,10.0
37,2020-06-08,337.0,-1.0,10.0,-1.0,324.0,3.0,-1.0,265.0,8.0,133883.0,105284.0,Mauritius,Africa,150.0,1271640.0,-1.0,3773.0,127164.0,9.0
38,2020-06-09,337.0,-1.0,10.0,-1.0,324.0,3.0,-1.0,265.0,8.0,133883.0,105283.0,Mauritius,Africa,150.0,1271646.0,-1.0,3773.0,127165.0,9.0
39,2020-06-10,337.0,-1.0,10.0,-1.0,324.0,3.0,-1.0,265.0,8.0,137789.0,108354.0,Mauritius,Africa,151.0,1271651.0,-1.0,3773.0,127165.0,9.0
40,2020-06-11,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,137789.0,108354.0,Mauritius,Africa,151.0,1271657.0,-1.0,3773.0,127166.0,9.0
41,2020-06-12,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,137789.0,108353.0,Mauritius,Africa,153.0,1271663.0,-1.0,3773.0,127166.0,9.0
42,2020-06-13,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,137789.0,108353.0,Mauritius,Africa,153.0,1271669.0,-1.0,3773.0,127167.0,9.0
43,2020-06-14,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,137789.0,108352.0,Mauritius,Africa,153.0,1271674.0,-1.0,3774.0,127167.0,9.0
44,2020-06-15,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,137789.0,108352.0,Mauritius,Africa,153.0,1271680.0,-1.0,3774.0,127168.0,9.0
45,2020-06-16,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,137789.0,108351.0,Mauritius,Africa,153.0,1271686.0,-1.0,3774.0,127169.0,9.0
46,2020-06-17,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,137789.0,108351.0,Mauritius,Africa,153.0,1271692.0,-1.0,3774.0,127169.0,9.0
47,2020-06-18,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,152194.0,119678.0,Mauritius,Africa,154.0,1271697.0,-1.0,3774.0,127170.0,8.0
48,2020-06-19,337.0,-1.0,10.0,-1.0,325.0,2.0,-1.0,265.0,8.0,152194.0,119677.0,Mauritius,Africa,155.0,1271703.0,-1.0,3774.0,127170.0,8.0
49,2020-06-20,337.0,-1.0,10.0,-1.0,326.0,1.0,-1.0,265.0,8.0,152194.0,119676.0,Mauritius,Africa,155.0,1271715.0,1.0,3774.0,127172.0,8.0
50,2020-06-21,337.0,-1.0,10.0,-1.0,326.0,1.0,-1.0,265.0,8.0,152194.0,119676.0,Mauritius,Africa,155.0,1271715.0,-1.0,3774.0,127172.0,8.0
51,2020-06-22,340.0,3.0,10.0,-1.0,326.0,4.0,-1.0,267.0,8.0,164182.0,129102.0,Mauritius,Africa,155.0,1271720.0,-1.0,3740.0,127172.0,8.0
52,2020-06-23,340.0,-1.0,10.0,-1.0,326.0,4.0,-1.0,267.0,8.0,164182.0,129102.0,Mauritius,Africa,155.0,1271726.0,-1.0,3740.0,127173.0,8.0
53,2020-06-24,341.0,1.0,10.0,-1.0,326.0,5.0,-1.0,268.0,8.0,171792.0,135085.0,Mauritius,Africa,155.0,1271732.0,-1.0,3729.0,127173.0,7.0
54,2020-06-25,341.0,-1.0,10.0,-1.0,326.0,5.0,-1.0,268.0,8.0,171792.0,135084.0,Mauritius,Africa,156.0,1271738.0,-1.0,3729.0,127174.0,7.0
55,2020-06-26,341.0,-1.0,10.0,-1.0,326.0,5.0,-1.0,268.0,8.0,171792.0,135084.0,Mauritius,Africa,156.0,1271743.0,-1.0,3729.0,127174.0,7.0
