,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,539.0,-1.0,4.0,-1.0,235.0,300.0,4.0,1976.0,15.0,3000.0,10996.0,Mayotte,Africa,,,0.0,,,
1,2020-05-03,539.0,-1.0,4.0,-1.0,235.0,300.0,4.0,1976.0,15.0,3000.0,10996.0,Mayotte,Africa,,,0.0,,,
2,2020-05-04,686.0,36.0,6.0,-1.0,352.0,328.0,6.0,2515.0,22.0,3400.0,12463.0,Mayotte,Africa,,,0.0,,,
3,2020-05-05,739.0,-1.0,9.0,-1.0,352.0,378.0,6.0,2709.0,33.0,3400.0,12463.0,Mayotte,Africa,,,0.0,,,
4,2020-05-06,739.0,-1.0,9.0,-1.0,352.0,378.0,6.0,2709.0,33.0,3400.0,12463.0,Mayotte,Africa,,,0.0,,,
5,2020-05-07,854.0,115.0,10.0,1.0,352.0,492.0,7.0,3130.0,37.0,4000.0,14662.0,Mayotte,Africa,,,0.0,,,
6,2020-05-08,854.0,-1.0,10.0,-1.0,352.0,492.0,7.0,3130.0,37.0,4000.0,14662.0,Mayotte,Africa,,,0.0,,,
7,2020-05-09,988.0,-1.0,11.0,-1.0,492.0,485.0,7.0,3622.0,40.0,4000.0,14662.0,Mayotte,Africa,,,0.0,,,
8,2020-05-10,1023.0,35.0,11.0,-1.0,492.0,520.0,9.0,3750.0,40.0,4000.0,14662.0,Mayotte,Africa,,,0.0,,,
9,2020-05-11,1023.0,-1.0,11.0,-1.0,492.0,520.0,9.0,3750.0,40.0,4000.0,14662.0,Mayotte,Africa,,,0.0,,,
10,2020-05-12,1095.0,72.0,12.0,1.0,492.0,591.0,9.0,4014.0,44.0,4000.0,14662.0,Mayotte,Africa,,,0.0,,,
11,2020-05-13,1143.0,48.0,14.0,2.0,627.0,502.0,6.0,4190.0,51.0,4800.0,17594.0,Mayotte,Africa,,,0.0,,,
12,2020-05-14,1143.0,-1.0,14.0,-1.0,627.0,502.0,6.0,4190.0,51.0,4800.0,17594.0,Mayotte,Africa,,,0.0,,,
13,2020-05-15,1210.0,-1.0,16.0,-1.0,627.0,567.0,10.0,4450.0,59.0,5000.0,18389.0,Mayotte,Africa,93.0,271903.0,0.0,,,
14,2020-05-16,1312.0,102.0,18.0,2.0,627.0,667.0,9.0,4825.0,66.0,5200.0,19123.0,Mayotte,Africa,93.0,271922.0,0.0,,,
15,2020-05-17,1342.0,30.0,18.0,-1.0,627.0,697.0,10.0,4935.0,66.0,5200.0,19122.0,Mayotte,Africa,92.0,271940.0,0.0,,,
16,2020-05-18,1370.0,28.0,18.0,-1.0,627.0,725.0,9.0,5038.0,66.0,5200.0,19121.0,Mayotte,Africa,94.0,271958.0,0.0,,,
17,2020-05-19,1370.0,-1.0,18.0,-1.0,627.0,725.0,9.0,5037.0,66.0,5200.0,19119.0,Mayotte,Africa,95.0,271976.0,0.0,,,
18,2020-05-20,1475.0,105.0,19.0,1.0,894.0,562.0,11.0,5423.0,70.0,5200.0,19118.0,Mayotte,Africa,94.0,271994.0,0.0,,,
19,2020-05-21,1475.0,-1.0,19.0,-1.0,894.0,562.0,11.0,5423.0,70.0,5200.0,19117.0,Mayotte,Africa,94.0,272012.0,0.0,,,
20,2020-05-22,1521.0,46.0,19.0,-1.0,894.0,608.0,11.0,5591.0,70.0,5200.0,19116.0,Mayotte,Africa,92.0,272030.0,0.0,,,
21,2020-05-23,1521.0,-1.0,19.0,-1.0,894.0,608.0,11.0,5591.0,70.0,5200.0,19114.0,Mayotte,Africa,92.0,272048.0,0.0,,,
22,2020-05-24,1587.0,66.0,20.0,1.0,894.0,673.0,11.0,5833.0,74.0,5200.0,19113.0,Mayotte,Africa,92.0,272066.0,0.0,,,
23,2020-05-25,1609.0,22.0,20.0,-1.0,894.0,695.0,11.0,5914.0,74.0,5200.0,19112.0,Mayotte,Africa,92.0,272084.0,0.0,,,
24,2020-05-26,1634.0,25.0,20.0,-1.0,894.0,720.0,11.0,6005.0,74.0,5200.0,19110.0,Mayotte,Africa,92.0,272102.0,0.0,,,
25,2020-05-27,1645.0,-1.0,20.0,-1.0,1314.0,311.0,10.0,6045.0,73.0,5200.0,19108.0,Mayotte,Africa,92.0,272138.0,0.0,,,
26,2020-05-28,1670.0,25.0,21.0,1.0,1315.0,334.0,10.0,6137.0,77.0,5200.0,19108.0,Mayotte,Africa,91.0,272138.0,0.0,,,
27,2020-05-29,1699.0,29.0,21.0,-1.0,1385.0,293.0,9.0,6243.0,77.0,5200.0,19107.0,Mayotte,Africa,92.0,272156.0,0.0,,,
28,2020-05-30,1699.0,-1.0,21.0,-1.0,1385.0,293.0,9.0,6242.0,77.0,5200.0,19105.0,Mayotte,Africa,93.0,272174.0,0.0,,,
29,2020-05-31,1699.0,-1.0,21.0,-1.0,1385.0,293.0,9.0,6242.0,77.0,5200.0,19104.0,Mayotte,Africa,95.0,272192.0,0.0,,,
30,2020-06-01,1699.0,-1.0,21.0,-1.0,1385.0,293.0,9.0,6242.0,77.0,5200.0,19103.0,Mayotte,Africa,96.0,272210.0,0.0,,,
31,2020-06-02,1986.0,52.0,24.0,-1.0,1473.0,489.0,10.0,7295.0,88.0,5200.0,19102.0,Mayotte,Africa,92.0,272228.0,-1.0,137.0,11343.0,52.0
32,2020-06-03,1993.0,7.0,24.0,-1.0,1523.0,446.0,9.0,7321.0,88.0,7600.0,27916.0,Mayotte,Africa,92.0,272246.0,50.0,137.0,11344.0,36.0
33,2020-06-04,2058.0,65.0,25.0,1.0,1523.0,510.0,9.0,7559.0,92.0,7600.0,27914.0,Mayotte,Africa,92.0,272264.0,-1.0,132.0,10891.0,36.0
34,2020-06-05,2079.0,21.0,25.0,-1.0,1523.0,531.0,9.0,7635.0,92.0,7600.0,27912.0,Mayotte,Africa,93.0,272282.0,-1.0,131.0,10891.0,36.0
35,2020-06-06,2079.0,-1.0,25.0,-1.0,1523.0,531.0,12.0,7635.0,92.0,8150.0,29930.0,Mayotte,Africa,93.0,272300.0,-1.0,131.0,10892.0,33.0
36,2020-06-07,2079.0,-1.0,25.0,-1.0,1523.0,531.0,12.0,7634.0,92.0,8150.0,29928.0,Mayotte,Africa,93.0,272318.0,-1.0,131.0,10893.0,33.0
37,2020-06-08,2151.0,72.0,25.0,-1.0,1654.0,472.0,12.0,7898.0,92.0,8150.0,29926.0,Mayotte,Africa,94.0,272336.0,131.0,127.0,10893.0,33.0
38,2020-06-09,2175.0,24.0,28.0,3.0,1654.0,493.0,12.0,7986.0,103.0,8150.0,29924.0,Mayotte,Africa,94.0,272354.0,-1.0,125.0,9727.0,33.0
