,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,20739.0,1515.0,1972.0,113.0,12377.0,6390.0,378.0,161.0,15.0,91188.0,707.0,Mexico,North America,,,0.0,,,
1,2020-05-03,22088.0,1349.0,2061.0,89.0,13447.0,6580.0,378.0,171.0,16.0,93791.0,727.0,Mexico,North America,,,0.0,,,
2,2020-05-04,23471.0,1383.0,2154.0,93.0,13447.0,7870.0,378.0,182.0,17.0,93791.0,727.0,Mexico,North America,,,0.0,,,
3,2020-05-05,26025.0,1120.0,2507.0,236.0,16810.0,6708.0,378.0,202.0,19.0,100041.0,776.0,Mexico,North America,,,0.0,,,
4,2020-05-06,26025.0,1120.0,2507.0,236.0,16810.0,6708.0,378.0,202.0,19.0,100041.0,776.0,Mexico,North America,,,0.0,,,
5,2020-05-07,27634.0,1609.0,2704.0,197.0,17781.0,7149.0,378.0,214.0,21.0,105664.0,820.0,Mexico,North America,,,0.0,,,
6,2020-05-08,31522.0,1906.0,3160.0,199.0,20314.0,8048.0,378.0,244.0,25.0,123446.0,957.0,Mexico,North America,,,0.0,,,
7,2020-05-09,33460.0,1938.0,3353.0,193.0,20314.0,9793.0,378.0,260.0,26.0,123446.0,957.0,Mexico,North America,,,0.0,,,
8,2020-05-10,33460.0,1938.0,3353.0,193.0,21824.0,8283.0,378.0,260.0,26.0,128148.0,994.0,Mexico,North America,,,0.0,,,
9,2020-05-11,35022.0,1562.0,3465.0,112.0,23100.0,8457.0,378.0,272.0,27.0,130956.0,1016.0,Mexico,North America,,,0.0,,,
10,2020-05-12,36327.0,1305.0,3573.0,108.0,23100.0,9654.0,378.0,282.0,28.0,135116.0,1048.0,Mexico,North America,,,0.0,,,
11,2020-05-13,38324.0,1997.0,3926.0,353.0,25935.0,8463.0,378.0,297.0,30.0,142204.0,1103.0,Mexico,North America,,,0.0,,,
12,2020-05-14,40186.0,1862.0,4220.0,294.0,26990.0,8976.0,378.0,312.0,33.0,142204.0,1103.0,Mexico,North America,,,0.0,,,
13,2020-05-15,42595.0,2409.0,4477.0,257.0,28475.0,9643.0,378.0,331.0,35.0,155932.0,1211.0,Mexico,North America,17.0,128755457.0,0.0,,,
14,2020-05-16,45032.0,2437.0,4767.0,290.0,30451.0,9814.0,378.0,350.0,37.0,163691.0,1271.0,Mexico,North America,16.0,128759156.0,0.0,,,
15,2020-05-17,47144.0,2112.0,5045.0,278.0,31848.0,10251.0,378.0,366.0,39.0,163691.0,1271.0,Mexico,North America,16.0,128762855.0,0.0,,,
16,2020-05-18,49219.0,2075.0,5177.0,132.0,33329.0,10713.0,378.0,382.0,40.0,172294.0,1338.0,Mexico,North America,16.0,128766554.0,0.0,,,
17,2020-05-19,51633.0,2414.0,5332.0,155.0,35388.0,10913.0,378.0,401.0,41.0,177133.0,1376.0,Mexico,North America,16.0,128770253.0,0.0,,,
18,2020-05-20,54346.0,2713.0,5666.0,334.0,37325.0,11355.0,378.0,422.0,44.0,185755.0,1442.0,Mexico,North America,16.0,128773952.0,0.0,,,
19,2020-05-21,56594.0,2248.0,6090.0,424.0,38876.0,11628.0,378.0,439.0,47.0,185755.0,1442.0,Mexico,North America,16.0,128777650.0,0.0,,,
20,2020-05-22,59567.0,2973.0,6510.0,420.0,40657.0,12400.0,378.0,463.0,51.0,201838.0,1567.0,Mexico,North America,16.0,128781349.0,0.0,,,
21,2020-05-23,62527.0,2960.0,6989.0,479.0,42725.0,12813.0,378.0,486.0,54.0,201838.0,1567.0,Mexico,North America,16.0,128785048.0,0.0,,,
22,2020-05-24,65856.0,3329.0,7179.0,190.0,44919.0,13758.0,378.0,511.0,56.0,215656.0,1674.0,Mexico,North America,16.0,128788747.0,0.0,,,
23,2020-05-25,68620.0,2764.0,7394.0,215.0,47424.0,13802.0,378.0,533.0,57.0,219164.0,1702.0,Mexico,North America,16.0,128792446.0,0.0,,,
24,2020-05-26,71105.0,2485.0,7633.0,239.0,49890.0,13582.0,378.0,552.0,59.0,225650.0,1752.0,Mexico,North America,16.0,128796145.0,0.0,,,
25,2020-05-27,78023.0,3463.0,8597.0,463.0,54383.0,15043.0,378.0,606.0,67.0,235129.0,1825.0,Mexico,North America,16.0,128803542.0,0.0,,,
26,2020-05-28,78023.0,3463.0,8597.0,463.0,54383.0,15043.0,378.0,606.0,67.0,244858.0,1901.0,Mexico,North America,16.0,128803542.0,0.0,,,
27,2020-05-29,81400.0,3377.0,9044.0,447.0,56638.0,15718.0,378.0,632.0,70.0,244858.0,1901.0,Mexico,North America,16.0,128807241.0,0.0,,,
28,2020-05-30,84627.0,3227.0,9415.0,371.0,59610.0,15602.0,378.0,657.0,73.0,244858.0,1901.0,Mexico,North America,15.0,128810940.0,0.0,,,
29,2020-05-31,87512.0,2885.0,9779.0,364.0,61871.0,15862.0,378.0,679.0,76.0,270992.0,2104.0,Mexico,North America,15.0,128814639.0,0.0,,,
30,2020-06-01,90664.0,3152.0,9930.0,151.0,64326.0,16408.0,378.0,704.0,77.0,270992.0,2104.0,Mexico,North America,15.0,128818338.0,0.0,,,
31,2020-06-02,93435.0,2771.0,10167.0,237.0,67491.0,15777.0,378.0,725.0,79.0,282089.0,2190.0,Mexico,North America,14.0,128822037.0,3165.0,1379.0,12671.0,457.0
32,2020-06-03,97326.0,3891.0,10637.0,470.0,70308.0,16381.0,378.0,755.0,83.0,293078.0,2275.0,Mexico,North America,14.0,128825735.0,2817.0,1324.0,12111.0,440.0
33,2020-06-04,101238.0,3912.0,11729.0,1092.0,73271.0,16238.0,378.0,786.0,91.0,303461.0,2356.0,Mexico,North America,14.0,128829434.0,2963.0,1273.0,10984.0,425.0
