,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,4052.0,72.0,124.0,2.0,1334.0,2594.0,237.0,1004.0,31.0,11763.0,2916.0,Moldova,Europe,,,0.0,,,
1,2020-05-03,4121.0,69.0,125.0,1.0,1382.0,2614.0,237.0,1022.0,31.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
2,2020-05-04,4248.0,127.0,132.0,7.0,1423.0,2693.0,237.0,1053.0,33.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
3,2020-05-05,4363.0,-1.0,136.0,-1.0,1544.0,2683.0,237.0,1082.0,34.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
4,2020-05-06,4476.0,113.0,143.0,7.0,1658.0,2675.0,237.0,1110.0,35.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
5,2020-05-07,4605.0,129.0,145.0,2.0,1747.0,2713.0,237.0,1142.0,36.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
6,2020-05-08,4728.0,-1.0,150.0,-1.0,1826.0,2752.0,237.0,1172.0,37.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
7,2020-05-09,4867.0,-1.0,161.0,-1.0,1925.0,2781.0,237.0,1207.0,40.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
8,2020-05-10,4927.0,60.0,169.0,8.0,1958.0,2800.0,237.0,1221.0,42.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
9,2020-05-11,4995.0,68.0,175.0,6.0,1980.0,2840.0,251.0,1238.0,43.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
10,2020-05-12,5154.0,159.0,182.0,7.0,2069.0,2903.0,251.0,1278.0,45.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
11,2020-05-13,5406.0,252.0,185.0,3.0,2176.0,3045.0,251.0,1340.0,46.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
12,2020-05-14,5553.0,147.0,194.0,9.0,2228.0,3131.0,251.0,1377.0,48.0,20447.0,5069.0,Moldova,Europe,,,0.0,,,
13,2020-05-15,5745.0,192.0,202.0,8.0,2228.0,3315.0,251.0,1424.0,50.0,20447.0,5067.0,Moldova,Europe,57.0,4035126.0,0.0,,,
14,2020-05-16,5934.0,189.0,207.0,5.0,2344.0,3383.0,251.0,1471.0,51.0,20447.0,5067.0,Moldova,Europe,57.0,4035100.0,0.0,,,
15,2020-05-17,6060.0,126.0,211.0,4.0,2344.0,3505.0,251.0,1502.0,52.0,20447.0,5067.0,Moldova,Europe,58.0,4035075.0,0.0,,,
16,2020-05-18,6138.0,78.0,217.0,6.0,2425.0,3496.0,251.0,1521.0,54.0,20447.0,5067.0,Moldova,Europe,58.0,4035049.0,0.0,,,
17,2020-05-19,6340.0,202.0,221.0,4.0,2508.0,3611.0,251.0,1571.0,55.0,20447.0,5067.0,Moldova,Europe,58.0,4035024.0,0.0,,,
18,2020-05-20,6553.0,213.0,228.0,7.0,2953.0,3372.0,251.0,1624.0,57.0,40565.0,10053.0,Moldova,Europe,57.0,4034998.0,0.0,,,
19,2020-05-21,6704.0,151.0,233.0,5.0,2953.0,3518.0,251.0,1661.0,58.0,40565.0,10053.0,Moldova,Europe,57.0,4034973.0,0.0,,,
20,2020-05-22,6847.0,143.0,237.0,4.0,3369.0,3241.0,251.0,1697.0,59.0,40565.0,10053.0,Moldova,Europe,58.0,4034947.0,0.0,,,
21,2020-05-23,6994.0,147.0,242.0,5.0,3452.0,3300.0,286.0,1733.0,60.0,40565.0,10053.0,Moldova,Europe,59.0,4034922.0,0.0,,,
22,2020-05-24,7093.0,99.0,250.0,8.0,3713.0,3130.0,286.0,1758.0,62.0,40565.0,10054.0,Moldova,Europe,59.0,4034896.0,0.0,,,
23,2020-05-25,7147.0,54.0,261.0,11.0,3802.0,3084.0,286.0,1771.0,65.0,40565.0,10054.0,Moldova,Europe,58.0,4034871.0,0.0,,,
24,2020-05-26,7305.0,158.0,267.0,6.0,3884.0,3154.0,256.0,1810.0,66.0,40565.0,10054.0,Moldova,Europe,59.0,4034845.0,0.0,,,
25,2020-05-27,7537.0,-1.0,274.0,-1.0,3884.0,3379.0,256.0,1868.0,68.0,40565.0,10054.0,Moldova,Europe,59.0,4034794.0,0.0,,,
26,2020-05-28,7725.0,188.0,282.0,8.0,4123.0,3320.0,256.0,1915.0,70.0,40565.0,10054.0,Moldova,Europe,58.0,4034794.0,0.0,,,
27,2020-05-29,7896.0,171.0,288.0,6.0,4278.0,3330.0,256.0,1957.0,71.0,40565.0,10054.0,Moldova,Europe,58.0,4034769.0,0.0,,,
28,2020-05-30,8098.0,202.0,291.0,3.0,4455.0,3352.0,256.0,2007.0,72.0,40565.0,10054.0,Moldova,Europe,58.0,4034743.0,0.0,,,
29,2020-05-31,8251.0,153.0,295.0,4.0,4581.0,3375.0,251.0,2045.0,73.0,40565.0,10054.0,Moldova,Europe,58.0,4034718.0,0.0,,,
30,2020-06-01,8360.0,109.0,305.0,10.0,4622.0,3433.0,251.0,2072.0,76.0,55582.0,13776.0,Moldova,Europe,58.0,4034692.0,0.0,,,
31,2020-06-02,8548.0,188.0,307.0,2.0,4738.0,3503.0,255.0,2119.0,76.0,57003.0,14128.0,Moldova,Europe,57.0,4034667.0,116.0,472.0,13142.0,71.0
32,2020-06-03,8795.0,247.0,310.0,3.0,4863.0,3622.0,248.0,2180.0,77.0,57003.0,14128.0,Moldova,Europe,57.0,4034641.0,125.0,459.0,13015.0,71.0
33,2020-06-04,9018.0,223.0,315.0,5.0,5009.0,3694.0,265.0,2235.0,78.0,57003.0,14128.0,Moldova,Europe,57.0,4034616.0,146.0,447.0,12808.0,71.0
34,2020-06-05,9247.0,229.0,323.0,8.0,5240.0,3684.0,274.0,2292.0,80.0,58521.0,14505.0,Moldova,Europe,58.0,4034590.0,231.0,436.0,12491.0,69.0
