,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,95.0,-1.0,4.0,-1.0,73.0,18.0,1.0,2421.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
1,2020-05-03,95.0,-1.0,4.0,-1.0,78.0,13.0,1.0,2421.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
2,2020-05-04,95.0,-1.0,4.0,-1.0,78.0,13.0,1.0,2421.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
3,2020-05-05,95.0,-1.0,4.0,-1.0,81.0,10.0,1.0,2421.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
4,2020-05-06,95.0,-1.0,4.0,-1.0,81.0,10.0,1.0,2421.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
5,2020-05-07,95.0,-1.0,4.0,-1.0,82.0,9.0,1.0,2421.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
6,2020-05-08,95.0,-1.0,4.0,-1.0,82.0,9.0,1.0,2421.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
7,2020-05-09,96.0,-1.0,4.0,-1.0,82.0,10.0,1.0,2446.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
8,2020-05-10,96.0,-1.0,4.0,-1.0,82.0,10.0,1.0,2446.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
9,2020-05-11,96.0,-1.0,4.0,-1.0,85.0,7.0,1.0,2446.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
10,2020-05-12,96.0,-1.0,4.0,-1.0,85.0,7.0,1.0,2446.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
11,2020-05-13,96.0,-1.0,4.0,-1.0,87.0,5.0,1.0,2446.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
12,2020-05-14,96.0,-1.0,4.0,-1.0,87.0,5.0,1.0,2446.0,102.0,-1.0,-1.0,Monaco,Europe,,,0.0,,,
13,2020-05-15,96.0,-1.0,4.0,-1.0,87.0,5.0,1.0,2449.0,102.0,-1.0,-1.0,Monaco,Europe,165.0,39206.0,0.0,,,
14,2020-05-16,96.0,-1.0,4.0,-1.0,87.0,5.0,1.0,2449.0,102.0,-1.0,-1.0,Monaco,Europe,165.0,39207.0,0.0,,,
15,2020-05-17,96.0,-1.0,4.0,-1.0,87.0,5.0,1.0,2448.0,102.0,-1.0,-1.0,Monaco,Europe,165.0,39208.0,0.0,,,
16,2020-05-18,96.0,-1.0,4.0,-1.0,87.0,5.0,1.0,2448.0,102.0,-1.0,-1.0,Monaco,Europe,165.0,39208.0,0.0,,,
17,2020-05-19,97.0,-1.0,4.0,-1.0,87.0,6.0,1.0,2474.0,102.0,-1.0,-1.0,Monaco,Europe,164.0,39209.0,0.0,,,
18,2020-05-20,97.0,-1.0,4.0,-1.0,90.0,3.0,1.0,2474.0,102.0,-1.0,-1.0,Monaco,Europe,167.0,39210.0,0.0,,,
19,2020-05-21,97.0,-1.0,4.0,-1.0,90.0,3.0,1.0,2474.0,102.0,-1.0,-1.0,Monaco,Europe,168.0,39211.0,0.0,,,
20,2020-05-22,97.0,-1.0,4.0,-1.0,90.0,3.0,1.0,2474.0,102.0,-1.0,-1.0,Monaco,Europe,168.0,39211.0,0.0,,,
21,2020-05-23,97.0,-1.0,4.0,-1.0,90.0,3.0,1.0,2474.0,102.0,-1.0,-1.0,Monaco,Europe,168.0,39212.0,0.0,,,
22,2020-05-24,98.0,-1.0,4.0,-1.0,90.0,4.0,1.0,2499.0,102.0,-1.0,-1.0,Monaco,Europe,168.0,39213.0,0.0,,,
23,2020-05-25,98.0,-1.0,4.0,-1.0,90.0,4.0,2.0,2499.0,102.0,-1.0,-1.0,Monaco,Europe,170.0,39214.0,0.0,,,
24,2020-05-26,98.0,-1.0,4.0,-1.0,90.0,4.0,2.0,2499.0,102.0,-1.0,-1.0,Monaco,Europe,170.0,39214.0,0.0,,,
25,2020-05-27,98.0,-1.0,4.0,-1.0,90.0,4.0,2.0,2499.0,102.0,-1.0,-1.0,Monaco,Europe,172.0,39216.0,0.0,,,
26,2020-05-28,98.0,-1.0,4.0,-1.0,90.0,4.0,2.0,2499.0,102.0,-1.0,-1.0,Monaco,Europe,172.0,39216.0,0.0,,,
27,2020-05-29,98.0,-1.0,4.0,-1.0,90.0,4.0,2.0,2499.0,102.0,-1.0,-1.0,Monaco,Europe,172.0,39217.0,0.0,,,
28,2020-05-30,99.0,1.0,4.0,-1.0,90.0,5.0,1.0,2524.0,102.0,-1.0,-1.0,Monaco,Europe,173.0,39217.0,0.0,,,
29,2020-05-31,99.0,-1.0,4.0,-1.0,90.0,5.0,1.0,2524.0,102.0,-1.0,-1.0,Monaco,Europe,173.0,39218.0,0.0,,,
30,2020-06-01,99.0,-1.0,4.0,-1.0,90.0,5.0,1.0,2524.0,102.0,16200.0,413065.0,Monaco,Europe,173.0,39219.0,0.0,,,
31,2020-06-02,99.0,-1.0,4.0,-1.0,90.0,5.0,1.0,2524.0,102.0,16200.0,413055.0,Monaco,Europe,173.0,39220.0,-1.0,396.0,9805.0,2.0
32,2020-06-03,99.0,-1.0,4.0,-1.0,90.0,5.0,1.0,2524.0,102.0,16200.0,413044.0,Monaco,Europe,173.0,39221.0,-1.0,396.0,9805.0,2.0
33,2020-06-04,99.0,-1.0,4.0,-1.0,90.0,5.0,1.0,2524.0,102.0,16200.0,413044.0,Monaco,Europe,173.0,39221.0,-1.0,396.0,9805.0,2.0
34,2020-06-05,99.0,-1.0,4.0,-1.0,92.0,3.0,1.0,2524.0,102.0,16200.0,413034.0,Monaco,Europe,173.0,39222.0,-1.0,396.0,9806.0,2.0
35,2020-06-06,99.0,-1.0,4.0,-1.0,93.0,2.0,1.0,2524.0,102.0,16200.0,413023.0,Monaco,Europe,173.0,39223.0,-1.0,396.0,9806.0,2.0
36,2020-06-07,99.0,-1.0,4.0,-1.0,93.0,2.0,1.0,2524.0,102.0,16200.0,413012.0,Monaco,Europe,174.0,39224.0,-1.0,396.0,9806.0,2.0
37,2020-06-08,99.0,-1.0,4.0,-1.0,93.0,2.0,1.0,2524.0,102.0,16200.0,413012.0,Monaco,Europe,174.0,39224.0,-1.0,396.0,9806.0,2.0
38,2020-06-09,99.0,-1.0,4.0,-1.0,93.0,2.0,1.0,2524.0,102.0,16200.0,413002.0,Monaco,Europe,174.0,39225.0,-1.0,396.0,9806.0,2.0
39,2020-06-10,99.0,-1.0,4.0,-1.0,93.0,2.0,1.0,2524.0,102.0,16200.0,412991.0,Monaco,Europe,175.0,39226.0,-1.0,396.0,9807.0,2.0
40,2020-06-11,99.0,-1.0,4.0,-1.0,93.0,2.0,-1.0,2524.0,102.0,16200.0,412981.0,Monaco,Europe,175.0,39227.0,-1.0,396.0,9807.0,2.0
41,2020-06-12,99.0,-1.0,4.0,-1.0,93.0,2.0,-1.0,2524.0,102.0,16200.0,412981.0,Monaco,Europe,175.0,39227.0,-1.0,396.0,9807.0,2.0
42,2020-06-13,99.0,-1.0,4.0,-1.0,93.0,2.0,-1.0,2524.0,102.0,16200.0,412970.0,Monaco,Europe,175.0,39228.0,-1.0,396.0,9807.0,2.0
43,2020-06-14,99.0,-1.0,4.0,-1.0,93.0,2.0,-1.0,2524.0,102.0,16200.0,412960.0,Monaco,Europe,175.0,39229.0,-1.0,396.0,9807.0,2.0
44,2020-06-15,99.0,-1.0,4.0,-1.0,93.0,2.0,-1.0,2524.0,102.0,16200.0,412949.0,Monaco,Europe,176.0,39230.0,-1.0,396.0,9808.0,2.0
45,2020-06-16,99.0,-1.0,4.0,-1.0,94.0,1.0,-1.0,2524.0,102.0,16200.0,412949.0,Monaco,Europe,177.0,39230.0,1.0,396.0,9808.0,2.0
46,2020-06-17,99.0,-1.0,4.0,-1.0,94.0,1.0,-1.0,2524.0,102.0,16200.0,412939.0,Monaco,Europe,177.0,39231.0,-1.0,396.0,9808.0,2.0
