,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,39.0,1.0,-1.0,-1.0,10.0,29.0,-1.0,12.0,-1.0,8022.0,2447.0,Mongolia,Asia,,,0.0,,,
1,2020-05-03,39.0,-1.0,-1.0,-1.0,10.0,29.0,-1.0,12.0,-1.0,8250.0,2517.0,Mongolia,Asia,,,0.0,,,
2,2020-05-04,40.0,1.0,-1.0,-1.0,12.0,28.0,-1.0,12.0,-1.0,8250.0,2517.0,Mongolia,Asia,,,0.0,,,
3,2020-05-05,41.0,-1.0,-1.0,-1.0,13.0,28.0,-1.0,13.0,-1.0,8889.0,2711.0,Mongolia,Asia,,,0.0,,,
4,2020-05-06,41.0,-1.0,-1.0,-1.0,13.0,28.0,-1.0,13.0,-1.0,8946.0,2729.0,Mongolia,Asia,,,0.0,,,
5,2020-05-07,41.0,-1.0,-1.0,-1.0,13.0,28.0,-1.0,13.0,-1.0,9093.0,2774.0,Mongolia,Asia,,,0.0,,,
6,2020-05-08,42.0,-1.0,-1.0,-1.0,14.0,28.0,-1.0,13.0,-1.0,9203.0,2807.0,Mongolia,Asia,,,0.0,,,
7,2020-05-09,42.0,-1.0,-1.0,-1.0,14.0,28.0,-1.0,13.0,-1.0,9203.0,2807.0,Mongolia,Asia,,,0.0,,,
8,2020-05-10,42.0,-1.0,-1.0,-1.0,14.0,28.0,-1.0,13.0,-1.0,9600.0,2928.0,Mongolia,Asia,,,0.0,,,
9,2020-05-11,42.0,-1.0,-1.0,-1.0,14.0,28.0,2.0,13.0,-1.0,9707.0,2961.0,Mongolia,Asia,,,0.0,,,
10,2020-05-12,42.0,-1.0,-1.0,-1.0,15.0,27.0,2.0,13.0,-1.0,9787.0,2985.0,Mongolia,Asia,,,0.0,,,
11,2020-05-13,42.0,-1.0,-1.0,-1.0,15.0,27.0,2.0,13.0,-1.0,9787.0,2985.0,Mongolia,Asia,,,0.0,,,
12,2020-05-14,61.0,19.0,-1.0,-1.0,15.0,46.0,2.0,19.0,-1.0,10162.0,3100.0,Mongolia,Asia,,,0.0,,,
13,2020-05-15,98.0,37.0,-1.0,-1.0,20.0,78.0,2.0,30.0,-1.0,10162.0,3106.0,Mongolia,Asia,163.0,3271218.0,0.0,,,
14,2020-05-16,135.0,37.0,-1.0,-1.0,20.0,115.0,2.0,41.0,-1.0,10162.0,3106.0,Mongolia,Asia,156.0,3271362.0,0.0,,,
15,2020-05-17,136.0,1.0,-1.0,-1.0,21.0,115.0,2.0,42.0,-1.0,10318.0,3154.0,Mongolia,Asia,157.0,3271507.0,0.0,,,
16,2020-05-18,140.0,4.0,-1.0,-1.0,24.0,116.0,2.0,43.0,-1.0,11000.0,3362.0,Mongolia,Asia,157.0,3271651.0,0.0,,,
17,2020-05-19,140.0,-1.0,-1.0,-1.0,26.0,114.0,2.0,43.0,-1.0,11367.0,3474.0,Mongolia,Asia,157.0,3271795.0,0.0,,,
18,2020-05-20,140.0,-1.0,-1.0,-1.0,26.0,114.0,27.0,43.0,-1.0,11641.0,3558.0,Mongolia,Asia,158.0,3271940.0,0.0,,,
19,2020-05-21,140.0,-1.0,-1.0,-1.0,26.0,114.0,27.0,43.0,-1.0,11750.0,3591.0,Mongolia,Asia,159.0,3272084.0,0.0,,,
20,2020-05-22,141.0,1.0,-1.0,-1.0,28.0,113.0,27.0,43.0,-1.0,12153.0,3714.0,Mongolia,Asia,159.0,3272228.0,0.0,,,
21,2020-05-23,141.0,-1.0,-1.0,-1.0,30.0,111.0,27.0,43.0,-1.0,12341.0,3771.0,Mongolia,Asia,159.0,3272373.0,0.0,,,
22,2020-05-24,141.0,-1.0,-1.0,-1.0,32.0,109.0,25.0,43.0,-1.0,12407.0,3791.0,Mongolia,Asia,160.0,3272517.0,0.0,,,
23,2020-05-25,141.0,-1.0,-1.0,-1.0,33.0,108.0,25.0,43.0,-1.0,12407.0,3791.0,Mongolia,Asia,160.0,3272661.0,0.0,,,
24,2020-05-26,141.0,-1.0,-1.0,-1.0,37.0,104.0,25.0,43.0,-1.0,12460.0,3807.0,Mongolia,Asia,160.0,3272806.0,0.0,,,
25,2020-05-27,148.0,-1.0,-1.0,-1.0,43.0,105.0,25.0,45.0,-1.0,12708.0,3883.0,Mongolia,Asia,159.0,3273095.0,0.0,,,
26,2020-05-28,161.0,13.0,-1.0,-1.0,43.0,118.0,11.0,49.0,-1.0,13225.0,4041.0,Mongolia,Asia,159.0,3273095.0,0.0,,,
27,2020-05-29,179.0,18.0,-1.0,-1.0,43.0,136.0,11.0,55.0,-1.0,13594.0,4153.0,Mongolia,Asia,158.0,3273239.0,0.0,,,
28,2020-05-30,179.0,-1.0,-1.0,-1.0,44.0,135.0,10.0,55.0,-1.0,13641.0,4167.0,Mongolia,Asia,158.0,3273383.0,0.0,,,
29,2020-05-31,179.0,-1.0,-1.0,-1.0,44.0,135.0,19.0,55.0,-1.0,13672.0,4177.0,Mongolia,Asia,158.0,3273528.0,0.0,,,
30,2020-06-01,185.0,6.0,-1.0,-1.0,44.0,141.0,19.0,57.0,-1.0,14037.0,4288.0,Mongolia,Asia,158.0,3273672.0,0.0,,,
31,2020-06-02,185.0,-1.0,-1.0,-1.0,44.0,141.0,19.0,57.0,-1.0,14249.0,4352.0,Mongolia,Asia,159.0,3273816.0,-1.0,17696.0,-1.0,230.0
32,2020-06-03,185.0,-1.0,-1.0,-1.0,44.0,141.0,19.0,57.0,-1.0,14623.0,4466.0,Mongolia,Asia,159.0,3273961.0,-1.0,17697.0,-1.0,224.0
33,2020-06-04,186.0,1.0,-1.0,-1.0,65.0,121.0,19.0,57.0,-1.0,15092.0,4610.0,Mongolia,Asia,160.0,3274105.0,21.0,17603.0,-1.0,217.0
34,2020-06-05,191.0,5.0,-1.0,-1.0,70.0,121.0,15.0,58.0,-1.0,15807.0,4828.0,Mongolia,Asia,159.0,3274249.0,5.0,17143.0,-1.0,207.0
35,2020-06-06,193.0,2.0,-1.0,-1.0,71.0,122.0,14.0,59.0,-1.0,16062.0,4905.0,Mongolia,Asia,159.0,3274394.0,1.0,16966.0,-1.0,204.0
36,2020-06-07,193.0,-1.0,-1.0,-1.0,75.0,118.0,14.0,59.0,-1.0,16279.0,4971.0,Mongolia,Asia,159.0,3274538.0,4.0,16967.0,-1.0,201.0
37,2020-06-08,194.0,1.0,-1.0,-1.0,75.0,119.0,15.0,59.0,-1.0,16325.0,4985.0,Mongolia,Asia,159.0,3274682.0,-1.0,16880.0,-1.0,201.0
38,2020-06-09,194.0,-1.0,-1.0,-1.0,85.0,109.0,15.0,59.0,-1.0,16365.0,4997.0,Mongolia,Asia,159.0,3274827.0,10.0,16881.0,-1.0,200.0
39,2020-06-10,194.0,-1.0,-1.0,-1.0,87.0,107.0,15.0,59.0,-1.0,16723.0,5106.0,Mongolia,Asia,159.0,3274971.0,2.0,16881.0,-1.0,196.0
40,2020-06-11,194.0,-1.0,-1.0,-1.0,89.0,105.0,15.0,59.0,-1.0,17038.0,5202.0,Mongolia,Asia,159.0,3275116.0,2.0,16882.0,-1.0,192.0
41,2020-06-12,197.0,3.0,-1.0,-1.0,95.0,102.0,11.0,60.0,-1.0,17279.0,5276.0,Mongolia,Asia,159.0,3275260.0,6.0,16626.0,-1.0,190.0
42,2020-06-13,197.0,-1.0,-1.0,-1.0,95.0,102.0,11.0,60.0,-1.0,17605.0,5375.0,Mongolia,Asia,159.0,3275404.0,-1.0,16626.0,-1.0,186.0
43,2020-06-14,197.0,-1.0,-1.0,-1.0,98.0,99.0,11.0,60.0,-1.0,17899.0,5464.0,Mongolia,Asia,159.0,3275549.0,3.0,16627.0,-1.0,183.0
44,2020-06-15,197.0,-1.0,-1.0,-1.0,108.0,89.0,11.0,60.0,-1.0,18157.0,5543.0,Mongolia,Asia,160.0,3275693.0,10.0,16628.0,-1.0,180.0
45,2020-06-16,197.0,-1.0,-1.0,-1.0,109.0,88.0,8.0,60.0,-1.0,18570.0,5669.0,Mongolia,Asia,161.0,3275837.0,1.0,16629.0,-1.0,176.0
46,2020-06-17,197.0,-1.0,-1.0,-1.0,111.0,86.0,8.0,60.0,-1.0,18886.0,5765.0,Mongolia,Asia,161.0,3275982.0,2.0,16629.0,-1.0,173.0
47,2020-06-18,201.0,4.0,-1.0,-1.0,127.0,74.0,5.0,61.0,-1.0,19249.0,5876.0,Mongolia,Asia,161.0,3276126.0,16.0,16299.0,-1.0,170.0
48,2020-06-19,204.0,3.0,-1.0,-1.0,132.0,72.0,5.0,62.0,-1.0,19588.0,5979.0,Mongolia,Asia,161.0,3276270.0,5.0,16060.0,-1.0,167.0
49,2020-06-20,204.0,-1.0,-1.0,-1.0,139.0,65.0,8.0,62.0,-1.0,19650.0,5997.0,Mongolia,Asia,161.0,3276559.0,7.0,16062.0,-1.0,167.0
50,2020-06-21,206.0,2.0,-1.0,-1.0,139.0,67.0,8.0,63.0,-1.0,19965.0,6093.0,Mongolia,Asia,161.0,3276559.0,-1.0,15906.0,-1.0,164.0
51,2020-06-22,213.0,7.0,-1.0,-1.0,153.0,60.0,8.0,65.0,-1.0,20300.0,6195.0,Mongolia,Asia,162.0,3276704.0,14.0,15384.0,-1.0,161.0
52,2020-06-23,215.0,2.0,-1.0,-1.0,158.0,57.0,8.0,66.0,-1.0,20726.0,6325.0,Mongolia,Asia,162.0,3276848.0,5.0,15241.0,-1.0,158.0
53,2020-06-24,215.0,-1.0,-1.0,-1.0,168.0,47.0,6.0,66.0,-1.0,20975.0,6401.0,Mongolia,Asia,162.0,3276992.0,10.0,15242.0,-1.0,156.0
54,2020-06-25,216.0,1.0,-1.0,-1.0,169.0,47.0,6.0,66.0,-1.0,21308.0,6502.0,Mongolia,Asia,162.0,3277137.0,1.0,15172.0,-1.0,154.0
55,2020-06-26,219.0,3.0,-1.0,-1.0,170.0,49.0,6.0,67.0,-1.0,21479.0,6554.0,Mongolia,Asia,162.0,3277281.0,1.0,14965.0,-1.0,153.0
56,2020-06-27,219.0,-1.0,-1.0,-1.0,175.0,44.0,9.0,67.0,-1.0,21651.0,6606.0,Mongolia,Asia,164.0,3277425.0,5.0,14965.0,-1.0,151.0
57,2020-06-28,219.0,-1.0,-1.0,-1.0,175.0,44.0,9.0,67.0,-1.0,21959.0,6700.0,Mongolia,Asia,164.0,3277570.0,-1.0,14966.0,-1.0,149.0
58,2020-06-29,220.0,1.0,-1.0,-1.0,175.0,45.0,9.0,67.0,-1.0,22175.0,6765.0,Mongolia,Asia,164.0,3277714.0,-1.0,14899.0,-1.0,148.0
