,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,322.0,-1.0,7.0,-1.0,245.0,70.0,2.0,513.0,11.0,6864.0,10929.0,Montenegro,Europe,,,0.0,,,
1,2020-05-03,322.0,-1.0,8.0,-1.0,249.0,65.0,2.0,513.0,13.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
2,2020-05-04,323.0,1.0,8.0,-1.0,253.0,62.0,2.0,514.0,13.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
3,2020-05-05,324.0,-1.0,8.0,-1.0,253.0,63.0,2.0,516.0,13.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
4,2020-05-06,324.0,-1.0,8.0,-1.0,261.0,55.0,2.0,516.0,13.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
5,2020-05-07,324.0,-1.0,8.0,-1.0,265.0,51.0,2.0,516.0,13.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
6,2020-05-08,324.0,-1.0,8.0,-1.0,267.0,49.0,2.0,516.0,13.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
7,2020-05-09,324.0,-1.0,8.0,-1.0,274.0,42.0,2.0,516.0,13.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
8,2020-05-10,324.0,-1.0,9.0,1.0,290.0,25.0,2.0,516.0,14.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
9,2020-05-11,324.0,-1.0,9.0,-1.0,294.0,21.0,2.0,516.0,14.0,7816.0,12445.0,Montenegro,Europe,,,0.0,,,
10,2020-05-12,324.0,-1.0,9.0,-1.0,298.0,17.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,,,0.0,,,
11,2020-05-13,324.0,-1.0,9.0,-1.0,307.0,8.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,,,0.0,,,
12,2020-05-14,324.0,-1.0,9.0,-1.0,309.0,6.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,,,0.0,,,
13,2020-05-15,324.0,-1.0,9.0,-1.0,311.0,4.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,135.0,628056.0,0.0,,,
14,2020-05-16,324.0,-1.0,9.0,-1.0,311.0,4.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,135.0,628056.0,0.0,,,
15,2020-05-17,324.0,-1.0,9.0,-1.0,311.0,4.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,137.0,628056.0,0.0,,,
16,2020-05-18,324.0,-1.0,9.0,-1.0,311.0,4.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,139.0,628057.0,0.0,,,
17,2020-05-19,324.0,-1.0,9.0,-1.0,312.0,3.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,141.0,628057.0,0.0,,,
18,2020-05-20,324.0,-1.0,9.0,-1.0,312.0,3.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,140.0,628057.0,0.0,,,
19,2020-05-21,324.0,-1.0,9.0,-1.0,314.0,1.0,2.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,141.0,628057.0,0.0,,,
20,2020-05-22,324.0,-1.0,9.0,-1.0,314.0,1.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,141.0,628058.0,0.0,,,
21,2020-05-23,324.0,-1.0,9.0,-1.0,314.0,1.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,142.0,628058.0,0.0,,,
22,2020-05-24,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,143.0,628058.0,0.0,,,
23,2020-05-25,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,144.0,628058.0,0.0,,,
24,2020-05-26,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,144.0,628058.0,0.0,,,
25,2020-05-27,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,146.0,628059.0,0.0,,,
26,2020-05-28,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,147.0,628059.0,0.0,,,
27,2020-05-29,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,148.0,628059.0,0.0,,,
28,2020-05-30,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,148.0,628059.0,0.0,,,
29,2020-05-31,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,148.0,628060.0,0.0,,,
30,2020-06-01,324.0,-1.0,9.0,-1.0,315.0,0.0,-1.0,516.0,14.0,10167.0,16188.0,Montenegro,Europe,150.0,628060.0,0.0,,,
