,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,4729.0,160.0,173.0,2.0,1256.0,3300.0,1.0,128.0,5.0,39367.0,1067.0,Morocco,Africa,,,0.0,,,
1,2020-05-03,4903.0,174.0,174.0,1.0,1438.0,3291.0,1.0,133.0,5.0,42112.0,1141.0,Morocco,Africa,,,0.0,,,
2,2020-05-04,5053.0,150.0,179.0,5.0,1653.0,3221.0,1.0,137.0,5.0,45302.0,1227.0,Morocco,Africa,,,0.0,,,
3,2020-05-05,5219.0,-1.0,181.0,-1.0,1838.0,3200.0,1.0,141.0,5.0,49570.0,1343.0,Morocco,Africa,,,0.0,,,
4,2020-05-06,5408.0,189.0,183.0,2.0,2017.0,3208.0,1.0,147.0,5.0,52958.0,1435.0,Morocco,Africa,,,0.0,,,
5,2020-05-07,5548.0,140.0,183.0,-1.0,2179.0,3186.0,1.0,150.0,5.0,56492.0,1531.0,Morocco,Africa,,,0.0,,,
6,2020-05-08,5711.0,-1.0,186.0,-1.0,2324.0,3201.0,1.0,155.0,5.0,59871.0,1622.0,Morocco,Africa,,,0.0,,,
7,2020-05-09,5910.0,-1.0,186.0,-1.0,2461.0,3263.0,1.0,160.0,5.0,63059.0,1708.0,Morocco,Africa,,,0.0,,,
8,2020-05-10,6063.0,153.0,188.0,2.0,2554.0,3321.0,1.0,164.0,5.0,65924.0,1786.0,Morocco,Africa,,,0.0,,,
9,2020-05-11,6281.0,218.0,188.0,-1.0,2811.0,3282.0,1.0,170.0,5.0,68980.0,1869.0,Morocco,Africa,,,0.0,,,
10,2020-05-12,6418.0,137.0,188.0,-1.0,2991.0,3239.0,1.0,174.0,5.0,71815.0,1946.0,Morocco,Africa,,,0.0,,,
11,2020-05-13,6512.0,94.0,188.0,-1.0,3131.0,3193.0,1.0,176.0,5.0,75870.0,2056.0,Morocco,Africa,,,0.0,,,
12,2020-05-14,6607.0,95.0,190.0,2.0,3310.0,3107.0,1.0,179.0,5.0,77922.0,2111.0,Morocco,Africa,,,0.0,,,
13,2020-05-15,6652.0,45.0,190.0,-1.0,3400.0,3062.0,1.0,181.0,5.0,81616.0,2215.0,Morocco,Africa,52.0,36852978.0,0.0,,,
14,2020-05-16,6741.0,89.0,192.0,2.0,3487.0,3062.0,1.0,183.0,5.0,85004.0,2306.0,Morocco,Africa,54.0,36854173.0,0.0,,,
15,2020-05-17,6870.0,129.0,192.0,-1.0,3660.0,3018.0,1.0,186.0,5.0,89957.0,2441.0,Morocco,Africa,54.0,36855368.0,0.0,,,
16,2020-05-18,6952.0,82.0,192.0,-1.0,3758.0,3002.0,1.0,189.0,5.0,94595.0,2567.0,Morocco,Africa,54.0,36856563.0,0.0,,,
17,2020-05-19,7023.0,71.0,193.0,1.0,3901.0,2929.0,1.0,191.0,5.0,100367.0,2723.0,Morocco,Africa,54.0,36857758.0,0.0,,,
18,2020-05-20,7133.0,110.0,194.0,1.0,4098.0,2841.0,1.0,194.0,5.0,104915.0,2846.0,Morocco,Africa,53.0,36858953.0,0.0,,,
19,2020-05-21,7211.0,78.0,196.0,2.0,4280.0,2735.0,1.0,196.0,5.0,112997.0,3066.0,Morocco,Africa,54.0,36860148.0,0.0,,,
20,2020-05-22,7332.0,121.0,197.0,1.0,4377.0,2758.0,1.0,199.0,5.0,123402.0,3348.0,Morocco,Africa,54.0,36861343.0,0.0,,,
21,2020-05-23,7406.0,74.0,198.0,1.0,4638.0,2570.0,1.0,201.0,5.0,133561.0,3623.0,Morocco,Africa,54.0,36862538.0,0.0,,,
