,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,79.0,-1.0,-1.0,-1.0,18.0,61.0,-1.0,3.0,-1.0,2337.0,75.0,Mozambique,Africa,,,0.0,,,
1,2020-05-03,80.0,1.0,-1.0,-1.0,19.0,61.0,-1.0,3.0,-1.0,2466.0,79.0,Mozambique,Africa,,,0.0,,,
2,2020-05-04,80.0,-1.0,-1.0,-1.0,19.0,61.0,-1.0,3.0,-1.0,2466.0,79.0,Mozambique,Africa,,,0.0,,,
3,2020-05-05,81.0,-1.0,-1.0,-1.0,19.0,62.0,-1.0,3.0,-1.0,2867.0,92.0,Mozambique,Africa,,,0.0,,,
4,2020-05-06,81.0,-1.0,-1.0,-1.0,19.0,62.0,-1.0,3.0,-1.0,2867.0,92.0,Mozambique,Africa,,,0.0,,,
5,2020-05-07,81.0,-1.0,-1.0,-1.0,24.0,57.0,-1.0,3.0,-1.0,3188.0,102.0,Mozambique,Africa,,,0.0,,,
6,2020-05-08,82.0,-1.0,-1.0,-1.0,27.0,55.0,-1.0,3.0,-1.0,3356.0,107.0,Mozambique,Africa,,,0.0,,,
7,2020-05-09,87.0,-1.0,-1.0,-1.0,34.0,53.0,-1.0,3.0,-1.0,3356.0,107.0,Mozambique,Africa,,,0.0,,,
8,2020-05-10,91.0,4.0,-1.0,-1.0,34.0,57.0,-1.0,3.0,-1.0,3923.0,126.0,Mozambique,Africa,,,0.0,,,
9,2020-05-11,103.0,12.0,-1.0,-1.0,34.0,69.0,-1.0,3.0,-1.0,4173.0,134.0,Mozambique,Africa,,,0.0,,,
10,2020-05-12,104.0,1.0,-1.0,-1.0,34.0,70.0,-1.0,3.0,-1.0,4365.0,140.0,Mozambique,Africa,,,0.0,,,
11,2020-05-13,104.0,-1.0,-1.0,-1.0,34.0,70.0,-1.0,3.0,-1.0,4365.0,140.0,Mozambique,Africa,,,0.0,,,
12,2020-05-14,115.0,11.0,-1.0,-1.0,35.0,80.0,-1.0,4.0,-1.0,5119.0,164.0,Mozambique,Africa,,,0.0,,,
13,2020-05-15,119.0,4.0,-1.0,-1.0,42.0,77.0,-1.0,4.0,-1.0,5361.0,172.0,Mozambique,Africa,158.0,31132211.0,0.0,,,
14,2020-05-16,129.0,10.0,-1.0,-1.0,43.0,86.0,-1.0,4.0,-1.0,5735.0,184.0,Mozambique,Africa,157.0,31134613.0,0.0,,,
15,2020-05-17,137.0,8.0,-1.0,-1.0,43.0,94.0,-1.0,4.0,-1.0,6011.0,193.0,Mozambique,Africa,156.0,31137014.0,0.0,,,
16,2020-05-18,145.0,8.0,-1.0,-1.0,44.0,101.0,-1.0,5.0,-1.0,6272.0,201.0,Mozambique,Africa,155.0,31139416.0,0.0,,,
17,2020-05-19,146.0,1.0,-1.0,-1.0,44.0,102.0,-1.0,5.0,-1.0,6537.0,210.0,Mozambique,Africa,155.0,31141818.0,0.0,,,
18,2020-05-20,156.0,10.0,-1.0,-1.0,48.0,108.0,-1.0,5.0,-1.0,6769.0,217.0,Mozambique,Africa,154.0,31144220.0,0.0,,,
19,2020-05-21,162.0,6.0,-1.0,-1.0,48.0,114.0,-1.0,5.0,-1.0,7063.0,227.0,Mozambique,Africa,154.0,31146622.0,0.0,,,
20,2020-05-22,164.0,2.0,-1.0,-1.0,48.0,116.0,-1.0,5.0,-1.0,7480.0,240.0,Mozambique,Africa,154.0,31149023.0,0.0,,,
21,2020-05-23,168.0,4.0,-1.0,-1.0,48.0,120.0,-1.0,5.0,-1.0,7947.0,255.0,Mozambique,Africa,155.0,31151425.0,0.0,,,
22,2020-05-24,194.0,26.0,-1.0,-1.0,51.0,143.0,-1.0,6.0,-1.0,8463.0,272.0,Mozambique,Africa,154.0,31153827.0,0.0,,,
23,2020-05-25,209.0,15.0,1.0,1.0,71.0,137.0,-1.0,7.0,0.03,8796.0,282.0,Mozambique,Africa,152.0,31156229.0,0.0,,,
24,2020-05-26,213.0,4.0,1.0,-1.0,71.0,141.0,-1.0,7.0,0.03,9036.0,290.0,Mozambique,Africa,152.0,31158631.0,0.0,,,
