,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,151.0,-1.0,6.0,-1.0,37.0,108.0,-1.0,3.0,0.1,8281.0,152.0,Myanmar,Asia,,,0.0,,,
1,2020-05-03,155.0,4.0,6.0,-1.0,43.0,106.0,-1.0,3.0,0.1,8703.0,160.0,Myanmar,Asia,,,0.0,,,
2,2020-05-04,161.0,6.0,6.0,-1.0,49.0,106.0,-1.0,3.0,0.1,9025.0,166.0,Myanmar,Asia,,,0.0,,,
3,2020-05-05,161.0,-1.0,6.0,-1.0,49.0,106.0,-1.0,3.0,0.1,9037.0,166.0,Myanmar,Asia,,,0.0,,,
4,2020-05-06,161.0,-1.0,6.0,-1.0,50.0,105.0,-1.0,3.0,0.1,9037.0,166.0,Myanmar,Asia,,,0.0,,,
5,2020-05-07,176.0,15.0,6.0,-1.0,62.0,108.0,-1.0,3.0,0.1,10227.0,188.0,Myanmar,Asia,,,0.0,,,
6,2020-05-08,177.0,-1.0,6.0,-1.0,67.0,104.0,-1.0,3.0,0.1,10848.0,199.0,Myanmar,Asia,,,0.0,,,
7,2020-05-09,178.0,-1.0,6.0,-1.0,68.0,104.0,-1.0,3.0,0.1,10848.0,199.0,Myanmar,Asia,,,0.0,,,
8,2020-05-10,180.0,2.0,6.0,-1.0,72.0,102.0,-1.0,3.0,0.1,11222.0,206.0,Myanmar,Asia,,,0.0,,,
9,2020-05-11,180.0,-1.0,6.0,-1.0,74.0,100.0,-1.0,3.0,0.1,11482.0,211.0,Myanmar,Asia,,,0.0,,,
10,2020-05-12,180.0,-1.0,6.0,-1.0,74.0,100.0,-1.0,3.0,0.1,11482.0,211.0,Myanmar,Asia,,,0.0,,,
11,2020-05-13,181.0,1.0,6.0,-1.0,79.0,96.0,-1.0,3.0,0.1,12061.0,222.0,Myanmar,Asia,,,0.0,,,
12,2020-05-14,181.0,-1.0,6.0,-1.0,84.0,91.0,-1.0,3.0,0.1,12482.0,229.0,Myanmar,Asia,,,0.0,,,
13,2020-05-15,181.0,-1.0,6.0,-1.0,84.0,91.0,-1.0,3.0,0.1,12482.0,230.0,Myanmar,Asia,149.0,54362812.0,0.0,,,
14,2020-05-16,182.0,1.0,6.0,-1.0,96.0,80.0,-1.0,3.0,0.1,13634.0,251.0,Myanmar,Asia,152.0,54363807.0,0.0,,,
15,2020-05-17,184.0,2.0,6.0,-1.0,97.0,81.0,-1.0,3.0,0.1,13634.0,251.0,Myanmar,Asia,152.0,54364802.0,0.0,,,
16,2020-05-18,188.0,4.0,6.0,-1.0,101.0,81.0,-1.0,3.0,0.1,14561.0,268.0,Myanmar,Asia,151.0,54365797.0,0.0,,,
17,2020-05-19,193.0,5.0,6.0,-1.0,104.0,83.0,-1.0,4.0,0.1,15137.0,278.0,Myanmar,Asia,150.0,54366792.0,0.0,,,
18,2020-05-20,193.0,-1.0,6.0,-1.0,104.0,83.0,-1.0,4.0,0.1,15137.0,278.0,Myanmar,Asia,150.0,54367787.0,0.0,,,
19,2020-05-21,199.0,-1.0,6.0,-1.0,108.0,85.0,-1.0,4.0,0.1,16550.0,304.0,Myanmar,Asia,149.0,54368782.0,0.0,,,
20,2020-05-22,199.0,-1.0,6.0,-1.0,108.0,85.0,-1.0,4.0,0.1,16550.0,304.0,Myanmar,Asia,151.0,54369777.0,0.0,,,
21,2020-05-23,201.0,2.0,6.0,-1.0,120.0,75.0,-1.0,4.0,0.1,17875.0,329.0,Myanmar,Asia,150.0,54370772.0,0.0,,,
22,2020-05-24,201.0,-1.0,6.0,-1.0,122.0,73.0,-1.0,4.0,0.1,18644.0,343.0,Myanmar,Asia,151.0,54371767.0,0.0,,,
23,2020-05-25,203.0,2.0,6.0,-1.0,123.0,74.0,-1.0,4.0,0.1,18644.0,343.0,Myanmar,Asia,153.0,54372762.0,0.0,,,
24,2020-05-26,206.0,3.0,6.0,-1.0,124.0,76.0,-1.0,4.0,0.1,20322.0,374.0,Myanmar,Asia,154.0,54373757.0,0.0,,,
25,2020-05-27,206.0,-1.0,6.0,-1.0,126.0,74.0,-1.0,4.0,0.1,21593.0,397.0,Myanmar,Asia,154.0,54375747.0,0.0,,,
