,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,16.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,6.0,-1.0,704.0,277.0,Namibia,Africa,,,0.0,,,
1,2020-05-03,16.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,6.0,-1.0,1122.0,442.0,Namibia,Africa,,,0.0,,,
2,2020-05-04,16.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,6.0,-1.0,1122.0,442.0,Namibia,Africa,,,0.0,,,
3,2020-05-05,16.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,6.0,-1.0,1122.0,442.0,Namibia,Africa,,,0.0,,,
4,2020-05-06,16.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,6.0,-1.0,1122.0,442.0,Namibia,Africa,,,0.0,,,
5,2020-05-07,16.0,-1.0,-1.0,-1.0,9.0,7.0,-1.0,6.0,-1.0,1283.0,505.0,Namibia,Africa,,,0.0,,,
6,2020-05-08,16.0,-1.0,-1.0,-1.0,9.0,7.0,-1.0,6.0,-1.0,1283.0,505.0,Namibia,Africa,,,0.0,,,
7,2020-05-09,16.0,-1.0,-1.0,-1.0,10.0,6.0,-1.0,6.0,-1.0,1511.0,595.0,Namibia,Africa,,,0.0,,,
8,2020-05-10,16.0,-1.0,-1.0,-1.0,11.0,5.0,-1.0,6.0,-1.0,1543.0,607.0,Namibia,Africa,,,0.0,,,
9,2020-05-11,16.0,-1.0,-1.0,-1.0,11.0,5.0,-1.0,6.0,-1.0,1543.0,607.0,Namibia,Africa,,,0.0,,,
10,2020-05-12,16.0,-1.0,-1.0,-1.0,11.0,5.0,-1.0,6.0,-1.0,1543.0,607.0,Namibia,Africa,,,0.0,,,
11,2020-05-13,16.0,-1.0,-1.0,-1.0,11.0,5.0,-1.0,6.0,-1.0,1543.0,607.0,Namibia,Africa,,,0.0,,,
12,2020-05-14,16.0,-1.0,-1.0,-1.0,12.0,4.0,-1.0,6.0,-1.0,2011.0,791.0,Namibia,Africa,,,0.0,,,
13,2020-05-15,16.0,-1.0,-1.0,-1.0,13.0,3.0,-1.0,6.0,-1.0,2074.0,818.0,Namibia,Africa,195.0,2534689.0,0.0,,,
14,2020-05-16,16.0,-1.0,-1.0,-1.0,13.0,3.0,-1.0,6.0,-1.0,2074.0,818.0,Namibia,Africa,195.0,2534815.0,0.0,,,
15,2020-05-17,16.0,-1.0,-1.0,-1.0,13.0,3.0,-1.0,6.0,-1.0,2074.0,818.0,Namibia,Africa,196.0,2534941.0,0.0,,,
16,2020-05-18,16.0,-1.0,-1.0,-1.0,13.0,3.0,-1.0,6.0,-1.0,2074.0,818.0,Namibia,Africa,196.0,2535067.0,0.0,,,
17,2020-05-19,16.0,-1.0,-1.0,-1.0,13.0,3.0,-1.0,6.0,-1.0,2074.0,818.0,Namibia,Africa,196.0,2535193.0,0.0,,,
18,2020-05-20,16.0,-1.0,-1.0,-1.0,14.0,2.0,-1.0,6.0,-1.0,2586.0,1020.0,Namibia,Africa,197.0,2535319.0,0.0,,,
19,2020-05-21,18.0,2.0,-1.0,-1.0,14.0,4.0,-1.0,7.0,-1.0,2586.0,1020.0,Namibia,Africa,192.0,2535445.0,0.0,,,
20,2020-05-22,19.0,1.0,-1.0,-1.0,14.0,5.0,-1.0,7.0,-1.0,2681.0,1057.0,Namibia,Africa,190.0,2535571.0,0.0,,,
21,2020-05-23,20.0,1.0,-1.0,-1.0,14.0,6.0,-1.0,8.0,-1.0,2847.0,1123.0,Namibia,Africa,189.0,2535696.0,0.0,,,
22,2020-05-24,21.0,1.0,-1.0,-1.0,14.0,7.0,-1.0,8.0,-1.0,3027.0,1194.0,Namibia,Africa,189.0,2535822.0,0.0,,,
23,2020-05-25,21.0,-1.0,-1.0,-1.0,14.0,7.0,-1.0,8.0,-1.0,3117.0,1229.0,Namibia,Africa,189.0,2535948.0,0.0,,,
24,2020-05-26,21.0,-1.0,-1.0,-1.0,14.0,7.0,-1.0,8.0,-1.0,3186.0,1256.0,Namibia,Africa,189.0,2536074.0,0.0,,,
25,2020-05-27,22.0,-1.0,-1.0,-1.0,14.0,8.0,-1.0,9.0,-1.0,3201.0,1262.0,Namibia,Africa,189.0,2536326.0,0.0,,,
26,2020-05-28,22.0,-1.0,-1.0,-1.0,14.0,8.0,-1.0,9.0,-1.0,3370.0,1329.0,Namibia,Africa,190.0,2536326.0,0.0,,,
