,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,59.0,-1.0,-1.0,-1.0,16.0,43.0,-1.0,2.0,-1.0,61627.0,2115.0,Nepal,Asia,,,0.0,,,
1,2020-05-03,75.0,16.0,-1.0,-1.0,16.0,59.0,-1.0,3.0,-1.0,63102.0,2166.0,Nepal,Asia,,,0.0,,,
2,2020-05-04,75.0,-1.0,-1.0,-1.0,16.0,59.0,-1.0,3.0,-1.0,63102.0,2166.0,Nepal,Asia,,,0.0,,,
3,2020-05-05,82.0,-1.0,-1.0,-1.0,16.0,66.0,-1.0,3.0,-1.0,64492.0,2213.0,Nepal,Asia,,,0.0,,,
4,2020-05-06,99.0,17.0,-1.0,-1.0,22.0,77.0,-1.0,3.0,-1.0,64492.0,2213.0,Nepal,Asia,,,0.0,,,
5,2020-05-07,101.0,2.0,-1.0,-1.0,22.0,79.0,-1.0,3.0,-1.0,67066.0,2302.0,Nepal,Asia,,,0.0,,,
6,2020-05-08,109.0,7.0,-1.0,-1.0,30.0,79.0,-1.0,4.0,-1.0,70023.0,2403.0,Nepal,Asia,,,0.0,,,
7,2020-05-09,109.0,-1.0,-1.0,-1.0,31.0,78.0,-1.0,4.0,-1.0,72239.0,2479.0,Nepal,Asia,,,0.0,,,
8,2020-05-10,110.0,1.0,-1.0,-1.0,31.0,79.0,-1.0,4.0,-1.0,72239.0,2479.0,Nepal,Asia,,,0.0,,,
9,2020-05-11,134.0,24.0,-1.0,-1.0,33.0,101.0,-1.0,5.0,-1.0,76367.0,2621.0,Nepal,Asia,,,0.0,,,
10,2020-05-12,217.0,83.0,-1.0,-1.0,33.0,184.0,-1.0,7.0,-1.0,76424.0,2623.0,Nepal,Asia,,,0.0,,,
11,2020-05-13,243.0,26.0,-1.0,-1.0,35.0,208.0,-1.0,8.0,-1.0,81659.0,2803.0,Nepal,Asia,,,0.0,,,
12,2020-05-14,246.0,3.0,-1.0,-1.0,35.0,211.0,-1.0,8.0,-1.0,81685.0,2803.0,Nepal,Asia,,,0.0,,,
13,2020-05-15,267.0,18.0,-1.0,-1.0,36.0,231.0,-1.0,9.0,-1.0,86999.0,2993.0,Nepal,Asia,140.0,29066056.0,0.0,,,
14,2020-05-16,281.0,14.0,1.0,1.0,36.0,244.0,-1.0,10.0,0.03,92440.0,3180.0,Nepal,Asia,142.0,29067490.0,0.0,,,
15,2020-05-17,295.0,14.0,2.0,1.0,36.0,257.0,-1.0,10.0,0.07,92440.0,3180.0,Nepal,Asia,142.0,29068924.0,0.0,,,
16,2020-05-18,375.0,80.0,2.0,-1.0,36.0,337.0,1.0,13.0,0.07,100283.0,3450.0,Nepal,Asia,132.0,29070358.0,0.0,,,
17,2020-05-19,407.0,32.0,2.0,-1.0,37.0,368.0,1.0,14.0,0.07,107253.0,3689.0,Nepal,Asia,131.0,29071791.0,0.0,,,
18,2020-05-20,427.0,25.0,2.0,-1.0,45.0,380.0,1.0,15.0,0.07,110566.0,3803.0,Nepal,Asia,130.0,29073225.0,0.0,,,
19,2020-05-21,457.0,30.0,3.0,1.0,49.0,405.0,1.0,16.0,0.1,117431.0,4039.0,Nepal,Asia,130.0,29074659.0,0.0,,,
20,2020-05-22,516.0,59.0,3.0,-1.0,70.0,443.0,1.0,18.0,0.1,124604.0,4285.0,Nepal,Asia,127.0,29076092.0,0.0,,,
21,2020-05-23,584.0,68.0,3.0,-1.0,70.0,511.0,1.0,20.0,0.1,132195.0,4546.0,Nepal,Asia,125.0,29077526.0,0.0,,,
22,2020-05-24,603.0,19.0,3.0,-1.0,87.0,513.0,-1.0,21.0,0.1,138841.0,4775.0,Nepal,Asia,127.0,29078960.0,0.0,,,
23,2020-05-25,682.0,79.0,4.0,1.0,112.0,566.0,-1.0,23.0,0.1,146834.0,5049.0,Nepal,Asia,123.0,29080393.0,0.0,,,
24,2020-05-26,772.0,90.0,4.0,-1.0,155.0,613.0,-1.0,27.0,0.1,152391.0,5240.0,Nepal,Asia,118.0,29081827.0,0.0,,,
25,2020-05-27,886.0,-1.0,4.0,-1.0,183.0,699.0,-1.0,30.0,0.1,158564.0,5452.0,Nepal,Asia,115.0,29084694.0,0.0,,,
26,2020-05-28,1042.0,156.0,5.0,1.0,187.0,850.0,-1.0,36.0,0.2,162730.0,5595.0,Nepal,Asia,111.0,29084694.0,0.0,,,
27,2020-05-29,1212.0,170.0,6.0,1.0,206.0,1000.0,-1.0,42.0,0.2,169632.0,5832.0,Nepal,Asia,105.0,29086128.0,0.0,,,
28,2020-05-30,1401.0,189.0,6.0,-1.0,219.0,1176.0,-1.0,48.0,0.2,173784.0,5975.0,Nepal,Asia,101.0,29087562.0,0.0,,,
29,2020-05-31,1572.0,171.0,8.0,2.0,220.0,1344.0,-1.0,54.0,0.3,180691.0,6212.0,Nepal,Asia,98.0,29088995.0,0.0,,,
30,2020-06-01,1811.0,239.0,8.0,-1.0,221.0,1582.0,-1.0,62.0,0.3,185660.0,6382.0,Nepal,Asia,94.0,29090429.0,0.0,,,
31,2020-06-02,2099.0,288.0,8.0,-1.0,266.0,1825.0,-1.0,72.0,0.3,191688.0,6589.0,Nepal,Asia,88.0,29091863.0,45.0,13860.0,3636483.0,152.0
32,2020-06-03,2300.0,201.0,9.0,1.0,278.0,2013.0,-1.0,79.0,0.3,200646.0,6897.0,Nepal,Asia,87.0,29093297.0,12.0,12649.0,3232589.0,145.0
33,2020-06-04,2634.0,334.0,10.0,1.0,290.0,2334.0,-1.0,91.0,0.3,209698.0,7207.0,Nepal,Asia,84.0,29094730.0,12.0,11046.0,2909473.0,139.0
34,2020-06-05,2912.0,278.0,11.0,1.0,333.0,2568.0,-1.0,100.0,0.4,221332.0,7607.0,Nepal,Asia,82.0,29096164.0,43.0,9992.0,2645106.0,131.0
35,2020-06-06,3235.0,323.0,13.0,2.0,365.0,2857.0,-1.0,111.0,0.4,229912.0,7901.0,Nepal,Asia,79.0,29097598.0,32.0,8995.0,2238277.0,127.0
36,2020-06-07,3448.0,213.0,13.0,-1.0,467.0,2968.0,-1.0,118.0,0.4,241254.0,8291.0,Nepal,Asia,79.0,29099031.0,102.0,8439.0,2238387.0,121.0
37,2020-06-08,3762.0,314.0,14.0,1.0,488.0,3260.0,-1.0,129.0,0.5,257962.0,8865.0,Nepal,Asia,79.0,29100465.0,21.0,7735.0,2078605.0,113.0
38,2020-06-09,4086.0,324.0,15.0,1.0,584.0,3487.0,-1.0,140.0,0.5,272489.0,9363.0,Nepal,Asia,76.0,29101899.0,96.0,7122.0,1940127.0,107.0
39,2020-06-10,4364.0,278.0,15.0,-1.0,674.0,3675.0,-1.0,150.0,0.5,283624.0,9745.0,Nepal,Asia,75.0,29103332.0,90.0,6669.0,1940222.0,103.0
40,2020-06-11,4614.0,250.0,15.0,-1.0,861.0,3738.0,-1.0,159.0,0.5,294073.0,10104.0,Nepal,Asia,73.0,29104766.0,187.0,6308.0,1940318.0,99.0
41,2020-06-12,5062.0,448.0,16.0,1.0,877.0,4169.0,-1.0,174.0,0.5,309914.0,10648.0,Nepal,Asia,70.0,29106200.0,16.0,5750.0,1819138.0,94.0
42,2020-06-13,5335.0,273.0,18.0,2.0,913.0,4404.0,-1.0,183.0,0.6,317870.0,10921.0,Nepal,Asia,70.0,29107633.0,36.0,5456.0,1617091.0,92.0
43,2020-06-14,5760.0,425.0,19.0,1.0,974.0,4767.0,-1.0,198.0,0.7,344098.0,11821.0,Nepal,Asia,70.0,29109067.0,61.0,5054.0,1532056.0,85.0
44,2020-06-15,6211.0,451.0,19.0,-1.0,1041.0,5151.0,-1.0,213.0,0.7,358019.0,12299.0,Nepal,Asia,70.0,29110501.0,67.0,4687.0,1532132.0,81.0
45,2020-06-16,6591.0,380.0,19.0,-1.0,1158.0,5414.0,-1.0,226.0,0.7,367257.0,12615.0,Nepal,Asia,70.0,29111934.0,117.0,4417.0,1532207.0,79.0
46,2020-06-17,7177.0,586.0,20.0,1.0,1167.0,5990.0,-1.0,247.0,0.7,383315.0,13166.0,Nepal,Asia,69.0,29113368.0,9.0,4056.0,1455668.0,76.0
47,2020-06-18,7848.0,671.0,22.0,2.0,1186.0,6640.0,-1.0,270.0,0.8,398593.0,13690.0,Nepal,Asia,68.0,29114802.0,19.0,3710.0,1323400.0,73.0
48,2020-06-19,8274.0,426.0,22.0,-1.0,1402.0,6850.0,-1.0,284.0,0.8,409623.0,14069.0,Nepal,Asia,68.0,29116236.0,216.0,3519.0,1323465.0,71.0
