,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,40236.0,445.0,4987.0,94.0,-1.0,34999.0,708.0,2348.0,291.0,225899.0,13184.0,Netherlands,Europe,,,0.0,,,
1,2020-05-03,40571.0,335.0,5056.0,69.0,-1.0,35265.0,688.0,2368.0,295.0,225899.0,13184.0,Netherlands,Europe,,,0.0,,,
2,2020-05-04,40770.0,199.0,5082.0,26.0,-1.0,35438.0,683.0,2379.0,297.0,235909.0,13768.0,Netherlands,Europe,,,0.0,,,
3,2020-05-05,41087.0,-1.0,5168.0,-1.0,-1.0,35669.0,644.0,2398.0,302.0,235909.0,13768.0,Netherlands,Europe,,,0.0,,,
4,2020-05-06,41319.0,232.0,5204.0,36.0,-1.0,35865.0,628.0,2411.0,304.0,243277.0,14198.0,Netherlands,Europe,,,0.0,,,
5,2020-05-07,41774.0,455.0,5288.0,84.0,-1.0,36236.0,584.0,2438.0,309.0,249655.0,14570.0,Netherlands,Europe,,,0.0,,,
6,2020-05-08,42093.0,-1.0,5359.0,-1.0,-1.0,36484.0,564.0,2457.0,313.0,249655.0,14570.0,Netherlands,Europe,,,0.0,,,
7,2020-05-09,42382.0,-1.0,5422.0,-1.0,-1.0,36710.0,541.0,2473.0,316.0,249655.0,14570.0,Netherlands,Europe,,,0.0,,,
8,2020-05-10,42627.0,245.0,5440.0,18.0,-1.0,36937.0,507.0,2488.0,317.0,254573.0,14857.0,Netherlands,Europe,,,0.0,,,
9,2020-05-11,42788.0,161.0,5456.0,16.0,-1.0,37082.0,498.0,2497.0,318.0,265156.0,15475.0,Netherlands,Europe,,,0.0,,,
10,2020-05-12,42984.0,196.0,5510.0,54.0,-1.0,37224.0,463.0,2509.0,322.0,270351.0,15778.0,Netherlands,Europe,,,0.0,,,
11,2020-05-13,43211.0,227.0,5562.0,52.0,-1.0,37399.0,432.0,2522.0,325.0,275720.0,16091.0,Netherlands,Europe,,,0.0,,,
12,2020-05-14,43481.0,270.0,5590.0,28.0,-1.0,37641.0,410.0,2538.0,326.0,282776.0,16503.0,Netherlands,Europe,,,0.0,,,
13,2020-05-15,43681.0,200.0,5643.0,53.0,-1.0,-1.0,378.0,2550.0,329.0,287943.0,16809.0,Netherlands,Europe,16.0,17130079.0,0.0,,,
14,2020-05-16,43870.0,189.0,5670.0,27.0,-1.0,-1.0,346.0,2561.0,331.0,287943.0,16809.0,Netherlands,Europe,17.0,17130183.0,0.0,,,
15,2020-05-17,43995.0,125.0,5680.0,10.0,-1.0,-1.0,346.0,2568.0,332.0,287943.0,16809.0,Netherlands,Europe,17.0,17130286.0,0.0,,,
16,2020-05-18,44141.0,146.0,5694.0,14.0,-1.0,-1.0,323.0,2577.0,332.0,297347.0,17358.0,Netherlands,Europe,18.0,17130389.0,0.0,,,
17,2020-05-19,44249.0,108.0,5715.0,21.0,-1.0,-1.0,293.0,2583.0,334.0,302395.0,17652.0,Netherlands,Europe,18.0,17130492.0,0.0,,,
18,2020-05-20,44447.0,198.0,5748.0,33.0,-1.0,-1.0,275.0,2595.0,336.0,302395.0,17652.0,Netherlands,Europe,19.0,17130596.0,0.0,,,
19,2020-05-21,44700.0,253.0,5775.0,27.0,-1.0,-1.0,255.0,2609.0,337.0,302395.0,17652.0,Netherlands,Europe,19.0,17130699.0,0.0,,,
20,2020-05-22,44888.0,188.0,5788.0,13.0,-1.0,-1.0,252.0,2620.0,338.0,313755.0,18315.0,Netherlands,Europe,19.0,17130802.0,0.0,,,
21,2020-05-23,45064.0,176.0,5811.0,23.0,-1.0,-1.0,227.0,2631.0,339.0,313755.0,18315.0,Netherlands,Europe,19.0,17130906.0,0.0,,,
22,2020-05-24,45236.0,172.0,5822.0,11.0,-1.0,-1.0,223.0,2641.0,340.0,313755.0,18315.0,Netherlands,Europe,19.0,17131009.0,0.0,,,
23,2020-05-25,45445.0,209.0,5830.0,8.0,-1.0,-1.0,223.0,2653.0,340.0,324918.0,18967.0,Netherlands,Europe,20.0,17131112.0,0.0,,,
24,2020-05-26,45578.0,133.0,5856.0,26.0,-1.0,-1.0,188.0,2661.0,342.0,324918.0,18966.0,Netherlands,Europe,20.0,17131215.0,0.0,,,
25,2020-05-27,45768.0,-1.0,5871.0,-1.0,-1.0,-1.0,188.0,2672.0,343.0,335524.0,19585.0,Netherlands,Europe,20.0,17131422.0,0.0,,,
26,2020-05-28,45950.0,182.0,5903.0,32.0,-1.0,-1.0,182.0,2682.0,345.0,342681.0,20003.0,Netherlands,Europe,20.0,17131422.0,0.0,,,
27,2020-05-29,46126.0,176.0,5931.0,28.0,-1.0,-1.0,180.0,2692.0,346.0,348256.0,20328.0,Netherlands,Europe,20.0,17131525.0,0.0,,,
28,2020-05-30,46257.0,131.0,5951.0,20.0,-1.0,-1.0,170.0,2700.0,347.0,349150.0,20380.0,Netherlands,Europe,20.0,17131629.0,0.0,,,
29,2020-05-31,46442.0,185.0,5956.0,5.0,-1.0,-1.0,159.0,2711.0,348.0,349150.0,20380.0,Netherlands,Europe,21.0,17131732.0,0.0,,,
30,2020-06-01,46545.0,103.0,5962.0,6.0,-1.0,-1.0,158.0,2717.0,348.0,349496.0,20400.0,Netherlands,Europe,21.0,17131835.0,0.0,,,
31,2020-06-02,46647.0,102.0,5967.0,5.0,-1.0,-1.0,154.0,2723.0,348.0,359833.0,21004.0,Netherlands,Europe,21.0,17131938.0,-1.0,367.0,2871.0,48.0
32,2020-06-03,46733.0,86.0,5977.0,10.0,-1.0,-1.0,116.0,2728.0,349.0,368529.0,21511.0,Netherlands,Europe,21.0,17132042.0,-1.0,367.0,2866.0,46.0
33,2020-06-04,46942.0,209.0,5990.0,13.0,-1.0,-1.0,113.0,2740.0,350.0,378912.0,22117.0,Netherlands,Europe,21.0,17132145.0,-1.0,365.0,2860.0,45.0
34,2020-06-05,47152.0,210.0,6005.0,15.0,-1.0,-1.0,97.0,2752.0,351.0,388113.0,22654.0,Netherlands,Europe,21.0,17132248.0,-1.0,363.0,2853.0,44.0
35,2020-06-06,47335.0,183.0,6011.0,6.0,-1.0,-1.0,97.0,2763.0,351.0,388113.0,22654.0,Netherlands,Europe,22.0,17132352.0,-1.0,362.0,2850.0,44.0
36,2020-06-07,47574.0,239.0,6013.0,2.0,-1.0,-1.0,97.0,2777.0,351.0,388113.0,22654.0,Netherlands,Europe,23.0,17132455.0,-1.0,360.0,2849.0,44.0
37,2020-06-08,47739.0,165.0,6016.0,3.0,-1.0,-1.0,92.0,2786.0,351.0,414550.0,24197.0,Netherlands,Europe,23.0,17132558.0,-1.0,359.0,2848.0,41.0
38,2020-06-09,47903.0,164.0,6031.0,15.0,-1.0,-1.0,92.0,2796.0,352.0,424448.0,24774.0,Netherlands,Europe,23.0,17132661.0,-1.0,358.0,2841.0,40.0
39,2020-06-10,48087.0,184.0,6042.0,11.0,-1.0,-1.0,80.0,2807.0,353.0,435587.0,25424.0,Netherlands,Europe,23.0,17132765.0,-1.0,356.0,2836.0,39.0
40,2020-06-11,48251.0,164.0,6044.0,2.0,-1.0,-1.0,77.0,2816.0,353.0,446164.0,26041.0,Netherlands,Europe,24.0,17132868.0,-1.0,355.0,2835.0,38.0
41,2020-06-12,48461.0,210.0,6053.0,9.0,-1.0,-1.0,77.0,2829.0,353.0,455067.0,26561.0,Netherlands,Europe,24.0,17132971.0,-1.0,354.0,2830.0,38.0
42,2020-06-13,48640.0,179.0,6057.0,4.0,-1.0,-1.0,77.0,2839.0,354.0,455067.0,26561.0,Netherlands,Europe,24.0,17133075.0,-1.0,352.0,2829.0,38.0
43,2020-06-14,48783.0,143.0,6059.0,2.0,-1.0,-1.0,77.0,2847.0,354.0,455067.0,26561.0,Netherlands,Europe,24.0,17133178.0,-1.0,351.0,2828.0,38.0
44,2020-06-15,48948.0,165.0,6065.0,6.0,-1.0,-1.0,87.0,2857.0,354.0,476149.0,27791.0,Netherlands,Europe,25.0,17133281.0,-1.0,350.0,2825.0,36.0
45,2020-06-16,49087.0,139.0,6070.0,5.0,-1.0,-1.0,87.0,2865.0,354.0,484389.0,28272.0,Netherlands,Europe,25.0,17133384.0,-1.0,349.0,2823.0,35.0
46,2020-06-17,49204.0,117.0,6074.0,4.0,-1.0,-1.0,73.0,2872.0,355.0,484389.0,28271.0,Netherlands,Europe,26.0,17133488.0,-1.0,348.0,2821.0,35.0
47,2020-06-18,49319.0,115.0,6078.0,4.0,-1.0,-1.0,67.0,2878.0,355.0,505370.0,29496.0,Netherlands,Europe,26.0,17133591.0,-1.0,347.0,2819.0,34.0
48,2020-06-19,49426.0,107.0,6081.0,3.0,-1.0,-1.0,57.0,2885.0,355.0,517317.0,30193.0,Netherlands,Europe,27.0,17133694.0,-1.0,347.0,2818.0,33.0
49,2020-06-20,49502.0,76.0,6089.0,8.0,-1.0,-1.0,57.0,2889.0,355.0,517317.0,30193.0,Netherlands,Europe,27.0,17133901.0,-1.0,346.0,2814.0,33.0
50,2020-06-21,49593.0,91.0,6090.0,1.0,-1.0,-1.0,55.0,2894.0,355.0,517317.0,30193.0,Netherlands,Europe,27.0,17133901.0,-1.0,345.0,2813.0,33.0
51,2020-06-22,49658.0,65.0,6090.0,-1.0,-1.0,-1.0,55.0,2898.0,355.0,542288.0,31650.0,Netherlands,Europe,27.0,17134004.0,-1.0,345.0,2813.0,32.0
52,2020-06-23,49722.0,64.0,6095.0,5.0,-1.0,-1.0,48.0,2902.0,356.0,550350.0,32120.0,Netherlands,Europe,27.0,17134107.0,-1.0,345.0,2811.0,31.0
53,2020-06-24,49804.0,82.0,6097.0,2.0,-1.0,-1.0,48.0,2907.0,356.0,561863.0,32792.0,Netherlands,Europe,27.0,17134211.0,-1.0,344.0,2810.0,30.0
54,2020-06-25,49914.0,110.0,6100.0,3.0,-1.0,-1.0,48.0,2913.0,356.0,570699.0,33307.0,Netherlands,Europe,29.0,17134314.0,-1.0,343.0,2809.0,30.0
55,2020-06-26,50005.0,91.0,6103.0,3.0,-1.0,-1.0,39.0,2918.0,356.0,577437.0,33700.0,Netherlands,Europe,29.0,17134417.0,-1.0,343.0,2808.0,30.0
56,2020-06-27,50074.0,69.0,6105.0,2.0,-1.0,-1.0,29.0,2922.0,356.0,577437.0,33700.0,Netherlands,Europe,29.0,17134521.0,-1.0,342.0,2807.0,30.0
57,2020-06-28,50147.0,73.0,6105.0,-1.0,-1.0,-1.0,29.0,2927.0,356.0,577437.0,33700.0,Netherlands,Europe,29.0,17134624.0,-1.0,342.0,2807.0,30.0
58,2020-06-29,50223.0,76.0,6107.0,2.0,-1.0,-1.0,30.0,2931.0,356.0,599872.0,35009.0,Netherlands,Europe,29.0,17134727.0,-1.0,341.0,2806.0,29.0
59,2020-06-30,50273.0,50.0,6113.0,6.0,-1.0,-1.0,30.0,2934.0,357.0,616376.0,35972.0,Netherlands,Europe,29.0,17134831.0,-1.0,341.0,2803.0,28.0
60,2020-07-01,50273.0,-1.0,6113.0,-1.0,-1.0,-1.0,30.0,2934.0,357.0,616376.0,35972.0,Netherlands,Europe,30.0,17134934.0,-1.0,341.0,2803.0,28.0
61,2020-07-02,50335.0,-1.0,6113.0,-1.0,-1.0,-1.0,28.0,2938.0,357.0,616376.0,35972.0,Netherlands,Europe,30.0,17135037.0,-1.0,340.0,2803.0,28.0
62,2020-07-03,50335.0,-1.0,6113.0,-1.0,-1.0,-1.0,28.0,2938.0,357.0,616376.0,35971.0,Netherlands,Europe,30.0,17135140.0,-1.0,340.0,2803.0,28.0
63,2020-07-04,50335.0,-1.0,6113.0,-1.0,-1.0,-1.0,28.0,2938.0,357.0,616376.0,35971.0,Netherlands,Europe,31.0,17135244.0,-1.0,340.0,2803.0,28.0
64,2020-07-05,50335.0,-1.0,6113.0,-1.0,-1.0,-1.0,18.0,2937.0,357.0,616376.0,35971.0,Netherlands,Europe,31.0,17135347.0,-1.0,340.0,2803.0,28.0
65,2020-07-06,50657.0,36.0,6128.0,1.0,-1.0,-1.0,18.0,2956.0,358.0,616376.0,35971.0,Netherlands,Europe,31.0,17135450.0,-1.0,338.0,2796.0,28.0
66,2020-07-07,50694.0,37.0,6132.0,4.0,-1.0,-1.0,18.0,2958.0,358.0,616376.0,35971.0,Netherlands,Europe,32.0,17135554.0,-1.0,338.0,2794.0,28.0
67,2020-07-08,50746.0,52.0,6135.0,3.0,-1.0,-1.0,24.0,2961.0,358.0,681931.0,39796.0,Netherlands,Europe,33.0,17135657.0,-1.0,338.0,2793.0,25.0
68,2020-07-09,50798.0,52.0,6137.0,2.0,-1.0,-1.0,20.0,2964.0,358.0,681931.0,39796.0,Netherlands,Europe,36.0,17135760.0,-1.0,337.0,2792.0,25.0
69,2020-07-10,50840.0,42.0,6136.0,-1.0,-1.0,-1.0,20.0,2967.0,358.0,681931.0,39796.0,Netherlands,Europe,36.0,17135863.0,-1.0,337.0,2793.0,25.0
70,2020-07-11,50921.0,81.0,6137.0,1.0,-1.0,-1.0,20.0,2972.0,358.0,681931.0,39795.0,Netherlands,Europe,36.0,17135967.0,-1.0,337.0,2792.0,25.0
71,2020-07-12,51022.0,101.0,6137.0,-1.0,-1.0,-1.0,20.0,2977.0,358.0,681931.0,39795.0,Netherlands,Europe,36.0,17136173.0,-1.0,336.0,2792.0,25.0
72,2020-07-13,51093.0,71.0,6137.0,-1.0,-1.0,-1.0,20.0,2982.0,358.0,681931.0,39795.0,Netherlands,Europe,36.0,17136173.0,-1.0,335.0,2792.0,25.0
73,2020-07-14,51146.0,53.0,6135.0,-1.0,-1.0,-1.0,20.0,2985.0,358.0,764079.0,44588.0,Netherlands,Europe,36.0,17136277.0,-1.0,335.0,2793.0,22.0
74,2020-07-15,51252.0,106.0,6136.0,1.0,-1.0,-1.0,20.0,2991.0,358.0,764079.0,44588.0,Netherlands,Europe,36.0,17136380.0,-1.0,334.0,2793.0,22.0
75,2020-07-16,51351.0,99.0,6137.0,1.0,-1.0,-1.0,15.0,2997.0,358.0,764079.0,44588.0,Netherlands,Europe,37.0,17136483.0,-1.0,334.0,2792.0,22.0
76,2020-07-17,51454.0,103.0,6138.0,1.0,-1.0,-1.0,15.0,3003.0,358.0,764079.0,44588.0,Netherlands,Europe,37.0,17136586.0,-1.0,333.0,2792.0,22.0
77,2020-07-18,51581.0,127.0,6136.0,-1.0,-1.0,-1.0,15.0,3010.0,358.0,764079.0,44587.0,Netherlands,Europe,37.0,17136690.0,-1.0,332.0,2793.0,22.0
