,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,18.0,-1.0,-1.0,-1.0,17.0,1.0,1.0,63.0,-1.0,4947.0,17328.0,New Caledonia,Australia/Oceania,,,0.0,,,
1,2020-05-03,18.0,-1.0,-1.0,-1.0,17.0,1.0,1.0,63.0,-1.0,4947.0,17328.0,New Caledonia,Australia/Oceania,,,0.0,,,
2,2020-05-04,18.0,-1.0,-1.0,-1.0,17.0,1.0,1.0,63.0,-1.0,4947.0,17328.0,New Caledonia,Australia/Oceania,,,0.0,,,
3,2020-05-05,18.0,-1.0,-1.0,-1.0,17.0,1.0,1.0,63.0,-1.0,5052.0,17695.0,New Caledonia,Australia/Oceania,,,0.0,,,
4,2020-05-06,18.0,-1.0,-1.0,-1.0,17.0,1.0,1.0,63.0,-1.0,5052.0,17695.0,New Caledonia,Australia/Oceania,,,0.0,,,
5,2020-05-07,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5213.0,18259.0,New Caledonia,Australia/Oceania,,,0.0,,,
6,2020-05-08,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5213.0,18259.0,New Caledonia,Australia/Oceania,,,0.0,,,
7,2020-05-09,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5213.0,18259.0,New Caledonia,Australia/Oceania,,,0.0,,,
8,2020-05-10,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5213.0,18259.0,New Caledonia,Australia/Oceania,,,0.0,,,
9,2020-05-11,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5213.0,18259.0,New Caledonia,Australia/Oceania,,,0.0,,,
10,2020-05-12,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19103.0,New Caledonia,Australia/Oceania,,,0.0,,,
11,2020-05-13,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19103.0,New Caledonia,Australia/Oceania,,,0.0,,,
12,2020-05-14,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19103.0,New Caledonia,Australia/Oceania,,,0.0,,,
13,2020-05-15,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19127.0,New Caledonia,Australia/Oceania,190.0,285140.0,0.0,,,
14,2020-05-16,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19127.0,New Caledonia,Australia/Oceania,190.0,285148.0,0.0,,,
15,2020-05-17,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19126.0,New Caledonia,Australia/Oceania,191.0,285155.0,0.0,,,
16,2020-05-18,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19126.0,New Caledonia,Australia/Oceania,191.0,285163.0,0.0,,,
17,2020-05-19,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19125.0,New Caledonia,Australia/Oceania,191.0,285170.0,0.0,,,
18,2020-05-20,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19125.0,New Caledonia,Australia/Oceania,192.0,285178.0,0.0,,,
19,2020-05-21,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19124.0,New Caledonia,Australia/Oceania,193.0,285185.0,0.0,,,
20,2020-05-22,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19124.0,New Caledonia,Australia/Oceania,193.0,285193.0,0.0,,,
21,2020-05-23,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19123.0,New Caledonia,Australia/Oceania,193.0,285200.0,0.0,,,
22,2020-05-24,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19123.0,New Caledonia,Australia/Oceania,193.0,285208.0,0.0,,,
23,2020-05-25,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19122.0,New Caledonia,Australia/Oceania,194.0,285215.0,0.0,,,
24,2020-05-26,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19122.0,New Caledonia,Australia/Oceania,194.0,285223.0,0.0,,,
25,2020-05-27,18.0,-1.0,-1.0,-1.0,18.0,0.0,-1.0,63.0,-1.0,5454.0,19121.0,New Caledonia,Australia/Oceania,194.0,285238.0,0.0,,,
