,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1485.0,6.0,20.0,1.0,1263.0,202.0,-1.0,308.0,4.0,145589.0,30191.0,New Zealand,Australia/Oceania,,,0.0,,,
1,2020-05-03,1487.0,2.0,20.0,-1.0,1266.0,201.0,-1.0,308.0,4.0,150223.0,31152.0,New Zealand,Australia/Oceania,,,0.0,,,
2,2020-05-04,1487.0,-1.0,20.0,-1.0,1276.0,191.0,-1.0,308.0,4.0,152696.0,31665.0,New Zealand,Australia/Oceania,,,0.0,,,
3,2020-05-05,1486.0,-1.0,20.0,-1.0,1302.0,164.0,4.0,308.0,4.0,155928.0,32335.0,New Zealand,Australia/Oceania,,,0.0,,,
4,2020-05-06,1488.0,2.0,21.0,1.0,1316.0,151.0,2.0,309.0,4.0,160700.0,33325.0,New Zealand,Australia/Oceania,,,0.0,,,
5,2020-05-07,1489.0,1.0,21.0,-1.0,1332.0,136.0,2.0,309.0,4.0,168023.0,34843.0,New Zealand,Australia/Oceania,,,0.0,,,
6,2020-05-08,1492.0,2.0,21.0,-1.0,1368.0,103.0,2.0,309.0,4.0,183039.0,37957.0,New Zealand,Australia/Oceania,,,0.0,,,
7,2020-05-09,1492.0,-1.0,21.0,-1.0,1368.0,103.0,2.0,309.0,4.0,183039.0,37957.0,New Zealand,Australia/Oceania,,,0.0,,,
8,2020-05-10,1494.0,2.0,21.0,-1.0,1371.0,102.0,2.0,310.0,4.0,190326.0,39468.0,New Zealand,Australia/Oceania,,,0.0,,,
9,2020-05-11,1497.0,3.0,21.0,-1.0,1386.0,90.0,2.0,310.0,4.0,194191.0,40270.0,New Zealand,Australia/Oceania,,,0.0,,,
10,2020-05-12,1497.0,-1.0,21.0,-1.0,1398.0,78.0,2.0,310.0,4.0,197084.0,40870.0,New Zealand,Australia/Oceania,,,0.0,,,
11,2020-05-13,1497.0,-1.0,21.0,-1.0,1402.0,74.0,2.0,310.0,4.0,203045.0,42106.0,New Zealand,Australia/Oceania,,,0.0,,,
12,2020-05-14,1497.0,-1.0,21.0,-1.0,1411.0,65.0,2.0,310.0,4.0,209613.0,43468.0,New Zealand,Australia/Oceania,,,0.0,,,
13,2020-05-15,1498.0,1.0,21.0,-1.0,1421.0,56.0,2.0,311.0,4.0,216787.0,45003.0,New Zealand,Australia/Oceania,86.0,4817157.0,0.0,,,
14,2020-05-16,1498.0,-1.0,21.0,-1.0,1428.0,49.0,2.0,311.0,4.0,223937.0,46486.0,New Zealand,Australia/Oceania,86.0,4817264.0,0.0,,,
15,2020-05-17,1499.0,1.0,21.0,-1.0,1433.0,45.0,-1.0,311.0,4.0,228148.0,47359.0,New Zealand,Australia/Oceania,87.0,4817371.0,0.0,,,
16,2020-05-18,1499.0,-1.0,21.0,-1.0,1433.0,45.0,-1.0,311.0,4.0,230718.0,47892.0,New Zealand,Australia/Oceania,89.0,4817478.0,0.0,,,
17,2020-05-19,1503.0,4.0,21.0,-1.0,1442.0,40.0,2.0,312.0,4.0,233843.0,48539.0,New Zealand,Australia/Oceania,89.0,4817585.0,0.0,,,
18,2020-05-20,1503.0,-1.0,21.0,-1.0,1447.0,35.0,1.0,312.0,4.0,238725.0,49552.0,New Zealand,Australia/Oceania,91.0,4817692.0,0.0,,,
19,2020-05-21,1503.0,-1.0,21.0,-1.0,1452.0,30.0,1.0,312.0,4.0,244838.0,50819.0,New Zealand,Australia/Oceania,92.0,4817799.0,0.0,,,
20,2020-05-22,1504.0,1.0,21.0,-1.0,1455.0,28.0,1.0,312.0,4.0,250246.0,51941.0,New Zealand,Australia/Oceania,93.0,4817906.0,0.0,,,
21,2020-05-23,1504.0,-1.0,21.0,-1.0,1455.0,28.0,1.0,312.0,4.0,255850.0,53103.0,New Zealand,Australia/Oceania,94.0,4818013.0,0.0,,,
22,2020-05-24,1504.0,-1.0,21.0,-1.0,1456.0,27.0,1.0,312.0,4.0,259152.0,53787.0,New Zealand,Australia/Oceania,94.0,4818119.0,0.0,,,
23,2020-05-25,1504.0,-1.0,21.0,-1.0,1456.0,27.0,1.0,312.0,4.0,261315.0,54235.0,New Zealand,Australia/Oceania,94.0,4818226.0,0.0,,,
24,2020-05-26,1504.0,-1.0,21.0,-1.0,1461.0,22.0,1.0,312.0,4.0,263156.0,54616.0,New Zealand,Australia/Oceania,94.0,4818333.0,0.0,,,
25,2020-05-27,1504.0,-1.0,21.0,-1.0,1462.0,21.0,-1.0,301.0,4.0,267435.0,53465.0,New Zealand,Australia/Oceania,95.0,5002100.0,0.0,,,
26,2020-05-28,1504.0,-1.0,22.0,1.0,1474.0,8.0,-1.0,301.0,4.0,271690.0,54315.0,New Zealand,Australia/Oceania,98.0,5002100.0,0.0,,,
27,2020-05-29,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,275852.0,55147.0,New Zealand,Australia/Oceania,98.0,5002100.0,0.0,,,
28,2020-05-30,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,278872.0,55751.0,New Zealand,Australia/Oceania,99.0,5002100.0,0.0,,,
29,2020-05-31,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,280983.0,56173.0,New Zealand,Australia/Oceania,100.0,5002100.0,0.0,,,
30,2020-06-01,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,281609.0,56298.0,New Zealand,Australia/Oceania,101.0,5002100.0,0.0,,,
31,2020-06-02,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,282263.0,56429.0,New Zealand,Australia/Oceania,101.0,5002100.0,-1.0,3326.0,227368.0,18.0
32,2020-06-03,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,283525.0,56681.0,New Zealand,Australia/Oceania,101.0,5002100.0,-1.0,3326.0,227368.0,18.0
33,2020-06-04,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,286174.0,57211.0,New Zealand,Australia/Oceania,102.0,5002100.0,-1.0,3326.0,227368.0,17.0
34,2020-06-05,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,288987.0,57773.0,New Zealand,Australia/Oceania,102.0,5002100.0,-1.0,3326.0,227368.0,17.0
35,2020-06-06,1504.0,-1.0,22.0,-1.0,1481.0,1.0,-1.0,301.0,4.0,291194.0,58214.0,New Zealand,Australia/Oceania,104.0,5002100.0,-1.0,3326.0,227368.0,17.0
