,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,728.0,-1.0,33.0,-1.0,478.0,217.0,-1.0,30.0,1.0,5230.0,216.0,Niger,Africa,,,0.0,,,
1,2020-05-03,750.0,14.0,36.0,1.0,518.0,196.0,-1.0,31.0,1.0,5309.0,219.0,Niger,Africa,,,0.0,,,
2,2020-05-04,755.0,5.0,37.0,1.0,534.0,184.0,-1.0,31.0,2.0,5309.0,219.0,Niger,Africa,,,0.0,,,
3,2020-05-05,763.0,-1.0,38.0,-1.0,543.0,182.0,-1.0,32.0,2.0,5375.0,222.0,Niger,Africa,,,0.0,,,
4,2020-05-06,763.0,-1.0,38.0,-1.0,543.0,182.0,-1.0,32.0,2.0,5375.0,222.0,Niger,Africa,,,0.0,,,
5,2020-05-07,781.0,11.0,42.0,4.0,586.0,153.0,-1.0,32.0,2.0,5432.0,224.0,Niger,Africa,,,0.0,,,
6,2020-05-08,795.0,-1.0,44.0,-1.0,600.0,151.0,-1.0,33.0,2.0,5488.0,227.0,Niger,Africa,,,0.0,,,
7,2020-05-09,815.0,-1.0,45.0,-1.0,617.0,153.0,-1.0,34.0,2.0,5515.0,228.0,Niger,Africa,,,0.0,,,
8,2020-05-10,815.0,-1.0,45.0,-1.0,617.0,153.0,-1.0,34.0,2.0,5515.0,228.0,Niger,Africa,,,0.0,,,
9,2020-05-11,821.0,-1.0,46.0,-1.0,624.0,151.0,-1.0,34.0,2.0,5562.0,230.0,Niger,Africa,,,0.0,,,
10,2020-05-12,832.0,-1.0,46.0,-1.0,637.0,149.0,-1.0,34.0,2.0,5598.0,231.0,Niger,Africa,,,0.0,,,
11,2020-05-13,854.0,-1.0,47.0,-1.0,648.0,159.0,-1.0,35.0,2.0,5642.0,233.0,Niger,Africa,,,0.0,,,
