,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,2170.0,-1.0,68.0,-1.0,351.0,1751.0,2.0,11.0,0.3,16588.0,80.0,Nigeria,Africa,,,0.0,,,
1,2020-05-03,2388.0,-1.0,85.0,-1.0,385.0,1918.0,2.0,12.0,0.4,16588.0,80.0,Nigeria,Africa,,,0.0,,,
2,2020-05-04,2558.0,-1.0,87.0,-1.0,400.0,2071.0,4.0,12.0,0.4,18536.0,90.0,Nigeria,Africa,,,0.0,,,
3,2020-05-05,2950.0,-1.0,98.0,-1.0,481.0,2371.0,4.0,14.0,0.5,19512.0,95.0,Nigeria,Africa,,,0.0,,,
4,2020-05-06,2950.0,-1.0,98.0,-1.0,481.0,2371.0,4.0,14.0,0.5,21208.0,103.0,Nigeria,Africa,,,0.0,,,
5,2020-05-07,3526.0,381.0,107.0,4.0,601.0,2818.0,4.0,17.0,0.5,22492.0,109.0,Nigeria,Africa,,,0.0,,,
6,2020-05-08,3912.0,-1.0,117.0,-1.0,679.0,3116.0,4.0,19.0,0.6,23835.0,116.0,Nigeria,Africa,,,0.0,,,
7,2020-05-09,4151.0,-1.0,128.0,-1.0,745.0,3278.0,4.0,20.0,0.6,23835.0,116.0,Nigeria,Africa,,,0.0,,,
8,2020-05-10,4151.0,-1.0,128.0,-1.0,745.0,3278.0,4.0,20.0,0.6,23835.0,116.0,Nigeria,Africa,,,0.0,,,
9,2020-05-11,4399.0,-1.0,143.0,-1.0,778.0,3478.0,4.0,21.0,0.7,23835.0,116.0,Nigeria,Africa,,,0.0,,,
10,2020-05-12,4641.0,-1.0,150.0,-1.0,902.0,3589.0,4.0,23.0,0.7,27078.0,131.0,Nigeria,Africa,,,0.0,,,
11,2020-05-13,4787.0,-1.0,158.0,-1.0,959.0,3670.0,7.0,23.0,0.8,28418.0,138.0,Nigeria,Africa,,,0.0,,,
12,2020-05-14,4971.0,-1.0,164.0,-1.0,1070.0,3737.0,7.0,24.0,0.8,29408.0,143.0,Nigeria,Africa,,,0.0,,,
13,2020-05-15,5162.0,-1.0,167.0,-1.0,1180.0,3815.0,7.0,25.0,0.8,30657.0,149.0,Nigeria,Africa,60.0,205430154.0,0.0,,,
14,2020-05-16,5450.0,-1.0,171.0,-1.0,1320.0,3959.0,7.0,27.0,0.8,30657.0,149.0,Nigeria,Africa,60.0,205444156.0,0.0,,,
15,2020-05-17,5621.0,-1.0,176.0,-1.0,1472.0,3973.0,7.0,27.0,0.9,32942.0,160.0,Nigeria,Africa,60.0,205458157.0,0.0,,,
16,2020-05-18,5959.0,-1.0,182.0,-1.0,1594.0,4183.0,7.0,29.0,0.9,33970.0,165.0,Nigeria,Africa,59.0,205472159.0,0.0,,,
17,2020-05-19,6175.0,-1.0,191.0,-1.0,1644.0,4340.0,7.0,30.0,0.9,35345.0,172.0,Nigeria,Africa,59.0,205486161.0,0.0,,,
18,2020-05-20,6401.0,-1.0,192.0,-1.0,1734.0,4475.0,7.0,31.0,0.9,36899.0,180.0,Nigeria,Africa,59.0,205500163.0,0.0,,,
19,2020-05-21,6677.0,-1.0,202.0,2.0,1860.0,4615.0,7.0,32.0,1.0,38231.0,186.0,Nigeria,Africa,58.0,205514164.0,0.0,,,
20,2020-05-22,7016.0,-1.0,211.0,-1.0,1907.0,4898.0,7.0,34.0,1.0,40043.0,195.0,Nigeria,Africa,57.0,205528166.0,0.0,,,
21,2020-05-23,7261.0,-1.0,221.0,-1.0,2007.0,5033.0,7.0,35.0,1.0,41907.0,204.0,Nigeria,Africa,55.0,205542168.0,0.0,,,
