,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,1506.0,12.0,82.0,1.0,852.0,572.0,21.0,723.0,39.0,16997.0,8158.0,North Macedonia,Europe,,,0.0,,,
1,2020-05-03,1511.0,5.0,84.0,2.0,945.0,482.0,21.0,725.0,40.0,17246.0,8278.0,North Macedonia,Europe,,,0.0,,,
2,2020-05-04,1518.0,7.0,85.0,1.0,992.0,441.0,21.0,729.0,41.0,17359.0,8332.0,North Macedonia,Europe,,,0.0,,,
3,2020-05-05,1526.0,-1.0,86.0,-1.0,1013.0,427.0,21.0,732.0,41.0,17359.0,8332.0,North Macedonia,Europe,,,0.0,,,
4,2020-05-06,1539.0,13.0,88.0,2.0,1057.0,394.0,21.0,739.0,42.0,17836.0,8561.0,North Macedonia,Europe,,,0.0,,,
5,2020-05-07,1572.0,33.0,89.0,1.0,1079.0,404.0,21.0,755.0,43.0,18168.0,8720.0,North Macedonia,Europe,,,0.0,,,
6,2020-05-08,1586.0,-1.0,90.0,-1.0,1099.0,397.0,21.0,761.0,43.0,18410.0,8837.0,North Macedonia,Europe,,,0.0,,,
7,2020-05-09,1622.0,-1.0,91.0,-1.0,1112.0,419.0,21.0,779.0,44.0,18821.0,9034.0,North Macedonia,Europe,,,0.0,,,
8,2020-05-10,1642.0,20.0,91.0,-1.0,1136.0,415.0,21.0,788.0,44.0,18821.0,9034.0,North Macedonia,Europe,,,0.0,,,
9,2020-05-11,1664.0,22.0,91.0,-1.0,1200.0,373.0,21.0,799.0,44.0,19241.0,9235.0,North Macedonia,Europe,,,0.0,,,
10,2020-05-12,1674.0,10.0,92.0,1.0,1205.0,377.0,21.0,804.0,44.0,19430.0,9326.0,North Macedonia,Europe,,,0.0,,,
11,2020-05-13,1694.0,20.0,95.0,3.0,1229.0,370.0,21.0,813.0,46.0,19739.0,9475.0,North Macedonia,Europe,,,0.0,,,
12,2020-05-14,1723.0,29.0,95.0,-1.0,1235.0,393.0,21.0,827.0,46.0,20088.0,9642.0,North Macedonia,Europe,,,0.0,,,
13,2020-05-15,1740.0,17.0,97.0,2.0,1251.0,392.0,21.0,835.0,47.0,20088.0,9642.0,North Macedonia,Europe,83.0,2083385.0,0.0,,,
14,2020-05-16,1762.0,22.0,98.0,1.0,1267.0,397.0,21.0,846.0,47.0,21010.0,10085.0,North Macedonia,Europe,83.0,2083384.0,0.0,,,
15,2020-05-17,1792.0,30.0,101.0,3.0,1293.0,398.0,21.0,860.0,48.0,21436.0,10289.0,North Macedonia,Europe,82.0,2083384.0,0.0,,,
16,2020-05-18,1817.0,25.0,104.0,3.0,1301.0,412.0,21.0,872.0,50.0,21722.0,10426.0,North Macedonia,Europe,82.0,2083384.0,0.0,,,
17,2020-05-19,1839.0,22.0,106.0,2.0,1351.0,382.0,21.0,883.0,51.0,22255.0,10682.0,North Macedonia,Europe,83.0,2083384.0,0.0,,,
18,2020-05-20,1858.0,19.0,110.0,4.0,1367.0,381.0,21.0,892.0,53.0,22767.0,10928.0,North Macedonia,Europe,83.0,2083384.0,0.0,,,
19,2020-05-21,1898.0,40.0,111.0,1.0,1378.0,409.0,21.0,911.0,53.0,23316.0,11191.0,North Macedonia,Europe,84.0,2083383.0,0.0,,,
20,2020-05-22,1921.0,23.0,112.0,1.0,1387.0,422.0,21.0,922.0,54.0,24018.0,11528.0,North Macedonia,Europe,84.0,2083383.0,0.0,,,
21,2020-05-23,1941.0,20.0,113.0,1.0,1411.0,417.0,21.0,932.0,54.0,24762.0,11885.0,North Macedonia,Europe,84.0,2083383.0,0.0,,,
22,2020-05-24,1978.0,37.0,113.0,-1.0,1422.0,443.0,21.0,949.0,54.0,25270.0,12129.0,North Macedonia,Europe,84.0,2083383.0,0.0,,,
23,2020-05-25,1999.0,21.0,113.0,-1.0,1439.0,447.0,21.0,959.0,54.0,25528.0,12253.0,North Macedonia,Europe,84.0,2083382.0,0.0,,,
24,2020-05-26,2014.0,15.0,116.0,3.0,1453.0,445.0,21.0,967.0,56.0,25841.0,12403.0,North Macedonia,Europe,86.0,2083382.0,0.0,,,
25,2020-05-27,2039.0,-1.0,119.0,-1.0,1470.0,450.0,21.0,979.0,57.0,26463.0,12702.0,North Macedonia,Europe,86.0,2083382.0,0.0,,,
26,2020-05-28,2077.0,38.0,121.0,2.0,1486.0,470.0,21.0,997.0,58.0,27023.0,12971.0,North Macedonia,Europe,86.0,2083382.0,0.0,,,
27,2020-05-29,2129.0,52.0,126.0,5.0,1516.0,487.0,21.0,1022.0,60.0,27684.0,13288.0,North Macedonia,Europe,86.0,2083381.0,0.0,,,
28,2020-05-30,2164.0,35.0,131.0,5.0,1535.0,498.0,21.0,1039.0,63.0,28804.0,13826.0,North Macedonia,Europe,86.0,2083381.0,0.0,,,
29,2020-05-31,2226.0,62.0,133.0,2.0,1552.0,541.0,21.0,1068.0,64.0,29575.0,14196.0,North Macedonia,Europe,86.0,2083381.0,0.0,,,
30,2020-06-01,2315.0,89.0,140.0,7.0,1569.0,606.0,21.0,1111.0,67.0,30302.0,14545.0,North Macedonia,Europe,85.0,2083381.0,0.0,,,
31,2020-06-02,2391.0,76.0,141.0,1.0,1595.0,655.0,21.0,1148.0,68.0,31187.0,14969.0,North Macedonia,Europe,85.0,2083381.0,26.0,871.0,14776.0,67.0
32,2020-06-03,2492.0,101.0,145.0,4.0,1605.0,742.0,34.0,1196.0,70.0,32161.0,15437.0,North Macedonia,Europe,86.0,2083380.0,10.0,836.0,14368.0,65.0
33,2020-06-04,2611.0,119.0,147.0,2.0,1621.0,843.0,34.0,1253.0,71.0,33114.0,15894.0,North Macedonia,Europe,85.0,2083380.0,16.0,798.0,14173.0,63.0
34,2020-06-05,2790.0,179.0,149.0,2.0,1632.0,1009.0,34.0,1339.0,72.0,33114.0,15894.0,North Macedonia,Europe,84.0,2083380.0,11.0,747.0,13982.0,63.0
35,2020-06-06,2915.0,125.0,151.0,2.0,1640.0,1124.0,34.0,1399.0,72.0,35471.0,17026.0,North Macedonia,Europe,85.0,2083380.0,8.0,715.0,13797.0,59.0
36,2020-06-07,3025.0,110.0,153.0,2.0,1646.0,1226.0,34.0,1452.0,73.0,36325.0,17436.0,North Macedonia,Europe,83.0,2083379.0,6.0,689.0,13617.0,57.0
37,2020-06-08,3152.0,127.0,156.0,3.0,1653.0,1343.0,34.0,1513.0,75.0,37027.0,17773.0,North Macedonia,Europe,81.0,2083379.0,7.0,661.0,13355.0,56.0
38,2020-06-09,3239.0,87.0,157.0,1.0,1658.0,1424.0,34.0,1555.0,75.0,38014.0,18246.0,North Macedonia,Europe,82.0,2083379.0,5.0,643.0,13270.0,55.0
39,2020-06-10,3364.0,125.0,164.0,7.0,1664.0,1536.0,34.0,1615.0,79.0,39033.0,18735.0,North Macedonia,Europe,81.0,2083379.0,6.0,619.0,12704.0,53.0
40,2020-06-11,3538.0,174.0,169.0,5.0,1682.0,1687.0,34.0,1698.0,81.0,40004.0,19202.0,North Macedonia,Europe,81.0,2083378.0,18.0,589.0,12328.0,52.0
41,2020-06-12,3701.0,163.0,171.0,2.0,1694.0,1836.0,34.0,1776.0,82.0,41049.0,19703.0,North Macedonia,Europe,81.0,2083378.0,12.0,563.0,12183.0,51.0
42,2020-06-13,3895.0,194.0,179.0,8.0,1705.0,2011.0,34.0,1870.0,86.0,42262.0,20285.0,North Macedonia,Europe,81.0,2083378.0,11.0,535.0,11639.0,49.0
43,2020-06-14,4057.0,162.0,188.0,9.0,1710.0,2159.0,34.0,1947.0,90.0,43040.0,20659.0,North Macedonia,Europe,81.0,2083378.0,5.0,514.0,11082.0,48.0
44,2020-06-15,4157.0,100.0,193.0,5.0,1723.0,2241.0,34.0,1995.0,93.0,43881.0,21062.0,North Macedonia,Europe,79.0,2083377.0,13.0,501.0,10795.0,47.0
45,2020-06-16,4289.0,132.0,201.0,8.0,1757.0,2331.0,34.0,2059.0,96.0,45054.0,21625.0,North Macedonia,Europe,79.0,2083377.0,34.0,486.0,10365.0,46.0
46,2020-06-17,4482.0,183.0,210.0,9.0,1803.0,2469.0,34.0,2151.0,101.0,46445.0,22293.0,North Macedonia,Europe,79.0,2083377.0,46.0,465.0,9921.0,45.0
47,2020-06-18,4664.0,182.0,216.0,6.0,1836.0,2612.0,34.0,2239.0,104.0,47793.0,22940.0,North Macedonia,Europe,78.0,2083377.0,33.0,447.0,9645.0,44.0
48,2020-06-19,4820.0,156.0,222.0,6.0,1863.0,2735.0,34.0,2314.0,107.0,47793.0,22940.0,North Macedonia,Europe,78.0,2083377.0,27.0,432.0,9385.0,44.0
49,2020-06-20,5005.0,185.0,233.0,11.0,1904.0,2868.0,34.0,2402.0,112.0,50384.0,24184.0,North Macedonia,Europe,76.0,2083376.0,41.0,416.0,8942.0,41.0
